update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,3887.9275476877965,58.93924402123458,0.6407030527289547,0.35522664199814985,0.0007400555041628122,0,13.795544828736565,0.8525898484496486,0.7257695235281442,5405,18,25.429036614740713,3.52449188125938,2.0869188564828183,6.0,15.72,0.0,0.30316494407482264,0.9701210287443268,1.0288566854831915,0.02940816576253212,55.380032,1133,1170,0.9683760683760684,2349,2407,0.9759036144578314,3424,3502,0.9777270131353513,16179,16717,0.9678171920799187
1,-1618.3246068058243,94.16377147808053,0.42636289666395444,0.56826688364524,8.136696501220504e-05,0,11.93143966349297,0.8634131074456376,0.5890059451202528,12290,28,20.54045321435228,3.8557197142807795,3.905343511450382,8.0,57.271,0.0,0.4404551197340911,0.9639876569184375,1.033501073301193,0.03279633712056978,81.945016,358,370,0.9675675675675676,755,776,0.9729381443298969,1200,1248,0.9615384615384616,25178,26124,0.9637880875822998
2,994.1276016968485,67.802996458674,0.48868245453356013,0.5076540625408871,0.00013083867591259977,0,11.81654491588925,0.8682444895751403,0.6481285420059852,7643,26,24.727017690353797,3.7505959678186587,3.0460508701472557,8.0,31.176,0.00013082155939298797,0.29354642688004173,0.9662322701418389,1.031185557686046,0.03128160418482999,59.185986,479,494,0.9696356275303644,996,1032,0.9651162790697675,1705,1762,0.9676503972758229,23660,24490,0.9661086157615353
3,2798.1542928486365,62.47725810890074,0.5663572708028008,0.4307116104868914,0.0,0,9.656371415627184,0.8505407183162284,0.7096192427856599,6141,32,23.340781185266483,3.845475307931461,3.2268545140885565,8.0,23.552,0.0,0.19388668751868116,0.9796644459171928,1.0201494622153933,0.01989675566647294,54.573704,428,440,0.9727272727272728,853,867,0.9838523644752019,1289,1314,0.9809741248097412,25516,26048,0.9795761670761671
4,-4176.5102464144875,78.8252271067072,0.35566963883635055,0.6387462847878952,0.0005403944879762226,0,9.814788235509182,0.8637518133827281,0.6725806436061442,11103,28,21.63531530756439,3.8889698465091365,5.297796910610281,10.0,57.782,0.0,0.3904412646579747,0.9662046249914225,1.0285250543909936,0.029340260432277616,60.480064,270,283,0.9540636042402827,622,648,0.9598765432098766,919,960,0.9572916666666667,26350,27255,0.9667950834709228
5,3726.771861950111,40.36109491038485,0.7508038585209004,0.2437299035369775,0.0028938906752411574,0,12.670795427194543,0.8593957932417323,0.8744162144743811,3110,17,21.19574616482698,3.3807465782557578,2.2612419700214135,7.0,7.226,0.0,0.18306378907852933,0.9858976676911951,1.012994068909313,0.015398308856252782,37.0668,1538,1578,0.9746514575411914,2986,3021,0.9884144323071831,4007,4063,0.9862170809746493,13281,13462,0.986554746694399
6,2290.6487916884594,60.637230534525266,0.5474089523503931,0.44922188352318304,0.0,0,11.13431997989105,0.8632748980379147,0.7200645433017456,6233,18,24.564901393536708,3.763039286439188,2.9871043376318873,8.0,23.637,0.0,0.3527704922490015,0.988476773496579,1.0103881113836388,0.010546568802109314,53.568298,602,620,0.9709677419354839,1272,1300,0.9784615384615385,1958,1983,0.9873928391326273,23618,23867,0.9895671848158545
7,3755.6566505313403,60.02737962973975,0.6267247639796659,0.37037037037037035,0.00018155410312273057,0,14.061325089856291,0.8570309045520732,0.7605383958810408,5508,32,23.58167076646037,3.7989084818593244,2.7245075318655854,7.0,18.115,0.0,0.17125709918262944,0.9787684252053223,1.020801896960552,0.020652593867444065,53.535892,502,527,0.952561669829222,1138,1161,0.9801894918173988,1807,1852,0.9757019438444925,23844,24343,0.9795012940064906
8,3379.4668711456566,72.5037641910757,0.5697459912019299,0.42528735632183906,0.00014190435646374344,0,12.590042461970263,0.8657618075435893,0.7593660543951479,7047,23,23.248501222029113,3.8453347910504587,3.0846824408468243,8.0,26.348,0.0,0.30245123219573555,0.9757912387340181,1.0228307304433084,0.02243622579653724,63.423756,385,400,0.9625,864,883,0.9784824462061155,1450,1479,0.9803921568627451,25234,25864,0.9756418187442004
9,-1910.3311345567668,80.25402212073051,0.40609874152952563,0.5890609874152952,9.68054211035818e-05,0,13.536834676608876,0.8614484797574734,0.6421937304233744,10330,28,24.115789283167675,3.888242056427623,4.143504171632896,9.0,49.619,0.0,0.36802838927981685,0.981063562629382,1.0167795514107756,0.016881860340973543,65.33475,302,313,0.9648562300319489,639,652,0.9800613496932515,996,1019,0.9774288518155054,26972,27483,0.9814066877706218
10,1432.728686003048,74.7782560054089,0.4951468239341442,0.500552893475857,0.0002457304337142155,0,12.914694589619426,0.8529466722739351,0.688454387518317,8139,30,21.777709796403144,3.8470744845703226,3.340942928039702,8.0,34.182,0.0,0.2688477413013142,0.9813259284970496,1.017081231518525,0.017193150030702053,63.040408,402,417,0.9640287769784173,842,866,0.9722863741339491,1361,1387,0.9812545061283345,25667,26140,0.9819051262433053
