update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,2080.619353508009,69.52835410083229,0.5258796359190328,0.47045238418693114,0.0,0,17.06655940970167,0.8591456446458489,0.6689164910322506,7361,24,20.0,3.8271941005825454,2.9826918109015756,7.0,28.731,0.0,0.3,0.9890106056377338,1.0098504960178847,0.010152634850473099,61.4365,491,498,0.9859437751004017,966,970,0.9958762886597938,1519,1537,0.9882888744307091,25373,25659,0.9888538134767528
1,3621.575142134657,72.85900565254128,0.5841278743690409,0.4119461581604038,0.00028042624789680314,0,13.301803490521651,0.8525408623570389,0.6983688554324332,7132,24,20.0,3.799374724349845,2.5477676428228517,6.0,24.876,0.0,0.3,0.9852448499536675,1.0137763660373318,0.01426363125351321,66.484912,564,575,0.9808695652173913,1082,1110,0.9747747747747748,1705,1725,0.9884057971014493,24293,24648,0.9855972086984746
2,-968.7514428805878,56.425359369507255,0.42491968151976534,0.5706104204497835,0.0001396843134515994,0,14.893650337350186,0.8698235469656165,0.5743967223605803,7159,24,20.0,3.8289941567123016,2.7287968441814594,7.0,31.174,0.0,0.3,0.9915142241079502,1.007728728589333,0.007969639468690701,47.996536,492,504,0.9761904761904762,944,954,0.989517819706499,1446,1461,0.9897330595482546,25628,25835,0.9919876137023418
3,-320.9175069962781,60.1549340637533,0.4389526743209185,0.5555866704004481,0.0007000840100812098,0,11.721839976620297,0.8869337712137374,0.6576952972919777,7142,24,20.0,3.834780569643881,3.59585326953748,9.0,32.503,0.0,0.3,0.9899431266472465,1.0090299725627756,0.009684731094168555,49.0179,449,458,0.980349344978166,911,924,0.9859307359307359,1431,1444,0.9909972299168975,25755,26010,0.9901960784313726
4,4479.282400081297,78.56686451205705,0.6031986764097614,0.39252723011167795,0.00041362194953812215,0,14.249619368943108,0.8653795147954291,0.7812089335435065,7253,24,20.0,3.791025192245209,3.0553142857142856,8.0,25.657,0.0,0.3,0.9846505318769186,1.0138754783106247,0.014528441270623,69.392492,546,563,0.9698046181172292,1154,1173,0.9838022165387894,1791,1807,0.9911455451023796,24093,24471,0.9845531445384332
5,1446.4646907779158,66.84451732036518,0.5042512342292924,0.49149753154141523,0.00013713658804168953,0,9.62980787401364,0.8545122953267652,0.6581769371759538,7292,24,20.0,3.806189839386526,3.0067990209409845,8.0,29.216,0.0001371177841766077,0.3,0.9845706381016565,1.0144515854134857,0.014506431767337808,58.320534,531,545,0.9743119266055046,1080,1093,0.9881061299176578,1591,1622,0.9808877928483354,24556,24933,0.9848794769983555
6,-255.3367828410859,61.354691165918105,0.43938138635735985,0.555923777961889,0.0,0,7.726096171848395,0.8644236822526943,0.6731081336459191,7242,24,20.0,3.8275439940289604,3.965744814582024,9.0,33.618,0.0,0.3,0.9901045102600604,1.009105758871164,0.009014898668410007,49.6285,447,460,0.9717391304347827,951,966,0.984472049689441,1517,1539,0.9857050032488629,25601,25836,0.9909041647313825
7,-2211.157314423841,53.02791932765502,0.37855368479160917,0.6174441070935689,0.0,0,4.968004969066713,0.859367634297509,0.6069941908141102,7246,24,20.0,3.8087511148849345,4.199781261392636,9.0,35.695,0.0,0.3,0.9884278859723398,1.0100388829975255,0.010266080033521894,42.47309,541,559,0.9677996422182469,1064,1079,0.9860982391102873,1594,1617,0.9857761286332715,24817,25089,0.9891585954003747
8,1823.3042276537044,67.01145302976059,0.5193659545141281,0.4755341144038594,0.00013783597518952445,0,9.14132569583889,0.8780245508049284,0.6576614081886611,7255,24,20.0,3.783030405588194,3.26963906581741,8.0,29.52,0.0001378169790518192,0.3,0.9897010441996853,1.0097014391064651,0.009948663480261993,59.778592,602,618,0.9741100323624595,1169,1181,0.9898391193903472,1874,1889,0.9920592906299629,24031,24276,0.9899077277970012
9,4596.428863859956,79.28291428516349,0.6073535464398409,0.38935382082590203,0.0,0,13.862917733512216,0.8774386825459289,0.7989921364777817,7289,24,20.0,3.77502634565111,2.8025751072961373,8.0,25.02,0.0,0.3,0.9854211663066955,1.0136961614705353,0.0135293490998189,69.400246,583,601,0.9700499168053245,1225,1253,0.9776536312849162,1954,1979,0.9873673572511369,23613,23947,0.9860525326763269
