world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
CSI02,SUS-RPS,30000,3343.8236,52.2124,49.9165,0.637,0.3559,2.0837,0.7028
CSI02,SUS+CQI-Feasible,30000,2855.3361,49.2615,48.5309,0.6206,0.3711,2.8062,0.6585
CSI02,SUS+CQI@m=3,30000,2784.0237,51.1383,47.4651,0.6038,0.3883,2.9698,0.6916
CSI02,SUS-RPS,30001,3223.0463,78.846,77.3038,0.5687,0.4249,2.6583,0.6165
CSI02,SUS+CQI-Feasible,30001,3079.8773,78.3722,77.0069,0.5661,0.4269,3.3419,0.6097
CSI02,SUS+CQI@m=3,30001,2591.7943,78.912,74.2418,0.543,0.4505,2.999,0.6173
CSI02,SUS-RPS,30002,-2257.2375,87.7972,87.0951,0.4333,0.5616,2.8147,0.601
CSI02,SUS+CQI-Feasible,30002,1326.5356,106.561,102.7861,0.5008,0.4947,3.8728,0.5857
CSI02,SUS+CQI@m=3,30002,551.6116,104.97,99.3921,0.4826,0.5137,3.0,0.5684
CSI02,SUS-RPS,30003,2015.1384,38.3477,36.5313,0.6002,0.3943,1.7037,0.6646
CSI02,SUS+CQI-Feasible,30003,1619.2398,35.8541,35.5062,0.5849,0.4102,2.6946,0.6185
CSI02,SUS+CQI@m=3,30003,1669.6521,37.9163,34.8672,0.5719,0.4206,2.9941,0.66
CSI02,SUS-RPS,30004,3318.7468,67.8643,66.3546,0.5902,0.4022,2.8317,0.6763
CSI02,SUS+CQI-Feasible,30004,3430.8183,69.5436,66.8225,0.5888,0.401,3.7097,0.6793
CSI02,SUS+CQI@m=3,30004,3333.5158,70.4118,65.8558,0.5788,0.4137,2.9882,0.6765
CSI02,SUS-RPS,30005,4243.9446,68.0649,66.5628,0.6304,0.3603,2.5454,0.7025
CSI02,SUS+CQI-Feasible,30005,4207.2794,68.3634,66.5387,0.6281,0.3611,3.4961,0.7041
CSI02,SUS+CQI@m=3,30005,4002.2382,68.9409,65.1145,0.6133,0.377,2.9993,0.7066
CSI02,SUS-RPS,30006,1281.433,80.8819,80.199,0.505,0.4881,2.7837,0.6774
CSI02,SUS+CQI-Feasible,30006,3989.5941,95.9489,92.493,0.5685,0.4261,3.9265,0.6575
CSI02,SUS+CQI@m=3,30006,3692.7991,95.6492,91.2064,0.5579,0.437,2.9989,0.6408
CSI02,SUS-RPS,30007,4265.2106,57.2584,55.746,0.6764,0.3164,2.2092,0.7207
CSI02,SUS+CQI-Feasible,30007,3981.4714,55.2651,55.1234,0.6696,0.328,2.686,0.6876
CSI02,SUS+CQI@m=3,30007,4083.9493,56.7754,54.9871,0.6667,0.324,2.9159,0.7143
CSI02,SUS-RPS,30008,5720.4148,83.7756,82.9296,0.6533,0.3436,2.8876,0.724
CSI02,SUS+CQI-Feasible,30008,6031.9512,86.1562,84.3303,0.6585,0.3382,3.7564,0.7397
CSI02,SUS+CQI@m=3,30008,5450.5362,86.144,81.001,0.631,0.3657,2.9975,0.7357
CSI02,SUS-RPS,30009,5302.836,47.4935,45.7598,0.8489,0.1394,2.1636,0.9212
CSI02,SUS+CQI-Feasible,30009,4878.0754,45.1664,44.4792,0.8276,0.1626,2.9065,0.8856
CSI02,SUS+CQI@m=3,30009,5024.806,47.3708,44.2878,0.8206,0.1653,2.898,0.9214
CSI02,SUS-RPS,30010,2614.8112,52.1403,50.4328,0.5937,0.3996,2.0797,0.6769
CSI02,SUS+CQI-Feasible,30010,2415.4035,51.0102,50.0262,0.5889,0.404,3.1853,0.6625
CSI02,SUS+CQI@m=3,30010,2195.2102,52.4472,48.3631,0.5649,0.4288,2.9928,0.675
CSI02,SUS-RPS,30011,-1210.4779,96.296,95.0336,0.4508,0.5416,2.8869,0.5507
CSI02,SUS+CQI-Feasible,30011,1545.3247,109.6577,107.2363,0.5052,0.4887,3.7678,0.5523
CSI02,SUS+CQI@m=3,30011,1016.4608,109.18,104.6937,0.4911,0.503,3.0,0.5459
CSI02,SUS-RPS,30012,2884.3516,38.9458,37.0082,0.672,0.32,1.764,0.7451
CSI02,SUS+CQI-Feasible,30012,2395.603,36.1792,35.5821,0.648,0.3451,2.5772,0.6947
CSI02,SUS+CQI@m=3,30012,2421.8344,38.0861,35.0016,0.6327,0.3589,2.9661,0.7343
CSI02,SUS-RPS,30013,3892.8445,74.167,73.3705,0.5995,0.3955,2.452,0.6605
CSI02,SUS+CQI-Feasible,30013,4413.6987,77.5559,75.863,0.6158,0.3773,3.6393,0.6673
CSI02,SUS+CQI@m=3,30013,4144.8457,78.0919,74.2965,0.6004,0.3942,2.9971,0.6668
CSI02,SUS-RPS,30014,-2513.6691,51.2721,49.229,0.3952,0.597,1.7275,0.4428
CSI02,SUS+CQI-Feasible,30014,-3276.4762,47.3024,46.8663,0.3773,0.6155,2.4365,0.4061
CSI02,SUS+CQI@m=3,30014,-3473.6019,48.8737,44.8744,0.3605,0.6304,2.9945,0.4343
CSI02,SUS-RPS,30015,4015.4578,91.7457,90.8403,0.5766,0.4183,2.8623,0.6277
CSI02,SUS+CQI-Feasible,30015,4494.991,94.6701,93.0905,0.5877,0.407,3.685,0.6303
CSI02,SUS+CQI@m=3,30015,3948.1377,94.1296,90.2616,0.569,0.4262,2.992,0.6229
CSI02,SUS-RPS,30016,4951.6775,103.7732,103.1399,0.5906,0.4062,2.9768,0.6434
CSI02,SUS+CQI-Feasible,30016,5409.2232,106.4984,105.053,0.5975,0.3991,3.7796,0.6495
CSI02,SUS+CQI@m=3,30016,4460.2339,104.4668,100.3922,0.5711,0.4256,2.9856,0.638
CSI02,SUS-RPS,30017,2249.6788,82.4127,81.806,0.5359,0.4593,3.0195,0.598
CSI02,SUS+CQI-Feasible,30017,2865.5294,86.3659,84.7047,0.5505,0.4449,3.7457,0.5982
CSI02,SUS+CQI@m=3,30017,2603.4094,86.4572,83.0971,0.5394,0.4564,3.0,0.5926
CSI02,SUS-RPS,30018,3630.0953,64.988,63.6338,0.6122,0.3835,2.4792,0.6723
CSI02,SUS+CQI-Feasible,30018,3616.7862,64.8112,63.9106,0.614,0.3823,3.4011,0.6694
CSI02,SUS+CQI@m=3,30018,3294.632,65.6954,61.6575,0.591,0.4044,2.9898,0.6756
CSI02,SUS-RPS,30019,4508.0339,73.5737,72.2839,0.628,0.3637,2.8503,0.675
CSI02,SUS+CQI-Feasible,30019,4733.4036,75.1923,73.5004,0.6335,0.3592,3.6764,0.6783
CSI02,SUS+CQI@m=3,30019,4507.4052,75.4702,72.1885,0.6203,0.3717,2.983,0.6769
CSI02,SUS-RPS,30020,4663.5917,79.9157,79.0057,0.6214,0.3745,2.7179,0.6669
CSI02,SUS+CQI-Feasible,30020,4753.3396,80.8439,79.5109,0.6237,0.3724,3.5232,0.6689
CSI02,SUS+CQI@m=3,30020,4434.4839,81.3223,77.6576,0.6069,0.3905,2.9994,0.6695
CSI02,SUS-RPS,30021,3716.7807,44.5232,42.4496,0.7101,0.2812,2.0533,0.7807
CSI02,SUS+CQI-Feasible,30021,3152.333,41.0734,40.7815,0.6853,0.308,2.4915,0.7165
CSI02,SUS+CQI@m=3,30021,3299.2415,43.5743,40.6467,0.6789,0.3096,2.9307,0.7698
CSI02,SUS-RPS,30022,4534.9357,63.3937,62.1009,0.6627,0.3323,2.479,0.719
CSI02,SUS+CQI-Feasible,30022,4454.3332,63.3495,62.0487,0.6603,0.3336,3.3352,0.7142
CSI02,SUS+CQI@m=3,30022,4291.2019,63.8993,60.8738,0.6455,0.3478,2.9885,0.7165
CSI02,SUS-RPS,30023,-1198.4583,92.3976,91.5053,0.4539,0.5408,2.8289,0.6442
CSI02,SUS+CQI-Feasible,30023,2969.7329,113.902,109.5272,0.5307,0.4647,3.9058,0.6187
CSI02,SUS+CQI@m=3,30023,2289.5657,112.1882,106.5675,0.5148,0.4811,3.0,0.6001
CSI02,SUS-RPS,30024,2368.7366,74.0653,72.6292,0.5462,0.448,2.6405,0.6205
CSI02,SUS+CQI-Feasible,30024,2294.0776,74.4242,72.4771,0.5442,0.4502,3.5374,0.6254
