world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
D26,SUS-RPS,30000,3696.8378,53.3261,49.9629,0.6375,0.3611,1.6772,0.7162
D26,SUS+CQI-Feasible,30000,2494.3003,46.5865,46.4324,0.5942,0.4043,2.2945,0.6074
D26,SUS+CQI@m=3,30000,2989.8307,51.6238,46.9766,0.5987,0.3999,2.8627,0.6996
D26,SUS-RPS,30001,3951.0817,80.7114,78.337,0.5776,0.421,1.9905,0.6259
D26,SUS+CQI-Feasible,30001,3477.3095,77.7672,77.3902,0.5709,0.4278,2.8731,0.597
D26,SUS+CQI@m=3,30001,3324.9076,80.8867,75.2048,0.552,0.4466,2.983,0.633
D26,SUS-RPS,30002,-68.9959,95.0179,93.7469,0.4696,0.5287,2.4816,0.5733
D26,SUS+CQI-Feasible,30002,2295.9191,107.4432,104.2306,0.5124,0.4862,3.5938,0.5927
D26,SUS+CQI@m=3,30002,1481.6387,108.3437,99.6783,0.4866,0.512,2.9993,0.5837
D26,SUS-RPS,30003,2217.0828,39.0794,36.2545,0.5961,0.4029,1.3085,0.6824
D26,SUS+CQI-Feasible,30003,687.1862,31.1531,31.0655,0.5213,0.4774,2.1416,0.5748
D26,SUS+CQI@m=3,30003,1681.3533,37.9332,33.7555,0.5563,0.4424,2.9042,0.6719
D26,SUS-RPS,30004,4215.6773,69.7726,68.241,0.6119,0.3874,1.849,0.696
D26,SUS+CQI-Feasible,30004,4661.0553,71.5848,70.7381,0.6281,0.371,3.1574,0.6912
D26,SUS+CQI@m=3,30004,4829.1816,75.6234,69.992,0.6165,0.3826,2.939,0.7068
D26,SUS-RPS,30005,4783.0056,69.2367,66.8631,0.6365,0.3612,1.8038,0.7189
D26,SUS+CQI-Feasible,30005,4268.1188,66.1628,65.6441,0.6259,0.3719,2.8087,0.6905
D26,SUS+CQI@m=3,30005,4582.8481,70.8225,65.402,0.6191,0.3788,2.9712,0.7271
D26,SUS-RPS,30006,3030.6385,86.5199,85.6218,0.5423,0.4554,2.3364,0.6521
D26,SUS+CQI-Feasible,30006,4553.6837,95.5208,92.4316,0.5751,0.4231,3.6691,0.6761
D26,SUS+CQI@m=3,30006,4258.6676,97.8181,90.4226,0.5562,0.442,2.9996,0.6655
D26,SUS-RPS,30007,4481.8767,57.3218,55.2776,0.6714,0.328,1.7558,0.7254
D26,SUS+CQI-Feasible,30007,3587.6411,52.5193,52.4715,0.6405,0.3591,2.5243,0.6696
D26,SUS+CQI@m=3,30007,4325.7854,57.1232,54.5536,0.6623,0.3368,2.7648,0.7233
D26,SUS-RPS,30008,5608.9147,81.7931,80.3665,0.6382,0.3608,2.0677,0.7191
D26,SUS+CQI-Feasible,30008,6164.5445,84.0061,83.0708,0.6554,0.3434,3.3005,0.7326
D26,SUS+CQI@m=3,30008,5708.1017,87.1574,79.2428,0.621,0.3775,2.9692,0.7467
D26,SUS-RPS,30009,5771.1327,48.7961,46.5523,0.8633,0.1355,1.7254,0.9386
D26,SUS+CQI-Feasible,30009,4220.9699,41.318,41.2045,0.772,0.2269,2.2844,0.8144
D26,SUS+CQI@m=3,30009,5549.7097,48.7422,45.2783,0.8409,0.1579,2.692,0.9395
