world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
K8,SUS-RPS,30000,3536.9619,26.6476,26.5776,0.9928,0.0072,1.5403,0.9976
K8,SUS+CQI-Feasible,30000,3188.9937,25.1788,25.1598,0.9463,0.0537,1.9581,0.9876
K8,SUS+CQI@m=3,30000,3536.3405,26.6627,26.5615,0.9922,0.0078,2.0167,0.9976
K8,SUS-RPS,30001,5610.0607,49.7341,49.0846,0.8569,0.1411,2.0066,0.8824
K8,SUS+CQI-Feasible,30001,5212.729,47.7021,47.6683,0.8351,0.1635,2.7197,0.8606
K8,SUS+CQI@m=3,30001,5583.7607,49.7693,48.816,0.8524,0.1456,2.6125,0.8865
K8,SUS-RPS,30002,4012.2911,42.5416,40.5486,0.7605,0.2386,1.6995,0.8509
K8,SUS+CQI-Feasible,30002,3182.4994,38.0933,37.9836,0.7138,0.285,2.4191,0.7509
K8,SUS+CQI@m=3,30002,3592.8122,41.3586,38.7183,0.7262,0.2705,2.6636,0.8366
K8,SUS-RPS,30003,2493.1179,21.2819,20.245,0.8873,0.1113,1.3351,0.9582
K8,SUS+CQI-Feasible,30003,1734.5344,17.699,17.6469,0.7759,0.2227,1.5043,0.8077
K8,SUS+CQI@m=3,30003,2344.5173,20.8846,19.5437,0.8591,0.1395,2.3268,0.9648
K8,SUS-RPS,30004,4501.1814,42.0631,41.2009,0.8226,0.177,1.8328,0.8695
K8,SUS+CQI-Feasible,30004,3725.0829,38.5913,38.5424,0.7708,0.2289,2.5933,0.8055
K8,SUS+CQI@m=3,30004,4480.4791,42.0517,41.1189,0.8204,0.1796,2.6006,0.8718
K8,SUS-RPS,30005,3669.861,31.8082,30.4183,0.8779,0.1208,1.6195,0.9685
K8,SUS+CQI-Feasible,30005,2699.0771,27.1767,27.1457,0.7842,0.2144,2.0801,0.8203
K8,SUS+CQI@m=3,30005,3545.9084,31.4687,29.8934,0.8618,0.1368,2.6145,0.9613
K8,SUS-RPS,30006,2096.662,31.8269,29.8335,0.6432,0.351,1.6345,0.7309
K8,SUS+CQI-Feasible,30006,1716.367,29.1178,29.0927,0.6248,0.3725,1.9428,0.6266
K8,SUS+CQI@m=3,30006,1950.6521,31.2894,29.367,0.6316,0.3639,2.5563,0.7121
K8,SUS-RPS,30007,2778.9149,27.5215,26.388,0.7918,0.2063,1.6172,0.8595
