world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
P010,SUS-RPS,30000,2631.5306,29.1923,27.7145,0.7398,0.2552,1.5338,0.8131
P010,SUS+CQI-Feasible,30000,1752.4681,24.8752,24.7596,0.6629,0.3333,1.8959,0.7116
P010,SUS+CQI@m=3,30000,2097.8691,27.9765,25.3337,0.676,0.3169,2.7376,0.8067
P010,SUS-RPS,30001,2548.7183,25.1498,23.8051,0.7958,0.1995,1.46,0.8864
P010,SUS+CQI-Feasible,30001,1659.4142,20.8055,20.7004,0.6981,0.2997,1.798,0.7522
P010,SUS+CQI@m=3,30001,2175.1685,24.3431,22.0377,0.7385,0.2552,2.638,0.8723
P010,SUS-RPS,30002,3673.191,38.8831,37.5612,0.7607,0.2364,1.8274,0.8245
P010,SUS+CQI-Feasible,30002,3064.4842,35.6581,35.5248,0.7228,0.2753,2.3707,0.7674
P010,SUS+CQI@m=3,30002,3331.6471,38.3642,35.8338,0.7263,0.2701,2.7603,0.82
P010,SUS-RPS,30003,1899.9512,24.2415,22.1543,0.6904,0.3072,1.3693,0.8266
P010,SUS+CQI-Feasible,30003,1011.0703,19.473,19.3472,0.6055,0.3925,1.8885,0.6459
P010,SUS+CQI@m=3,30003,1360.314,22.9258,19.8305,0.6163,0.3813,2.8059,0.7899
P010,SUS-RPS,30004,2459.4034,23.3198,22.603,0.8187,0.1784,1.5359,0.8636
P010,SUS+CQI-Feasible,30004,2037.1042,21.1801,21.1532,0.7691,0.2298,1.9192,0.7804
P010,SUS+CQI@m=3,30004,2426.4532,23.3143,22.4434,0.8124,0.1848,2.2127,0.8642
P010,SUS-RPS,30005,3230.2643,31.7466,30.2336,0.7998,0.1985,1.6262,0.8727
P010,SUS+CQI-Feasible,30005,2613.8285,28.3434,28.2497,0.7506,0.2481,2.089,0.7802
P010,SUS+CQI@m=3,30005,2930.4079,31.0543,28.8526,0.7641,0.233,2.7294,0.8625
P010,SUS-RPS,30006,4117.9125,37.8891,36.2776,0.8396,0.1589,1.7539,0.9114
P010,SUS+CQI-Feasible,30006,3552.9404,34.6328,34.5567,0.8019,0.197,2.3215,0.834
P010,SUS+CQI@m=3,30006,3824.4629,37.1684,34.965,0.8089,0.1881,2.8173,0.9003
P010,SUS-RPS,30007,2223.091,24.1818,22.3063,0.7509,0.24,1.5628,0.857
P010,SUS+CQI-Feasible,30007,1572.1585,20.532,20.4265,0.6851,0.3117,1.7419,0.7011
P010,SUS+CQI@m=3,30007,2000.1654,23.6508,21.3471,0.7175,0.2724,2.3748,0.8427
P010,SUS-RPS,30008,2967.8376,27.2499,26.0605,0.8406,0.1543,1.644,0.8994
P010,SUS+CQI-Feasible,30008,2472.2269,24.5638,24.5432,0.791,0.208,1.9854,0.7877
P010,SUS+CQI@m=3,30008,2873.5432,27.0866,25.6272,0.8263,0.1666,2.4523,0.8964
P010,SUS-RPS,30009,3207.31,24.8629,24.4015,0.9701,0.0299,1.6289,0.9934
P010,SUS+CQI-Feasible,30009,2572.3173,22.0003,21.9152,0.8818,0.1182,1.9339,0.9309
P010,SUS+CQI@m=3,30009,3208.351,24.8947,24.3988,0.9695,0.0305,2.2113,0.9937
P010,SUS-RPS,30010,2331.7908,23.2813,22.3136,0.79,0.2089,1.4016,0.8411
P010,SUS+CQI-Feasible,30010,1598.6381,19.8533,19.7809,0.7021,0.2967,1.8735,0.7292
P010,SUS+CQI@m=3,30010,2136.0742,22.8948,21.3997,0.7573,0.2416,2.465,0.8359
P010,SUS-RPS,30011,2787.8374,35.1542,33.4617,0.6951,0.3013,1.6363,0.7429
P010,SUS+CQI-Feasible,30011,2054.7189,31.24,31.1112,0.6476,0.3504,2.011,0.6473
P010,SUS+CQI@m=3,30011,2421.2055,34.2185,31.831,0.6612,0.3344,2.822,0.7264
P010,SUS-RPS,30012,2039.4512,21.5025,20.0163,0.7637,0.2327,1.3557,0.8803
P010,SUS+CQI-Feasible,30012,1250.5283,17.4492,17.4194,0.6679,0.3297,1.6472,0.7112
P010,SUS+CQI@m=3,30012,1712.9285,20.6981,18.5092,0.7089,0.2881,2.5897,0.8616
P010,SUS-RPS,30013,3724.8808,39.4599,37.7635,0.7606,0.2372,1.6976,0.8238
P010,SUS+CQI-Feasible,30013,3056.2119,35.8234,35.5741,0.7202,0.2775,2.3913,0.7571
P010,SUS+CQI@m=3,30013,3194.7855,38.4054,35.2903,0.7113,0.2862,2.9266,0.8138
P010,SUS-RPS,30014,339.364,14.8426,12.7841,0.5107,0.4773,1.2096,0.6752
P010,SUS+CQI-Feasible,30014,-308.087,11.008,10.9706,0.4377,0.5605,1.3403,0.4672
P010,SUS+CQI@m=3,30014,71.8035,13.9369,11.7528,0.4685,0.5189,2.6148,0.6399
P010,SUS-RPS,30015,2853.3971,35.3973,33.7357,0.7016,0.295,1.6923,0.7587
P010,SUS+CQI-Feasible,30015,2348.3701,32.3433,32.2868,0.6717,0.3266,2.2085,0.6715
P010,SUS+CQI@m=3,30015,2648.9042,34.7749,32.9351,0.6835,0.3132,2.8115,0.7444
P010,SUS-RPS,30016,2055.4059,26.907,25.8225,0.685,0.3104,1.677,0.7217
P010,SUS+CQI-Feasible,30016,1831.1884,25.3639,25.3639,0.6702,0.3281,2.0503,0.6562
P010,SUS+CQI@m=3,30016,2037.0106,26.8655,25.7527,0.6829,0.3137,2.2271,0.7208
P010,SUS-RPS,30017,3027.8362,32.3807,31.052,0.7575,0.2402,1.6348,0.8164
P010,SUS+CQI-Feasible,30017,2078.2036,27.7239,27.6406,0.6807,0.3173,2.2389,0.7237
P010,SUS+CQI@m=3,30017,2551.9375,31.3989,28.7697,0.7033,0.2936,2.8452,0.8131
P010,SUS-RPS,30018,2752.1534,29.9564,29.4192,0.7493,0.2491,1.6605,0.7663
P010,SUS+CQI-Feasible,30018,2160.9189,27.2359,27.1842,0.6973,0.3011,2.1581,0.7204
P010,SUS+CQI@m=3,30018,2680.6592,29.8724,28.9985,0.7399,0.2585,2.4559,0.7671
P010,SUS-RPS,30019,3612.2515,36.9313,36.0873,0.7781,0.2184,1.7651,0.8069
P010,SUS+CQI-Feasible,30019,3142.7109,34.5897,34.4866,0.7451,0.2528,2.3304,0.7646
P010,SUS+CQI@m=3,30019,3467.7477,36.7397,35.3113,0.7621,0.2344,2.6489,0.8072
P010,SUS-RPS,30020,3318.5873,36.2674,34.7939,0.7472,0.2504,1.6834,0.8138
P010,SUS+CQI-Feasible,30020,2643.1671,32.7261,32.6259,0.7023,0.296,2.3094,0.7405
P010,SUS+CQI@m=3,30020,2971.0869,35.4541,33.3052,0.7138,0.2838,2.8352,0.7996
P010,SUS-RPS,30021,2575.461,27.1926,25.6601,0.7637,0.233,1.574,0.8511
P010,SUS+CQI-Feasible,30021,1851.7022,23.3362,23.2727,0.6962,0.3019,1.8845,0.7342
P010,SUS+CQI@m=3,30021,2338.2753,26.5686,24.544,0.7325,0.2642,2.5648,0.8407
P010,SUS-RPS,30022,2649.7272,26.2254,25.2889,0.7949,0.2036,1.5856,0.8482
P010,SUS+CQI-Feasible,30022,2066.1822,23.3422,23.3158,0.7342,0.2638,2.0112,0.7559
P010,SUS+CQI@m=3,30022,2558.2309,26.0309,24.8563,0.7813,0.2156,2.4007,0.8469
P010,SUS-RPS,30023,4282.4594,38.2534,37.1291,0.8494,0.1495,1.8456,0.9062
P010,SUS+CQI-Feasible,30023,3618.2723,34.917,34.7006,0.8017,0.1972,2.5039,0.8542
P010,SUS+CQI@m=3,30023,4037.5309,37.9317,35.8963,0.8224,0.1766,2.7705,0.9058
P010,SUS-RPS,30024,2851.8876,27.2095,25.7572,0.8182,0.1787,1.4616,0.8955
P010,SUS+CQI-Feasible,30024,2056.4064,23.1366,23.0394,0.7363,0.2606,1.9648,0.7781
P010,SUS+CQI@m=3,30024,2564.4604,26.4696,24.427,0.7768,0.2197,2.6493,0.8833
P010,SUS-RPS,30025,4377.7509,33.5947,33.1216,0.9727,0.0259,1.8421,0.977
P010,SUS+CQI-Feasible,30025,4013.6809,31.8768,31.8219,0.9375,0.0625,2.2205,0.9421
P010,SUS+CQI@m=3,30025,4394.1714,33.6759,33.1922,0.9741,0.0245,2.3827,0.9777
P010,SUS-RPS,30026,4069.4359,36.4468,35.2522,0.8532,0.1433,1.7347,0.8989
P010,SUS+CQI-Feasible,30026,3473.4972,33.3704,33.1895,0.8075,0.1894,2.29,0.8374
P010,SUS+CQI@m=3,30026,3858.1229,36.0557,34.2456,0.8283,0.1683,2.7296,0.8975
P010,SUS-RPS,30027,3297.269,31.4795,30.0756,0.8158,0.1817,1.6629,0.8667
P010,SUS+CQI-Feasible,30027,2663.5592,28.1115,28.0664,0.7619,0.2363,2.0795,0.7538
P010,SUS+CQI@m=3,30027,3014.8957,30.79,28.8171,0.7813,0.2161,2.7084,0.8496
P010,SUS-RPS,30028,3477.6716,26.1702,26.1476,0.9975,0.0025,1.7171,0.9914
P010,SUS+CQI-Feasible,30028,3328.6447,25.5184,25.4921,0.9772,0.0222,2.0661,0.9893
P010,SUS+CQI@m=3,30028,3483.8522,26.188,26.1804,0.9988,0.0012,2.0281,0.9913
P010,SUS-RPS,30029,2834.8145,25.2561,24.5678,0.8564,0.1414,1.4888,0.8874
P010,SUS+CQI-Feasible,30029,2366.499,22.9136,22.8704,0.8033,0.1961,1.8742,0.8173
P010,SUS+CQI@m=3,30029,2794.6627,25.2286,24.2976,0.8486,0.1486,2.2973,0.8877
P010,SUS-RPS,30030,4245.5279,40.3345,38.9173,0.8156,0.1821,1.7276,0.8599
P010,SUS+CQI-Feasible,30030,3565.8552,36.833,36.5706,0.7705,0.2262,2.464,0.7951
P010,SUS+CQI@m=3,30030,3883.6812,39.7075,37.2374,0.7788,0.2182,2.8471,0.8502
P010,SUS-RPS,30031,2256.5706,25.1823,23.7394,0.7398,0.2582,1.3915,0.8385
P010,SUS+CQI-Feasible,30031,1503.0365,21.4518,21.3495,0.6636,0.335,1.7353,0.7038
P010,SUS+CQI@m=3,30031,1940.6749,24.4531,22.4137,0.696,0.3025,2.5863,0.8227
P010,SUS-RPS,30032,4640.7633,43.5628,42.1144,0.8228,0.1751,1.8411,0.8671
P010,SUS+CQI-Feasible,30032,4159.2059,40.7669,40.5842,0.7962,0.2017,2.5213,0.809
P010,SUS+CQI@m=3,30032,4265.0969,42.7933,40.4076,0.7884,0.2094,2.8734,0.855
P010,SUS-RPS,30033,4264.4292,34.6982,34.1493,0.9246,0.0732,1.7937,0.9549
P010,SUS+CQI-Feasible,30033,3889.53,32.8608,32.7806,0.8917,0.1078,2.3136,0.921
P010,SUS+CQI@m=3,30033,4239.4369,34.7004,33.9961,0.9212,0.0771,2.4777,0.9558
P010,SUS-RPS,30034,4180.7286,40.0118,38.2842,0.814,0.1844,1.7802,0.8712
P010,SUS+CQI-Feasible,30034,3566.5606,36.5938,36.3958,0.7755,0.2231,2.3788,0.8007
P010,SUS+CQI@m=3,30034,3817.8829,39.2581,36.7134,0.7782,0.2198,2.7969,0.8549
P010,SUS-RPS,30035,2890.8019,28.1343,26.8481,0.8044,0.1927,1.6089,0.874
P010,SUS+CQI-Feasible,30035,2049.4976,24.0187,23.8707,0.7205,0.2771,1.94,0.7603
P010,SUS+CQI@m=3,30035,2652.9796,27.6258,25.6656,0.7713,0.2263,2.5814,0.8662
P010,SUS-RPS,30036,2031.4994,24.3981,22.7617,0.7113,0.2816,1.5022,0.8014
P010,SUS+CQI-Feasible,30036,1309.4721,20.5162,20.4474,0.6396,0.3569,1.8047,0.6558
