world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
V60max,SUS-RPS,30000,3699.4088,53.6341,51.3157,0.6551,0.3425,1.9912,0.7181
V60max,SUS+CQI-Feasible,30000,3023.1854,49.6367,49.3242,0.6314,0.3664,2.5688,0.6603
V60max,SUS+CQI@m=3,30000,2957.9314,51.8752,48.0344,0.6129,0.3843,2.9771,0.7002
V60max,SUS-RPS,30001,3971.0774,81.6739,80.3103,0.5913,0.405,2.5278,0.6318
V60max,SUS+CQI-Feasible,30001,3858.1976,81.0395,80.2676,0.5905,0.4062,3.1259,0.6247
V60max,SUS+CQI@m=3,30001,3212.4129,81.3342,76.6526,0.5616,0.4349,2.9965,0.6323
V60max,SUS-RPS,30002,-606.0628,94.3939,93.9271,0.4656,0.5298,2.8954,0.6055
V60max,SUS+CQI-Feasible,30002,2537.0489,110.8526,107.8471,0.525,0.4721,3.8692,0.595
V60max,SUS+CQI@m=3,30002,1548.8589,108.8227,103.3447,0.502,0.4951,3.0,0.5799
V60max,SUS-RPS,30003,2391.9407,39.7647,38.0842,0.6256,0.3725,1.6243,0.6887
V60max,SUS+CQI-Feasible,30003,1797.8944,36.452,36.1569,0.5974,0.4006,2.5503,0.6292
V60max,SUS+CQI@m=3,30003,1907.8838,38.7355,35.8488,0.5888,0.4086,2.9806,0.6737
V60max,SUS-RPS,30004,4893.8847,73.8431,72.9757,0.647,0.3513,2.5352,0.6974
V60max,SUS+CQI-Feasible,30004,5163.6752,75.5243,74.2929,0.6539,0.3443,3.4142,0.7019
V60max,SUS+CQI@m=3,30004,4968.0329,76.342,72.8572,0.6393,0.3587,2.981,0.7026
V60max,SUS-RPS,30005,5139.6806,71.5137,70.2738,0.6656,0.3317,2.4062,0.7261
V60max,SUS+CQI-Feasible,30005,5139.974,71.3779,70.5856,0.6668,0.3302,3.3387,0.7219
V60max,SUS+CQI@m=3,30005,4821.7546,72.1248,68.478,0.6454,0.3513,2.9966,0.7275
V60max,SUS-RPS,30006,2563.8304,85.8753,85.3408,0.5368,0.457,2.7842,0.6903
V60max,SUS+CQI-Feasible,30006,4828.0548,99.1843,95.9299,0.5886,0.4069,3.8696,0.6729
