world,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth,jain
CSI02,PPO,30000,3243.9939,51.0669,49.28,0.6346,0.3583,2.293,0.6897
CSI02,PPO,30001,2985.5507,78.3967,76.3482,0.5602,0.4334,2.5843,0.6022
CSI02,PPO,30002,952.5712,103.9657,101.1564,0.494,0.5011,3.7782,0.5473
CSI02,PPO,30003,1937.6538,37.6232,36.1541,0.5968,0.3969,1.8733,0.6519
CSI02,PPO,30004,3316.0679,68.9746,66.1715,0.5826,0.4093,3.2022,0.654
CSI02,PPO,30005,4230.5566,68.4568,66.3937,0.6268,0.3648,2.8401,0.6925
CSI02,PPO,30006,3460.0625,92.7009,90.3513,0.5569,0.4377,3.614,0.6122
CSI02,PPO,30007,4212.4996,56.834,55.6654,0.6751,0.3187,2.686,0.7111
CSI02,PPO,30008,5125.8404,82.8486,80.3686,0.6282,0.3688,3.3191,0.6941
CSI02,PPO,30009,5333.7642,47.4287,45.7875,0.8506,0.1385,2.5294,0.917
CSI02,PPO,30010,2660.1871,52.3754,50.6442,0.5943,0.3994,2.4303,0.6641
CSI02,PPO,30011,1660.2698,110.2543,107.5062,0.5057,0.4886,2.8942,0.5445
CSI02,PPO,30012,2818.0648,38.3201,36.7036,0.6691,0.3234,1.9546,0.7336
CSI02,PPO,30013,4339.3382,76.9325,75.3878,0.6125,0.3818,2.6755,0.6525
CSI02,PPO,30014,-2748.3926,50.2905,48.2012,0.3874,0.6026,2.0211,0.4353
CSI02,PPO,30015,4351.6288,93.9914,92.2433,0.5831,0.4121,2.8805,0.619
CSI02,PPO,30016,5225.5569,105.8065,103.7955,0.5917,0.4049,3.4494,0.6357
CSI02,PPO,30017,2976.8799,86.5053,84.8453,0.5522,0.4442,2.9606,0.5859
CSI02,PPO,30018,3667.4448,65.1477,63.7103,0.6127,0.384,2.7975,0.6614
CSI02,PPO,30019,4550.362,74.2418,72.5332,0.6257,0.3671,3.1326,0.66
CSI02,PPO,30020,4621.6395,80.2905,78.7814,0.6179,0.3784,2.724,0.6569
CSI02,PPO,30021,3640.6674,43.6652,42.2213,0.7087,0.2838,2.2842,0.7676
CSI02,PPO,30022,4604.0134,63.8634,62.2894,0.6632,0.3318,2.7805,0.7098
CSI02,PPO,30023,2933.4617,112.5079,109.3185,0.5309,0.465,3.3261,0.5912
CSI02,PPO,30024,2327.4912,74.4119,72.2523,0.5436,0.4522,2.6454,0.6035
CSI02,PPO,30025,7882.6882,95.1441,91.8134,0.7031,0.2879,3.5208,0.7833
CSI02,PPO,30026,4499.142,66.137,63.2055,0.6464,0.3409,2.8245,0.7299
CSI02,PPO,30027,5964.6882,91.8133,89.693,0.6377,0.3569,2.91,0.6821
CSI02,PPO,30028,7152.3686,73.1785,70.1883,0.7649,0.2191,3.2993,0.8842
CSI02,PPO,30029,3657.1902,63.0216,60.3754,0.6126,0.3787,2.7104,0.6898
CSI02,PPO,30030,3011.7044,103.9607,101.5915,0.5386,0.456,3.0798,0.5827
CSI02,PPO,30031,1632.7739,60.0342,57.2743,0.5306,0.4597,2.6068,0.5999
CSI02,PPO,30032,3965.5426,85.9406,82.2879,0.5792,0.4123,3.5249,0.6476
CSI02,PPO,30033,6188.8995,59.7751,57.7138,0.7992,0.1894,2.7904,0.8701
CSI02,PPO,30034,4386.8356,110.3744,107.728,0.565,0.4314,3.2108,0.6095
CSI02,PPO,30035,4410.775,51.4169,50.1343,0.7195,0.2752,2.3515,0.7566
CSI02,PPO,30036,2464.8675,37.4705,35.8256,0.6435,0.3492,2.0707,0.7062
CSI02,PPO,30037,3076.8686,71.7174,69.7268,0.5733,0.421,2.6187,0.6125
CSI02,PPO,30038,747.7232,102.2235,99.105,0.4898,0.505,3.6011,0.548
CSI02,PPO,30039,2976.2725,37.6749,36.1267,0.6898,0.3003,1.9568,0.7694
CSI02,PPO,30040,3874.5428,88.4851,86.214,0.5745,0.422,2.9943,0.6296
CSI02,PPO,30041,4033.3328,82.2555,80.3092,0.5903,0.4049,2.7807,0.6239
CSI02,PPO,30042,4790.4913,74.3896,71.9764,0.6363,0.3571,2.6849,0.7105
CSI02,PPO,30043,3612.8974,111.339,108.8114,0.5446,0.4505,3.1529,0.5969
CSI02,PPO,30044,5535.3995,104.5943,101.5286,0.5991,0.3955,3.2243,0.6608
