train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
4024,849,21034,PPO,5844.0725,67.3351,65.9615,16.9078,0.7207,0.2765,0.0,2.6157,0.7775
4024,849,21034,SUS+CQI,5410.8316,68.6345,64.0784,11.3213,0.6906,0.3065,0.0,3.9804,0.7812
4024,849,21035,PPO,1950.7836,71.3414,69.8237,11.9601,0.5364,0.4616,0.0,2.8325,0.5831
4024,849,21035,SUS+CQI,1194.0609,71.0874,66.2632,9.0396,0.5057,0.4916,0.0001,3.9066,0.5913
4024,849,21036,PPO,4144.1524,62.9942,61.4097,21.7132,0.6435,0.353,0.0005,2.4042,0.6857
4024,849,21036,SUS+CQI,3518.6059,63.1446,58.6553,12.8231,0.6086,0.3875,0.0003,3.9602,0.6876
4024,849,21037,PPO,5355.9748,109.6729,105.661,13.1034,0.5874,0.4084,0.0,3.5685,0.6781
4024,849,21037,SUS+CQI,5163.4488,113.2537,104.8322,12.7346,0.575,0.4209,0.0,3.9989,0.6947
4024,849,21038,PPO,6802.6153,89.4009,87.2087,12.0101,0.6789,0.3191,0.0002,3.2146,0.7482
4024,849,21038,SUS+CQI,6200.9331,91.2768,84.0766,10.1351,0.6477,0.3504,0.0,3.9968,0.7739
4024,849,21039,PPO,5467.47,73.7038,72.278,12.6403,0.673,0.3243,0.0001,2.5771,0.7007
4024,849,21039,SUS+CQI,5118.633,74.0506,70.7448,9.368,0.6547,0.3426,0.0003,3.8695,0.7037
4024,849,21040,PPO,4555.2655,71.1831,69.5117,14.7266,0.6364,0.3597,0.0,2.5818,0.6963
4024,849,21040,SUS+CQI,4012.6278,72.5987,67.1193,9.691,0.6055,0.3906,0.0,3.9767,0.7062
4024,849,21041,PPO,4571.1758,63.2917,61.7903,14.848,0.6644,0.3331,0.0,2.4429,0.7226
4024,849,21041,SUS+CQI,3732.2431,63.3865,58.2219,10.2116,0.6172,0.3798,0.0002,3.9688,0.7201
4024,849,21042,PPO,5111.6798,110.0602,107.5821,15.035,0.5844,0.4132,0.0,2.9336,0.6343
4024,849,21042,SUS+CQI,4255.1784,111.0703,103.6302,13.6586,0.5574,0.4401,0.0,3.9908,0.6462
4024,849,21043,PPO,3604.3898,89.6711,86.8465,14.0476,0.566,0.4311,0.0,3.0442,0.6339
4024,849,21043,SUS+CQI,3049.6775,92.1435,84.166,12.4471,0.5407,0.4562,0.0,3.9941,0.6623
4024,849,21044,PPO,5344.3319,91.6269,89.7011,14.2021,0.6197,0.3776,0.0,2.9053,0.659
4024,849,21044,SUS+CQI,4793.399,93.4997,86.9867,12.4289,0.5945,0.4026,0.0,3.9978,0.6782
4024,849,21045,PPO,4700.6612,120.7998,118.5006,14.2274,0.5632,0.4324,0.0001,3.1245,0.602
4024,849,21045,SUS+CQI,4277.2462,122.4611,116.2468,13.4556,0.5488,0.4467,0.0,3.962,0.618
4024,849,21046,PPO,4335.8928,71.3895,70.1724,15.0154,0.6281,0.3702,0.0003,2.6137,0.6683
4024,849,21046,SUS+CQI,3981.9173,72.4339,68.5409,11.1347,0.6076,0.3905,0.0,3.9477,0.6764
4024,849,21047,PPO,4180.5032,46.812,45.6063,14.176,0.7345,0.2628,0.0005,2.2101,0.7775
4024,849,21047,SUS+CQI,3792.3982,46.5907,43.8532,8.8909,0.7034,0.2941,0.0005,3.6673,0.7759
4024,849,21048,PPO,4581.1162,94.6966,92.9565,12.4731,0.5889,0.4079,0.0,2.8922,0.6459
4024,849,21048,SUS+CQI,4374.4992,96.3296,91.7293,11.2775,0.5774,0.4193,0.0,3.9931,0.6537
4024,849,21049,PPO,5451.1556,89.5015,87.9479,16.0794,0.6261,0.3709,0.0,3.1399,0.6774
4024,849,21049,SUS+CQI,5317.1611,92.4948,87.3577,14.8551,0.6136,0.3834,0.0,3.9986,0.6898
4024,849,21050,PPO,5462.5566,91.4841,89.4148,15.3359,0.6219,0.3746,0.0,3.1175,0.6963
4024,849,21050,SUS+CQI,4857.2828,93.5937,86.1911,13.2662,0.5932,0.403,0.0,3.9806,0.7103
4024,849,21051,PPO,3648.8801,78.6473,77.2265,9.6503,0.5855,0.4125,0.0,2.5479,0.6097
4024,849,21051,SUS+CQI,3201.7318,78.7191,75.2159,7.296,0.5668,0.4311,0.0,3.9764,0.6174
4024,849,21052,PPO,1739.8784,45.0975,43.8533,8.6745,0.5641,0.4321,0.001,2.0319,0.6058
4024,849,21052,SUS+CQI,1412.3216,44.7083,42.5855,4.068,0.544,0.4526,0.0006,3.7799,0.6003
4024,849,21053,PPO,3657.7306,92.5576,91.2098,13.9429,0.5663,0.4307,0.0,2.7904,0.5977
4024,849,21053,SUS+CQI,3321.5999,94.4469,89.3213,12.026,0.5505,0.4467,0.0,3.9976,0.62
4024,849,21054,PPO,3818.667,49.4253,48.0227,16.6445,0.6866,0.3109,0.0011,2.3444,0.7343
4024,849,21054,SUS+CQI,3629.874,49.4928,47.2054,11.5785,0.6723,0.3248,0.0016,3.3741,0.7314
