train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
5024,389,21000,PPO,7252.2226,104.6048,102.6036,14.114,0.6556,0.3422,0.0,3.0718,0.6997
5024,389,21000,SUS+CQI,6606.7553,106.8282,99.0204,12.6729,0.627,0.3705,0.0,3.9955,0.7329
5024,389,21001,PPO,6763.6099,78.4069,76.6505,19.0769,0.7188,0.2787,0.0,3.0236,0.7905
5024,389,21001,SUS+CQI,5916.862,77.6967,72.2664,17.2052,0.6768,0.3203,0.0,3.9554,0.806
5024,389,21002,PPO,3289.91,82.5163,81.2654,9.9568,0.5671,0.4297,0.0002,2.4593,0.5863
5024,389,21002,SUS+CQI,2425.0399,81.4583,77.2524,7.9603,0.5373,0.4596,0.0001,3.9857,0.5874
5024,389,21003,PPO,4407.1449,64.8536,63.4747,11.8081,0.6507,0.3471,0.0,2.4408,0.7005
5024,389,21003,SUS+CQI,3784.9448,65.9463,60.3124,7.8036,0.6121,0.385,0.0,3.9954,0.7185
5024,389,21004,PPO,2865.6724,82.7591,81.2348,11.7846,0.5542,0.4427,0.0001,2.6446,0.5903
5024,389,21004,SUS+CQI,2106.4145,82.6854,77.5864,9.4394,0.5261,0.4704,0.0001,3.9813,0.5967
5024,389,21005,PPO,3631.4223,37.815,36.3769,18.2108,0.7636,0.2344,0.0007,1.9002,0.8461
5024,389,21005,SUS+CQI,2922.275,36.8775,33.1865,10.4332,0.693,0.3037,0.0016,3.591,0.832
5024,389,21006,PPO,4593.7639,83.2276,81.68,11.1579,0.6113,0.3866,0.0,2.6815,0.6333
5024,389,21006,SUS+CQI,4198.7182,83.1206,79.759,8.7234,0.5949,0.4028,0.0,3.9469,0.6401
5024,389,21007,PPO,6710.9036,76.9987,75.5562,13.1635,0.7262,0.2712,0.0,2.7169,0.7554
5024,389,21007,SUS+CQI,6164.1591,76.4185,73.0344,10.4083,0.699,0.2984,0.0,3.8564,0.7603
5024,389,21008,PPO,5322.4234,88.1844,86.2198,12.1133,0.6244,0.3715,0.0,3.0028,0.6804
5024,389,21008,SUS+CQI,5011.0768,91.1432,84.0916,10.3311,0.6037,0.3923,0.0,3.9877,0.7052
5024,389,21009,PPO,3780.2225,39.3671,37.7803,13.9946,0.7645,0.2317,0.0016,2.0411,0.8582
5024,389,21009,SUS+CQI,3062.2178,38.1842,34.6212,7.9897,0.6969,0.2999,0.0003,3.676,0.8437
5024,389,21010,PPO,3844.8592,71.1,69.4133,14.8105,0.6066,0.3913,0.0001,2.4418,0.6514
5024,389,21010,SUS+CQI,3172.3549,71.8905,65.9756,11.0609,0.5723,0.4253,0.0003,3.9921,0.6708
5024,389,21011,PPO,4921.3528,99.4412,97.7778,12.2809,0.5932,0.4033,0.0001,3.0583,0.6288
5024,389,21011,SUS+CQI,4136.5393,99.3749,93.6162,11.6836,0.5668,0.4294,0.0,3.947,0.6494
