train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
2024,539,21000,PPO,7449.1027,106.0443,103.0174,13.3456,0.658,0.3395,0.0001,3.4311,0.7129
2024,539,21000,SUS+CQI,6606.7553,106.8282,99.0204,12.6729,0.627,0.3705,0.0,3.9955,0.7329
2024,539,21001,PPO,6824.2141,79.0533,76.6201,18.4386,0.7192,0.2782,0.0,3.2468,0.7942
2024,539,21001,SUS+CQI,5916.862,77.6967,72.2664,17.2052,0.6768,0.3203,0.0,3.9554,0.806
2024,539,21002,PPO,3375.314,83.2635,81.4446,9.3273,0.568,0.4289,0.0002,2.7376,0.5904
2024,539,21002,SUS+CQI,2425.0399,81.4583,77.2524,7.9603,0.5373,0.4596,0.0001,3.9857,0.5874
2024,539,21003,PPO,4601.8686,65.894,64.062,11.1068,0.6571,0.3408,0.0,2.634,0.7119
2024,539,21003,SUS+CQI,3784.9448,65.9463,60.3124,7.8036,0.6121,0.385,0.0,3.9954,0.7185
2024,539,21004,PPO,3024.2351,83.6708,81.6451,11.2757,0.5574,0.4396,0.0001,2.7979,0.5983
2024,539,21004,SUS+CQI,2106.4145,82.6854,77.5864,9.4394,0.5261,0.4704,0.0001,3.9813,0.5967
2024,539,21005,PPO,3734.9903,38.1919,36.7875,18.1555,0.7722,0.2262,0.0,1.9378,0.8504
2024,539,21005,SUS+CQI,2922.275,36.8775,33.1865,10.4332,0.693,0.3037,0.0016,3.591,0.832
2024,539,21006,PPO,4684.0907,83.5227,81.9472,10.8414,0.6139,0.3837,0.0,2.7996,0.6364
2024,539,21006,SUS+CQI,4198.7182,83.1206,79.759,8.7234,0.5949,0.4028,0.0,3.9469,0.6401
2024,539,21007,PPO,6798.0522,77.4032,75.7856,12.7853,0.7289,0.2682,0.0002,2.8057,0.7608
2024,539,21007,SUS+CQI,6164.1591,76.4185,73.0344,10.4083,0.699,0.2984,0.0,3.8564,0.7603
2024,539,21008,PPO,5710.6884,90.1877,87.6359,11.2119,0.6334,0.3626,0.0,3.3702,0.6839
2024,539,21008,SUS+CQI,5011.0768,91.1432,84.0916,10.3311,0.6037,0.3923,0.0,3.9877,0.7052
2024,539,21009,PPO,3847.6772,39.6053,38.1045,13.8572,0.7705,0.2266,0.0013,2.0947,0.8571
2024,539,21009,SUS+CQI,3062.2178,38.1842,34.6212,7.9897,0.6969,0.2999,0.0003,3.676,0.8437
2024,539,21010,PPO,4023.0346,71.8386,69.8892,14.027,0.6123,0.3859,0.0,2.6862,0.6607
2024,539,21010,SUS+CQI,3172.3549,71.8905,65.9756,11.0609,0.5723,0.4253,0.0003,3.9921,0.6708
2024,539,21011,PPO,5062.452,100.1131,98.1814,11.8145,0.5961,0.4005,0.0,3.2798,0.6374
2024,539,21011,SUS+CQI,4136.5393,99.3749,93.6162,11.6836,0.5668,0.4294,0.0,3.947,0.6494
2024,539,21012,PPO,4123.0271,70.3723,67.684,13.004,0.6184,0.379,0.0,2.8958,0.7159
2024,539,21012,SUS+CQI,3263.1933,71.5079,63.2913,11.4407,0.5724,0.4246,0.0,3.9926,0.7414
2024,539,21013,PPO,6110.1348,103.7008,101.5371,14.3107,0.6202,0.3765,0.0001,3.1366,0.6633
2024,539,21013,SUS+CQI,5444.2624,103.7972,98.2334,13.459,0.5977,0.3992,0.0,3.9797,0.6752
2024,539,21014,PPO,5334.7017,67.7213,65.844,11.28,0.6896,0.308,0.0002,2.8645,0.7621
2024,539,21014,SUS+CQI,4544.4481,67.7104,62.1309,8.6752,0.6454,0.3516,0.0002,3.9648,0.77
2024,539,21015,PPO,5651.5398,58.5809,56.6833,8.649,0.7652,0.2314,0.0004,2.6394,0.8529
2024,539,21015,SUS+CQI,5019.4631,58.9619,53.6414,4.9409,0.7174,0.2788,0.0002,3.888,0.8558
2024,539,21016,PPO,6088.7425,74.0393,71.6047,11.5468,0.7021,0.2954,0.0,3.1017,0.7877
2024,539,21016,SUS+CQI,5247.66,75.463,67.9497,9.2791,0.6542,0.3434,0.0,3.992,0.8063
2024,539,21017,PPO,6861.5673,82.773,81.0885,9.6621,0.7068,0.2912,0.0,3.2027,0.7451
2024,539,21017,SUS+CQI,6443.3577,83.0883,79.0803,8.5222,0.6862,0.3118,0.0,3.9687,0.7574
2024,539,21018,PPO,6507.2885,71.3664,69.8151,12.7521,0.7411,0.2566,0.0,2.8794,0.7997
2024,539,21018,SUS+CQI,5637.0049,70.6769,65.9566,9.7795,0.695,0.3027,0.0,3.9429,0.7975
2024,539,21019,PPO,6022.2795,114.4507,109.971,10.5348,0.599,0.3981,0.0,3.8366,0.6851
2024,539,21019,SUS+CQI,5609.8265,116.6051,108.1262,10.5055,0.5827,0.4145,0.0,3.9932,0.7037
2024,539,21020,PPO,8052.4343,105.7757,103.6615,13.0662,0.6796,0.3179,0.0,3.4229,0.7278
2024,539,21020,SUS+CQI,7158.7565,105.2967,99.1069,12.459,0.6485,0.349,0.0,3.9844,0.7456
2024,539,21021,PPO,6102.0314,63.0916,61.8461,13.9214,0.7686,0.2296,0.0,2.7658,0.8133
2024,539,21021,SUS+CQI,5236.4621,61.6162,57.8766,10.4501,0.7166,0.2811,0.0,3.8815,0.8188
2024,539,21022,PPO,4177.8825,102.7536,100.4386,11.3933,0.566,0.43,0.0,3.5089,0.6085
2024,539,21022,SUS+CQI,3295.876,102.2648,96.0232,11.1364,0.5403,0.4556,0.0001,3.9829,0.6244
2024,539,21023,PPO,1995.2302,102.7651,98.0079,15.8918,0.5137,0.4818,0.0,3.6526,0.5892
2024,539,21023,SUS+CQI,1132.3354,104.7893,93.2366,15.4419,0.4849,0.5106,0.0,3.9951,0.6289
2024,539,21024,PPO,5445.9377,85.9813,84.4099,16.3834,0.6364,0.3609,0.0001,2.7969,0.6675
2024,539,21024,SUS+CQI,4667.3847,85.9366,80.7132,14.4021,0.6047,0.3927,0.0001,3.9875,0.6771
2024,539,21025,PPO,4231.0898,69.7386,68.0987,12.7215,0.6266,0.3701,0.0003,2.7058,0.6666
2024,539,21025,SUS+CQI,3326.0135,68.5919,63.9798,9.9875,0.5858,0.4109,0.0001,3.97,0.6667
2024,539,21026,PPO,5362.748,62.9505,61.3906,9.8071,0.7151,0.2836,0.0,2.8245,0.7787
2024,539,21026,SUS+CQI,4291.9948,61.3159,56.5601,7.6118,0.6561,0.3427,0.0,3.9037,0.778
2024,539,21027,PPO,1369.3379,28.251,27.3982,10.4623,0.5897,0.4051,0.0028,1.8351,0.6226
