train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
2024,739,21000,PPO,7405.6742,105.5833,103.4985,13.723,0.6586,0.3392,0.0,3.2113,0.7004
2024,739,21000,SUS+CQI,6606.7553,106.8282,99.0204,12.6729,0.627,0.3705,0.0,3.9955,0.7329
2024,739,21001,PPO,6799.2168,78.7338,76.6958,18.497,0.7192,0.2782,0.0,3.0982,0.7871
2024,739,21001,SUS+CQI,5916.862,77.6967,72.2664,17.2052,0.6768,0.3203,0.0,3.9554,0.806
2024,739,21002,PPO,3349.3461,82.9692,81.5962,9.3027,0.5682,0.4286,0.0002,2.6245,0.589
2024,739,21002,SUS+CQI,2425.0399,81.4583,77.2524,7.9603,0.5373,0.4596,0.0001,3.9857,0.5874
2024,739,21003,PPO,4643.2154,66.0381,64.3896,11.2581,0.6589,0.3389,0.0,2.4866,0.7035
2024,739,21003,SUS+CQI,3784.9448,65.9463,60.3124,7.8036,0.6121,0.385,0.0,3.9954,0.7185
2024,739,21004,PPO,3041.5659,83.585,81.8935,11.5016,0.5587,0.4385,0.0,2.7606,0.5961
2024,739,21004,SUS+CQI,2106.4145,82.6854,77.5864,9.4394,0.5261,0.4704,0.0001,3.9813,0.5967
2024,739,21005,PPO,3707.2437,38.066,36.677,18.3796,0.7702,0.2275,0.0007,1.8878,0.8458
2024,739,21005,SUS+CQI,2922.275,36.8775,33.1865,10.4332,0.693,0.3037,0.0016,3.591,0.832
2024,739,21006,PPO,4650.6508,83.3991,81.8969,10.855,0.6133,0.3845,0.0,2.7323,0.6349
2024,739,21006,SUS+CQI,4198.7182,83.1206,79.759,8.7234,0.5949,0.4028,0.0,3.9469,0.6401
2024,739,21007,PPO,6780.5901,77.3427,75.8347,12.9438,0.7286,0.2686,0.0002,2.7488,0.7593
2024,739,21007,SUS+CQI,6164.1591,76.4185,73.0344,10.4083,0.699,0.2984,0.0,3.8564,0.7603
2024,739,21008,PPO,5626.9303,89.7059,87.7386,11.3358,0.6322,0.3636,0.0,3.1831,0.6734
2024,739,21008,SUS+CQI,5011.0768,91.1432,84.0916,10.3311,0.6037,0.3923,0.0,3.9877,0.7052
2024,739,21009,PPO,3895.6091,39.6409,38.3458,14.153,0.7753,0.2219,0.0009,2.0144,0.8572
2024,739,21009,SUS+CQI,3062.2178,38.1842,34.6212,7.9897,0.6969,0.2999,0.0003,3.676,0.8437
2024,739,21010,PPO,4055.1111,72.0006,70.3082,14.2059,0.6137,0.3843,0.0001,2.464,0.6521
