train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
2024,409,20034,PPO,5244.9382,119.0435,116.7092,13.9353,0.5769,0.4196,0.0,3.0598,0.6182
2024,409,20034,SUS+CQI,4463.8093,118.7482,112.6438,13.1141,0.5565,0.4398,0.0,3.9992,0.6358
2024,409,20035,PPO,4038.9641,95.43,94.0619,7.9076,0.5717,0.4249,0.0,3.0836,0.6068
2024,409,20035,SUS+CQI,3753.3935,96.4376,92.6204,7.2457,0.5612,0.4356,0.0,3.9944,0.6226
2024,409,20036,PPO,5738.8769,84.6723,83.4626,11.8186,0.6516,0.3467,0.0002,2.634,0.6797
2024,409,20036,SUS+CQI,4899.3881,83.3628,79.4327,9.4658,0.6193,0.3788,0.0001,3.9635,0.6906
2024,409,20037,PPO,5817.141,75.0356,73.8079,12.6833,0.6876,0.3098,0.0004,2.6402,0.7136
2024,409,20037,SUS+CQI,5340.5181,74.3975,71.5732,9.4936,0.6651,0.3322,0.0001,3.9762,0.717
2024,409,20038,PPO,6280.2705,96.3218,93.7002,11.4291,0.6391,0.358,0.0,3.1525,0.7006
2024,409,20038,SUS+CQI,5657.1002,97.8855,90.667,10.1358,0.6125,0.3843,0.0001,3.9849,0.7225
2024,409,20039,PPO,5763.1121,74.2979,72.6375,10.8644,0.6849,0.3128,0.0,2.8295,0.7408
2024,409,20039,SUS+CQI,5051.7192,73.7063,69.3426,8.4684,0.6507,0.3464,0.0,3.8767,0.7454
2024,409,20040,PPO,3846.5236,51.061,50.0233,10.3873,0.6775,0.3188,0.0,2.1945,0.7045
2024,409,20040,SUS+CQI,3328.1254,49.983,47.4859,5.8201,0.6439,0.351,0.0004,3.808,0.7047
2024,409,20041,PPO,4775.8074,114.885,112.685,13.8092,0.5688,0.4272,0.0,2.8797,0.6043
2024,409,20041,SUS+CQI,3876.0705,113.5225,108.5984,12.5088,0.5472,0.4488,0.0002,3.998,0.6096
2024,409,20042,PPO,1421.3615,31.0569,29.6432,14.0699,0.5814,0.4149,0.0009,1.731,0.6376
2024,409,20042,SUS+CQI,955.7078,30.2236,27.6988,8.7521,0.5392,0.4565,0.0006,3.2604,0.6254
2024,409,20043,PPO,8460.4218,98.9102,96.7329,13.8099,0.7164,0.2817,0.0,3.1665,0.7756
2024,409,20043,SUS+CQI,7912.3621,99.339,93.9411,12.5302,0.6933,0.3045,0.0,3.9544,0.7854
2024,409,20044,PPO,4864.3542,83.2402,81.8933,9.4925,0.6197,0.3772,0.0001,2.7486,0.6528
2024,409,20044,SUS+CQI,4183.4061,82.7201,78.5089,7.6331,0.5926,0.4039,0.0,3.9807,0.6624
2024,409,20045,PPO,4162.3715,98.4819,94.7034,11.5418,0.5689,0.4285,0.0,3.1821,0.6478
2024,409,20045,SUS+CQI,3524.4571,100.6859,91.3483,10.6377,0.5433,0.454,0.0,3.9918,0.6801
2024,409,20046,PPO,5726.6073,64.892,63.4478,17.0554,0.7294,0.2684,0.0,2.5224,0.7833
2024,409,20046,SUS+CQI,4930.8211,64.1258,59.9428,11.7982,0.6837,0.3136,0.0,3.9402,0.776
2024,409,20047,PPO,5641.6679,61.6606,60.1961,10.7828,0.7439,0.2543,0.0002,2.5944,0.801
2024,409,20047,SUS+CQI,5058.0755,61.536,57.3791,6.9629,0.7049,0.2931,0.0002,3.806,0.811
2024,409,20048,PPO,2319.9811,92.7135,90.0089,9.9372,0.5282,0.4679,0.0,2.9476,0.5929
2024,409,20048,SUS+CQI,1596.9272,93.7256,86.2537,8.6303,0.5027,0.4931,0.0,3.9927,0.6181
2024,409,20049,PPO,6397.7583,71.6008,70.1941,11.3156,0.7345,0.2635,0.0002,2.7319,0.7836
2024,409,20049,SUS+CQI,5962.9398,72.3508,68.0391,8.2451,0.7066,0.291,0.0,3.9383,0.7962
2024,409,20050,PPO,6054.4833,93.6923,91.8813,11.0287,0.6381,0.3585,0.0,3.0611,0.6739
2024,409,20050,SUS+CQI,5349.4526,93.747,88.2743,9.4668,0.6114,0.3849,0.0,3.9844,0.6924
2024,409,20051,PPO,8795.8448,102.9873,101.2221,16.5174,0.7169,0.2811,0.0,3.0249,0.7624
2024,409,20051,SUS+CQI,7763.217,101.4371,96.3002,14.8926,0.6815,0.316,0.0,3.9573,0.7711
2024,409,20052,PPO,4171.8979,112.0521,109.7647,17.1404,0.5591,0.4375,0.0,2.7938,0.5943
2024,409,20052,SUS+CQI,3235.6529,111.519,105.3171,15.4428,0.5342,0.4622,0.0,3.9973,0.602
2024,409,20053,PPO,7479.3658,72.5767,71.496,18.6103,0.8022,0.1957,0.0007,2.7226,0.8324
2024,409,20053,SUS+CQI,6729.3522,70.8469,67.8586,15.0831,0.7632,0.2343,0.0007,3.754,0.8343
2024,409,20054,PPO,4416.3228,93.8493,91.9729,21.5658,0.5864,0.4108,0.0,2.6201,0.6216
2024,409,20054,SUS+CQI,3538.3849,93.8325,87.8493,18.3202,0.5562,0.4408,0.0,3.9955,0.632
2024,409,20055,PPO,4743.8594,106.3459,104.1856,12.8004,0.5776,0.4185,0.0,3.3257,0.6188
2024,409,20055,SUS+CQI,4487.5973,107.9207,102.8394,11.7382,0.567,0.429,0.0,3.9973,0.628
2024,409,20056,PPO,7054.9979,103.3166,100.2969,18.7543,0.6496,0.3478,0.0,3.3329,0.7221
2024,409,20056,SUS+CQI,6254.0592,103.3505,96.4408,16.9889,0.6223,0.3754,0.0,3.9719,0.741
2024,409,20057,PPO,4907.8159,92.4396,91.155,12.8043,0.6033,0.3935,0.0,2.7515,0.6182
2024,409,20057,SUS+CQI,4379.5169,92.3998,88.5178,11.0595,0.5846,0.412,0.0001,3.995,0.6286
2024,409,20058,PPO,3458.6596,83.9272,82.1465,14.293,0.5693,0.4278,0.0,2.904,0.6103
2024,409,20058,SUS+CQI,2844.6376,84.5846,78.7836,12.4264,0.5446,0.4522,0.0,3.9964,0.6335
2024,409,20059,PPO,3143.3557,88.202,85.9702,12.7361,0.5542,0.4436,0.0,2.9118,0.598
2024,409,20059,SUS+CQI,2307.1088,88.1983,81.5267,11.2586,0.525,0.4729,0.0,3.9981,0.6258
2024,409,20060,PPO,6891.9975,98.7939,97.1467,13.8933,0.6563,0.3407,0.0,2.871,0.7023
2024,409,20060,SUS+CQI,5914.616,97.4646,92.5769,12.5267,0.6245,0.3724,0.0,3.9807,0.7074
2024,409,20061,PPO,6088.0019,98.3602,96.4681,10.8078,0.6295,0.3683,0.0,3.1117,0.6841
2024,409,20061,SUS+CQI,5729.8113,99.7862,94.4892,9.7401,0.6137,0.3843,0.0,3.9741,0.6996
2024,409,20062,PPO,2840.0173,66.2461,64.6265,13.9354,0.574,0.4225,0.0001,2.3302,0.6138
2024,409,20062,SUS+CQI,1997.4967,65.1797,60.8633,10.2576,0.5371,0.4593,0.0001,3.9741,0.6131
2024,409,20063,PPO,8203.7538,97.1428,95.4613,11.8935,0.7121,0.2854,0.0,3.0376,0.7484
2024,409,20063,SUS+CQI,7492.4592,96.5437,92.0095,10.8431,0.6847,0.3127,0.0,3.9203,0.7668
2024,409,20064,PPO,5140.2465,105.0857,102.887,10.4085,0.5903,0.4062,0.0,3.191,0.6277
2024,409,20064,SUS+CQI,4563.5927,105.5422,99.8398,9.5868,0.5715,0.4249,0.0,3.9869,0.6455
2024,409,20065,PPO,7091.8628,97.7798,94.2348,12.5961,0.6637,0.3335,0.0,3.4323,0.7461
2024,409,20065,SUS+CQI,6428.8853,99.6222,91.0223,11.4363,0.6341,0.3631,0.0,3.9741,0.7661
2024,409,20066,PPO,4756.4087,80.6647,78.7427,9.1583,0.6197,0.3773,0.0,2.8588,0.669
2024,409,20066,SUS+CQI,3672.9763,80.3386,73.5383,6.8929,0.5755,0.4216,0.0,3.9966,0.6912
