train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
4024,849,20000,PPO,4597.2745,48.4481,47.2032,16.4373,0.7614,0.2358,0.0008,2.2978,0.8088
4024,849,20000,SUS+CQI,4222.354,48.0842,45.6189,10.4067,0.7311,0.265,0.0013,3.5441,0.8021
4024,849,20001,PPO,1871.2527,34.9687,33.309,17.0618,0.6014,0.394,0.0003,1.7084,0.7083
4024,849,20001,SUS+CQI,1070.726,35.2394,30.3742,7.1965,0.5277,0.4679,0.0,3.9658,0.6841
4024,849,20002,PPO,-324.8667,53.2379,51.3688,14.4261,0.466,0.5305,0.0,1.9452,0.5088
4024,849,20002,SUS+CQI,-1034.5948,52.4587,48.4264,7.2648,0.4343,0.5617,0.0001,3.9707,0.501
4024,849,20003,PPO,5811.0642,71.3703,69.7395,10.6588,0.6987,0.2984,0.0,2.8583,0.7662
4024,849,20003,SUS+CQI,5340.7185,74.0368,67.4111,7.8097,0.6631,0.3333,0.0,3.9855,0.7908
4024,849,20004,PPO,2555.5393,32.7642,31.4225,10.1411,0.6844,0.3109,0.0017,1.7163,0.7773
4024,849,20004,SUS+CQI,1800.7306,32.2385,28.3655,3.3627,0.6039,0.3907,0.0027,3.7325,0.7582
4024,849,20005,PPO,3183.7194,100.6908,98.0486,12.8965,0.5446,0.4526,0.0,3.0249,0.5957
4024,849,20005,SUS+CQI,2740.725,103.2488,95.6047,11.9251,0.5253,0.4718,0.0,3.9997,0.618
4024,849,20006,PPO,2965.0225,100.3624,98.3096,9.8462,0.5403,0.4568,0.0,3.2644,0.5959
4024,849,20006,SUS+CQI,2747.53,103.1044,96.8883,9.2021,0.5283,0.4691,0.0,3.994,0.6146
4024,849,20007,PPO,2729.312,101.4445,99.4382,10.0299,0.5337,0.4623,0.0,3.0841,0.5674
4024,849,20007,SUS+CQI,2495.4018,103.4066,97.8472,9.2194,0.5229,0.4733,0.0,3.9862,0.5927
4024,849,20008,PPO,4842.4316,104.4291,102.1214,13.7607,0.5828,0.4132,0.0,3.2273,0.6254
4024,849,20008,SUS+CQI,4392.295,106.7231,99.5915,13.02,0.5643,0.4319,0.0,3.9982,0.6557
4024,849,20009,PPO,5157.6731,62.874,61.5563,12.0743,0.7038,0.2937,0.0005,2.4933,0.7502
4024,849,20009,SUS+CQI,4572.0635,62.4164,59.0097,8.2568,0.67,0.3276,0.0002,3.8965,0.7492
4024,849,20010,PPO,11.5609,58.7731,57.0452,12.8891,0.478,0.5184,0.0,2.0639,0.5123
4024,849,20010,SUS+CQI,-496.0565,59.2009,54.938,8.4326,0.4541,0.5424,0.0,3.9872,0.5173
