train_seed,best_update,seed,sched,reward,throughput_mbps,goodput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
5024,389,20067,PPO,4828.5647,92.7893,91.1585,10.7476,0.5995,0.3973,0.0,2.9686,0.6354
5024,389,20067,SUS+CQI,4124.7702,93.1285,87.2777,9.8651,0.5723,0.4245,0.0,3.9674,0.6636
5024,389,20068,PPO,2834.4286,53.9818,52.2047,13.3933,0.6015,0.3948,0.0007,2.1104,0.6381
5024,389,20068,SUS+CQI,2400.0152,53.8609,50.3719,8.2776,0.575,0.4219,0.0,3.9357,0.6387
5024,389,20069,PPO,4887.588,84.0432,82.6026,9.9319,0.6185,0.3789,0.0,2.9903,0.6717
5024,389,20069,SUS+CQI,4979.2304,87.2072,82.6389,8.6017,0.6124,0.3847,0.0,3.9863,0.6906
5024,389,20070,PPO,5261.171,95.8209,93.5681,12.9031,0.6064,0.3901,0.0,3.2337,0.6815
5024,389,20070,SUS+CQI,5555.792,100.7745,94.1693,12.2442,0.6035,0.3929,0.0,3.9963,0.7193
5024,389,20071,PPO,4038.3584,59.8551,58.3849,10.2993,0.6481,0.347,0.0005,2.2907,0.6967
5024,389,20071,SUS+CQI,3305.0458,59.4086,54.9046,6.0931,0.6062,0.3887,0.0002,3.9702,0.7034
5024,389,20072,PPO,5460.0865,83.0504,81.5975,10.9027,0.6437,0.3535,0.0,2.796,0.6834
5024,389,20072,SUS+CQI,5122.9943,83.8186,79.6775,8.8464,0.6263,0.3705,0.0,3.9362,0.6962
5024,389,20073,PPO,6698.8466,76.5848,75.5273,10.1686,0.7246,0.2738,0.0,2.7087,0.7744
5024,389,20073,SUS+CQI,6489.2082,78.5664,74.1088,7.5687,0.7062,0.2919,0.0,3.9805,0.7929
5024,389,20074,PPO,4382.2413,108.8564,106.877,17.4475,0.5679,0.429,0.0,2.7578,0.6063
5024,389,20074,SUS+CQI,3672.9112,109.3784,103.0794,15.7919,0.546,0.4508,0.0,3.998,0.6224
5024,389,20075,PPO,7152.7559,109.9226,107.6461,16.9595,0.6408,0.3568,0.0,3.0954,0.7041
5024,389,20075,SUS+CQI,6449.8781,113.2621,103.7766,15.4073,0.6102,0.3871,0.0,3.9932,0.7371
5024,389,20076,PPO,7461.0389,96.8378,95.1232,9.6648,0.6822,0.3157,0.0,3.2162,0.7541
5024,389,20076,SUS+CQI,7723.433,101.221,95.5575,8.7747,0.679,0.3187,0.0,3.9555,0.7859
5024,389,20077,PPO,7458.5713,82.2055,80.7335,14.3221,0.7399,0.2573,0.0001,2.8912,0.7856
