band,world,lhs,rhs,metric,n,lhs_mean,rhs_mean,mean_difference,ci95_low,ci95_high,positive_differences,negative_differences,ties,higher_is_better,notes,source_files
historical_headline_20000_20099,in_distribution,base,SU+CQI,reward,100,4836.39078,1836.7021419999999,2999.688638,2568.6977386386197,3430.6795373613804,97,3,0,True,,"[""evidence/queue_s40hl_cqi4_final100.csv""]"
historical_headline_20000_20099,in_distribution,base,SU+CQI,throughput_mbps,100,83.674228,72.848444,10.825784,9.136012342144548,12.515555657855453,94,6,0,True,,"[""evidence/queue_s40hl_cqi4_final100.csv""]"
historical_headline_20000_20099,in_distribution,base,SU+CQI,goodput_mbps,100,81.758323,70.630566,11.127757,9.513500383353323,12.742013616646679,97,3,0,True,,"[""evidence/queue_s40hl_cqi4_final100.csv""]"
historical_headline_20000_20099,in_distribution,base,SU+CQI,mean_sinr_db,100,13.247647,24.673744,-11.426097,-12.080490199417458,-10.771703800582543,0,100,0,True,,"[""evidence/queue_s40hl_cqi4_final100.csv""]"
historical_headline_20000_20099,in_distribution,base,SU+CQI,completion_rate,100,0.634379,0.557562,0.076817,0.06887627640624695,0.08475772359375304,99,1,0,True,,"[""evidence/queue_s40hl_cqi4_final100.csv""]"
historical_headline_20000_20099,in_distribution,base,SU+CQI,deadline_miss_rate,100,0.362691,0.43931,-0.076619,-0.08450086861116514,-0.06873713138883487,0,99,1,False,,"[""evidence/queue_s40hl_cqi4_final100.csv""]"
historical_headline_20000_20099,in_distribution,base,SU+CQI,retx_drop_rate,100,0.000132,3.4e-05,9.8e-05,5.953907917760123e-05,0.00013646092082239878,35,1,64,False,,"[""evidence/queue_s40hl_cqi4_final100.csv""]"
historical_headline_20000_20099,in_distribution,base,SU+CQI,mu_depth,100,2.782886,1.0,1.782886,1.6980854649820722,1.8676865350179277,100,0,0,,,"[""evidence/queue_s40hl_cqi4_final100.csv""]"
historical_headline_20000_20099,in_distribution,base,SU+CQI,jain,100,0.682222,0.615563,0.066659,0.05820610541863236,0.07511189458136763,95,5,0,True,,"[""evidence/queue_s40hl_cqi4_final100.csv""]"
historical_headline_20000_20099,in_distribution,base,SU+DPF,reward,100,4836.39078,-1271.352156,6107.742936000001,5319.126688957876,6896.359183042126,100,0,0,True,,"[""evidence/queue_s40hl_cqi4_final100.csv""]"
