update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,3201.932057332169,75.5596357478189,0.5609502791120343,0.43463585615993766,0.0003894586524730624,0,17.895281454489677,0.8575429367024466,0.6923065787676524,7703,20,22.801007118915855,3.7705936182675446,2.721360796112011,7.0,27.708,0.0,0.38654096829344864,0.9736323851203501,1.0237110761462183,0.02433817250213493,68.742554,573,597,0.9597989949748744,1220,1257,0.9705648369132857,1879,1942,0.9675592173017508,23025,23624,0.9746444293938368
1,4486.431218289528,74.13742743957435,0.6192614047791456,0.3761042722664736,0.0015930485155684288,0,12.522520804711942,0.8470221528221535,0.720428919256085,6905,22,25.31798011463565,3.736021270064565,2.3655285313376986,5.0,21.761,0.0,0.31590725608456316,0.9523755226149753,1.0435348125478194,0.04514770995136822,68.605304,597,643,0.9284603421461898,1323,1383,0.9566160520607375,2009,2117,0.9489844119036372,21128,22167,0.953128524383092
2,-751.6050361499226,69.09558985107802,0.43376318874560377,0.5624853458382181,0.0007033997655334115,0,14.228334500152766,0.8648336475676387,0.6255534291640473,8530,28,23.209089507495477,3.8518725607518443,3.2513513513513512,8.0,37.674,0.0,0.3063399523001814,0.9668704328274311,1.0302474146754668,0.03117767188563649,58.109386,377,398,0.9472361809045227,821,850,0.9658823529411765,1112,1152,0.9652777777777778,25211,26064,0.9672728667894414
3,-2184.583415057581,87.8316301768857,0.4076243770219463,0.5880912826790242,0.0003497420652268952,0,12.479704032266783,0.8836854612250045,0.6300838604411955,11437,30,23.550160275288928,3.8799647667756725,3.9682539682539684,9.0,54.76,0.00026223776223776224,0.38311641507095484,0.9757393002775588,1.0209609692297101,0.021492757510729613,73.296582,347,364,0.9532967032967034,619,640,0.9671875,971,997,0.9739217652958877,26538,27182,0.9763078507836068
4,5061.392810652293,66.77339396827257,0.6742199755970019,0.3228168032072512,0.0006972285166463308,0,13.702703684367133,0.8620950049712292,0.829335973073423,5737,18,22.905509706736346,3.713810173657715,2.7476732161323683,8.0,17.301,0.0,0.31912176118933583,0.9667249771828414,1.0315038712384148,0.03181148748159057,60.660902,668,719,0.9290681502086231,1452,1509,0.9622266401590457,2373,2439,0.972939729397294,20928,21629,0.9675898099773452
5,4493.380392591108,64.43539336859986,0.6508750220965176,0.34435213010429555,0.00017677214071062401,0,9.082298142320791,0.8508386009206991,0.7816858914664624,5657,20,22.58204635398741,3.7004789646504506,2.4579033134166215,7.0,17.205,0.0,0.2841357358532791,0.9566579028765853,1.0420693134629564,0.04118628359592215,58.66598,666,723,0.921161825726141,1550,1612,0.9615384615384616,2353,2436,0.965927750410509,20174,21093,0.9564310434741383
6,4151.002637527536,62.27691349154813,0.640107430617726,0.35720680393912263,0.0,0,8.522737218171185,0.8597390435326607,0.7803041178450298,5585,16,25.203146340117208,3.705702405546754,2.6674125874125876,7.0,17.756,0.0,0.34766762706575505,0.9718677823634092,1.025606929827894,0.025424354243542436,56.621232,713,760,0.9381578947368421,1547,1594,0.9705144291091593,2207,2267,0.9735333039258932,21201,21790,0.9729692519504359
7,-3165.9625272017265,62.38867667527417,0.37103218645948943,0.6229744728079911,0.0006659267480577136,0,5.1839179449704575,0.8570254622989834,0.5863064547508586,9010,21,21.584996818904756,3.8542518721568433,4.2153754113072095,9.0,44.353,0.00044375416019525185,0.4292821228968472,0.9649780893952673,1.0304953287502203,0.03101433521299001,51.622222,357,392,0.9107142857142857,706,755,0.9350993377483444,1281,1323,0.9682539682539683,25182,26055,0.9664939550949914
8,3274.3107520608855,60.00855667572848,0.598590308370044,0.3970044052863436,0.0003524229074889868,0,7.290613168590853,0.8743970817500154,0.717756422419621,5675,30,24.18342415539555,3.770362292493238,2.67942302031204,6.0,19.291,0.0,0.1910980226633026,0.980916445960164,1.01777664679366,0.01816692195347843,53.901598,586,621,0.9436392914653784,1269,1290,0.9837209302325581,1857,1898,0.9783983140147524,23325,23754,0.9819398838090427
9,5810.288459329233,78.4986713025977,0.6673703256936068,0.3299155609167672,0.0,0,12.49858768808876,0.8723841568437979,0.8513269138776686,6632,25,24.494099188277183,3.8111299401994203,2.7401717126073204,8.0,20.352,0.0,0.26469972660188823,0.9622098254453842,1.0360484016615497,0.035042022643606306,69.60117,405,429,0.9440559440559441,991,1034,0.9584139264990329,1774,1849,0.9594375338020552,23565,24473,0.9628978874678217
10,4496.336828340978,63.675038388171295,0.6567774027358323,0.3394919168591224,0.00017765144785930004,0,9.485692790550885,0.8757309062551323,0.7658101964241943,5629,23,24.088464563475032,3.721230763941855,2.299431971869083,6.0,16.317,0.0,0.24744299819367094,0.9751790334070713,1.022691352449763,0.023326497729603046,59.100606,652,691,0.9435600578871202,1474,1510,0.976158940397351,2534,2598,0.9753656658968437,21349,21872,0.9760881492318947
11,1511.3571969082896,75.84222537014995,0.5038132113105714,0.49278423090461104,0.00035198873636043646,0,11.729045048271642,0.8699708074436692,0.6480983978393993,8523,26,21.59403136328779,3.861659966098308,3.258267349790405,8.0,35.108,0.00011731581417175035,0.33308325562045793,0.9773261440619383,1.0207018517234205,0.021046220477769505,67.6703,366,380,0.9631578947368421,771,787,0.9796696315120712,1209,1240,0.975,25930,26525,0.9775683317624883
12,1718.279181011635,94.22407628212987,0.5034318660199506,0.4930905097464995,9.151642719868216e-05,0,11.699788240754177,0.8698642467533757,0.6191401215018991,10927,23,20.234820602120728,3.8029806932688444,3.3762952190510815,8.0,45.185,0.0005487972194274216,0.4768226927499829,0.9689400521285838,1.028978139298424,0.028589513661778667,86.633692,473,508,0.9311023622047244,1134,1164,0.9742268041237113,1773,1830,0.9688524590163935,23386,24122,0.969488433794876
13,3653.7133381850635,43.97284198242685,0.7096600107933081,0.28737182946573125,0.0005396654074473826,0,11.009664523008562,0.8946380981667,0.7772881823968159,3706,17,20.384559958587285,3.146816982222327,1.6391634980988594,5.0,8.294,0.0,0.22087043934785006,0.9838874268220635,1.014536448799397,0.015180366021368878,41.700092,2122,2210,0.9601809954751132,3866,3906,0.9897593445980543,4444,4499,0.9877750611246944,7887,8004,0.9853823088455772
