update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,2876.7789082565705,73.34553658082734,0.5540433403805497,0.44238900634249473,0.0002642706131078224,0,18.052646369524005,0.8572947410480423,0.6960785854105304,7568,20,22.801007118915855,3.761748597704861,2.8714524207011687,7.0,28.031,0.0025042836430736785,0.38654096829344864,0.9756616864285452,1.0230975762256795,0.023094853864084632,66.498386,648,670,0.9671641791044776,1218,1248,0.9759615384615384,1928,1972,0.9776876267748479,22784,23351,0.9757183846516209
1,4199.154741067088,72.36653021423686,0.6112081513828239,0.38529839883551675,0.001455604075691412,0,12.306368470491728,0.847001840225498,0.7236515318896324,6870,22,25.31798011463565,3.7246639339544667,2.5479876160990713,6.0,22.888,0.0,0.31590725608456316,0.9544792704421795,1.0442450614193846,0.04542794440380395,66.722556,631,675,0.9348148148148148,1400,1457,0.9608785175017158,2114,2209,0.9569941149841558,20765,21757,0.9544054786965115
2,-899.0360210222034,69.5910335052377,0.4298063623789765,0.5662747810050714,0.0006915629322268327,0,14.381143982499129,0.8656850189358689,0.6238915662084686,8676,28,23.209089507495477,3.8589529825737032,3.4674175382139985,8.0,39.367,0.0003456619426201175,0.3063399523001814,0.966320428076802,1.0305107385145347,0.030910015251652264,58.741162,349,366,0.953551912568306,781,799,0.9774718397997497,1143,1177,0.9711129991503823,25357,26251,0.9659441545083997
3,-2279.474945784893,88.27009920197601,0.40587623504940196,0.5884902062749177,8.667013347200555e-05,0,12.525744847348921,0.8835158261964235,0.6294337421918703,11538,30,23.550160275288928,3.8854818747132476,4.108904548366432,9.0,55.012,0.0023346303501945525,0.38311641507095484,0.9744465701011206,1.0224792367355344,0.022898724881500767,73.798704,308,320,0.9625,578,603,0.9585406301824212,1069,1097,0.9744758432087511,26569,27252,0.9749376192573023
4,4870.394940788491,65.77730573685504,0.6664900194311959,0.3303303303303303,0.0010598834128245894,0,13.818907768797553,0.8626381741858411,0.8300067059593583,5661,18,22.905509706736346,3.6799096431630085,2.847071296050888,8.0,17.626,0.0003531696980399082,0.31912176118933583,0.9676247875135219,1.0301937984496123,0.031033579156216073,59.636148,721,758,0.9511873350923483,1722,1779,0.9679595278246206,2528,2614,0.9671002295332823,20075,20733,0.9682631553561954
5,4354.42158796383,63.33325802076828,0.6461483721757695,0.3485144991994307,0.0007116171499733144,0,8.84240007544308,0.8512770213171549,0.7854727573476668,5621,20,22.58204635398741,3.69931639855776,2.5608480176211454,7.0,17.636,0.00017787264318747776,0.2841357358532791,0.9570820433436532,1.041360544217687,0.04111622383850379,57.571314,699,744,0.9395161290322581,1553,1617,0.9604205318491033,2386,2488,0.9590032154340836,20093,20991,0.957219760849888
6,3853.261350030611,61.50807372460478,0.625133120340788,0.37131700390486333,0.0,0,8.236343479100874,0.8597511429366554,0.7842451591843708,5634,16,25.203146340117208,3.7121973202545533,2.8259511641113004,7.0,18.733,0.0014179369018078695,0.34766762706575505,0.9705682589993208,1.027532664268131,0.026913897558288966,55.965156,652,698,0.9340974212034384,1477,1523,0.9697964543663822,2392,2458,0.9731489015459723,21201,21823,0.9714979608669753
7,-3295.5996448895166,62.07503351298862,0.36952890076845973,0.6253480343022608,0.0006682258603407952,0,5.14034974786637,0.8575017542296544,0.5915262139464683,8979,21,21.584996818904756,3.8507481956939933,4.297166968053044,9.0,44.903,0.004876426909010307,0.4292821228968472,0.9651765695067265,1.0305741458259952,0.03145465033422687,51.764164,306,337,0.9080118694362018,821,867,0.9469434832756632,1324,1370,0.9664233576642336,25099,25970,0.9664613015017328
8,2971.5090520184594,59.04817872386236,0.5857093184979137,0.4095966620305981,0.000521557719054242,0,6.9512037828973385,0.8741295528832312,0.7243606669073579,5752,30,24.18342415539555,3.788355847604331,2.745028198278421,7.0,20.44,0.0,0.1910980226633026,0.980275212876801,1.0191158470732233,0.019412344983089063,53.096824,535,565,0.9469026548672567,1103,1123,0.9821905609973286,1908,1955,0.9759590792838875,23738,24190,0.981314592806945
9,6056.911901136121,78.97762814917124,0.6772968868640851,0.3190584662110858,0.00015186028853454822,0,12.669553888881213,0.8731779721486143,0.8476696221189934,6585,25,24.494099188277183,3.79725916372725,2.7237668161434976,7.0,19.73,0.0001518372304889159,0.26469972660188823,0.9657536731362235,1.032323820617356,0.03171982576928481,70.63141,487,511,0.9530332681017613,1092,1127,0.968944099378882,1787,1850,0.965945945945946,23255,24077,0.965859533995099
10,4235.612224902209,62.93107732762517,0.6442680776014109,0.35185185185185186,0.0010582010582010583,0,9.723632222123209,0.876315176620638,0.7639129942436107,5670,23,24.088464563475032,3.696467545627565,2.38543662742951,6.0,16.839,0.00017633574325515782,0.24744299819367094,0.9751751446847395,1.0232638093055237,0.02476699714084141,57.990238,678,731,0.9274965800273598,1661,1704,0.9747652582159625,2560,2624,0.975609756097561,20713,21205,0.9767979250176845
