update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,7.31,133077.1,1,404,0,3.539
9,0,1,29.18,0.0,0,423,0,0.0
9,0,2,26.27,3172927.0,393,0,0,3.988
9,0,3,19.12,3047492.0,384,2,0,3.991
9,0,4,15.72,66394.1,0,438,0,3.63
9,0,5,15.24,3569930.3,434,4,0,3.994
9,0,6,31.03,30658.2,0,387,3,3.576
9,0,7,39.17,3229693.0,408,2,0,3.994
9,0,8,35.65,548757.3,34,364,0,3.635
9,0,9,14.73,3359993.5,415,16,0,3.954
9,0,10,34.02,21091.0,0,394,1,3.661
9,0,11,10.86,2798880.5,344,5,0,3.964
9,0,12,13.55,3176359.0,406,0,0,3.993
9,0,13,19.72,346369.2,12,396,0,3.599
9,0,14,30.6,2890786.7,362,5,0,3.996
9,0,15,28.59,3339819.0,415,2,0,3.915
9,0,16,28.24,0.0,0,391,0,0.0
9,0,17,31.34,3215498.4,377,42,0,3.835
9,0,18,36.47,2791085.6,353,10,0,3.896
9,0,19,5.84,8836.2,0,383,0,3.48
9,0,20,17.27,3644619.0,463,3,0,3.993
9,0,21,22.59,3305271.1,403,9,0,3.945
9,0,22,29.89,63321.9,0,406,2,3.645
9,0,23,15.03,44898.2,0,412,0,3.636
9,0,24,29.93,0.0,0,0,0,0.0
9,0,25,15.88,0.0,0,0,0,0.0
9,0,26,12.33,0.0,0,0,0,0.0
9,0,27,23.22,0.0,0,0,0,0.0
9,0,28,22.59,0.0,0,0,0,0.0
9,0,29,18.02,0.0,0,0,0,0.0
9,0,30,31.52,0.0,0,0,0,0.0
9,0,31,35.22,0.0,0,0,0,0.0
9,1,0,20.0,92742.2,3,325,0,3.923
9,1,1,22.2,2705314.0,341,1,0,4.0
9,1,2,24.66,329340.6,33,325,0,3.964
9,1,3,21.54,2682415.0,337,0,0,4.0
9,1,4,33.76,3968.8,0,327,0,3.968
9,1,5,23.71,2513732.6,310,4,0,3.999
9,1,6,10.08,2265040.2,274,76,0,3.984
9,1,7,5.47,2879225.5,359,8,0,4.0
9,1,8,9.6,2631742.0,330,0,0,4.0
9,1,9,21.73,73135.9,1,314,0,3.906
9,1,10,5.31,2454442.0,314,1,0,4.0
9,1,11,36.07,2856513.1,358,2,0,3.999
9,1,12,20.46,3351.7,0,318,1,3.982
9,1,13,34.32,2714521.7,341,12,0,3.994
9,1,14,8.58,2512416.0,313,0,0,3.999
9,1,15,13.3,2245276.4,274,54,0,3.982
9,1,16,27.7,2787810.1,349,8,0,4.0
9,1,17,12.23,2533464.0,318,1,0,3.996
9,1,18,16.83,1649333.0,195,151,0,3.978
9,1,19,38.02,415048.6,32,312,0,3.955
9,1,20,37.85,2580167.0,321,1,0,3.996
9,1,21,8.07,1598205.0,201,116,0,3.987
9,1,22,27.42,2816896.0,349,2,0,3.999
9,1,23,29.83,777224.8,79,262,0,3.958
9,1,24,36.07,22981.8,0,341,0,3.915
9,1,25,17.54,251312.9,20,307,0,3.967
9,1,26,27.33,2456000.0,320,0,0,3.999
9,1,27,37.84,0.0,0,0,0,0.0
9,1,28,36.11,0.0,0,0,0,0.0
9,1,29,28.09,0.0,0,0,0,0.0
9,1,30,27.63,0.0,0,0,0,0.0
9,1,31,24.51,0.0,0,0,0,0.0
9,2,0,7.74,723.8,0,219,0,3.957
9,2,1,8.87,1807660.7,224,7,0,3.981
9,2,2,26.78,255861.9,22,178,0,3.936
9,2,3,17.07,1904808.2,228,0,1,3.997
9,2,4,20.49,1886503.0,234,1,0,4.0
9,2,5,18.4,166.6,0,194,0,4.0
9,2,6,16.21,1724795.0,218,0,0,4.0
9,2,7,28.9,1718136.5,212,19,0,3.986
9,2,8,15.49,1278610.3,149,87,0,3.969
9,2,9,34.34,448708.6,43,215,0,3.941
9,2,10,38.11,1808349.8,229,7,0,3.99
9,2,11,16.92,175650.9,13,195,0,3.922
9,2,12,10.26,1787542.0,213,0,0,4.0
9,2,13,21.54,1769078.8,218,17,0,3.982
9,2,14,19.74,1841912.1,232,11,0,3.983
9,2,15,32.07,1634933.2,196,44,0,3.973
9,2,16,36.08,1822461.0,225,0,0,3.992
9,2,17,28.98,1673831.6,207,4,0,4.0
9,2,18,8.04,1839151.0,225,0,0,3.997
9,2,19,33.29,1683939.4,202,15,0,3.99
9,2,20,17.79,34232.0,0,238,0,3.867
9,2,21,16.53,1707010.6,206,33,0,3.969
9,2,22,23.07,1903228.0,237,0,0,4.0
9,2,23,23.06,1824515.9,227,2,0,3.999
9,2,24,30.02,563423.0,58,145,0,3.935
9,2,25,18.79,22322.6,0,195,0,3.901
9,2,26,16.66,1510045.6,194,39,0,3.979
9,2,27,27.9,1911880.0,239,0,0,3.997
9,2,28,14.65,976320.8,116,130,1,3.939
9,2,29,36.0,1823025.5,226,2,0,3.993
9,2,30,34.95,0.0,0,0,0,0.0
9,2,31,15.56,0.0,0,0,0,0.0
19,0,0,7.31,138861.1,1,404,0,3.852
19,0,1,29.18,0.0,0,423,0,0.0
19,0,2,26.27,3172927.0,393,0,0,3.997
19,0,3,19.12,3047492.0,384,2,0,4.0
19,0,4,15.72,62192.2,0,438,0,3.889
19,0,5,15.24,3569930.3,434,4,0,3.999
19,0,6,31.03,33967.6,0,388,2,3.862
19,0,7,39.17,3229693.0,408,2,0,4.0
19,0,8,35.65,522227.3,28,370,0,3.879
19,0,9,14.73,3380545.0,418,13,0,3.991
19,0,10,34.02,21932.9,0,394,1,3.894
19,0,11,10.86,2800710.0,344,5,0,3.997
19,0,12,13.55,3176359.0,406,0,0,4.0
19,0,13,19.72,326960.0,9,399,0,3.866
19,0,14,30.6,2897347.9,363,4,0,4.0
19,0,15,28.59,3330837.0,414,3,0,3.986
19,0,16,28.24,0.0,0,391,0,0.0
19,0,17,31.34,3229165.6,380,39,0,3.959
19,0,18,36.47,2786442.4,352,11,0,3.976
19,0,19,5.84,8864.5,0,383,0,3.824
