update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,3201.932057332169,75.5596357478189,0.5609502791120343,0.43463585615993766,0.0003894586524730624,0,17.895281454489677,0.8575429367024466,0.6923065787676524,7703,20,22.801007118915855,3.7705936182675446,2.721360796112011,7.0,27.708,0.0,0.38654096829344864,0.9736323851203501,1.0237110761462183,0.02433817250213493,68.742554,573,597,0.9597989949748744,1220,1257,0.9705648369132857,1879,1942,0.9675592173017508,23025,23624,0.9746444293938368
1,4486.431218289528,74.13742743957435,0.6192614047791456,0.3761042722664736,0.0015930485155684288,0,12.522520804711942,0.8470221528221535,0.720428919256085,6905,22,25.31798011463565,3.736021270064565,2.3655285313376986,5.0,21.761,0.0,0.31590725608456316,0.9523755226149753,1.0435348125478194,0.04514770995136822,68.605304,597,643,0.9284603421461898,1323,1383,0.9566160520607375,2009,2117,0.9489844119036372,21128,22167,0.953128524383092
2,-748.6444931034077,69.10092751011429,0.4338804220398593,0.5623681125439625,0.0007033997655334115,0,14.228300891590902,0.8648336475676387,0.625555204548028,8530,28,23.209089507495477,3.8518743114213256,3.252634423128884,8.0,37.674,0.0,0.3063399523001814,0.9669055649241147,1.0302463471447731,0.03117767188563649,58.12959,377,398,0.9472361809045227,821,850,0.9658823529411765,1112,1152,0.9652777777777778,25212,26064,0.9673112338858195
3,-2164.7626879389827,87.76553831279665,0.40823642563609336,0.587216927515957,0.00043717758153361897,0,12.496534841386053,0.8836854612250045,0.630323663097167,11437,30,23.550160275288928,3.878241041418255,3.9567359177554082,9.0,54.681,0.00026223776223776224,0.38311641507095484,0.9749133463742751,1.021954918315296,0.02270592970217333,73.2456,338,357,0.9467787114845938,617,640,0.9640625,1020,1052,0.9695817490494296,26433,27090,0.9757475083056478
4,5049.373042839045,66.79035579336852,0.6731741328220324,0.32351403172389753,0.0010458427749694963,0,13.529053044381243,0.8620950049712292,0.8295501449622372,5737,18,22.905509706736346,3.7131873000173368,2.764888658726049,8.0,17.432,0.0,0.31912176118933583,0.9668909415744859,1.0311534795042898,0.03140648011782032,60.577578,671,714,0.9397759103641457,1512,1560,0.9692307692307692,2357,2446,0.9636140637775961,20896,21587,0.967989993977857
5,4504.427717752302,64.67138306989938,0.6505214778150964,0.34505921866713807,0.00035354428142124803,0,9.02894934630763,0.8508386009206991,0.7824343433039077,5657,20,22.58204635398741,3.712054134868972,2.435054347826087,7.0,17.143,0.0,0.2841357358532791,0.9576512181999847,1.0402964335340434,0.03984945760460483,58.537086,676,731,0.9247606019151847,1468,1528,0.9607329842931938,2321,2410,0.9630705394190872,20455,21353,0.9579450194352082
6,4192.4327133325005,62.411259071926146,0.642614145031334,0.3547000895255148,0.00017905102954341988,0,8.486583960398782,0.8597390435326607,0.7804556562502662,5585,16,25.203146340117208,3.718337743039215,2.5700752298690444,7.0,17.453,0.0,0.34766762706575505,0.9727248786727362,1.0254038955156273,0.02562316715542522,56.855554,696,736,0.9456521739130435,1517,1562,0.971190781049936,2183,2241,0.9741186970102633,21460,22042,0.9735958624444243
7,-3094.1159575851034,62.58641193270458,0.3734739178690344,0.6214206437291898,0.00011098779134295228,0,5.244970607963091,0.8570254622989834,0.5877132317693983,9010,21,21.584996818904756,3.8537960842080037,4.1904903417533435,9.0,44.229,0.00044375416019525185,0.4292821228968472,0.9646402637948575,1.0308088650479954,0.030934493660128497,51.810028,371,400,0.9275,714,746,0.9571045576407506,1308,1363,0.9596478356566398,25106,25998,0.9656896684360335
8,3311.190991421584,60.15933676852847,0.600352422907489,0.3950660792951542,0.0005286343612334801,0,7.16346733110838,0.8743970817500154,0.7174508278231432,5675,30,24.18342415539555,3.7754795773975767,2.625476959201644,6.0,19.097,0.0,0.1910980226633026,0.9796251314215277,1.0189673340358272,0.01944543192321365,54.170196,592,623,0.9502407704654896,1168,1189,0.9823380992430614,1938,1975,0.9812658227848101,23323,23796,0.9801227096991091
9,5822.676886392,78.68186746481317,0.6670687575392038,0.33036791314837155,0.0,0,12.733816533039022,0.8723841568437979,0.8516894574538775,6632,25,24.494099188277183,3.79766951721768,2.688517179023508,8.0,20.186,0.0,0.26469972660188823,0.9632481115630448,1.0344726954364718,0.03372284801908973,69.661716,483,516,0.936046511627907,1054,1095,0.9625570776255707,1686,1756,0.9601366742596811,23301,24169,0.9640862261574744
10,4545.76023165174,63.79498879510843,0.6587315686622846,0.3368271451412329,0.0003553028957186001,0,9.502809546090985,0.8757309062551323,0.7656460840435121,5629,23,24.088464563475032,3.721828967786164,2.3360302049622437,6.0,16.421,0.0,0.24744299819367094,0.975767366720517,1.0223202503487538,0.02373092723004695,59.270438,683,732,0.9330601092896175,1487,1540,0.9655844155844155,2346,2393,0.9803593815294609,21456,21952,0.9774052478134111
11,1518.1531700922828,75.76182549489558,0.5043998592045055,0.49196292385310336,0.00035198873636043646,0,11.817582485773016,0.8699708074436692,0.6487005624078074,8523,26,21.59403136328779,3.847368586683314,3.242381949290533,8.0,35.12,0.00011731581417175035,0.33308325562045793,0.9780689559293758,1.019425263304736,0.01992710426814729,67.7628,389,406,0.958128078817734,849,869,0.9769850402761795,1302,1334,0.9760119940029985,25601,26163,0.9785192829568474
12,1762.683519934791,94.36458097114398,0.50416399743754,0.49244989475610873,9.151642719868216e-05,0,11.829193473780155,0.869277951509432,0.6172223995528537,10927,23,20.234820602120728,3.809684395950718,3.3813759302958797,8.0,45.25,0.0005487972194274216,0.4768226927499829,0.9713844052198296,1.0261268088484716,0.025981301866311847,87.155838,498,535,0.930841121495327,1003,1032,0.9718992248062015,1714,1768,0.9694570135746606,23806,24482,0.9723878768074504
13,3664.2724526991356,43.99057662616566,0.7101996762007555,0.2868321640582839,0.0002698327037236913,0,10.868083565493848,0.8946380981667,0.777577074529418,3706,17,20.384559958587285,3.1649873255908014,1.6637537993920972,5.0,8.341,0.0,0.22087043934785006,0.9846804863677755,1.014064093617478,0.014776505356483192,41.685664,2127,2213,0.9611387257117036,3818,3865,0.9878395860284606,4449,4503,0.9880079946702198,7989,8088,0.987759643916914
