update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,2514.082721787612,74.53288980449221,0.5366227789850441,0.4592867186501342,0.000255656397801355,0,16.42971221942723,0.8576309385225359,0.6840892967943503,7823,24,22.5,3.8263913213749148,2.8777989518818483,7.0,29.805,0.0,0.325,0.9757518000847099,1.0217014196197827,0.02182019058141141,66.26233,453,472,0.9597457627118644,954,969,0.9845201238390093,1468,1500,0.9786666666666667,24770,25391,0.9755425150643929
1,4246.145133775842,80.57116658828444,0.5946945542660375,0.4021170769034562,0.0008927432725417677,0,13.520567404306876,0.8494600199868791,0.7015302708540953,7841,24,22.5,3.8064123761589292,2.516620201586961,6.0,26.507,0.0,0.325,0.9584891955692755,1.038732265946971,0.03911920714684534,74.208916,457,483,0.9461697722567288,1046,1091,0.9587534372135655,1560,1608,0.9701492537313433,23329,24353,0.9579517923869749
2,-935.9908751939115,61.79476200705396,0.42791293213828424,0.5665813060179258,0.00025608194622279127,0,14.454039149730349,0.8680828651476027,0.5850166729565577,7810,24,22.5,3.8301462892880163,2.6912028725314183,7.0,33.568,0.0,0.325,0.9791110799045077,1.018935660988315,0.01924732293495851,52.640936,431,454,0.9493392070484582,951,975,0.9753846153846154,1354,1374,0.9854439592430859,25153,25681,0.9794400529574393
3,556.3745278691619,67.75340346209879,0.46910221531286433,0.5253271149112579,0.00012955045990413266,0,11.412420630078998,0.8848008425294658,0.6679501663235122,7719,24,22.5,3.8433319008671956,3.4501518917426126,9.0,33.699,0.0,0.325,0.9801711542475475,1.0179979072200906,0.018103566060937288,56.585964,411,428,0.9602803738317757,846,869,0.9735327963176065,1374,1397,0.9835361488904796,25545,26052,0.9805389221556886
4,5896.741622804332,86.8458164795108,0.642673190831831,0.3539788823074942,0.0006438320885912954,0,13.207937201089024,0.8630466809998272,0.7926717077795743,7766,24,22.5,3.817683340586021,2.952915247445402,8.0,25.721,0.0,0.325,0.9653802090791923,1.0321873765132736,0.03218876684799556,78.403922,430,455,0.945054945054945,959,997,0.9618856569709128,1593,1648,0.966626213592233,23983,24832,0.9658102448453608
5,2087.663716347126,72.72775672112687,0.5236260914227016,0.4726502311248074,0.00025680534155110427,0,9.075564308296594,0.8527262457992566,0.6729969542181811,7788,24,22.5,3.841662146839736,2.916625796959294,7.0,30.239,0.0,0.325,0.9654989007871783,1.0327146006685157,0.03228905740658134,64.090002,425,454,0.9361233480176211,809,836,0.9677033492822966,1376,1417,0.9710656316160904,24619,25495,0.9656403216316924
6,98.17520359672926,67.15280478886142,0.4511036960985626,0.5429928131416838,0.00012833675564681725,0,7.273551336350454,0.8621504507103481,0.6920268401478735,7792,24,22.5,3.874949084449043,3.780085348506401,9.0,35.236,0.0,0.325,0.976056338028169,1.0215287106885742,0.02115067756145129,55.103284,329,351,0.9373219373219374,705,722,0.9764542936288089,987,1006,0.9811133200795229,26392,27031,0.9763604750101735
7,-1467.3701730326359,59.32636312298017,0.4086160196053141,0.5860957048884303,0.00025796465884173866,0,4.54436833965738,0.8575572386095841,0.6140157275484687,7753,24,22.5,3.8733521276169705,3.9573863636363638,9.0,36.595,0.0,0.325,0.9676257747307919,1.0293115438108484,0.029340592861464006,49.450876,302,315,0.9587301587301588,709,729,0.9725651577503429,1088,1124,0.9679715302491103,25847,26713,0.9675813274435668
8,2472.3255041524153,73.65635949733522,0.537474593495935,0.4565548780487805,0.00012703252032520327,0,8.383580342377515,0.8765848451376865,0.6680292278501369,7872,24,22.5,3.8472634491342146,2.9905459702198063,7.0,30.275,0.0,0.325,0.9779735682819384,1.0211938016816065,0.02118629681186976,66.948322,389,399,0.974937343358396,824,844,0.976303317535545,1154,1185,0.9738396624472574,25827,26401,0.9782583993030567
9,5877.124923644739,87.70210318977155,0.6389747552807831,0.357032457496136,0.0,0,13.134515926839388,0.875398182960525,0.8134277381748621,7764,24,22.5,3.8565244018633105,2.7296915944366056,7.0,25.09,0.000128783000643915,0.325,0.9646963960173889,1.0324556462968177,0.03154177842664584,77.691428,353,377,0.9363395225464191,773,797,0.9698870765370138,1201,1246,0.963884430176565,25190,26104,0.9649862090101133
