update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,22.5,214510.8,2,333,0,3.983
9,0,1,22.5,0.0,0,342,0,0.0
9,0,2,22.5,2454848.0,312,0,0,4.0
9,0,3,22.5,2416694.0,313,0,0,4.0
9,0,4,22.5,62129.8,0,317,3,3.984
9,0,5,22.5,2474085.0,310,0,0,3.999
9,0,6,22.5,44764.7,0,322,2,3.97
9,0,7,22.5,2603085.0,322,0,0,3.999
9,0,8,22.5,546169.4,32,286,0,3.99
9,0,9,22.5,2558450.2,322,1,0,4.0
9,0,10,22.5,27631.4,0,317,0,3.985
9,0,11,22.5,2508847.0,314,0,0,4.0
9,0,12,22.5,2504805.0,312,0,0,4.0
9,0,13,22.5,407227.4,14,311,2,3.987
9,0,14,22.5,2562169.0,324,0,0,3.996
9,0,15,22.5,2792095.0,346,0,0,3.999
9,0,16,22.5,0.0,0,304,0,0.0
9,0,17,22.5,2715595.8,328,12,0,4.0
9,0,18,22.5,2742989.2,348,4,0,3.999
9,0,19,22.5,5784.2,0,320,0,4.0
9,0,20,22.5,2503704.0,315,0,0,4.0
9,0,21,22.5,2604768.0,321,0,0,3.997
9,0,22,22.5,92064.6,0,309,0,3.991
9,0,23,22.5,60791.1,0,320,2,3.995
9,0,24,22.5,0.0,0,0,0,0.0
9,0,25,22.5,0.0,0,0,0,0.0
9,0,26,22.5,0.0,0,0,0,0.0
9,0,27,22.5,0.0,0,0,0,0.0
9,0,28,22.5,0.0,0,0,0,0.0
9,0,29,22.5,0.0,0,0,0,0.0
9,0,30,22.5,0.0,0,0,0,0.0
9,0,31,22.5,0.0,0,0,0,0.0
9,1,0,22.5,152182.8,3,314,0,3.999
9,1,1,22.5,2734823.0,342,0,0,4.0
9,1,2,22.5,476167.3,47,261,0,3.999
9,1,3,22.5,2806212.0,344,0,0,4.0
9,1,4,22.5,10172.6,0,309,0,3.997
9,1,5,22.5,2509137.0,304,0,0,4.0
9,1,6,22.5,2196390.2,254,82,0,4.0
9,1,7,22.5,2515372.6,321,3,0,4.0
9,1,8,22.5,2524999.6,313,1,0,4.0
9,1,9,22.5,146737.0,2,352,0,3.999
9,1,10,22.5,2623866.0,323,0,0,4.0
9,1,11,22.5,2644695.0,335,2,0,3.999
9,1,12,22.5,7940.9,0,327,3,3.996
9,1,13,22.5,2562155.5,323,14,0,4.0
9,1,14,22.5,2783941.0,354,1,0,4.0
9,1,15,22.5,2151171.2,264,62,0,4.0
9,1,16,22.5,2795065.0,347,0,0,4.0
9,1,17,22.5,2602904.0,318,0,0,4.0
9,1,18,22.5,1650649.6,191,156,0,3.998
9,1,19,22.5,576989.6,57,246,0,3.999
9,1,20,22.5,2764787.2,334,2,0,4.0
9,1,21,22.5,1798029.2,217,86,0,4.0
9,1,22,22.5,2579476.4,322,2,0,4.0
9,1,23,22.5,989934.6,118,219,0,3.998
9,1,24,22.5,0.0,0,0,0,0.0
9,1,25,22.5,0.0,0,0,0,0.0
9,1,26,22.5,0.0,0,0,0,0.0
9,1,27,22.5,0.0,0,0,0,0.0
9,1,28,22.5,0.0,0,0,0,0.0
9,1,29,22.5,0.0,0,0,0,0.0
9,1,30,22.5,0.0,0,0,0,0.0
9,1,31,22.5,0.0,0,0,0,0.0
9,2,0,22.5,1549.4,0,327,0,4.0
9,2,1,22.5,2491534.6,305,30,0,3.999
9,2,2,22.5,250129.7,15,300,0,3.992
9,2,3,22.5,2546653.7,319,2,0,4.0
9,2,4,22.5,2517238.0,326,0,0,4.0
9,2,5,22.5,202.6,0,316,0,4.0
9,2,6,22.5,2582585.0,328,0,0,4.0
9,2,7,22.5,2081824.9,259,56,0,4.0
9,2,8,22.5,1514832.1,184,152,0,4.0
9,2,9,22.5,523258.4,47,266,0,3.999
9,2,10,22.5,2307472.0,288,28,0,4.0
9,2,11,22.5,246032.4,15,281,0,3.996
9,2,12,22.5,2588441.0,324,0,0,4.0
9,2,13,22.5,2270519.8,294,39,0,4.0
9,2,14,22.5,2294407.7,297,15,0,4.0
9,2,15,22.5,1816475.8,224,70,0,3.998
9,2,16,22.5,2645672.0,328,0,0,4.0
9,2,17,22.5,2553294.6,320,1,0,4.0
9,2,18,22.5,2845783.0,350,0,0,4.0
9,2,19,22.5,2586381.1,330,27,0,4.0
9,2,20,22.5,52404.6,0,323,0,3.996
9,2,21,22.5,2145003.3,257,75,0,4.0
9,2,22,22.5,2511765.0,312,0,0,4.0
9,2,23,22.5,2766269.0,342,1,0,4.0
9,2,24,22.5,0.0,0,0,0,0.0
9,2,25,22.5,0.0,0,0,0,0.0
9,2,26,22.5,0.0,0,0,0,0.0
9,2,27,22.5,0.0,0,0,0,0.0
9,2,28,22.5,0.0,0,0,0,0.0
9,2,29,22.5,0.0,0,0,0,0.0
9,2,30,22.5,0.0,0,0,0,0.0
9,2,31,22.5,0.0,0,0,0,0.0
19,0,0,22.5,201182.7,2,333,0,3.981
19,0,1,22.5,0.0,0,342,0,0.0
19,0,2,22.5,2454848.0,312,0,0,4.0
19,0,3,22.5,2416694.0,313,0,0,4.0
19,0,4,22.5,64309.4,0,316,4,3.984
19,0,5,22.5,2474085.0,310,0,0,3.999
19,0,6,22.5,44150.5,0,323,1,3.97
19,0,7,22.5,2603085.0,322,0,0,4.0
19,0,8,22.5,628434.4,28,290,0,3.989
19,0,9,22.5,2547036.5,320,3,0,4.0
19,0,10,22.5,25127.1,0,317,0,3.987
19,0,11,22.5,2508847.0,314,0,0,4.0
19,0,12,22.5,2504805.0,312,0,0,4.0
19,0,13,22.5,410842.4,8,318,1,3.985
19,0,14,22.5,2562169.0,324,0,0,3.996
19,0,15,22.5,2792095.0,346,0,0,3.999
19,0,16,22.5,0.0,0,304,0,0.0
19,0,17,22.5,2757188.0,334,6,0,3.998
19,0,18,22.5,2756226.0,352,0,0,3.999
19,0,19,22.5,5693.6,0,320,0,3.994
19,0,20,22.5,2503704.0,315,0,0,4.0
19,0,21,22.5,2604768.0,321,0,0,3.998
19,0,22,22.5,79047.5,0,308,1,3.988
19,0,23,22.5,54789.9,0,321,1,3.992
19,0,24,22.5,0.0,0,0,0,0.0
19,0,25,22.5,0.0,0,0,0,0.0
19,0,26,22.5,0.0,0,0,0,0.0
19,0,27,22.5,0.0,0,0,0,0.0
19,0,28,22.5,0.0,0,0,0,0.0
19,0,29,22.5,0.0,0,0,0,0.0
19,0,30,22.5,0.0,0,0,0,0.0
19,0,31,22.5,0.0,0,0,0,0.0
19,1,0,22.5,112834.5,2,315,0,3.997
19,1,1,22.5,2734823.0,342,0,0,4.0
19,1,2,22.5,376525.0,27,281,0,3.999
19,1,3,22.5,2806212.0,344,0,0,4.0
19,1,4,22.5,5668.7,0,309,0,3.994
19,1,5,22.5,2509137.0,304,0,0,4.0
19,1,6,22.5,2533857.6,295,42,0,4.0
19,1,7,22.5,2526113.3,322,2,0,4.0
19,1,8,22.5,2528207.0,314,0,0,4.0
19,1,9,22.5,98431.2,1,353,0,3.999
19,1,10,22.5,2623866.0,323,0,0,4.0
19,1,11,22.5,2663355.0,337,0,0,4.0
19,1,12,22.5,3049.6,0,328,2,4.0
19,1,13,22.5,2673422.6,336,2,0,4.0
19,1,14,22.5,2788142.0,355,0,0,4.0
