update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,10.0,1218244.4,139,68,0,3.865
9,0,1,10.0,369512.3,13,160,15,3.815
9,0,2,10.0,1275363.5,142,70,0,3.883
9,0,3,10.0,2315749.1,287,6,0,3.896
9,0,4,10.0,995856.8,104,88,3,3.874
9,0,5,10.0,2871612.0,372,0,0,3.846
9,0,6,10.0,2897800.0,362,0,0,3.889
9,0,7,10.0,677826.7,50,125,9,3.843
9,0,8,10.0,2768059.0,346,0,0,3.863
9,0,9,10.0,2018643.2,251,12,0,3.843
9,0,10,10.0,2515375.7,308,2,0,3.877
9,0,11,10.0,62270.1,0,165,22,3.807
9,0,12,10.0,846931.7,52,124,11,3.879
9,0,13,10.0,360735.1,10,155,19,3.849
9,0,14,10.0,2423146.8,297,7,0,3.877
9,0,15,10.0,1990545.9,255,21,0,3.861
9,1,0,10.0,655413.7,40,129,14,3.803
9,1,1,10.0,2487982.0,307,0,0,3.8
9,1,2,10.0,2741685.0,346,0,0,3.821
9,1,3,10.0,36813.4,0,137,34,3.75
9,1,4,10.0,2188099.7,271,11,0,3.795
9,1,5,10.0,2137363.0,262,8,0,3.758
9,1,6,10.0,2209667.2,276,5,0,3.796
9,1,7,10.0,1400543.1,153,63,1,3.797
9,1,8,10.0,129646.6,0,144,38,3.762
9,1,9,10.0,390945.1,10,167,14,3.741
9,1,10,10.0,2495158.0,295,2,0,3.759
9,1,11,10.0,1628850.2,191,37,0,3.79
9,1,12,10.0,2576786.5,318,7,0,3.803
9,1,13,10.0,1826898.4,218,31,0,3.791
9,1,14,10.0,1718148.6,205,33,0,3.778
9,1,15,10.0,1104169.3,103,91,2,3.81
9,2,0,10.0,2423781.0,303,6,0,3.924
9,2,1,10.0,2398300.5,305,5,0,3.887
9,2,2,10.0,2576907.7,320,1,0,3.904
9,2,3,10.0,1462184.6,170,58,1,3.889
9,2,4,10.0,5328.9,0,129,47,3.86
9,2,5,10.0,521080.3,23,170,9,3.894
9,2,6,10.0,2550168.0,319,0,0,3.899
9,2,7,10.0,2187686.8,278,3,0,3.873
9,2,8,10.0,2649672.0,339,2,0,3.902
9,2,9,10.0,388789.3,11,151,16,3.879
9,2,10,10.0,2102563.7,260,13,0,3.91
9,2,11,10.0,262531.4,6,154,25,3.874
9,2,12,10.0,1467831.6,166,62,0,3.905
9,2,13,10.0,782049.6,51,121,17,3.912
9,2,14,10.0,9333.9,0,155,33,3.832
9,2,15,10.0,2602461.0,326,4,0,3.927
19,0,0,10.0,1868790.1,191,67,0,1.0
19,0,1,10.0,128083.6,0,178,0,1.0
19,0,2,10.0,2417172.5,297,26,0,1.0
19,0,3,10.0,3150611.0,394,0,0,1.004
19,0,4,10.0,1149303.0,112,100,0,1.0
19,0,5,10.0,3330671.0,414,0,0,1.002
19,0,6,10.0,3082850.0,387,0,0,1.005
19,0,7,10.0,356622.7,24,166,0,1.0
19,0,8,10.0,3231863.0,406,0,0,1.005
19,0,9,10.0,2981820.2,370,4,0,1.0
19,0,10,10.0,2963422.1,375,2,0,1.004
19,0,11,10.0,5252.6,0,185,0,1.0
19,0,12,10.0,520567.1,34,143,0,1.002
19,0,13,10.0,76665.8,2,181,0,1.0
19,0,14,10.0,3152947.4,401,0,0,1.002
19,0,15,10.0,3249955.0,410,0,0,1.005
19,1,0,10.0,282108.5,13,173,0,1.0
19,1,1,10.0,2922570.5,356,7,0,1.004
19,1,2,10.0,3078865.0,385,0,0,1.005
19,1,3,10.0,2549.9,0,182,0,1.0
19,1,4,10.0,3013456.5,374,3,0,1.0
19,1,5,10.0,2707401.7,301,31,0,1.0
19,1,6,10.0,2947316.4,355,7,0,1.0
19,1,7,10.0,1904268.6,208,51,0,1.0
19,1,8,10.0,40362.7,0,184,0,1.0
19,1,9,10.0,101101.9,3,181,0,1.0
19,1,10,10.0,2619818.8,321,6,0,1.0
19,1,11,10.0,2070258.9,226,45,0,1.0
19,1,12,10.0,3096564.0,394,0,0,1.0
19,1,13,10.0,2559647.6,300,26,0,1.006
19,1,14,10.0,2522184.6,279,36,0,1.0
19,1,15,10.0,957526.2,81,122,0,1.0
19,2,0,10.0,3020342.0,374,0,0,1.0
19,2,1,10.0,3182621.3,409,0,0,1.0
19,2,2,10.0,3027926.0,383,0,0,1.0
19,2,3,10.0,2521859.4,303,17,0,1.0
19,2,4,10.0,1694.6,0,183,0,1.0
19,2,5,10.0,298214.0,9,178,0,1.0
19,2,6,10.0,3183878.8,382,1,0,1.0
19,2,7,10.0,3032452.9,377,1,0,1.0
19,2,8,10.0,3248195.0,409,0,0,1.0
19,2,9,10.0,213990.7,8,167,0,1.0
19,2,10,10.0,3022374.6,374,4,0,1.0
19,2,11,10.0,210624.7,10,173,0,1.0
19,2,12,10.0,2617129.4,311,15,0,1.0
19,2,13,10.0,1033277.9,78,132,0,1.0
19,2,14,10.0,1267.0,0,182,0,1.0
19,2,15,10.0,3281315.0,407,0,0,1.0
29,0,0,10.0,1942854.5,202,54,0,1.0
29,0,1,10.0,165995.1,1,182,0,1.0
29,0,2,10.0,2272416.8,252,43,0,1.0
29,0,3,10.0,3141140.0,397,3,0,1.0
29,0,4,10.0,1289580.6,120,95,0,1.0
29,0,5,10.0,3086454.0,386,0,0,1.0
29,0,6,10.0,3170251.0,391,0,0,1.0
29,0,7,10.0,408844.7,18,163,0,1.0
29,0,8,10.0,3186373.0,404,0,0,1.0
29,0,9,10.0,2663588.2,309,19,0,1.0
29,0,10,10.0,2891769.1,369,1,0,1.0
29,0,11,10.0,4794.8,0,181,0,1.0
29,0,12,10.0,707320.3,38,141,0,1.0
29,0,13,10.0,81941.0,2,182,0,1.0
29,0,14,10.0,2829924.6,357,2,0,1.0
29,0,15,10.0,3144181.0,390,0,0,1.0
29,1,0,10.0,357331.4,16,169,0,1.0
29,1,1,10.0,2830166.7,332,18,0,1.0
29,1,2,10.0,3241742.5,405,1,0,1.0
29,1,3,10.0,2901.9,0,189,0,1.0
29,1,4,10.0,2755205.1,328,11,0,1.0
29,1,5,10.0,2454867.7,280,24,0,1.0
29,1,6,10.0,2897951.6,345,6,0,1.0
29,1,7,10.0,1859594.2,192,62,0,1.0
29,1,8,10.0,23572.6,0,184,0,1.0
29,1,9,10.0,68197.7,1,168,0,1.0
29,1,10,10.0,3055518.6,367,14,0,1.0
29,1,11,10.0,2441256.6,270,44,0,1.0
29,1,12,10.0,3151800.1,394,1,0,1.0
29,1,13,10.0,2381041.5,279,19,0,1.0
29,1,14,10.0,2458687.0,281,26,0,1.0
29,1,15,10.0,1059138.7,76,130,0,1.0
29,2,0,10.0,3045850.0,375,0,0,1.0
29,2,1,10.0,3169504.1,398,3,0,1.0
29,2,2,10.0,3269527.4,399,1,0,1.0
29,2,3,10.0,2512520.1,298,17,0,1.0
29,2,4,10.0,900.8,0,172,0,1.0
29,2,5,10.0,424507.7,15,174,0,1.0
29,2,6,10.0,2931168.0,378,0,0,1.0
29,2,7,10.0,2894466.5,363,2,0,1.0
29,2,8,10.0,3176245.0,392,0,0,1.0
29,2,9,10.0,184487.2,4,180,0,1.0
29,2,10,10.0,2885917.3,354,1,0,1.0
29,2,11,10.0,258345.1,14,164,0,1.0
29,2,12,10.0,2280593.0,263,23,0,1.0
29,2,13,10.0,1167751.6,93,107,0,1.0
29,2,14,10.0,2247.3,0,181,0,1.0
29,2,15,10.0,3178937.0,398,0,0,1.0
39,0,0,10.0,1771448.2,178,58,0,1.0
39,0,1,10.0,150219.9,1,175,0,1.0
39,0,2,10.0,2247467.6,250,39,0,1.0
39,0,3,10.0,3082783.9,392,1,0,1.0
39,0,4,10.0,1248097.5,103,109,0,1.0
39,0,5,10.0,3248962.0,410,0,0,1.0
39,0,6,10.0,3206865.0,405,0,0,1.0
39,0,7,10.0,281690.7,12,173,0,1.0
39,0,8,10.0,2924710.0,354,0,0,1.005
39,0,9,10.0,2607807.8,325,9,0,1.0
39,0,10,10.0,3140236.7,403,1,0,1.003
39,0,11,10.0,14633.0,0,181,0,1.0
39,0,12,10.0,719563.9,41,157,0,1.0
39,0,13,10.0,128745.5,1,181,0,1.0
39,0,14,10.0,3120391.0,394,0,0,1.0
39,0,15,10.0,3271028.0,415,0,0,1.0
39,1,0,10.0,323218.5,11,167,0,1.0
39,1,1,10.0,3147367.4,375,13,0,1.0
39,1,2,10.0,3079616.0,385,0,0,1.003
39,1,3,10.0,2943.1,0,187,0,1.0
39,1,4,10.0,2930392.5,349,17,0,1.003
39,1,5,10.0,2270908.2,257,30,0,1.0
39,1,6,10.0,2831236.7,341,10,0,1.002
39,1,7,10.0,1744071.4,170,73,0,1.0
39,1,8,10.0,37660.8,0,177,0,1.0
39,1,9,10.0,103127.7,1,175,0,1.0
39,1,10,10.0,3062024.2,371,6,0,1.002
39,1,11,10.0,2214140.1,230,50,0,1.003
39,1,12,10.0,3419024.0,430,0,0,1.009
39,1,13,10.0,2576348.9,304,23,0,1.001
39,1,14,10.0,2235459.8,242,40,0,1.0
39,1,15,10.0,1032674.7,78,137,0,1.0
39,2,0,10.0,3326755.1,401,3,0,1.008
39,2,1,10.0,2904470.0,360,1,0,1.006
39,2,2,10.0,2955238.0,381,0,0,1.002
39,2,3,10.0,2111395.7,260,20,0,1.001
39,2,4,10.0,1701.4,0,178,0,1.0
39,2,5,10.0,435403.3,14,177,0,1.0
39,2,6,10.0,3068741.7,386,2,0,1.002
39,2,7,10.0,3104835.0,386,2,0,1.002
39,2,8,10.0,3312804.0,403,0,0,1.005
39,2,9,10.0,190978.3,3,183,0,1.0
39,2,10,10.0,3213036.0,404,0,0,1.002
39,2,11,10.0,291958.7,13,163,0,1.002
39,2,12,10.0,2310127.6,274,34,0,1.0
39,2,13,10.0,994554.0,56,137,0,1.0
