update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,15.0,51475.0,0,109,0,1.0
9,0,1,15.0,1823.7,0,107,0,1.019
9,0,2,15.0,2962958.9,376,3,0,1.014
9,0,3,15.0,3120058.0,393,0,0,1.023
9,0,4,15.0,45416.8,0,105,0,1.0
9,0,5,15.0,3246767.0,409,0,0,1.015
9,0,6,15.0,22370.9,0,115,0,1.0
9,0,7,15.0,3181937.0,402,0,0,1.002
9,0,8,15.0,268963.7,4,113,0,1.0
9,0,9,15.0,2718710.1,342,3,0,1.019
9,0,10,15.0,44283.5,0,110,0,1.0
9,0,11,15.0,2880058.0,364,0,0,1.01
9,0,12,15.0,2808617.0,356,6,0,1.013
9,0,13,15.0,247500.3,2,106,0,1.0
9,0,14,15.0,3392773.0,414,0,0,1.01
9,0,15,15.0,2274781.3,275,21,0,1.015
9,0,16,15.0,624.8,0,114,0,1.009
9,0,17,15.0,1658162.2,175,50,0,1.002
9,0,18,15.0,2027400.4,226,36,0,1.012
9,0,19,15.0,8391.6,0,106,0,1.0
9,0,20,15.0,3024295.0,379,0,0,1.01
9,0,21,15.0,2645325.3,330,6,0,1.007
9,0,22,15.0,41279.5,0,117,0,1.0
9,0,23,15.0,26613.3,0,119,0,1.0
9,0,24,15.0,0.0,0,0,0,0.0
9,0,25,15.0,0.0,0,0,0,0.0
9,0,26,15.0,0.0,0,0,0,0.0
9,0,27,15.0,0.0,0,0,0,0.0
9,0,28,15.0,0.0,0,0,0,0.0
9,0,29,15.0,0.0,0,0,0,0.0
9,0,30,15.0,0.0,0,0,0,0.0
9,0,31,15.0,0.0,0,0,0,0.0
9,1,0,15.0,44721.3,0,110,0,1.0
9,1,1,15.0,2757468.9,328,19,0,1.0
9,1,2,15.0,54035.6,0,113,0,1.0
9,1,3,15.0,3159113.0,399,0,0,1.005
9,1,4,15.0,17785.4,0,107,0,1.0
9,1,5,15.0,2808503.5,340,14,0,1.004
9,1,6,15.0,970530.8,83,78,0,1.007
9,1,7,15.0,2901911.7,356,8,0,1.0
9,1,8,15.0,2703753.0,324,15,0,1.006
9,1,9,15.0,68433.0,0,112,0,1.0
9,1,10,15.0,3188107.0,395,0,0,1.002
9,1,11,15.0,1947521.3,211,53,0,1.012
9,1,12,15.0,3384.7,0,108,0,1.0
9,1,13,15.0,1780549.6,184,52,0,1.01
9,1,14,15.0,2160578.5,235,45,0,1.0
9,1,15,15.0,1067444.6,84,76,0,1.006
9,1,16,15.0,2841936.2,348,9,0,1.0
9,1,17,15.0,2257451.5,257,32,0,1.0
9,1,18,15.0,690948.6,35,98,0,1.004
9,1,19,15.0,40424.9,0,108,0,1.0
9,1,20,15.0,2099478.6,224,48,0,1.002
9,1,21,15.0,638043.9,36,99,0,1.0
9,1,22,15.0,2116390.7,231,43,0,1.009
9,1,23,15.0,179335.8,3,108,0,1.0
9,1,24,15.0,1879.2,0,108,0,1.0
9,1,25,15.0,117113.6,3,111,0,1.0
9,1,26,15.0,2633180.0,307,34,0,1.002
9,1,27,15.0,0.0,0,0,0,0.0
9,1,28,15.0,0.0,0,0,0,0.0
9,1,29,15.0,0.0,0,0,0,0.0
9,1,30,15.0,0.0,0,0,0,0.0
9,1,31,15.0,0.0,0,0,0,0.0
9,2,0,15.0,1658.0,0,111,0,1.0
9,2,1,15.0,1153063.8,95,80,0,1.003
9,2,2,15.0,72934.2,1,112,0,1.0
9,2,3,15.0,2782232.5,337,14,0,1.005
9,2,4,15.0,2294559.2,276,21,0,1.0
9,2,5,15.0,1610.6,0,108,0,1.0
9,2,6,15.0,3149894.0,394,0,0,1.005
9,2,7,15.0,866259.1,86,77,0,1.003
9,2,8,15.0,335764.0,9,107,0,1.008
9,2,9,15.0,16902.7,0,108,0,1.0
9,2,10,15.0,1209671.6,119,68,0,1.003
