update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,6.65,66910.7,0,115,0,1.0
9,0,1,22.27,5496.8,0,111,0,1.0
9,0,2,20.19,2967488.0,370,8,0,1.002
9,0,3,15.08,3025238.0,377,0,0,1.008
9,0,4,12.66,69592.0,0,112,0,1.0
9,0,5,12.32,3013135.0,385,0,0,1.0
9,0,6,23.59,25244.6,0,113,0,1.0
9,0,7,29.41,3273850.0,416,0,0,1.0
9,0,8,26.89,209696.2,0,112,1,1.0
9,0,9,11.95,2666952.8,323,14,0,1.005
9,0,10,25.73,23351.0,0,108,0,1.0
9,0,11,9.19,3072403.0,384,0,0,1.003
9,0,12,11.11,3037567.7,378,1,0,1.0
9,0,13,15.51,201339.8,0,107,0,1.004
9,0,14,23.28,3152275.0,398,0,0,1.0
9,0,15,21.85,2474845.9,296,22,0,1.009
9,0,16,21.6,657.0,0,118,0,1.0
9,0,17,23.82,1323835.1,96,81,0,1.0
9,0,18,27.48,2093640.9,212,42,0,1.005
9,0,19,5.6,12931.6,0,115,0,1.008
9,0,20,13.77,3234219.3,401,2,0,1.005
9,0,21,17.56,2388742.7,283,22,0,1.008
9,0,22,22.78,40334.7,0,109,0,1.0
9,0,23,12.17,28068.1,0,103,0,1.008
9,0,24,22.8,0.0,0,0,0,0.0
9,0,25,12.77,0.0,0,0,0,0.0
9,0,26,10.24,0.0,0,0,0,0.0
9,0,27,18.02,0.0,0,0,0,0.0
9,0,28,17.56,0.0,0,0,0,0.0
9,0,29,14.3,0.0,0,0,0,0.0
9,0,30,23.94,0.0,0,0,0,0.0
9,0,31,26.59,0.0,0,0,0,0.0
9,1,0,15.71,54093.4,0,112,0,1.0
9,1,1,17.29,2725339.3,325,18,0,1.0
9,1,2,19.04,138182.4,0,115,0,1.0
9,1,3,16.81,3099354.0,388,0,0,1.012
9,1,4,25.54,4496.6,0,108,0,1.0
9,1,5,18.36,2820345.2,323,21,0,1.002
9,1,6,8.63,1030901.0,70,84,0,1.006
9,1,7,5.33,2840452.8,359,3,0,1.0
9,1,8,8.28,2641757.8,306,21,0,1.004
9,1,9,16.95,50632.9,0,114,0,1.0
9,1,10,5.22,3236481.0,394,2,0,1.002
9,1,11,27.19,1923902.1,209,49,0,1.005
9,1,12,16.04,5238.7,0,113,0,1.0
9,1,13,25.94,1892384.3,190,54,0,1.009
9,1,14,7.56,2193123.6,249,39,0,1.0
9,1,15,10.93,909250.0,51,92,0,1.0
9,1,16,21.21,2743865.8,327,15,0,1.0
9,1,17,10.16,1893576.4,206,41,0,1.0
9,1,18,13.45,558451.9,15,101,0,1.0
9,1,19,28.59,164852.7,2,108,0,1.0
9,1,20,28.46,1919396.2,201,51,0,1.0
9,1,21,7.19,758965.8,38,91,0,1.004
9,1,22,21.02,2370487.7,272,32,0,1.0
9,1,23,22.73,377959.7,6,114,0,1.0
9,1,24,27.19,15348.0,0,111,0,1.0
9,1,25,13.95,139496.7,0,110,0,1.0
9,1,26,20.95,2099417.7,232,41,0,1.0
9,1,27,28.46,0.0,0,0,0,0.0
9,1,28,27.22,0.0,0,0,0,0.0
9,1,29,21.5,0.0,0,0,0,0.0
9,1,30,21.16,0.0,0,0,0,0.0
9,1,31,18.93,0.0,0,0,0,0.0
9,2,0,6.96,1038.1,0,112,0,1.0
9,2,1,7.77,1189828.8,105,69,0,1.0
9,2,2,20.56,93193.5,0,115,0,1.0
9,2,3,13.62,2436081.0,291,20,0,1.0
9,2,4,16.07,2636989.1,311,18,0,1.0
9,2,5,14.57,1534.0,0,113,0,1.0
9,2,6,13.01,3082098.0,393,0,0,1.0
9,2,7,22.07,770304.2,62,91,0,1.0
9,2,8,12.5,421787.0,9,104,0,1.0
9,2,9,25.95,86373.1,0,117,0,1.017
9,2,10,28.65,1252514.7,100,81,0,1.0
9,2,11,13.51,56171.9,0,106,0,1.0
9,2,12,8.75,3019685.0,378,0,0,1.005
9,2,13,16.81,757488.6,45,97,0,1.0
9,2,14,15.53,1479196.3,129,71,0,1.0
9,2,15,24.33,647411.1,26,106,0,1.0
9,2,16,27.2,2262335.1,255,31,0,1.0
9,2,17,22.13,3018902.1,377,6,0,1.004
9,2,18,7.17,2861190.0,337,12,0,1.0
9,2,19,25.2,1139523.4,79,85,0,1.0
9,2,20,14.13,13308.4,0,114,0,1.0
9,2,21,13.24,906373.4,51,94,0,1.008
9,2,22,17.91,2476554.7,282,29,0,1.0
9,2,23,17.9,2546016.0,292,23,0,1.004
9,2,24,22.87,133871.7,0,112,0,1.0
9,2,25,14.85,10161.3,0,109,0,1.0
9,2,26,13.33,680034.0,22,107,0,1.0
