update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,6.65,60182.9,0,113,0,1.0
9,0,1,22.27,3448.1,0,106,0,1.0
9,0,2,20.19,3045634.0,383,0,0,1.015
9,0,3,15.08,3087124.0,383,0,0,1.01
9,0,4,12.66,39465.6,0,111,0,1.0
9,0,5,12.32,3232104.0,407,0,0,1.017
9,0,6,23.59,19609.2,0,109,0,1.0
9,0,7,29.41,3049544.0,381,0,0,1.018
9,0,8,26.89,182752.4,0,110,0,1.0
9,0,9,11.95,3087755.4,378,2,0,1.017
9,0,10,25.73,17244.2,0,110,0,1.0
9,0,11,9.19,2928440.0,375,0,0,1.02
9,0,12,11.11,3106083.0,385,0,0,1.016
9,0,13,15.51,143022.4,0,112,0,1.006
9,0,14,23.28,2873420.0,358,0,0,1.03
9,0,15,21.85,2598203.7,320,2,0,1.011
9,0,16,21.6,422.2,0,114,0,1.012
9,0,17,23.82,1712195.8,191,44,0,1.004
9,0,18,27.48,2570452.1,318,10,0,1.004
9,0,19,5.6,7499.7,0,116,0,1.0
9,0,20,13.77,3118605.0,399,0,0,1.012
9,0,21,17.56,2657023.0,327,4,0,1.017
9,0,22,22.78,33963.9,0,110,0,1.0
9,0,23,12.17,31999.4,0,111,0,1.0
9,0,24,22.8,0.0,0,0,0,0.0
9,0,25,12.77,0.0,0,0,0,0.0
9,0,26,10.24,0.0,0,0,0,0.0
9,0,27,18.02,0.0,0,0,0,0.0
9,0,28,17.56,0.0,0,0,0,0.0
9,0,29,14.3,0.0,0,0,0,0.0
9,0,30,23.94,0.0,0,0,0,0.0
9,0,31,26.59,0.0,0,0,0,0.0
9,1,0,15.71,11926.4,0,109,0,1.0
9,1,1,17.29,2733911.2,337,6,0,1.014
9,1,2,19.04,33999.0,0,110,0,1.0
9,1,3,16.81,2986766.0,382,1,0,1.017
9,1,4,25.54,540.7,0,109,0,1.0
9,1,5,18.36,3100938.3,386,5,0,1.009
9,1,6,8.63,779743.9,55,87,0,1.035
9,1,7,5.33,2665502.2,315,20,0,1.02
9,1,8,8.28,2967137.7,364,4,0,1.027
9,1,9,16.95,8484.3,0,114,0,1.0
9,1,10,5.22,3177870.0,395,0,0,1.032
9,1,11,27.19,2094163.4,243,36,0,1.021
9,1,12,16.04,1350.7,0,109,0,1.0
9,1,13,25.94,1954232.0,197,48,0,1.034
9,1,14,7.56,2677758.2,327,12,0,1.032
9,1,15,10.93,1106230.2,82,84,0,1.003
9,1,16,21.21,2963973.0,368,3,0,1.025
9,1,17,10.16,2254008.3,266,27,0,1.006
9,1,18,13.45,570202.2,20,107,0,1.013
9,1,19,28.59,28573.7,0,111,0,1.0
9,1,20,28.46,2012907.3,233,26,0,1.007
9,1,21,7.19,788116.6,53,93,0,1.007
9,1,22,21.02,2393707.1,283,23,0,1.018
9,1,23,22.73,202065.6,8,104,0,1.0
9,1,24,27.19,1034.6,0,107,0,1.0
9,1,25,13.95,46396.9,0,112,0,1.0
9,1,26,20.95,2429767.6,281,19,0,1.019
9,1,27,28.46,0.0,0,0,0,0.0
9,1,28,27.22,0.0,0,0,0,0.0
9,1,29,21.5,0.0,0,0,0,0.0
9,1,30,21.16,0.0,0,0,0,0.0
9,1,31,18.93,0.0,0,0,0,0.0
9,2,0,6.96,222.2,0,111,0,1.0
9,2,1,7.77,1557841.5,153,69,0,1.01
9,2,2,20.56,53758.3,0,116,0,1.0
9,2,3,13.62,2965264.4,361,7,0,1.024
9,2,4,16.07,2487257.1,304,13,0,1.017
9,2,5,14.57,455.3,0,115,0,1.0
9,2,6,13.01,3119248.0,387,0,0,1.026
9,2,7,22.07,357585.7,12,102,0,1.0
9,2,8,12.5,248272.3,11,112,0,1.0
9,2,9,25.95,25716.7,1,112,0,1.0
9,2,10,28.65,1337363.8,110,76,0,1.0
9,2,11,13.51,21517.3,0,114,0,1.053
9,2,12,8.75,3238686.0,407,0,0,1.005
9,2,13,16.81,694969.1,42,105,0,1.01
9,2,14,15.53,1413365.3,125,67,0,1.009
9,2,15,24.33,416753.4,13,113,0,1.0
9,2,16,27.2,2690865.4,319,10,0,1.008
9,2,17,22.13,3077686.6,383,2,0,1.016
9,2,18,7.17,3094075.6,372,1,0,1.014
9,2,19,25.2,1094621.9,86,81,0,1.003
9,2,20,14.13,9116.2,0,105,0,1.0
9,2,21,13.24,800006.9,49,89,0,1.016
9,2,22,17.91,2698357.5,328,10,0,1.015
9,2,23,17.9,2695492.4,332,7,0,1.011
9,2,24,22.87,32745.9,0,107,0,1.0
9,2,25,14.85,796.1,0,107,0,1.0
9,2,26,13.33,504227.8,25,94,0,1.006
9,2,27,21.36,2871979.8,358,4,0,1.014
9,2,28,11.89,129394.0,2,114,0,1.0
9,2,29,27.14,3009557.9,373,5,0,1.015
9,2,30,26.39,0.0,0,0,0,0.0
9,2,31,12.54,0.0,0,0,0,0.0
19,0,0,6.65,57520.0,0,110,0,1.0
19,0,1,22.27,5220.4,0,114,0,1.017
19,0,2,20.19,3015430.4,383,1,0,1.056
19,0,3,15.08,3169254.0,394,0,0,1.062
19,0,4,12.66,30659.0,0,110,0,1.025
19,0,5,12.32,3012740.0,382,0,0,1.074
19,0,6,23.59,25241.5,0,109,0,1.0
19,0,7,29.41,3119753.0,389,0,0,1.073
19,0,8,26.89,145519.5,0,113,0,1.013
19,0,9,11.95,2804532.0,357,0,0,1.071
19,0,10,25.73,19285.9,0,111,0,1.009
19,0,11,9.19,3089592.0,385,0,0,1.071
19,0,12,11.11,2836354.0,357,1,0,1.074
19,0,13,15.51,130979.8,0,110,0,1.006
19,0,14,23.28,3172840.0,389,0,0,1.065
19,0,15,21.85,2535736.5,322,9,0,1.092
19,0,16,21.6,644.8,0,109,0,1.0
19,0,17,23.82,1790130.7,192,47,0,1.04
19,0,18,27.48,2367643.7,290,16,0,1.081
19,0,19,5.6,13840.3,0,112,0,1.008
19,0,20,13.77,3395735.0,425,0,0,1.054
19,0,21,17.56,2704283.8,334,7,0,1.061
19,0,22,22.78,36335.1,0,111,0,1.007
19,0,23,12.17,30289.5,0,114,0,1.0
19,0,24,22.8,0.0,0,0,0,0.0
19,0,25,12.77,0.0,0,0,0,0.0
19,0,26,10.24,0.0,0,0,0,0.0
19,0,27,18.02,0.0,0,0,0,0.0
19,0,28,17.56,0.0,0,0,0,0.0
19,0,29,14.3,0.0,0,0,0,0.0
19,0,30,23.94,0.0,0,0,0,0.0
19,0,31,26.59,0.0,0,0,0,0.0
19,1,0,15.71,8638.7,0,114,0,1.0
19,1,1,17.29,2927926.7,369,4,0,1.138
19,1,2,19.04,41765.0,0,111,0,1.032
19,1,3,16.81,3191358.0,397,2,0,1.177
19,1,4,25.54,2736.5,0,105,0,1.0
19,1,5,18.36,2921993.0,359,6,0,1.169
19,1,6,8.63,799630.9,43,102,0,1.224
19,1,7,5.33,2606258.8,320,14,0,1.135
19,1,8,8.28,3059345.4,369,3,0,1.124
19,1,9,16.95,33033.6,0,115,0,1.022
19,1,10,5.22,3112708.0,393,0,0,1.158
19,1,11,27.19,2188761.5,248,33,0,1.204
19,1,12,16.04,1787.0,0,116,0,1.0
19,1,13,25.94,2050705.7,234,43,0,1.196
19,1,14,7.56,2690781.6,335,10,0,1.132
19,1,15,10.93,831401.4,56,96,0,1.242
19,1,16,21.21,3099091.2,383,1,0,1.141
19,1,17,10.16,2281700.8,264,26,0,1.117
19,1,18,13.45,572134.3,23,106,0,1.182
19,1,19,28.59,60747.2,0,112,0,1.1
19,1,20,28.46,2490361.1,291,20,0,1.127
19,1,21,7.19,604856.9,38,94,0,1.182
19,1,22,21.02,2431446.1,284,24,0,1.137
19,1,23,22.73,220927.4,2,113,0,1.117
19,1,24,27.19,4925.4,0,111,0,1.0
19,1,25,13.95,35688.6,0,112,0,1.0
19,1,26,20.95,2364137.5,279,19,0,1.142
19,1,27,28.46,0.0,0,0,0,0.0
19,1,28,27.22,0.0,0,0,0,0.0
19,1,29,21.5,0.0,0,0,0,0.0
19,1,30,21.16,0.0,0,0,0,0.0
19,1,31,18.93,0.0,0,0,0,0.0
19,2,0,6.96,22.2,0,116,0,1.0
19,2,1,7.77,1724380.5,183,54,0,1.128
19,2,2,20.56,64033.9,0,100,0,1.02
19,2,3,13.62,2674867.5,318,15,0,1.122
19,2,4,16.07,2835722.9,359,3,0,1.094
19,2,5,14.57,552.8,0,109,0,1.0
19,2,6,13.01,3016458.0,377,0,0,1.065
19,2,7,22.07,295706.1,9,107,0,1.0
19,2,8,12.5,219450.0,5,107,0,1.051
19,2,9,25.95,26526.9,0,114,0,1.087
19,2,10,28.65,1120634.3,88,82,0,1.035
19,2,11,13.51,47001.8,0,106,0,1.088
19,2,12,8.75,3108968.0,396,0,0,1.081
19,2,13,16.81,881287.0,60,95,0,1.035
19,2,14,15.53,1247589.3,118,73,0,1.104
19,2,15,24.33,330585.7,11,105,0,1.054
19,2,16,27.2,2509846.9,293,20,0,1.091
19,2,17,22.13,2876104.3,364,1,0,1.088
19,2,18,7.17,2969152.0,361,1,0,1.091
19,2,19,25.2,1371947.5,121,78,0,1.104
19,2,20,14.13,10776.8,0,111,0,1.0
19,2,21,13.24,954320.0,72,93,0,1.081
19,2,22,17.91,2594407.4,311,8,0,1.103
19,2,23,17.9,3056303.4,372,3,0,1.088
19,2,24,22.87,46973.7,0,112,0,1.0
19,2,25,14.85,3722.6,0,111,0,1.0
19,2,26,13.33,408692.7,13,104,0,1.038
19,2,27,21.36,3178552.8,382,2,0,1.092
19,2,28,11.89,126620.6,0,110,0,1.0
19,2,29,27.14,2709237.0,345,3,0,1.13
19,2,30,26.39,0.0,0,0,0,0.0
19,2,31,12.54,0.0,0,0,0,0.0
29,0,0,6.65,123752.8,0,111,0,2.808
29,0,1,22.27,10853.5,0,107,5,2.814
29,0,2,20.19,2627044.0,326,0,0,2.399
29,0,3,15.08,2846999.0,366,0,0,2.362
29,0,4,12.66,75783.8,0,109,6,2.838
29,0,5,12.32,2893268.0,346,0,0,2.536
29,0,6,23.59,55051.3,0,119,5,2.886
29,0,7,29.41,2838163.0,359,0,0,2.388
29,0,8,26.89,405975.8,6,110,5,2.922
29,0,9,11.95,2361222.7,296,0,0,2.498
29,0,10,25.73,37304.0,0,109,8,2.952
29,0,11,9.19,2467038.0,308,0,0,2.481
29,0,12,11.11,2708251.0,342,0,0,2.454
29,0,13,15.51,433332.3,7,99,4,2.875
29,0,14,23.28,2707265.0,346,0,0,2.417
29,0,15,21.85,2381943.8,297,1,0,2.501
29,0,16,21.6,1130.3,0,108,9,2.91
29,0,17,23.82,1969059.2,249,7,0,2.642
29,0,18,27.48,2212738.0,282,0,0,2.555
29,0,19,5.6,36356.4,0,114,2,2.786
29,0,20,13.77,2909679.0,369,0,0,2.384
29,0,21,17.56,2297434.3,282,2,0,2.517
29,0,22,22.78,87983.0,0,108,10,2.792
29,0,23,12.17,75470.8,0,121,3,2.859
29,0,24,22.8,0.0,0,0,0,0.0
29,0,25,12.77,0.0,0,0,0,0.0
29,0,26,10.24,0.0,0,0,0,0.0
29,0,27,18.02,0.0,0,0,0,0.0
29,0,28,17.56,0.0,0,0,0,0.0
29,0,29,14.3,0.0,0,0,0,0.0
29,0,30,23.94,0.0,0,0,0,0.0
29,0,31,26.59,0.0,0,0,0,0.0
29,1,0,15.71,178692.8,0,98,20,3.545
29,1,1,17.29,2408396.0,295,0,0,3.342
29,1,2,19.04,721727.0,62,81,1,3.507
29,1,3,16.81,2561359.0,325,0,0,3.36
29,1,4,25.54,22933.6,0,93,35,3.569
29,1,5,18.36,2452950.7,309,0,2,3.387
29,1,6,8.63,1766449.2,214,11,1,3.381
29,1,7,5.33,2320100.1,290,1,3,3.362
29,1,8,8.28,2335046.0,295,0,0,3.338
29,1,9,16.95,156520.5,2,99,19,3.528
29,1,10,5.22,2608950.0,331,0,0,3.356
29,1,11,27.19,2252762.3,288,2,0,3.391
29,1,12,16.04,18559.5,0,102,19,3.466
29,1,13,25.94,1865608.8,233,2,0,3.385
29,1,14,7.56,2390928.0,298,0,0,3.364
29,1,15,10.93,1771865.1,223,11,0,3.424
29,1,16,21.21,2445669.0,315,0,0,3.336
29,1,17,10.16,2370043.0,292,1,0,3.347
29,1,18,13.45,1580181.9,182,21,2,3.451
29,1,19,28.59,644028.8,42,80,17,3.5
29,1,20,28.46,2410037.0,300,0,0,3.359
29,1,21,7.19,1724712.5,207,17,0,3.38
29,1,22,21.02,2342830.0,289,0,0,3.394
29,1,23,22.73,1183467.0,116,49,5,3.437
29,1,24,27.19,43859.2,0,103,22,3.55
29,1,25,13.95,428786.7,20,93,18,3.583
29,1,26,20.95,2365242.0,295,0,0,3.336
29,1,27,28.46,0.0,0,0,0,0.0
29,1,28,27.22,0.0,0,0,0,0.0
29,1,29,21.5,0.0,0,0,0,0.0
29,1,30,21.16,0.0,0,0,0,0.0
29,1,31,18.93,0.0,0,0,0,0.0
29,2,0,6.96,5656.7,0,110,3,3.137
29,2,1,7.77,2040756.4,244,5,2,3.171
29,2,2,20.56,247572.7,4,104,10,3.381
29,2,3,13.62,2017206.0,261,1,1,3.114
29,2,4,16.07,2314272.0,298,0,0,3.118
29,2,5,14.57,3182.2,0,107,14,3.375
29,2,6,13.01,2860406.0,360,0,0,3.079
29,2,7,22.07,1513331.6,171,39,1,3.17
29,2,8,12.5,1466748.8,166,30,3,3.282
29,2,9,25.95,227869.1,6,95,13,3.442
29,2,10,28.65,2028135.6,258,7,0,3.185
29,2,11,13.51,242398.5,3,106,9,3.372
29,2,12,8.75,2778073.0,346,0,0,3.1
29,2,13,16.81,1952501.3,234,11,0,3.21
29,2,14,15.53,1944484.0,241,0,0,3.186
29,2,15,24.33,1573845.1,185,29,1,3.25
29,2,16,27.2,2404135.0,307,0,0,3.13
29,2,17,22.13,2114471.0,273,1,1,3.055
29,2,18,7.17,2521875.8,308,0,0,3.099
29,2,19,25.2,1867595.4,227,9,1,3.178
29,2,20,14.13,54730.2,0,98,22,3.342
29,2,21,13.24,1646078.4,207,8,0,3.241
29,2,22,17.91,2623254.0,334,0,0,3.068
