update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,10.0,4413.4,0,106,0,1.0
9,0,1,10.0,68.8,0,108,0,1.0
9,0,2,10.0,2553523.4,318,7,0,1.0
9,0,3,10.0,3130526.0,393,0,0,1.0
9,0,4,10.0,2626.3,0,117,0,1.0
9,0,5,10.0,3221248.0,405,0,0,1.0
9,0,6,10.0,1880.9,0,105,0,1.0
9,0,7,10.0,3169776.0,392,0,0,1.0
9,0,8,10.0,121394.5,0,107,0,1.0
9,0,9,10.0,2388225.1,286,22,0,1.0
9,0,10,10.0,1281.0,0,110,0,1.0
9,0,11,10.0,2098004.8,235,33,0,1.0
9,0,12,10.0,2464153.1,292,17,0,1.0
9,0,13,10.0,41970.2,0,113,0,1.0
9,0,14,10.0,3225723.0,403,0,0,1.0
9,0,15,10.0,2042244.3,233,25,0,1.0
9,0,16,10.0,159.8,0,111,0,1.0
9,0,17,10.0,1460832.9,133,68,0,1.0
9,0,18,10.0,1517402.2,152,49,0,1.0
9,0,19,10.0,763.8,0,111,0,1.0
9,0,20,10.0,3097458.0,386,1,0,1.0
9,0,21,10.0,2166740.2,241,33,0,1.0
9,0,22,10.0,6410.5,0,118,0,1.0
9,0,23,10.0,2860.1,0,114,0,1.0
9,0,24,10.0,2944841.4,354,12,0,1.0
9,0,25,10.0,13087.9,0,106,0,1.0
9,0,26,10.0,2968334.0,371,4,0,1.0
9,0,27,10.0,12894.8,0,111,0,1.0
9,0,28,10.0,400746.1,15,98,0,1.0
9,0,29,10.0,406631.8,14,100,0,1.0
9,0,30,10.0,2816218.3,342,6,0,1.0
9,0,31,10.0,3305262.0,410,1,0,1.0
9,1,0,10.0,7540.7,0,113,0,1.0
9,1,1,10.0,2503295.4,275,34,0,1.0
9,1,2,10.0,102075.8,1,110,0,1.0
9,1,3,10.0,3273630.3,410,1,0,1.0
9,1,4,10.0,1533.9,0,115,0,1.0
9,1,5,10.0,2100559.5,220,37,0,1.0
9,1,6,10.0,1185946.7,87,80,0,1.0
9,1,7,10.0,1736962.2,181,55,0,1.0
9,1,8,10.0,2352017.3,274,33,0,1.0
9,1,9,10.0,11422.8,0,113,0,1.0
9,1,10,10.0,2838357.8,343,13,0,1.0
9,1,11,10.0,1702636.3,172,57,0,1.0
9,1,12,10.0,117.2,0,105,0,1.0
9,1,13,10.0,1585458.6,143,62,0,1.0
9,1,14,10.0,1969027.9,216,43,0,1.0
9,1,15,10.0,1192581.6,79,84,0,1.0
9,1,16,10.0,2617142.1,309,21,0,1.0
9,1,17,10.0,2046368.6,217,43,0,1.0
9,1,18,10.0,840958.2,45,88,0,1.0
9,1,19,10.0,140190.9,1,106,0,1.0
9,1,20,10.0,1983252.4,206,45,0,1.0
9,1,21,10.0,904671.6,55,88,0,1.0
9,1,22,10.0,2338632.6,256,39,0,1.0
9,1,23,10.0,255995.1,9,108,0,1.0
9,1,24,10.0,1131.6,0,113,0,1.0
9,1,25,10.0,40830.3,0,112,0,1.0
9,1,26,10.0,2304708.1,256,31,0,1.0
9,1,27,10.0,1671863.4,150,67,0,1.0
9,1,28,10.0,143840.4,0,112,0,1.0
9,1,29,10.0,20646.6,0,108,0,1.0
9,1,30,10.0,2999.3,0,113,0,1.0
9,1,31,10.0,1480239.6,139,67,0,1.0
9,2,0,10.0,0.0,0,109,0,0.0
9,2,1,10.0,1330368.2,109,69,0,1.0
9,2,2,10.0,83175.9,1,110,0,1.0
9,2,3,10.0,1862189.3,186,57,0,1.0
9,2,4,10.0,2290201.3,248,40,0,1.0
9,2,5,10.0,0.0,0,111,0,0.0
9,2,6,10.0,3053467.9,386,2,0,1.0
9,2,7,10.0,764163.4,29,98,0,1.0
9,2,8,10.0,627177.1,21,108,0,1.0
9,2,9,10.0,40874.8,0,112,0,1.0
9,2,10,10.0,1141805.9,81,81,0,1.0
9,2,11,10.0,33602.6,0,115,0,1.0
9,2,12,10.0,2939393.2,364,4,0,1.0
9,2,13,10.0,895433.6,35,95,0,1.0
9,2,14,10.0,1350019.1,107,74,0,1.0
9,2,15,10.0,816346.7,39,99,0,1.0
9,2,16,10.0,2096844.7,224,46,0,1.0
9,2,17,10.0,2469361.3,292,21,0,1.0
9,2,18,10.0,2564539.0,302,26,0,1.0
9,2,19,10.0,1253590.7,96,78,0,1.0
9,2,20,10.0,3637.8,0,106,0,1.0
9,2,21,10.0,1076283.4,63,96,0,1.0
9,2,22,10.0,2436866.6,267,38,0,1.0
9,2,23,10.0,2373152.1,261,35,0,1.0
9,2,24,10.0,100656.0,1,108,0,1.0
9,2,25,10.0,2245.7,0,109,0,1.0
9,2,26,10.0,893086.2,50,97,0,1.0
9,2,27,10.0,2182445.9,241,35,0,1.0
9,2,28,10.0,301724.7,7,110,0,1.0
9,2,29,10.0,2289386.1,259,30,0,1.0
9,2,30,10.0,1684770.2,169,51,0,1.0
