update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,10.0,1518777.9,151,35,0,2.711
9,0,1,10.0,366839.3,1,107,2,3.045
9,0,2,10.0,1695926.9,195,24,0,2.597
9,0,3,10.0,2773618.3,345,2,0,1.741
9,0,4,10.0,1099518.2,88,60,1,2.862
9,0,5,10.0,2993980.0,388,0,0,1.527
9,0,6,10.0,3149365.0,384,0,0,1.593
9,0,7,10.0,688174.5,30,95,1,3.095
9,0,8,10.0,3100911.8,385,1,0,1.596
9,0,9,10.0,2557134.1,313,9,0,1.817
9,0,10,10.0,2827008.6,349,2,0,1.783
9,0,11,10.0,77992.6,0,113,8,3.093
9,0,12,10.0,725956.4,46,77,3,2.884
9,0,13,10.0,370172.3,3,100,4,3.122
9,0,14,10.0,2945994.6,369,1,0,1.647
9,0,15,10.0,2600714.9,323,1,0,1.805
9,1,0,10.0,515778.7,9,105,2,3.009
9,1,1,10.0,2655429.0,329,0,0,2.08
9,1,2,10.0,3088357.0,382,0,0,1.759
9,1,3,10.0,42440.7,0,113,6,3.193
9,1,4,10.0,2836837.3,348,1,0,1.92
9,1,5,10.0,2613490.4,318,3,0,2.063
9,1,6,10.0,2437533.6,296,5,0,1.98
9,1,7,10.0,1593457.9,168,33,0,2.628
9,1,8,10.0,168278.3,0,108,4,2.974
9,1,9,10.0,306032.5,0,113,3,3.19
9,1,10,10.0,2662641.8,328,6,0,1.919
9,1,11,10.0,2291494.5,261,10,0,2.278
9,1,12,10.0,2881549.8,355,1,0,1.786
9,1,13,10.0,2187528.4,269,7,0,2.082
9,1,14,10.0,2169963.0,267,6,0,2.302
9,1,15,10.0,1098025.4,95,60,0,2.935
9,2,0,10.0,2960318.4,373,2,0,1.843
9,2,1,10.0,2889586.7,364,2,0,1.818
9,2,2,10.0,2888772.3,355,1,0,1.715
9,2,3,10.0,1728556.2,188,27,0,2.312
9,2,4,10.0,10481.2,0,95,8,2.974
9,2,5,10.0,526617.9,12,97,1,3.016
9,2,6,10.0,2877383.8,364,1,0,1.762
9,2,7,10.0,2592451.5,327,5,0,1.718
9,2,8,10.0,2983460.0,373,0,0,1.518
9,2,9,10.0,367481.1,4,117,0,3.011
9,2,10,10.0,2870228.4,357,4,0,1.638
9,2,11,10.0,314988.3,2,113,2,2.865
9,2,12,10.0,1957544.2,238,11,0,2.346
9,2,13,10.0,863305.0,53,73,2,2.736
9,2,14,10.0,13939.6,0,107,9,2.937
9,2,15,10.0,3066485.0,378,0,0,1.532
19,0,0,10.0,1427403.0,132,50,0,1.085
19,0,1,10.0,295556.3,2,107,0,1.005
19,0,2,10.0,1724400.3,177,50,0,1.072
19,0,3,10.0,3066063.0,383,0,0,1.072
19,0,4,10.0,1167643.9,84,76,0,1.063
19,0,5,10.0,3353968.0,417,0,0,1.067
19,0,6,10.0,3072926.0,379,0,0,1.086
19,0,7,10.0,401258.6,4,107,0,1.003
19,0,8,10.0,2865073.0,369,0,0,1.078
19,0,9,10.0,2188228.6,250,30,0,1.046
19,0,10,10.0,2923828.4,354,5,0,1.077
19,0,11,10.0,46297.8,0,111,0,1.0
19,0,12,10.0,706201.8,38,83,0,1.039
19,0,13,10.0,221787.8,0,112,0,1.016
19,0,14,10.0,3114418.0,392,0,0,1.061
19,0,15,10.0,3278349.6,402,2,0,1.052
19,1,0,10.0,571632.0,26,97,0,1.067
19,1,1,10.0,2803812.3,345,9,0,1.155
19,1,2,10.0,3096594.7,383,2,0,1.208
19,1,3,10.0,18644.3,0,115,0,1.0
19,1,4,10.0,2615993.3,314,13,0,1.139
19,1,5,10.0,1925963.3,194,39,0,1.079
19,1,6,10.0,2572600.6,309,14,0,1.12
19,1,7,10.0,1742841.0,185,39,0,1.13
19,1,8,10.0,96032.2,0,108,0,1.026
19,1,9,10.0,225098.5,0,114,0,1.029
19,1,10,10.0,2771926.2,340,5,0,1.117
19,1,11,10.0,1881668.9,192,43,0,1.104
19,1,12,10.0,3099555.4,374,1,0,1.159
19,1,13,10.0,2287700.7,264,23,0,1.085
19,1,14,10.0,1916129.6,190,47,0,1.135
19,1,15,10.0,1065145.9,82,70,0,1.102
19,2,0,10.0,3022535.0,378,0,0,1.079
19,2,1,10.0,2951065.0,370,1,0,1.091
19,2,2,10.0,3160040.0,393,0,0,1.053
19,2,3,10.0,1878922.3,211,26,0,1.126
19,2,4,10.0,6619.7,0,118,0,1.013
19,2,5,10.0,495893.4,15,102,0,1.082
19,2,6,10.0,2894132.0,365,0,0,1.067
19,2,7,10.0,2760348.6,349,3,0,1.034
19,2,8,10.0,3205353.0,396,0,0,1.036
19,2,9,10.0,243087.2,2,113,0,1.002
19,2,10,10.0,2948607.8,367,7,0,1.059
19,2,11,10.0,331030.3,3,105,0,1.009
19,2,12,10.0,1669509.7,170,48,0,1.062
19,2,13,10.0,962377.7,71,65,0,1.026
19,2,14,10.0,7054.9,0,108,0,1.0
19,2,15,10.0,2978894.0,384,0,0,1.049
29,0,0,10.0,1469258.5,175,13,1,3.905
29,0,1,10.0,523136.7,33,68,28,3.858
29,0,2,10.0,1459203.0,180,12,1,3.901
29,0,3,10.0,2298848.0,293,0,0,3.866
29,0,4,10.0,1262604.7,136,24,11,3.898
29,0,5,10.0,2920239.0,360,0,0,3.888
29,0,6,10.0,2862314.0,353,0,0,3.897
29,0,7,10.0,837365.8,69,57,14,3.853
29,0,8,10.0,2619416.0,332,0,0,3.9
29,0,9,10.0,2218847.0,285,0,0,3.915
29,0,10,10.0,2403830.0,305,0,0,3.906
29,0,11,10.0,102787.9,0,72,55,3.846
29,0,12,10.0,996762.3,90,49,15,3.89
29,0,13,10.0,459281.9,22,79,29,3.862
29,0,14,10.0,2416960.0,301,0,0,3.877
29,0,15,10.0,2087534.0,263,4,0,3.889
29,1,0,10.0,747374.1,63,48,27,3.863
29,1,1,10.0,2537679.0,318,0,0,3.86
29,1,2,10.0,2786540.0,351,0,0,3.859
29,1,3,10.0,55707.9,0,58,83,3.781
29,1,4,10.0,2231066.0,275,0,0,3.886
29,1,5,10.0,2233072.0,276,0,0,3.85
29,1,6,10.0,2392869.0,293,0,0,3.885
29,1,7,10.0,1589798.5,191,8,1,3.882
29,1,8,10.0,193836.4,0,56,85,3.82
29,1,9,10.0,515179.6,32,67,34,3.825
29,1,10,10.0,2373609.3,290,0,0,3.857
29,1,11,10.0,1751082.1,218,3,0,3.904
29,1,12,10.0,2406005.0,308,0,0,3.88
29,1,13,10.0,1879204.0,234,0,0,3.885
29,1,14,10.0,1805339.1,226,4,0,3.871
29,1,15,10.0,1231563.9,136,32,5,3.868
29,2,0,10.0,2250719.0,283,0,0,3.959
29,2,1,10.0,2307971.0,294,0,0,3.937
29,2,2,10.0,2628716.0,326,0,0,3.96
29,2,3,10.0,1498990.5,186,11,0,3.961
29,2,4,10.0,9845.3,0,58,80,3.894
29,2,5,10.0,620715.2,45,63,32,3.937
29,2,6,10.0,2404681.0,306,0,0,3.946
29,2,7,10.0,2201071.0,280,0,0,3.948
29,2,8,10.0,2705194.0,336,1,0,3.944
29,2,9,10.0,544929.2,24,84,20,3.918
29,2,10,10.0,2156559.0,266,1,0,3.961
29,2,11,10.0,418744.7,25,65,47,3.924
29,2,12,10.0,1633875.4,212,3,0,3.945
29,2,13,10.0,841853.0,61,55,31,3.951
29,2,14,10.0,12742.0,0,64,70,3.903
29,2,15,10.0,2577212.0,319,0,0,3.961
39,0,0,10.0,1511744.4,183,12,1,3.576
39,0,1,10.0,522349.1,29,76,17,3.567
39,0,2,10.0,1684374.2,195,15,0,3.602
39,0,3,10.0,2516212.0,316,0,0,3.564
39,0,4,10.0,1352274.9,152,24,4,3.598
39,0,5,10.0,3207542.0,398,0,0,3.53
39,0,6,10.0,3070431.0,376,0,0,3.511
39,0,7,10.0,840524.2,75,53,6,3.574
39,0,8,10.0,2661309.0,347,0,0,3.526
39,0,9,10.0,2177306.0,266,0,0,3.577
39,0,10,10.0,2430096.7,300,1,0,3.523
39,0,11,10.0,109132.6,0,96,27,3.544
39,0,12,10.0,998312.2,101,39,12,3.617
39,0,13,10.0,526430.6,22,93,12,3.533
39,0,14,10.0,2410244.1,301,1,0,3.555
39,0,15,10.0,2242207.2,272,3,0,3.561
39,1,0,10.0,807937.4,70,54,24,3.613
39,1,1,10.0,2649825.0,329,0,0,3.533
39,1,2,10.0,2907285.0,357,0,0,3.641
39,1,3,10.0,54350.7,0,74,62,3.601
39,1,4,10.0,2317302.0,280,0,0,3.608
39,1,5,10.0,2149813.7,271,0,0,3.66
39,1,6,10.0,2404665.0,294,0,0,3.614
39,1,7,10.0,1562612.1,185,12,3,3.64
39,1,8,10.0,238666.4,3,75,49,3.573
39,1,9,10.0,540265.1,25,81,29,3.59
39,1,10,10.0,2256083.0,284,0,0,3.659
39,1,11,10.0,1894317.3,236,2,0,3.666
39,1,12,10.0,2520095.0,310,0,0,3.677
39,1,13,10.0,1904573.0,239,2,0,3.654
39,1,14,10.0,1950683.0,237,1,0,3.643
39,1,15,10.0,1375452.2,157,23,3,3.65
39,2,0,10.0,2407258.0,307,0,0,3.607
39,2,1,10.0,2298670.3,291,1,0,3.628
39,2,2,10.0,2913498.0,364,0,0,3.569
39,2,3,10.0,1737461.0,220,1,0,3.62
39,2,4,10.0,12317.0,0,91,38,3.579
39,2,5,10.0,733842.8,60,63,17,3.579
39,2,6,10.0,2459595.0,303,0,0,3.649
39,2,7,10.0,2314763.0,288,0,0,3.609
39,2,8,10.0,2625539.0,323,1,0,3.535
39,2,9,10.0,517465.3,25,86,11,3.573
39,2,10,10.0,2107330.0,272,0,0,3.608
39,2,11,10.0,426075.1,21,77,29,3.577
39,2,12,10.0,1742266.0,217,0,0,3.631
39,2,13,10.0,1043490.1,96,40,29,3.625
39,2,14,10.0,16623.4,0,72,53,3.585
39,2,15,10.0,2687625.0,337,0,0,3.602
49,0,0,10.0,1969970.1,236,10,0,1.361
49,0,1,10.0,158843.8,3,106,0,1.118
49,0,2,10.0,2170392.7,261,12,0,1.3
49,0,3,10.0,3046476.0,388,0,0,1.305
49,0,4,10.0,1402758.4,146,36,0,1.298
49,0,5,10.0,3013510.0,384,0,0,1.225
49,0,6,10.0,3203671.0,407,0,0,1.314
49,0,7,10.0,296784.7,16,95,0,1.177
49,0,8,10.0,3191231.0,394,0,0,1.307
49,0,9,10.0,2861455.8,357,1,0,1.186
49,0,10,10.0,3031761.0,375,0,0,1.23
49,0,11,10.0,21477.9,0,109,0,1.049
49,0,12,10.0,744105.2,52,88,0,1.191
49,0,13,10.0,157915.2,1,111,0,1.109
49,0,14,10.0,2891093.0,347,0,0,1.31
49,0,15,10.0,2880571.0,361,0,0,1.24
49,1,0,10.0,433300.3,19,99,0,1.56
49,1,1,10.0,3030366.8,383,0,0,1.522
49,1,2,10.0,3061931.0,374,0,0,1.597
49,1,3,10.0,9923.4,0,113,0,1.517
49,1,4,10.0,2858465.5,353,0,0,1.49
49,1,5,10.0,2536266.6,301,4,0,1.467
49,1,6,10.0,2884972.0,350,0,0,1.493
49,1,7,10.0,1903829.7,218,23,0,1.602
49,1,8,10.0,36006.6,0,108,0,1.113
49,1,9,10.0,148322.3,3,102,0,1.37
49,1,10,10.0,2684096.8,327,0,0,1.501
49,1,11,10.0,2494072.7,311,1,0,1.478
49,1,12,10.0,2879018.0,356,0,0,1.656
49,1,13,10.0,2686977.7,337,0,0,1.435
49,1,14,10.0,2508271.8,304,5,0,1.472
49,1,15,10.0,1299656.1,134,43,0,1.658
49,2,0,10.0,3041356.0,376,0,0,1.229
49,2,1,10.0,3048449.0,402,0,0,1.149
49,2,2,10.0,3070288.0,379,0,0,1.244
49,2,3,10.0,2483019.1,304,1,0,1.313
49,2,4,10.0,1693.2,0,106,0,1.0
49,2,5,10.0,447310.8,18,101,0,1.133
49,2,6,10.0,2920743.0,373,0,0,1.25
49,2,7,10.0,2905799.0,368,0,0,1.169
49,2,8,10.0,3012714.0,377,0,0,1.3
49,2,9,10.0,209965.7,4,113,0,1.069
49,2,10,10.0,3114568.0,382,0,0,1.182
49,2,11,10.0,343187.4,13,108,0,1.079
49,2,12,10.0,2312494.2,283,11,0,1.254
49,2,13,10.0,1033300.0,97,51,0,1.168
49,2,14,10.0,6373.2,0,107,0,1.013
49,2,15,10.0,3107029.0,383,0,0,1.286
59,0,0,10.0,1636067.2,182,33,0,1.0
59,0,1,10.0,189187.4,3,109,0,1.0
59,0,2,10.0,2132949.0,268,14,0,1.0
59,0,3,10.0,3252360.0,408,0,0,1.0
59,0,4,10.0,1152324.2,114,44,0,1.0
59,0,5,10.0,3228129.0,400,0,0,1.007
59,0,6,10.0,3260917.0,408,0,0,1.0
59,0,7,10.0,282146.9,10,104,0,1.0
59,0,8,10.0,3185502.0,406,0,0,1.0
59,0,9,10.0,2685763.0,324,4,0,1.006
59,0,10,10.0,3223865.0,396,0,0,1.0
59,0,11,10.0,30906.4,0,121,0,1.0
59,0,12,10.0,630713.3,37,85,0,1.0
59,0,13,10.0,148952.9,5,107,0,1.0
59,0,14,10.0,2976128.0,370,0,0,1.004
59,0,15,10.0,3136175.0,386,0,0,1.002
59,1,0,10.0,352584.4,15,103,0,1.0
59,1,1,10.0,2794218.7,351,3,0,1.004
59,1,2,10.0,3267810.0,408,0,0,1.012
59,1,3,10.0,10473.3,0,115,0,1.0
59,1,4,10.0,2917005.0,356,1,0,1.0
59,1,5,10.0,2260349.0,273,9,0,1.005
59,1,6,10.0,3180750.0,382,0,0,1.001
59,1,7,10.0,1307326.1,130,53,0,1.0
59,1,8,10.0,49853.5,0,109,0,1.0
59,1,9,10.0,126395.2,1,113,0,1.0
59,1,10,10.0,3230640.0,401,0,0,1.009
59,1,11,10.0,2080888.8,246,16,0,1.009
59,1,12,10.0,3266427.0,406,0,0,1.011
59,1,13,10.0,2624847.2,337,4,0,1.004
59,1,14,10.0,2207183.1,255,19,0,1.001
59,1,15,10.0,959700.7,75,75,0,1.0
59,2,0,10.0,3223808.0,390,0,0,1.002
59,2,1,10.0,3175124.0,403,0,0,1.0
59,2,2,10.0,3242185.0,400,0,0,1.006
59,2,3,10.0,2284121.6,288,1,0,1.0
59,2,4,10.0,1694.4,0,107,0,1.0
59,2,5,10.0,415881.2,17,99,0,1.0
59,2,6,10.0,3026587.0,383,0,0,1.0
59,2,7,10.0,2959829.0,373,0,0,1.005
59,2,8,10.0,3300475.0,422,0,0,1.0
59,2,9,10.0,200956.0,3,111,0,1.0
59,2,10,10.0,3027623.0,378,0,0,1.0
59,2,11,10.0,290947.6,8,119,0,1.0
59,2,12,10.0,2171827.8,264,10,0,1.0
59,2,13,10.0,875916.9,75,66,0,1.0
59,2,14,10.0,5246.1,0,112,0,1.0
59,2,15,10.0,3207174.0,401,0,0,1.002
69,0,0,10.0,1816497.5,216,16,0,1.451
69,0,1,10.0,205442.9,1,107,0,1.164
69,0,2,10.0,2276665.3,281,6,0,1.359
69,0,3,10.0,2895606.0,370,0,0,1.355
69,0,4,10.0,1511650.9,153,41,0,1.402
69,0,5,10.0,3256906.0,408,0,0,1.383
69,0,6,10.0,3203816.0,393,0,0,1.475
69,0,7,10.0,373106.1,18,102,0,1.325
69,0,8,10.0,3090644.0,381,0,0,1.387
69,0,9,10.0,2630026.8,318,7,0,1.217
69,0,10,10.0,2835310.0,356,0,0,1.306
69,0,11,10.0,35146.6,0,113,0,1.208
69,0,12,10.0,699218.2,46,87,0,1.331
69,0,13,10.0,197061.3,2,107,0,1.289
69,0,14,10.0,3131088.3,379,0,0,1.339
69,0,15,10.0,2923148.0,363,0,0,1.337
69,1,0,10.0,463057.4,23,99,0,1.704
69,1,1,10.0,3023882.0,380,0,0,1.589
69,1,2,10.0,3049165.0,380,0,0,1.688
69,1,3,10.0,20679.4,0,113,0,1.59
69,1,4,10.0,2784097.0,349,0,0,1.599
69,1,5,10.0,2484133.9,300,9,0,1.584
69,1,6,10.0,2749506.0,338,0,0,1.629
