[MixedLoad_L2] best.pt update 219 (3-seed eval 10087.3), critic_v2=False
[MixedLoad_L2] seed 10000 SU-CQI         7952.5 (14s)
[MixedLoad_L2] seed 10000 SUS-CQI@0.8    6281.6 (15s)
[MixedLoad_L2] seed 10000 Hybrid<=10     6307.8 (17s)
[MixedLoad_L2] seed 10000 Hybrid<=14     6177.2 (19s)
[MixedLoad_L2] seed 10000 Hybrid<=18     7534.5 (20s)
[MixedLoad_L2] seed 10000 Hybrid<=22     7952.5 (21s)
[MixedLoad_L2] seed 10000 PPO-best       8033.3 (36s)
[MixedLoad_L2] seed 10001 SU-CQI         8106.3 (46s)
[MixedLoad_L2] seed 10001 SUS-CQI@0.8   10035.8 (48s)
[MixedLoad_L2] seed 10001 Hybrid<=10    10026.4 (49s)
[MixedLoad_L2] seed 10001 Hybrid<=14     9903.8 (51s)
[MixedLoad_L2] seed 10001 Hybrid<=18     9141.5 (53s)
[MixedLoad_L2] seed 10001 Hybrid<=22     8208.6 (54s)
[MixedLoad_L2] seed 10001 PPO-best      10658.9 (72s)
[MixedLoad_L2] seed 10002 SU-CQI         7570.9 (80s)
[MixedLoad_L2] seed 10002 SUS-CQI@0.8   10701.7 (82s)
[MixedLoad_L2] seed 10002 Hybrid<=10    10701.7 (84s)
[MixedLoad_L2] seed 10002 Hybrid<=14    10587.6 (86s)
[MixedLoad_L2] seed 10002 Hybrid<=18    10428.6 (88s)
[MixedLoad_L2] seed 10002 Hybrid<=22     8635.4 (89s)
[MixedLoad_L2] seed 10002 PPO-best      11438.1 (107s)
[MixedLoad_L2] seed 10003 SU-CQI         7721.3 (116s)
[MixedLoad_L2] seed 10003 SUS-CQI@0.8    8659.8 (117s)
[MixedLoad_L2] seed 10003 Hybrid<=10     8495.3 (119s)
[MixedLoad_L2] seed 10003 Hybrid<=14     8609.9 (121s)
[MixedLoad_L2] seed 10003 Hybrid<=18     8155.7 (123s)
[MixedLoad_L2] seed 10003 Hybrid<=22     7786.3 (124s)
[MixedLoad_L2] seed 10003 PPO-best       9353.0 (141s)
[MixedLoad_L2] seed 10004 SU-CQI         9348.2 (150s)
[MixedLoad_L2] seed 10004 SUS-CQI@0.8   12768.6 (152s)
[MixedLoad_L2] seed 10004 Hybrid<=10    12750.5 (154s)
[MixedLoad_L2] seed 10004 Hybrid<=14    12771.3 (156s)
[MixedLoad_L2] seed 10004 Hybrid<=18    12439.9 (157s)
[MixedLoad_L2] seed 10004 Hybrid<=22    10586.8 (159s)
[MixedLoad_L2] seed 10004 PPO-best      13112.5 (177s)
[MixedLoad_L2] seed 10005 SU-CQI         9049.1 (185s)
[MixedLoad_L2] seed 10005 SUS-CQI@0.8    8006.6 (187s)
[MixedLoad_L2] seed 10005 Hybrid<=10     7904.5 (189s)
[MixedLoad_L2] seed 10005 Hybrid<=14     8718.1 (190s)
[MixedLoad_L2] seed 10005 Hybrid<=18     9049.1 (191s)
[MixedLoad_L2] seed 10005 Hybrid<=22     9049.1 (192s)
[MixedLoad_L2] seed 10005 PPO-best       9220.3 (208s)
[MixedLoad_L2] seed 10006 SU-CQI         7781.6 (216s)
[MixedLoad_L2] seed 10006 SUS-CQI@0.8    6092.8 (218s)
[MixedLoad_L2] seed 10006 Hybrid<=10     6269.2 (220s)
[MixedLoad_L2] seed 10006 Hybrid<=14     7319.2 (221s)
[MixedLoad_L2] seed 10006 Hybrid<=18     7781.6 (222s)
[MixedLoad_L2] seed 10006 Hybrid<=22     7781.6 (223s)
[MixedLoad_L2] seed 10006 PPO-best       7398.9 (239s)
[MixedLoad_L2] seed 10007 SU-CQI         7640.1 (247s)
[MixedLoad_L2] seed 10007 SUS-CQI@0.8    7139.2 (248s)
[MixedLoad_L2] seed 10007 Hybrid<=10     7053.2 (250s)
[MixedLoad_L2] seed 10007 Hybrid<=14     7563.6 (251s)
[MixedLoad_L2] seed 10007 Hybrid<=18     7640.1 (252s)
[MixedLoad_L2] seed 10007 Hybrid<=22     7640.1 (253s)
[MixedLoad_L2] seed 10007 PPO-best       7968.5 (269s)
[MixedLoad_L2] seed 10008 SU-CQI         6952.3 (277s)
[MixedLoad_L2] seed 10008 SUS-CQI@0.8    6852.5 (279s)
[MixedLoad_L2] seed 10008 Hybrid<=10     6700.0 (281s)
[MixedLoad_L2] seed 10008 Hybrid<=14     6894.0 (283s)
[MixedLoad_L2] seed 10008 Hybrid<=18     6799.3 (284s)
[MixedLoad_L2] seed 10008 Hybrid<=22     7020.3 (285s)
[MixedLoad_L2] seed 10008 PPO-best       7622.7 (301s)
[MixedLoad_L2] seed 10009 SU-CQI         8819.7 (310s)
[MixedLoad_L2] seed 10009 SUS-CQI@0.8   11104.3 (312s)
[MixedLoad_L2] seed 10009 Hybrid<=10    11104.3 (314s)
[MixedLoad_L2] seed 10009 Hybrid<=14    11105.2 (315s)
[MixedLoad_L2] seed 10009 Hybrid<=18    10369.3 (317s)
[MixedLoad_L2] seed 10009 Hybrid<=22     9129.2 (318s)
[MixedLoad_L2] seed 10009 PPO-best      12015.9 (336s)
[MixedLoad_L2] seed 10010 SU-CQI         5382.5 (344s)
[MixedLoad_L2] seed 10010 SUS-CQI@0.8    3763.2 (346s)
[MixedLoad_L2] seed 10010 Hybrid<=10     4113.1 (347s)
[MixedLoad_L2] seed 10010 Hybrid<=14     5430.9 (348s)
[MixedLoad_L2] seed 10010 Hybrid<=18     5382.5 (349s)
[MixedLoad_L2] seed 10010 Hybrid<=22     5382.5 (351s)
[MixedLoad_L2] seed 10010 PPO-best       5083.5 (365s)
[MixedLoad_L2] seed 10011 SU-CQI         8992.5 (373s)
[MixedLoad_L2] seed 10011 SUS-CQI@0.8    8891.0 (375s)
[MixedLoad_L2] seed 10011 Hybrid<=10     8871.6 (377s)
[MixedLoad_L2] seed 10011 Hybrid<=14     8610.1 (378s)
[MixedLoad_L2] seed 10011 Hybrid<=18     8919.2 (380s)
[MixedLoad_L2] seed 10011 Hybrid<=22     8992.5 (381s)
[MixedLoad_L2] seed 10011 PPO-best      10009.4 (397s)
[MixedLoad_L2] seed 10012 SU-CQI         6535.1 (405s)
[MixedLoad_L2] seed 10012 SUS-CQI@0.8    4697.1 (407s)
[MixedLoad_L2] seed 10012 Hybrid<=10     4676.9 (408s)
[MixedLoad_L2] seed 10012 Hybrid<=14     6255.7 (410s)
[MixedLoad_L2] seed 10012 Hybrid<=18     6535.1 (411s)
[MixedLoad_L2] seed 10012 Hybrid<=22     6535.1 (412s)
[MixedLoad_L2] seed 10012 PPO-best       6153.4 (427s)
[MixedLoad_L2] seed 10013 SU-CQI         9014.8 (435s)
[MixedLoad_L2] seed 10013 SUS-CQI@0.8   10744.4 (437s)
[MixedLoad_L2] seed 10013 Hybrid<=10    10821.9 (439s)
[MixedLoad_L2] seed 10013 Hybrid<=14    10885.3 (441s)
[MixedLoad_L2] seed 10013 Hybrid<=18    10041.1 (443s)
[MixedLoad_L2] seed 10013 Hybrid<=22     9141.4 (444s)
[MixedLoad_L2] seed 10013 PPO-best      11408.2 (462s)
[MixedLoad_L2] seed 10014 SU-CQI         9289.1 (470s)
[MixedLoad_L2] seed 10014 SUS-CQI@0.8    9270.9 (471s)
[MixedLoad_L2] seed 10014 Hybrid<=10     9067.5 (473s)
[MixedLoad_L2] seed 10014 Hybrid<=14     8962.9 (475s)
[MixedLoad_L2] seed 10014 Hybrid<=18     8865.4 (477s)
[MixedLoad_L2] seed 10014 Hybrid<=22     9192.3 (478s)
[MixedLoad_L2] seed 10014 PPO-best      10467.6 (494s)
[MixedLoad_L2] seed 10015 SU-CQI         8325.6 (502s)
[MixedLoad_L2] seed 10015 SUS-CQI@0.8    9540.2 (504s)
[MixedLoad_L2] seed 10015 Hybrid<=10     9738.8 (506s)
[MixedLoad_L2] seed 10015 Hybrid<=14     9631.8 (508s)
[MixedLoad_L2] seed 10015 Hybrid<=18     9285.3 (510s)
[MixedLoad_L2] seed 10015 Hybrid<=22     8362.1 (511s)
[MixedLoad_L2] seed 10015 PPO-best      10976.9 (528s)
[MixedLoad_L2] seed 10016 SU-CQI         9643.7 (536s)
[MixedLoad_L2] seed 10016 SUS-CQI@0.8   10300.3 (538s)
[MixedLoad_L2] seed 10016 Hybrid<=10    10288.9 (540s)
[MixedLoad_L2] seed 10016 Hybrid<=14    10056.2 (542s)
[MixedLoad_L2] seed 10016 Hybrid<=18     9601.2 (543s)
[MixedLoad_L2] seed 10016 Hybrid<=22     9669.2 (544s)
[MixedLoad_L2] seed 10016 PPO-best      11208.8 (561s)
[MixedLoad_L2] seed 10017 SU-CQI         7849.4 (569s)
[MixedLoad_L2] seed 10017 SUS-CQI@0.8    7643.1 (571s)
[MixedLoad_L2] seed 10017 Hybrid<=10     7388.2 (573s)
[MixedLoad_L2] seed 10017 Hybrid<=14     7729.5 (574s)
[MixedLoad_L2] seed 10017 Hybrid<=18     7849.4 (575s)
[MixedLoad_L2] seed 10017 Hybrid<=22     7849.4 (576s)
[MixedLoad_L2] seed 10017 PPO-best       8304.9 (592s)
[MixedLoad_L2] seed 10018 SU-CQI         7314.7 (600s)
[MixedLoad_L2] seed 10018 SUS-CQI@0.8    8179.1 (602s)
[MixedLoad_L2] seed 10018 Hybrid<=10     8085.7 (604s)
[MixedLoad_L2] seed 10018 Hybrid<=14     7935.9 (605s)
[MixedLoad_L2] seed 10018 Hybrid<=18     7826.4 (607s)
[MixedLoad_L2] seed 10018 Hybrid<=22     7358.1 (608s)
[MixedLoad_L2] seed 10018 PPO-best       9190.6 (625s)
[MixedLoad_L2] seed 10019 SU-CQI         8603.9 (634s)
[MixedLoad_L2] seed 10019 SUS-CQI@0.8   10323.8 (636s)
[MixedLoad_L2] seed 10019 Hybrid<=10    10323.8 (638s)
[MixedLoad_L2] seed 10019 Hybrid<=14    10211.9 (639s)
[MixedLoad_L2] seed 10019 Hybrid<=18    10167.8 (641s)
[MixedLoad_L2] seed 10019 Hybrid<=22     9234.0 (643s)
[MixedLoad_L2] seed 10019 PPO-best      11567.8 (660s)

=== MixedLoad_L2: FINAL 20-seed summary ===
  SU-CQI           8094.7 +- 1058.8
  SUS-CQI@0.8      8549.8 +- 2281.3
  Hybrid<=10       8534.5 +- 2255.5
  Hybrid<=14       8768.0 +- 1893.8
  Hybrid<=18       8690.7 +- 1616.9
  Hybrid<=22       8275.3 +- 1186.9
  PPO-best         9559.7 +- 2094.9
  oracle-envelope   8989.1  | best hybrid: Hybrid<=14 (8768.0)
  PPO - SUS-CQI@0.8:  +1009.9 CI[+855,+1165] 20/20승 (+11.81%) -> 유의한 승
