[MixedSpeed_L2b] best.pt update 859 (3-seed eval 10030.2), critic_v2=True
[MixedSpeed_L2b] seed 10000 SU-CQI         8121.4 (12s)
[MixedSpeed_L2b] seed 10000 SUS-CQI@0.8    6077.9 (14s)
[MixedSpeed_L2b] seed 10000 Hybrid<=10     6185.1 (16s)
[MixedSpeed_L2b] seed 10000 Hybrid<=14     6139.5 (17s)
[MixedSpeed_L2b] seed 10000 Hybrid<=18     7598.8 (19s)
[MixedSpeed_L2b] seed 10000 Hybrid<=22     8121.4 (20s)
[MixedSpeed_L2b] seed 10000 PPO-best       8082.2 (36s)
[MixedSpeed_L2b] seed 10001 SU-CQI         8135.2 (44s)
[MixedSpeed_L2b] seed 10001 SUS-CQI@0.8    9941.1 (46s)
[MixedSpeed_L2b] seed 10001 Hybrid<=10     9941.1 (47s)
[MixedSpeed_L2b] seed 10001 Hybrid<=14     9915.9 (49s)
[MixedSpeed_L2b] seed 10001 Hybrid<=18     8857.1 (51s)
[MixedSpeed_L2b] seed 10001 Hybrid<=22     8184.3 (52s)
[MixedSpeed_L2b] seed 10001 PPO-best      10667.1 (70s)
[MixedSpeed_L2b] seed 10002 SU-CQI         7590.8 (78s)
[MixedSpeed_L2b] seed 10002 SUS-CQI@0.8   10797.7 (80s)
[MixedSpeed_L2b] seed 10002 Hybrid<=10    10797.7 (82s)
[MixedSpeed_L2b] seed 10002 Hybrid<=14    10815.3 (84s)
[MixedSpeed_L2b] seed 10002 Hybrid<=18    10382.2 (85s)
[MixedSpeed_L2b] seed 10002 Hybrid<=22     8624.0 (87s)
[MixedSpeed_L2b] seed 10002 PPO-best      11408.7 (106s)
[MixedSpeed_L2b] seed 10003 SU-CQI         7613.9 (113s)
[MixedSpeed_L2b] seed 10003 SUS-CQI@0.8    8388.8 (115s)
[MixedSpeed_L2b] seed 10003 Hybrid<=10     8550.7 (117s)
[MixedSpeed_L2b] seed 10003 Hybrid<=14     8417.6 (118s)
[MixedSpeed_L2b] seed 10003 Hybrid<=18     7923.9 (120s)
[MixedSpeed_L2b] seed 10003 Hybrid<=22     7629.9 (121s)
[MixedSpeed_L2b] seed 10003 PPO-best       9263.9 (140s)
[MixedSpeed_L2b] seed 10004 SU-CQI         9347.2 (147s)
[MixedSpeed_L2b] seed 10004 SUS-CQI@0.8   12592.3 (149s)
[MixedSpeed_L2b] seed 10004 Hybrid<=10    12592.3 (151s)
[MixedSpeed_L2b] seed 10004 Hybrid<=14    12687.0 (153s)
[MixedSpeed_L2b] seed 10004 Hybrid<=18    12433.3 (154s)
[MixedSpeed_L2b] seed 10004 Hybrid<=22    10659.6 (156s)
[MixedSpeed_L2b] seed 10004 PPO-best      12855.4 (175s)
[MixedSpeed_L2b] seed 10005 SU-CQI         8994.4 (183s)
[MixedSpeed_L2b] seed 10005 SUS-CQI@0.8    8218.7 (184s)
[MixedSpeed_L2b] seed 10005 Hybrid<=10     7905.6 (186s)
[MixedSpeed_L2b] seed 10005 Hybrid<=14     8601.4 (187s)
[MixedSpeed_L2b] seed 10005 Hybrid<=18     8994.4 (188s)
[MixedSpeed_L2b] seed 10005 Hybrid<=22     8994.4 (189s)
[MixedSpeed_L2b] seed 10005 PPO-best       9497.7 (206s)
[MixedSpeed_L2b] seed 10006 SU-CQI         7698.9 (213s)
[MixedSpeed_L2b] seed 10006 SUS-CQI@0.8    6088.1 (215s)
[MixedSpeed_L2b] seed 10006 Hybrid<=10     5993.9 (216s)
[MixedSpeed_L2b] seed 10006 Hybrid<=14     6965.9 (218s)
[MixedSpeed_L2b] seed 10006 Hybrid<=18     7698.9 (219s)
[MixedSpeed_L2b] seed 10006 Hybrid<=22     7698.9 (220s)
[MixedSpeed_L2b] seed 10006 PPO-best       7686.4 (235s)
[MixedSpeed_L2b] seed 10007 SU-CQI         7583.0 (243s)
[MixedSpeed_L2b] seed 10007 SUS-CQI@0.8    7108.6 (245s)
[MixedSpeed_L2b] seed 10007 Hybrid<=10     7010.7 (246s)
[MixedSpeed_L2b] seed 10007 Hybrid<=14     7439.1 (247s)
[MixedSpeed_L2b] seed 10007 Hybrid<=18     7583.0 (249s)
[MixedSpeed_L2b] seed 10007 Hybrid<=22     7583.0 (250s)
[MixedSpeed_L2b] seed 10007 PPO-best       7959.4 (266s)
[MixedSpeed_L2b] seed 10008 SU-CQI         7046.2 (273s)
[MixedSpeed_L2b] seed 10008 SUS-CQI@0.8    6699.7 (275s)
[MixedSpeed_L2b] seed 10008 Hybrid<=10     6599.9 (277s)
[MixedSpeed_L2b] seed 10008 Hybrid<=14     6642.3 (278s)
[MixedSpeed_L2b] seed 10008 Hybrid<=18     6756.8 (280s)
[MixedSpeed_L2b] seed 10008 Hybrid<=22     7070.2 (281s)
[MixedSpeed_L2b] seed 10008 PPO-best       7671.1 (298s)
[MixedSpeed_L2b] seed 10009 SU-CQI         8605.7 (306s)
[MixedSpeed_L2b] seed 10009 SUS-CQI@0.8   11151.0 (308s)
[MixedSpeed_L2b] seed 10009 Hybrid<=10    11151.0 (309s)
[MixedSpeed_L2b] seed 10009 Hybrid<=14    10940.6 (311s)
[MixedSpeed_L2b] seed 10009 Hybrid<=18    10586.9 (313s)
[MixedSpeed_L2b] seed 10009 Hybrid<=22     9186.7 (314s)
[MixedSpeed_L2b] seed 10009 PPO-best      11999.7 (333s)
[MixedSpeed_L2b] seed 10010 SU-CQI         5442.5 (340s)
[MixedSpeed_L2b] seed 10010 SUS-CQI@0.8    3863.4 (342s)
[MixedSpeed_L2b] seed 10010 Hybrid<=10     3922.1 (343s)
[MixedSpeed_L2b] seed 10010 Hybrid<=14     5263.4 (345s)
[MixedSpeed_L2b] seed 10010 Hybrid<=18     5442.5 (346s)
[MixedSpeed_L2b] seed 10010 Hybrid<=22     5442.5 (347s)
[MixedSpeed_L2b] seed 10010 PPO-best       5189.6 (362s)
[MixedSpeed_L2b] seed 10011 SU-CQI         8987.4 (370s)
[MixedSpeed_L2b] seed 10011 SUS-CQI@0.8    8777.5 (371s)
[MixedSpeed_L2b] seed 10011 Hybrid<=10     9011.6 (373s)
[MixedSpeed_L2b] seed 10011 Hybrid<=14     8575.4 (375s)
[MixedSpeed_L2b] seed 10011 Hybrid<=18     9012.3 (376s)
[MixedSpeed_L2b] seed 10011 Hybrid<=22     8987.4 (377s)
[MixedSpeed_L2b] seed 10011 PPO-best      10009.2 (395s)
[MixedSpeed_L2b] seed 10012 SU-CQI         6476.1 (402s)
[MixedSpeed_L2b] seed 10012 SUS-CQI@0.8    4641.5 (404s)
[MixedSpeed_L2b] seed 10012 Hybrid<=10     4643.3 (406s)
[MixedSpeed_L2b] seed 10012 Hybrid<=14     6340.4 (407s)
[MixedSpeed_L2b] seed 10012 Hybrid<=18     6476.1 (408s)
[MixedSpeed_L2b] seed 10012 Hybrid<=22     6476.1 (409s)
[MixedSpeed_L2b] seed 10012 PPO-best       6348.0 (425s)
[MixedSpeed_L2b] seed 10013 SU-CQI         8972.8 (432s)
[MixedSpeed_L2b] seed 10013 SUS-CQI@0.8   10751.3 (434s)
[MixedSpeed_L2b] seed 10013 Hybrid<=10    10803.4 (436s)
[MixedSpeed_L2b] seed 10013 Hybrid<=14    10696.7 (437s)
[MixedSpeed_L2b] seed 10013 Hybrid<=18    10216.8 (439s)
[MixedSpeed_L2b] seed 10013 Hybrid<=22     9261.5 (440s)
[MixedSpeed_L2b] seed 10013 PPO-best      11480.5 (458s)
[MixedSpeed_L2b] seed 10014 SU-CQI         9257.6 (465s)
[MixedSpeed_L2b] seed 10014 SUS-CQI@0.8    9012.6 (467s)
