scheduler,seed,reward,thr_mbps,comp,drop,depth
SUS-Deadline-PF@0.8,10000,5588.671320837709,61.00739090214621,0.7359324758842444,0.043810289389067524,3.9869688484197163
SUS+PF@0.8,10000,5630.889318054069,62.07899759881124,0.7337572024637393,0.0490760977548182,3.983774104769015
SUS-Random@0.8,10000,4453.131710268053,53.571884311378284,0.6945478432231224,0.058900810159842346,3.9911135765164487
SU-Deadline-PF,10000,5773.262472966525,61.345254550377,0.7531827515400411,0.0,1.0
SU-PF,10000,5620.80095989593,64.24611189793593,0.7288523964101585,0.0,1.0
SU-Random,10000,2063.227684746298,41.21233665703088,0.5798062213156553,0.0,1.0
SUS-Deadline-PF@0.8,10001,9091.482618093683,81.29359996722353,0.83566791937137,0.036556200888281515,3.9717112495504066
SUS+PF@0.8,10001,9250.900441115398,83.30868603805811,0.8350291909924937,0.03736447039199333,3.967333772839792
SUS-Random@0.8,10001,7846.670228382866,74.29543573622868,0.798804780876494,0.03965954364360739,3.981411893545143
SU-Deadline-PF,10001,6554.003870712882,62.25190043935643,0.7945794794579479,0.0,1.0
SU-PF,10001,5527.695204142059,66.26416407800451,0.7089836315188428,0.0,1.0
SU-Random,10001,3300.5557480972484,50.554796822960995,0.6286435620840027,0.0,1.0
SUS-Deadline-PF@0.8,10002,9599.93852025234,85.16156728765223,0.8380921479558728,0.029688513951979235,3.987944409120612
SUS+PF@0.8,10002,9448.804658106865,86.48389561829984,0.8255720915346455,0.031204992798847815,3.9881509312071914
SUS-Random@0.8,10002,7781.582600830457,75.15780283677972,0.7842345505617978,0.03493679775280899,3.9940970444044925
SU-Deadline-PF,10002,6495.591497530499,62.64381328155585,0.7768249320225894,0.0,1.0
SU-PF,10002,5190.485175561528,67.81799748953341,0.6787769784172661,0.0,1.0
SU-Random,10002,2321.608921028572,50.000825480769905,0.5584756898817346,0.0,1.0
SUS-Deadline-PF@0.8,10003,7708.603130969123,73.7231756662181,0.7935081606455162,0.024206858609939482,3.9842710503661714
SUS+PF@0.8,10003,7740.34217277374,75.17861584584762,0.7892857142857143,0.024107142857142858,3.9852680905983786
SUS-Random@0.8,10003,5969.393789976301,64.35764724135171,0.7309141384096768,0.02954590521514971,3.9935180128087326
SU-Deadline-PF,10003,5650.6600285595205,59.410951867045966,0.742296918767507,0.0,1.0
SU-PF,10003,5104.457974090496,63.945132070783885,0.6935607512456881,0.0,1.0
SU-Random,10003,2079.2955777515235,45.79207146408681,0.5554493307839388,0.0,1.0
