scheduler,seed,reward,thr_mbps,comp,drop,depth
SUS-Deadline-PF@0.8,10000,5359.20639856523,59.50421894888528,0.7271799060649378,0.06289565039820298,3.9860101226634512
SUS+PF@0.8,10000,5607.296009533558,61.59819169899189,0.7333333333333333,0.05875370919881306,3.9854160750954706
SUS-Random@0.8,10000,4260.769459042579,52.40406770299035,0.6874044968347522,0.06461471294477189,3.9909356411218213
SU-Deadline-PF,10000,5707.353732083244,60.86442234683895,0.7504621072088724,0.0,1.0
SU-PF,10000,5542.711209483,64.1266226854732,0.7245958429561201,0.0,1.0
SU-Random,10000,2172.1579498486176,41.38325472110472,0.5876236368247527,0.0,1.0
SUS-Deadline-PF@0.8,10001,8813.074675661197,79.9202140649244,0.8238528956865441,0.05018044337515037,3.9734264291449657
SUS+PF@0.8,10001,8973.653201361867,81.32898046822885,0.8286004056795132,0.0486815415821501,3.967219500579375
SUS-Random@0.8,10001,7701.678740052376,73.53214410203789,0.7942145734163311,0.05272793848407177,3.9839311902856367
SU-Deadline-PF,10001,6606.6375753072725,62.75158120476335,0.7965591397849462,0.0,1.0
SU-PF,10001,5682.483917384716,66.441964247861,0.7180076628352491,0.0,1.0
SU-Random,10001,2977.484104917375,49.566308166583696,0.6065116279069768,0.00023255813953488373,1.0
SUS-Deadline-PF@0.8,10002,9735.368997988773,86.80023328356353,0.8373708010335917,0.028423772609819122,3.988204159335197
SUS+PF@0.8,10002,9443.468285868277,86.5324297511529,0.822772748928061,0.031284738764491025,3.9822343952984958
SUS-Random@0.8,10002,7470.574233666431,73.73873213381054,0.7703874049177428,0.038209800106138336,3.994344231208112
SU-Deadline-PF,10002,6484.690170749574,62.995055818373615,0.7763819095477387,0.0,1.0
SU-PF,10002,5139.269005493427,67.31912086786464,0.6781255654061878,0.0,1.0
SU-Random,10002,2530.142990443155,50.51118129896404,0.5708003518029904,0.0,1.0
SUS-Deadline-PF@0.8,10003,7506.872025111758,72.69004840066982,0.7867552112156428,0.02305847629588637,3.987394055394905
SUS+PF@0.8,10003,7707.851200661909,75.06549074761367,0.7897003409294814,0.026018302530055624,3.9834671333177853
SUS-Random@0.8,10003,5683.413632102675,63.15684775080091,0.7160126833135156,0.0356718192627824,3.993837315175207
SU-Deadline-PF,10003,5666.5529404692115,59.97905951614376,0.7425827107790822,0.0,1.0
SU-PF,10003,4995.482796011703,63.55268329075072,0.6877133105802048,0.0,1.0
SU-Random,10003,1986.406886598759,44.86522805019737,0.5531091217033631,0.0,1.0
SUS-Deadline-PF@0.8,10004,12463.315026989665,105.15742553249282,0.8781775246562022,0.014168634532573969,3.9789261562028195
SUS+PF@0.8,10004,12106.451096130477,104.03008113448597,0.8672873818788216,0.01584213451917732,3.9775165619579766
SUS-Random@0.8,10004,9439.142330211911,87.07415501974556,0.8082127123977344,0.025959723096286972,3.992435692869731
SU-Deadline-PF,10004,7803.089359051401,74.29923799800746,0.7899251688264282,0.0,1.0
SU-PF,10004,6639.418353859151,78.74277353396567,0.7120578778135048,0.0,1.0
SU-Random,10004,3442.9546930520896,57.93186039528095,0.605127186009539,0.0,1.0
SUS-Deadline-PF@0.8,10005,8022.647011255167,67.41515299822615,0.8882839721254355,0.014590592334494773,3.821724938775959
SUS+PF@0.8,10005,7950.1862284948165,66.97041106720425,0.88638353765324,0.01466725043782837,3.8030446081600666
SUS-Random@0.8,10005,7260.6319941839865,62.33177609250238,0.8676232353621847,0.01967137236750752,3.859637110135055
SU-Deadline-PF,10005,8220.043303381504,69.36872444441953,0.8863873254117156,0.0,1.0
SU-PF,10005,8008.715214800077,71.3829478809547,0.8578558594529846,0.0,1.0
SU-Random,10005,4982.726345378208,51.221636488727945,0.7721619476051865,0.0,1.0
SUS-Deadline-PF@0.8,10006,5679.5914669687545,55.68535647097062,0.7896370582617,0.05659025787965616,3.8779498238001717
SUS+PF@0.8,10006,5613.110867526602,55.68500136346182,0.7826809015421115,0.05907473309608541,3.8936019438071803
SUS-Random@0.8,10006,5111.4118302880415,51.4382902712221,0.7704876822523882,0.05681246857717446,3.8931546166914934
SU-Deadline-PF,10006,6295.908009885926,59.97162525414836,0.8110557317625736,0.0,1.0
SU-PF,10006,6359.2975605726715,62.20550513422402,0.8022978538911771,0.0,1.0
SU-Random,10006,3348.5329267640454,42.373269104752076,0.6880255146419252,0.00028993911278631486,1.0
SUS-Deadline-PF@0.8,10007,6903.9489813461905,57.50065130471207,0.8932958034800409,0.020726714431934492,3.420765515457372
SUS+PF@0.8,10007,7016.937743071442,58.670831828945325,0.8918783002263012,0.020618556701030927,3.45369958654767
SUS-Random@0.8,10007,6546.587674788042,55.528635890115574,0.881544156530936,0.026705446853516657,3.4865998123505166
