scheduler,seed,reward,thr_mbps,comp,drop
PPO-best,10000,6778.992400855763,61.159390946703574,0.8088831945334187,0.0
SU-CQI,10000,6567.837606509138,62.81076814010423,0.7846919726197884,0.0
SUS-CQI@0.8,10000,5543.330747415054,53.72496539946511,0.7423915648214714,0.000958543014617781
PPO-best,10001,7181.483063140934,62.358104924485716,0.8381035612846843,0.0
SU-CQI,10001,6798.298918833205,63.58499322548625,0.7973896830329397,0.0
SUS-CQI@0.8,10001,5875.821008432711,54.07663115796247,0.7812882684300759,0.002204261572373255
PPO-best,10002,6740.0197861180895,61.52130239063218,0.805380411937789,0.0
SU-CQI,10002,6667.475539792043,62.78912857239053,0.794197453558756,0.0
SUS-CQI@0.8,10002,5038.941020006094,50.85511170156431,0.729060451565914,0.0038844379703811605
PPO-best,10003,5445.600004401627,55.61178049984997,0.7503293807641633,0.0
SU-CQI,10003,5741.0162527071725,59.25604776762445,0.7494223902541483,0.0
SUS-CQI@0.8,10003,3912.1047751390206,45.26020338554512,0.6777609682299546,0.007312153303076148
PPO-best,10004,6630.2404640349005,59.410264716874714,0.8156732891832229,0.0
SU-CQI,10004,6441.157328201064,61.46516765167513,0.7854583772391992,0.0
SUS-CQI@0.8,10004,5288.177319563553,50.974930748844145,0.7564391097774443,0.001000250062515629
PPO-best,10005,7468.678602517822,64.61939961265725,0.8401855365802234,0.0
SU-CQI,10005,7060.935092523904,64.88657231305257,0.8073829655599093,0.0
SUS-CQI@0.8,10005,5674.484337477933,53.00058501161996,0.7716094472851229,0.005843681519357195
PPO-best,10006,6664.666867021105,61.27722713401688,0.8031362576817123,0.0
SU-CQI,10006,6873.6623459463,64.70696646962043,0.7938102893890675,0.0
SUS-CQI@0.8,10006,5080.84590335187,50.87349656371369,0.7405786530513008,0.006321419888159494
PPO-best,10007,5508.901892163304,55.380048177273935,0.7580361074416556,0.0
SU-CQI,10007,5520.018984412343,57.00395861781408,0.7477360931435963,0.0
SUS-CQI@0.8,10007,3707.507593586156,43.425779393913515,0.6723207401696222,0.009766126959650475
PPO-best,10008,5723.457852041175,55.9488370193796,0.7692652329749103,0.0
SU-CQI,10008,5653.467788080611,57.630722548160904,0.7534246575342466,0.0
SUS-CQI@0.8,10008,4073.574171750046,45.23305833348888,0.6880397801622612,0.005234231876472127
PPO-best,10009,6396.5408110496355,60.256836577074246,0.789462457337884,0.0
SU-CQI,10009,6579.758881913793,62.81056271445754,0.7854050711193569,0.0
SUS-CQI@0.8,10009,4654.640978514838,49.25738842270934,0.7079950799507995,0.004674046740467405
PPO-best,10010,6223.174796618896,59.399860216323184,0.7829474139796581,0.0
SU-CQI,10010,5966.15342883992,60.35878284287425,0.7585555322275876,0.0
SUS-CQI@0.8,10010,4678.848831841644,49.22954844928769,0.7057516662552457,0.0032090841767464825
PPO-best,10011,8925.093544002586,71.03608095442175,0.8985536769199429,0.0
SU-CQI,10011,8123.37322610806,69.60155003552765,0.8502202643171806,0.0
SUS-CQI@0.8,10011,7409.993921072565,61.41159625277792,0.8521480804387569,0.002970749542961609
PPO-best,10012,7293.900583559373,64.1854788669454,0.829872036920495,0.0
SU-CQI,10012,7158.750307903194,65.08731608914705,0.8133196721311475,0.0
SUS-CQI@0.8,10012,5616.372438318172,54.25979157360053,0.7495233555767398,0.003336510962821735
PPO-best,10013,6654.325731843402,59.72178712141307,0.8143329658213891,0.0
SU-CQI,10013,6579.347004153703,62.30678527124029,0.7908002520478891,0.0
SUS-CQI@0.8,10013,5330.835211987593,51.31867566794444,0.745928338762215,0.003006765221748935
PPO-best,10014,7466.227443432853,64.80031064788741,0.8363978269954032,0.0
SU-CQI,10014,7347.766307920877,66.62709818806307,0.8165921106140708,0.0
SUS-CQI@0.8,10014,6418.4758858915675,58.221758945852706,0.783457249070632,0.0006970260223048327
PPO-best,10015,8300.34971455977,68.46891973714223,0.8693498452012384,0.0
SU-CQI,10015,7786.827229214091,69.60271838888661,0.8253593227013192,0.0
SUS-CQI@0.8,10015,7307.4565872130715,61.98772042362276,0.8328018223234624,0.002050113895216401
PPO-best,10016,7169.3553996105875,62.43924850907308,0.8327193932827736,0.0
SU-CQI,10016,7182.065347901323,66.21373749771728,0.8068783068783069,0.0
SUS-CQI@0.8,10016,5540.472763139128,52.7330974928531,0.7569087796527268,0.00880410858400587
PPO-best,10017,6830.884305453309,60.4844927920106,0.8234122593494135,0.0
SU-CQI,10017,6611.445946426583,62.28374089734878,0.7922268907563025,0.0
SUS-CQI@0.8,10017,5211.22228177628,50.76520857903303,0.7452197665756146,0.006953066799106034
PPO-best,10018,8669.845350203204,67.3407216969659,0.9132731675104556,0.0
SU-CQI,10018,7423.274251787938,66.90180977999145,0.8193931939319393,0.0
SUS-CQI@0.8,10018,8067.546415131245,64.17219668956308,0.8828623518687329,0.00022789425706472196
PPO-best,10019,5430.778659523854,55.316197043315086,0.75385632437197,0.0
SU-CQI,10019,5448.209515181001,56.29837374900923,0.7467419635099913,0.0
SUS-CQI@0.8,10019,3964.7812111852686,45.10588019834593,0.6915108640727641,0.019454269833249115
