scheduler,seed,reward,thr_mbps,comp,drop
PPO-best,10000,9253.518443908762,91.22112147458996,0.7914213624894869,0.004625735912531539
SUS-CQI@0.8,10000,8485.68880497685,85.98789056750554,0.7718389102753923,0.020580396801895173
CQI-greedy,10000,8364.912343952088,85.46223404105609,0.7626721359507764,0.048637562261939646
SU-CQI,10000,9054.179946187187,94.2446721565908,0.7671916010498687,0.0
PPO-best,10001,10149.96616582918,94.22250863857634,0.8188603416104493,0.02339600976029855
SUS-CQI@0.8,10001,10392.562501780514,94.434864222273,0.8313656901326337,0.011514356507797698
CQI-greedy,10001,9910.289185375166,91.98092485058751,0.814035603942916,0.025893776666176253
SU-CQI,10001,7224.719817034301,83.10579328310392,0.7253134244259755,0.0
PPO-best,10002,11198.535370569218,98.206827753893,0.854381443298969,0.019043528064146623
SUS-CQI@0.8,10002,11658.469083439508,100.19841110096253,0.868409833735967,0.011936904931078584
CQI-greedy,10002,11057.516452355696,96.77462029020577,0.85114725530061,0.028899215800174266
SU-CQI,10002,7616.221075087245,85.40769991333502,0.7360292052794158,0.0
PPO-best,10003,10710.407517311683,97.1119463238367,0.8348145013401044,0.011285089575398505
SUS-CQI@0.8,10003,10791.96458428511,97.4347626632304,0.8347212420606916,0.009174311926605505
CQI-greedy,10003,10379.19919302236,95.50055211802237,0.8201798201798202,0.028828314542600257
SU-CQI,10003,8239.50595565499,89.47037036242233,0.7491502379333786,0.0
PPO-best,10004,12772.355197755453,107.8456644685175,0.88238460503297,0.010900282599919257
SUS-CQI@0.8,10004,13047.98695856244,109.11307547271032,0.8888590243246876,0.007525870178739417
CQI-greedy,10004,12355.848881248878,104.73803415949908,0.8735711334526924,0.025065417986503236
SU-CQI,10004,9367.857677290944,96.1369841641757,0.7752794214332676,0.0
PPO-best,10005,11572.112929756797,104.3835627511609,0.8420223243598162,0.004464871963230466
SUS-CQI@0.8,10005,10672.500940401555,98.43295957627103,0.8233906770255272,0.013457269700332963
CQI-greedy,10005,10212.751061344952,95.37653942626213,0.808695652173913,0.045021037868162694
SU-CQI,10005,9910.050630190772,99.31195184387231,0.7857689364957919,0.0
PPO-best,10006,9125.356904028256,90.99279328647988,0.7850520610469263,0.012409071459135643
SUS-CQI@0.8,10006,8760.295270889499,87.87163595200025,0.7746664711919073,0.016713091922005572
CQI-greedy,10006,8644.816064031344,87.25026759845946,0.768003512880562,0.04054449648711944
SU-CQI,10006,8627.220624213958,92.12643252912466,0.7555673382820784,0.0
PPO-best,10007,11182.718136166199,99.30225530136586,0.8482739420935412,0.015729398663697106
SUS-CQI@0.8,10007,10875.764831002298,97.27700751782488,0.842225392296719,0.015977175463623396
