scheduler,seed,reward,thr_mbps,comp,drop
PPO-best,10000,7326.0224451719205,62.81188219301561,0.8775602070672969,0.0
SU-CQI,10000,7262.598676687921,62.890367919084156,0.8763636363636363,0.0
SUS-CQI@0.8,10000,6501.119541224064,55.43544534347376,0.8794988003199147,0.006398293788323114
PPO-best,10001,7588.938956735258,64.09700233089477,0.8925842696629214,0.0
SU-CQI,10001,7423.942545685,63.94058452758455,0.8795694101816551,0.0
SUS-CQI@0.8,10001,6495.345998622438,54.95204446850153,0.8876041946759882,0.006722237160527024
PPO-best,10002,7301.157584190267,63.04952132910743,0.8749720919848181,0.0
SU-CQI,10002,7289.188346299222,63.883831902315514,0.8695555059191423,0.0
SUS-CQI@0.8,10002,6000.398860346474,52.43194495461472,0.8646946042180225,0.010955902492467817
PPO-best,10003,6311.177344618216,57.31282190050279,0.8410596026490066,0.0
SU-CQI,10003,6560.242377148517,59.4661613439669,0.8463687150837989,0.0
SUS-CQI@0.8,10003,4765.36558740958,45.81343664947589,0.8007573550830178,0.026798718322167202
PPO-best,10004,7156.830369685768,61.47562209786357,0.8788018433179724,0.0
SU-CQI,10004,7088.01944915963,62.05717529591675,0.8693952632789147,0.0
SUS-CQI@0.8,10004,6181.288461516472,53.01253235837198,0.8766304347826087,0.004891304347826087
PPO-best,10005,7770.622606884686,64.99679773458556,0.8972542072630647,0.0
SU-CQI,10005,7597.864236256403,65.27682888814122,0.8815354070152217,0.0
SUS-CQI@0.8,10005,6291.134513269533,54.380281396559695,0.8732243366389708,0.012597158938622354
PPO-best,10006,7338.631399365954,63.23132919714749,0.8772869254796966,0.0
SU-CQI,10006,7320.276844771896,63.76704637964846,0.870682019486271,0.0
SUS-CQI@0.8,10006,5692.325002694554,51.00705832514256,0.8444625407166124,0.017915309446254073
PPO-best,10007,6192.574985095206,56.37310411509677,0.8402210475732821,0.0
SU-CQI,10007,6257.866893127004,56.97488834099606,0.8401902497027348,0.0
SUS-CQI@0.8,10007,4760.256859878072,45.75960124723819,0.800642148277875,0.0297723292469352
PPO-best,10008,6412.473061444982,56.98293881136224,0.8548309178743961,0.0
SU-CQI,10008,6328.660206252446,57.589810756542214,0.8440212150433944,0.0
SUS-CQI@0.8,10008,5236.720258356548,48.23317116665612,0.8261248185776487,0.01509433962264151
PPO-best,10009,7043.908426399812,61.823608293618456,0.865845311430527,0.0
SU-CQI,10009,7255.618406520373,63.75603030932258,0.8680384701409081,0.0
SUS-CQI@0.8,10009,5608.994843548806,51.054532451589665,0.8343896390190135,0.015982364287682557
PPO-best,10010,6783.266816601901,60.01219718463278,0.862491170237815,0.0
SU-CQI,10010,6769.813057388724,60.94357351215227,0.8529752257467006,0.0
SUS-CQI@0.8,10010,5819.651703266228,52.0059264737388,0.8487858719646799,0.01379690949227373
PPO-best,10011,8941.720793777344,71.81467003062963,0.9326782354171023,0.0
SU-CQI,10011,8551.543656366932,69.9546525982982,0.9174272978136276,0.0
SUS-CQI@0.8,10011,7718.60110711055,61.761317915953015,0.9347503707365299,0.008156203657933762
PPO-best,10012,7731.412885387522,65.53740744159002,0.8902814423922604,0.0
SU-CQI,10012,7639.980897243633,65.5284898282406,0.8864395457581831,0.0
SUS-CQI@0.8,10012,6530.0646635582525,55.74888596870861,0.8835781041388518,0.010680907877169559
PPO-best,10013,7248.683941263576,62.06798565063433,0.8796085571233501,0.0002275830678197542
SU-CQI,10013,7149.381874249659,62.711217298213775,0.8680618744313012,0.0
SUS-CQI@0.8,10013,6305.339868586846,54.05594204296914,0.8757525998905309,0.0049261083743842365
PPO-best,10014,7988.896455637057,66.36098826184069,0.9035299276474458,0.0
SU-CQI,10014,7862.104178000587,66.92660792459482,0.8899760817569037,0.0
SUS-CQI@0.8,10014,7339.808721233551,59.76445650945224,0.9189879887554306,0.00434449271658574
PPO-best,10015,8536.203756171679,69.62020520504552,0.9182416648970058,0.0
SU-CQI,10015,8344.475681572498,69.07806909325167,0.908703071672355,0.0
SUS-CQI@0.8,10015,7967.536293452947,63.643142718392106,0.9344736208142617,0.0021681522524692846
PPO-best,10016,7590.7117167359465,64.13787441749088,0.8917700112739572,0.0
SU-CQI,10016,7651.694497461399,65.23604510442328,0.8875555555555555,0.0
SUS-CQI@0.8,10016,6350.999107599064,54.45237317826106,0.8752012882447665,0.020128824476650563
PPO-best,10017,7315.931863585588,61.90591479965537,0.8893253234750462,0.0
SU-CQI,10017,7209.1828741306035,62.26266563628254,0.8782849239280774,0.0
SUS-CQI@0.8,10017,6030.039245754269,52.445760560724935,0.8650424308787298,0.019162332329592115
PPO-best,10018,8408.498255068125,66.71418448030062,0.9383577052868391,0.0
SU-CQI,10018,7899.224236327386,65.74110708218541,0.9031969595349877,0.0
SUS-CQI@0.8,10018,8429.919199577127,64.83741498840757,0.9688706563706564,0.002413127413127413
PPO-best,10019,6182.943060912194,56.24035463458851,0.8397604790419162,0.0
SU-CQI,10019,6129.581940206095,56.22480004534035,0.8372430471584039,0.0
SUS-CQI@0.8,10019,4552.761846527487,44.979661789345876,0.7891215823152996,0.04072134962187318
