scheduler,seed,reward,thr_mbps,comp,drop
PPO-best,10020,11195.644763169583,97.65364703538711,0.8523857575320744,0.02911921579933689
SUS-CQI@0.8,10020,11964.26007644284,102.05307287562965,0.8731659142212189,0.009593679458239277
CQI-greedy,10020,11143.936430656944,97.87128976468232,0.8453904789299583,0.03178484107579462
SU-CQI,10020,7895.888538237554,86.7861086275154,0.7434903047091412,0.0
PPO-best,10021,11146.00460595376,97.98142641228105,0.850488460993912,0.020671102930765965
SUS-CQI@0.8,10021,10939.869944878259,96.30691103889444,0.8480392156862745,0.0132641291810842
CQI-greedy,10021,10441.424778330384,93.0478828531152,0.8328690807799443,0.035771880955871575
SU-CQI,10021,8331.46242718634,90.80028691220127,0.7479838709677419,0.0
PPO-best,10022,10004.236829569076,91.0968191884568,0.8249400479616307,0.023830935251798562
SUS-CQI@0.8,10022,10812.144543988432,94.90530514135699,0.8502594514455152,0.006523350630096367
CQI-greedy,10022,9975.82040656002,90.94069961601853,0.8203964291118172,0.03026176426085641
SU-CQI,10022,7346.493932494589,83.07114959652084,0.7313795568263045,0.0
PPO-best,10023,10133.40386236719,91.93065963140369,0.8246530368601701,0.034770929711983284
SUS-CQI@0.8,10023,10701.52098481674,94.36150759195439,0.8472635336109459,0.011005353955978583
CQI-greedy,10023,9827.760996038196,89.34307793883674,0.8152866242038217,0.04488929329693661
SU-CQI,10023,7125.931119140961,82.05132510139237,0.7257806826434278,0.0
PPO-best,10024,9592.98811307331,91.61519505203046,0.8051229806432834,0.019211177412312617
SUS-CQI@0.8,10024,9443.936254960083,90.20708269325604,0.8004164187983344,0.012938726948245093
CQI-greedy,10024,8994.875403938304,87.8730521321978,0.782608695652174,0.04616763783056925
SU-CQI,10024,8656.027586303768,91.87718518511826,0.7585143470099223,0.0
PPO-best,10025,10441.922269681783,95.95531065171285,0.8267214508359308,0.01586851799376594
SUS-CQI@0.8,10025,10568.28721521676,96.61366680242443,0.8284236240839201,0.01235809742779135
CQI-greedy,10025,9712.46825107765,91.38364242656297,0.8024092845600117,0.045688262083149696
SU-CQI,10025,8504.604953925576,91.3330134946859,0.7545307005680282,0.0
PPO-best,10026,11368.285017389588,101.12686156668956,0.8469331872946331,0.009036144578313253
SUS-CQI@0.8,10026,10837.143037296715,97.7301241936486,0.8372658372658373,0.01043901043901044
CQI-greedy,10026,10138.213558406298,93.90200156235986,0.8105232892466935,0.04025301897642323
SU-CQI,10026,8612.077691619834,91.35940111426883,0.7583648138154344,0.0
PPO-best,10027,11054.536605938129,98.8972949836326,0.8382270693512305,0.02348993288590604
SUS-CQI@0.8,10027,11289.552403875594,100.04508780528658,0.8472711888309125,0.009730644478916937
CQI-greedy,10027,10851.107460460398,96.68828616819474,0.8342360319270239,0.03420752565564424
SU-CQI,10027,8842.650000756003,92.84374056558903,0.7644147157190635,0.0
PPO-best,10028,10841.586801202073,99.27897081414042,0.8312807881773399,0.0050629447181171315
SUS-CQI@0.8,10028,10374.261938540061,95.57944692687893,0.8233687841333717,0.011497556769186549
CQI-greedy,10028,9930.721857280842,93.14217410838441,0.8037784456848432,0.0406469157005868
SU-CQI,10028,9789.17747105765,98.6650347660898,0.7834985197580127,0.0
PPO-best,10029,12473.057976666361,106.43950170329909,0.8735369299071707,0.011300955199784744
SUS-CQI@0.8,10029,12589.523303580669,105.98107222984979,0.882778384279476,0.00941593886462882
CQI-greedy,10029,12039.16079922472,103.10689270373211,0.8632277693265109,0.0322223758816208
SU-CQI,10029,9542.98187444587,97.51523329363786,0.7766839378238342,0.0
PPO-best,10030,10793.649367804386,98.04730023392493,0.8380084151472651,0.007433380084151473
SUS-CQI@0.8,10030,10156.13407766643,94.48095566151603,0.8191244239631337,0.009792626728110598
CQI-greedy,10030,9842.041537482959,92.80720006777733,0.8053545586107091,0.03487698986975398
SU-CQI,10030,8518.799056693297,91.3302596976624,0.7552391187533584,0.0
PPO-best,10031,10873.962184931677,100.33767146452506,0.8299136069114471,0.004049676025917927
SUS-CQI@0.8,10031,10096.13503790758,95.61449876552179,0.8098730606488012,0.012411847672778562
CQI-greedy,10031,9792.77348425823,93.42496635879878,0.7990056818181818,0.033238636363636366
SU-CQI,10031,9139.07860999372,94.68991784902317,0.7693520830595347,0.0
PPO-best,10032,10580.565116028738,95.54405498421926,0.8353790613718411,0.01675090252707581
SUS-CQI@0.8,10032,10566.02214186233,95.32544033996824,0.8357558139534884,0.007848837209302326
CQI-greedy,10032,10294.602235613691,93.2150471323809,0.8266335331091945,0.02455781318520684
SU-CQI,10032,7198.459534275757,83.09870453999804,0.724103726796089,0.0
PPO-best,10033,10652.821810268044,97.64986878491663,0.830078125,0.007393973214285714
SUS-CQI@0.8,10033,10004.127572837326,92.61372890590667,0.8194829852490142,0.013436541551044253
CQI-greedy,10033,9760.067566330947,91.19236130286208,0.8095796103705873,0.034422147356086126
SU-CQI,10033,8164.214720468437,88.67642501616949,0.7486025903203817,0.0
PPO-best,10034,10369.88069127245,97.75643366155397,0.8167319908095688,0.002838221381267739
SUS-CQI@0.8,10034,9667.649167770658,92.97933533855019,0.8005433228481555,0.014583929082070346
CQI-greedy,10034,9339.752593559215,91.21251763558972,0.7878139269406392,0.0449486301369863
SU-CQI,10034,9177.319837414278,95.07013172289936,0.770232925384919,0.0
PPO-best,10035,10197.301447691138,94.08396629840628,0.8235628912919749,0.01593625498007968
SUS-CQI@0.8,10035,9821.866412467209,91.78785828873731,0.8135076252723311,0.013652868554829339
CQI-greedy,10035,9487.803871994929,89.9296298010063,0.7997071742313323,0.04260614934114202
SU-CQI,10035,7736.288031822181,86.55231460283596,0.7361895577903292,0.0
PPO-best,10036,12005.146859343704,103.62378138320396,0.8661076548552881,0.008520421963754396
SUS-CQI@0.8,10036,11227.016260556838,99.39404773979909,0.8466051969823973,0.019698239731768652
CQI-greedy,10036,11111.726112549892,98.68926617292901,0.8406285072951739,0.03801907968574635
SU-CQI,10036,9311.9280159127,96.0977432994922,0.7726437385140457,0.0
PPO-best,10037,10767.930845539398,96.61977578336317,0.8421662322618013,0.014914567043150884
SUS-CQI@0.8,10037,10869.279047519478,97.03734143279766,0.8435551689140206,0.006814557053791504
CQI-greedy,10037,10643.365613746098,95.66072028299799,0.8373352855051245,0.021961932650073207
SU-CQI,10037,8070.288522614452,88.49305591848615,0.7457510017963245,0.0
PPO-best,10038,8753.895684100826,87.87354101146553,0.7808834178131788,0.008399710354815352
SUS-CQI@0.8,10038,8078.106698831739,82.64678384458726,0.7655341291704928,0.0157636975818794
CQI-greedy,10038,7913.938362163529,81.61461040713863,0.7584467206849106,0.03852621923253325
SU-CQI,10038,7890.823528372243,87.38073430806615,0.7411153635866594,0.0
PPO-best,10039,11335.149750314691,99.25067656655432,0.8554847841472045,0.013446567586694975
SUS-CQI@0.8,10039,11532.91512812723,100.18480718241409,0.8618083285795779,0.008556759840273816
CQI-greedy,10039,11089.601008913136,97.17284161574534,0.8510204081632653,0.024489795918367346
SU-CQI,10039,7873.70775444026,87.61946633568675,0.7396351575456053,0.0
