scheduler,seed,reward,thr_mbps,comp,drop
PPO-best,10020,5649.941123491944,53.43700599035719,0.8181592656908956,0.0
SU-CQI,10020,5621.383806715429,53.71315329075613,0.813151364764268,0.0
SUS-CQI@0.8,10020,4207.7359702755875,42.388477440663685,0.7754916792738276,0.029046898638426626
PPO-best,10021,7181.492360121974,61.95716791035039,0.8751135331516803,0.0
SU-CQI,10021,6993.566763657031,61.22601224072288,0.8645190769933745,0.0
SUS-CQI@0.8,10021,5717.502892810582,50.72124119892215,0.8484028153762859,0.025175961017866812
PPO-best,10022,7474.453516536973,63.14748914765464,0.8882592928377153,0.0
SU-CQI,10022,7273.405921760108,62.59109919180934,0.8797526339899221,0.0
SUS-CQI@0.8,10022,7036.659005816397,57.38237815866447,0.9148991882691804,0.008902854150301126
PPO-best,10023,6653.563271779313,58.87011887465041,0.8592049219119735,0.0
SU-CQI,10023,6762.647380130723,60.35268960657278,0.8568755846585594,0.0
SUS-CQI@0.8,10023,5106.484273231511,47.27033191936402,0.8217442545668827,0.020035356511490868
PPO-best,10024,6092.116082951578,55.96271735249144,0.8359583232372183,0.0
SU-CQI,10024,6027.570439192401,55.93621953653198,0.8305413935421219,0.0
SUS-CQI@0.8,10024,4810.334916174788,46.55136840448926,0.7983144434757338,0.021505376344086023
PPO-best,10025,5779.45849863245,54.51282348960975,0.8203373258372036,0.0
SU-CQI,10025,5933.557846779928,56.152451263409795,0.820254379649628,0.0
SUS-CQI@0.8,10025,4307.438075678663,43.552238014695185,0.7748956469886702,0.013714967203339297
PPO-best,10026,6722.466539214746,60.051968405861345,0.8539403743933441,0.0
SU-CQI,10026,6837.614415056446,60.811614689549266,0.8589269195189639,0.0
SUS-CQI@0.8,10026,5428.722328671584,49.92578518513042,0.8257887517146777,0.029355281207133058
PPO-best,10027,6588.917604054167,58.79443337909452,0.8531615925058548,0.0
SU-CQI,10027,6623.032673989432,59.282105452338925,0.8537502939101811,0.0
SUS-CQI@0.8,10027,5240.241647195642,48.65590565949813,0.8226990400903444,0.015527950310559006
PPO-best,10028,6751.949109870261,59.468679412418744,0.8610398694334344,0.0
SU-CQI,10028,6771.5587755830165,60.252672944165994,0.857308584686775,0.0
SUS-CQI@0.8,10028,5319.514316503541,48.15055267076207,0.8358251057827927,0.015232722143864598
PPO-best,10029,6260.045062411137,56.148560460113764,0.8467683369644154,0.0
SU-CQI,10029,6369.9593111671065,57.81122892454895,0.8442270992366412,0.0
SUS-CQI@0.8,10029,4931.555522150236,46.36215747377586,0.8103098754706053,0.030408340573414423
PPO-best,10030,6641.715530095911,59.64828803491396,0.850415512465374,0.0
SU-CQI,10030,6584.461207048909,59.059158246264694,0.8514967259120674,0.0
SUS-CQI@0.8,10030,5228.271316339228,49.00054698879677,0.8185877756070332,0.01507116941110801
PPO-best,10031,6610.690613611539,58.98719595325529,0.855325164938737,0.0
SU-CQI,10031,6800.062532703925,60.498362200734256,0.8574728574728575,0.0
SUS-CQI@0.8,10031,5249.437612181773,49.33435621030575,0.81714126186488,0.02931323283082077
PPO-best,10032,6414.739119972114,57.429115798912534,0.851140456182473,0.0
SU-CQI,10032,6381.250808866291,57.75667440592139,0.8448357924797716,0.0
SUS-CQI@0.8,10032,5220.350156833224,48.12513460297516,0.8268348623853211,0.027522935779816515
PPO-best,10033,6806.317636651047,59.658245734507474,0.8633076743643574,0.0
SU-CQI,10033,6970.196006408974,61.02802522547064,0.8659603869184708,0.0
SUS-CQI@0.8,10033,5961.253765966144,52.53517125113708,0.8535587673847832,0.013635124079629125
PPO-best,10034,6711.379296852616,58.64260105011547,0.8679018286814244,0.0
SU-CQI,10034,6557.764696311973,58.59464339252309,0.8548579613272858,0.0
SUS-CQI@0.8,10034,5609.067204707209,49.608213710220035,0.8543273350471294,0.02056555269922879
PPO-best,10035,6376.530765262982,57.321232339577456,0.8471958174904943,0.0
SU-CQI,10035,6424.798034466161,57.946279414473594,0.845628093330191,0.0
SUS-CQI@0.8,10035,4723.968166821456,45.24476912721718,0.8030697943816971,0.031566753547639735
PPO-best,10036,7833.288443035885,66.14654530964354,0.8923580786026201,0.0
SU-CQI,10036,8007.053261830646,67.83926851010555,0.8924592973436161,0.0
SUS-CQI@0.8,10036,6887.988794593213,57.78250216272671,0.8932958034800409,0.006141248720573183
PPO-best,10037,6444.2379029898775,57.162320691654436,0.8545323395046887,0.0
SU-CQI,10037,6507.280389661631,58.19621765374231,0.8530670470756063,0.0
SUS-CQI@0.8,10037,5248.708688548024,47.54039727771617,0.8393117526975795,0.013123359580052493
PPO-best,10038,7960.460561236621,65.90802858823355,0.903395399780942,0.0
SU-CQI,10038,7867.349580332843,66.48252652897477,0.8922207735767058,0.0
SUS-CQI@0.8,10038,6991.9788358886035,57.705747498274235,0.9059895833333333,0.011458333333333333
PPO-best,10039,6800.40100787587,60.03985591937881,0.8611369990680335,0.0
SU-CQI,10039,7006.936081422145,62.283624225093405,0.8597491448118586,0.0
SUS-CQI@0.8,10039,5777.027270686364,51.85299895052732,0.8458298230834035,0.010951979780960405
