scheduler,seed,reward,thr_mbps,comp,drop
PPO-best,10040,8176.966014165801,66.59374172836792,0.8804230520181308,0.0
SU-CQI,10040,7297.963220401778,65.71161277037072,0.82,0.0
SUS-CQI@0.8,10040,7108.852026150542,59.97083126983084,0.8361676646706587,0.0016766467065868263
PPO-best,10041,8212.262957960376,65.52249453643572,0.8888888888888888,0.0002208968411751712
SU-CQI,10041,7700.659342748541,68.4295620146461,0.829981718464351,0.0
SUS-CQI@0.8,10041,7763.185822514316,62.6606017402346,0.8668213457076566,0.0004640371229698376
PPO-best,10042,8545.709280937426,69.40116435070368,0.8775844421699078,0.0
SU-CQI,10042,8061.705158007665,70.11037062681565,0.8418124006359301,0.0
SUS-CQI@0.8,10042,7800.3435186228535,64.33225777316308,0.8511399195350916,0.0006705409029950827
PPO-best,10043,6100.519852377408,58.181342905558736,0.7820568927789935,0.0
SU-CQI,10043,6126.264035783969,60.37813209960254,0.7698129072945133,0.0
SUS-CQI@0.8,10043,4255.361950657536,46.173249509912424,0.6926451612903226,0.01264516129032258
PPO-best,10044,6501.1915594270295,58.05579598469133,0.8152808988764045,0.0
SU-CQI,10044,6239.814065224511,60.772688858074844,0.7761985574883327,0.0
SUS-CQI@0.8,10044,5451.293267758921,51.75729017015396,0.759819864898674,0.002251688766574931
PPO-best,10045,7027.255405379437,60.813466690149774,0.8384649709950914,0.0
SU-CQI,10045,6503.248210666958,61.65947351746452,0.7886402027027027,0.0
SUS-CQI@0.8,10045,5920.761953390788,53.740378325959156,0.7839980183304434,0.008174386920980926
PPO-best,10046,7515.052002417938,62.148236898946195,0.8612483161203413,0.0
SU-CQI,10046,6908.943967593465,64.30259721049308,0.8001670494884109,0.0
SUS-CQI@0.8,10046,7213.047276612066,60.165931472909705,0.8446253291836247,0.0007182188173330142
PPO-best,10047,5902.159427021701,58.25024427098425,0.7676639083386378,0.0
SU-CQI,10047,5707.844203201764,58.35397246738356,0.7512755102040817,0.0
SUS-CQI@0.8,10047,4236.557499940119,46.60424222232749,0.7021437578814628,0.01034047919293821
PPO-best,10048,5471.354661138612,55.44916660316622,0.7506561679790026,0.0
SU-CQI,10048,5629.797949449692,58.36801013645661,0.7481641468682505,0.0
SUS-CQI@0.8,10048,4514.201069643499,49.50623757918844,0.6900513321926179,0.0065998533365925205
PPO-best,10049,7479.189108468197,64.07261794182429,0.8394222599830077,0.0
SU-CQI,10049,6981.098745407002,65.03966249127592,0.7990606493771697,0.0
SUS-CQI@0.8,10049,6534.949733991477,57.72645307000701,0.8001422475106685,0.00474158368895211
PPO-best,10050,9479.034825501785,73.77803515611825,0.9177279159086315,0.00020214271275520516
SU-CQI,10050,8542.839258902097,72.50964890299824,0.8610505450941526,0.0
SUS-CQI@0.8,10050,9096.764864787541,70.90373825062986,0.9120997206103589,0.0006447453255963894
PPO-best,10051,7771.202452686786,63.07773922231814,0.871541057367829,0.0002249718785151856
SU-CQI,10051,7306.23406714657,65.69412944458739,0.8196822776975449,0.0
SUS-CQI@0.8,10051,6897.78546561896,57.84079233517397,0.8305454545454546,0.0
PPO-best,10052,7055.147925665121,62.47696680580262,0.8239556692242114,0.0
SU-CQI,10052,6900.649859494635,64.43461019326239,0.7991356246141181,0.0
SUS-CQI@0.8,10052,5194.53004125314,51.10245656236231,0.7349458301839255,0.0062988158226253465
PPO-best,10053,7109.91875413713,62.464352841875616,0.8282261545101425,0.0
SU-CQI,10053,6741.1841730029455,63.25484337049296,0.7954070981210856,0.0
SUS-CQI@0.8,10053,5476.867242013139,52.84348561365784,0.743727161997564,0.007064555420219245
PPO-best,10054,6810.25427595489,61.30653900481296,0.8122704687837546,0.0
SU-CQI,10054,6919.159564116434,64.77224784950988,0.7971515768056968,0.0
SUS-CQI@0.8,10054,5264.88884682488,51.820446249017195,0.7325354176844162,0.00806057645334636
PPO-best,10055,6583.663291430546,60.23364353512414,0.8048463868455215,0.0
SU-CQI,10055,6522.575147646007,62.00583311206237,0.786232635289239,0.0
SUS-CQI@0.8,10055,4775.930604493943,48.554598224142595,0.7258590418861299,0.012039127163280662
PPO-best,10056,6032.890768245417,57.14562111291352,0.7848297213622291,0.0
SU-CQI,10056,6257.24724584334,60.670368015185296,0.7755782454678057,0.0
SUS-CQI@0.8,10056,4691.06056758125,48.37566813113907,0.7166833667334669,0.0070140280561122245
PPO-best,10057,5946.125928739351,56.998173451582645,0.7786684480071253,0.0
SU-CQI,10057,5965.155763479142,59.53667503896913,0.7637526652452026,0.0
SUS-CQI@0.8,10057,4723.32579971599,48.4538114646475,0.7199491740787802,0.004320203303684879
PPO-best,10058,6179.981891073326,57.37058855542135,0.7966252220248667,0.0
SU-CQI,10058,5898.883583718977,57.94156678143031,0.7697113313227057,0.0
SUS-CQI@0.8,10058,4287.935749848995,45.26961324619969,0.7145102147721321,0.017024620220010476
PPO-best,10059,7157.379240084587,61.187895556567774,0.8396946564885496,0.0
SU-CQI,10059,6548.0417623338,63.080421144355995,0.7821346194170685,0.0
SUS-CQI@0.8,10059,6681.727736215515,57.557702124586186,0.8130061349693252,0.00098159509202454
