update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,6.65,55198.8,1,108,0,1.596
9,0,1,22.27,2208.1,0,114,0,1.111
9,0,2,20.19,2975359.0,366,0,0,1.633
9,0,3,15.08,3244559.0,408,0,0,1.675
9,0,4,12.66,13027.1,0,107,0,1.14
9,0,5,12.32,3126258.0,393,0,0,1.69
9,0,6,23.59,10440.2,0,111,0,1.327
9,0,7,29.41,3106465.0,397,0,0,1.664
9,0,8,26.89,1340302.2,155,22,0,1.839
9,0,9,11.95,2726458.8,344,0,0,1.634
9,0,10,25.73,6417.0,0,108,0,1.273
9,0,11,9.19,2856801.0,352,0,0,1.641
9,0,12,11.11,2900123.0,366,0,0,1.624
9,0,13,15.51,834801.7,79,61,0,1.836
9,0,14,23.28,3281422.0,410,0,0,1.714
9,0,15,21.85,2574129.0,323,0,0,1.651
9,0,16,21.6,87.2,0,105,0,1.182
9,0,17,23.82,2298127.0,286,0,0,1.835
9,0,18,27.48,2531577.0,319,0,0,1.72
9,0,19,5.6,3069.1,0,107,0,1.424
9,0,20,13.77,3034418.0,382,0,0,1.684
9,0,21,17.56,2690771.0,333,0,0,1.646
9,0,22,22.78,15238.0,0,108,0,1.226
9,0,23,12.17,11170.5,0,107,0,1.441
9,0,24,22.8,0.0,0,0,0,0.0
9,0,25,12.77,0.0,0,0,0,0.0
9,0,26,10.24,0.0,0,0,0,0.0
9,0,27,18.02,0.0,0,0,0,0.0
9,0,28,17.56,0.0,0,0,0,0.0
9,0,29,14.3,0.0,0,0,0,0.0
9,0,30,23.94,0.0,0,0,0,0.0
9,0,31,26.59,0.0,0,0,0,0.0
9,1,0,15.71,37267.9,3,108,0,2.494
9,1,1,17.29,2630381.0,336,0,0,2.602
9,1,2,19.04,689506.3,80,59,0,2.757
9,1,3,16.81,2914869.0,363,0,0,2.708
9,1,4,25.54,0.0,0,112,0,2.0
9,1,5,18.36,2535058.0,320,0,0,2.577
9,1,6,8.63,2082157.0,266,0,0,2.722
9,1,7,5.33,2507302.0,320,0,0,2.616
9,1,8,8.28,2605420.0,321,0,0,2.649
9,1,9,16.95,20606.6,2,101,0,2.609
9,1,10,5.22,2763325.0,349,0,0,2.71
9,1,11,27.19,2194330.0,279,0,0,2.602
9,1,12,16.04,0.0,0,116,0,0.0
9,1,13,25.94,2327571.0,286,0,0,2.647
9,1,14,7.56,2634536.0,331,0,0,2.646
9,1,15,10.93,2186942.0,278,0,0,2.666
9,1,16,21.21,2723851.0,343,0,0,2.7
9,1,17,10.16,2420517.0,303,0,0,2.584
9,1,18,13.45,1954929.2,243,1,0,2.723
9,1,19,28.59,866182.8,100,38,0,2.72
9,1,20,28.46,2439896.0,303,0,0,2.643
9,1,21,7.19,2108847.0,267,2,0,2.732
9,1,22,21.02,2550003.7,318,0,0,2.629
9,1,23,22.73,1760098.1,200,7,0,2.773
9,1,24,27.19,595.1,0,109,0,2.25
9,1,25,13.95,192255.7,11,103,0,2.662
9,1,26,20.95,2433425.0,306,0,0,2.612
9,1,27,28.46,0.0,0,0,0,0.0
9,1,28,27.22,0.0,0,0,0,0.0
9,1,29,21.5,0.0,0,0,0,0.0
9,1,30,21.16,0.0,0,0,0,0.0
9,1,31,18.93,0.0,0,0,0,0.0
9,2,0,6.96,0.0,0,108,0,2.5
9,2,1,7.77,2202019.0,278,0,0,3.004
9,2,2,20.56,84421.1,4,111,0,2.925
9,2,3,13.62,2399526.0,296,0,0,2.921
9,2,4,16.07,2675877.0,328,0,0,2.962
9,2,5,14.57,0.0,0,115,0,2.0
9,2,6,13.01,2859354.0,362,0,0,2.985
9,2,7,22.07,1938522.8,239,1,0,2.991
9,2,8,12.5,1751407.4,221,3,0,3.089
9,2,9,25.95,252208.6,17,100,0,3.011
9,2,10,28.65,2107571.0,263,0,0,2.957
9,2,11,13.51,151457.4,13,97,0,3.033
9,2,12,8.75,2784975.0,358,0,0,2.986
9,2,13,16.81,2256150.9,280,1,0,2.986
9,2,14,15.53,2296034.0,293,0,0,2.933
9,2,15,24.33,2103126.4,267,1,0,2.981
9,2,16,27.2,2402455.0,302,0,0,2.933
9,2,17,22.13,2679803.0,331,0,0,2.985
9,2,18,7.17,2330818.0,291,0,0,2.99
9,2,19,25.2,2101642.5,267,1,0,2.964
9,2,20,14.13,0.0,0,111,0,0.0
9,2,21,13.24,2139394.0,269,0,0,2.973
9,2,22,17.91,2565276.0,316,0,0,2.972
9,2,23,17.9,2446985.0,310,0,0,2.956
9,2,24,22.87,968357.3,107,39,0,3.062
9,2,25,14.85,0.0,0,113,0,0.0
9,2,26,13.33,1926848.1,237,2,1,3.019
9,2,27,21.36,2478557.0,303,0,0,2.956
9,2,28,11.89,1529517.9,184,11,0,3.021
9,2,29,27.14,2559340.0,320,0,0,2.943
9,2,30,26.39,0.0,0,0,0,0.0
9,2,31,12.54,0.0,0,0,0,0.0
19,0,0,6.65,68808.2,1,109,0,1.6
19,0,1,22.27,1447.1,0,109,0,1.276
19,0,2,20.19,2812993.0,354,0,0,1.587
19,0,3,15.08,2989626.0,380,0,0,1.681
19,0,4,12.66,11658.3,0,113,0,1.25
19,0,5,12.32,2824038.0,361,0,0,1.61
19,0,6,23.59,12835.5,0,110,0,1.22
19,0,7,29.41,3038206.0,379,0,0,1.668
19,0,8,26.89,1234850.1,147,24,0,1.832
19,0,9,11.95,2756239.0,337,0,0,1.598
19,0,10,25.73,4766.6,0,106,0,1.359
19,0,11,9.19,2688659.0,344,0,0,1.609
19,0,12,11.11,2941977.0,370,0,0,1.509
19,0,13,15.51,739720.7,68,63,0,1.826
19,0,14,23.28,3343575.0,411,0,0,1.73
19,0,15,21.85,2779587.0,345,0,0,1.615
19,0,16,21.6,193.9,0,116,0,1.065
19,0,17,23.82,2567557.0,326,0,0,1.761
19,0,18,27.48,2775002.2,343,0,0,1.689
19,0,19,5.6,6769.0,0,112,0,1.371
19,0,20,13.77,2977791.0,373,0,0,1.651
19,0,21,17.56,2748190.0,341,0,0,1.646
19,0,22,22.78,13930.8,0,118,0,1.45
19,0,23,12.17,12753.3,0,112,0,1.472
19,0,24,22.8,0.0,0,0,0,0.0
19,0,25,12.77,0.0,0,0,0,0.0
19,0,26,10.24,0.0,0,0,0,0.0
19,0,27,18.02,0.0,0,0,0,0.0
19,0,28,17.56,0.0,0,0,0,0.0
19,0,29,14.3,0.0,0,0,0,0.0
19,0,30,23.94,0.0,0,0,0,0.0
19,0,31,26.59,0.0,0,0,0,0.0
19,1,0,15.71,26138.2,1,107,0,2.661
19,1,1,17.29,2472399.0,317,0,0,2.679
19,1,2,19.04,651023.4,74,52,0,2.804
19,1,3,16.81,2790584.0,353,0,0,2.745
19,1,4,25.54,0.0,0,105,0,0.0
19,1,5,18.36,2555122.0,324,0,0,2.68
19,1,6,8.63,2141321.0,263,0,0,2.736
19,1,7,5.33,2486024.0,312,0,0,2.686
19,1,8,8.28,2635526.0,331,0,0,2.65
19,1,9,16.95,13997.1,1,111,0,2.543
19,1,10,5.22,2922156.0,355,0,0,2.798
19,1,11,27.19,2354792.0,288,0,0,2.734
19,1,12,16.04,0.0,0,112,0,0.0
19,1,13,25.94,2324264.0,299,0,0,2.676
19,1,14,7.56,2367824.0,291,0,0,2.703
19,1,15,10.93,2225462.0,272,0,0,2.709
19,1,16,21.21,2700739.0,332,0,0,2.75
19,1,17,10.16,2414482.0,301,0,0,2.615
19,1,18,13.45,1867320.0,226,0,0,2.842
19,1,19,28.59,1204719.8,128,39,0,2.786
19,1,20,28.46,2452672.0,309,0,0,2.692
19,1,21,7.19,2032218.0,255,0,0,2.754
19,1,22,21.02,2412809.0,310,0,0,2.701
19,1,23,22.73,1720574.7,210,8,0,2.792
19,1,24,27.19,2006.1,0,113,0,2.0
19,1,25,13.95,205477.0,10,109,0,2.674
19,1,26,20.95,2511265.0,311,0,0,2.673
19,1,27,28.46,0.0,0,0,0,0.0
19,1,28,27.22,0.0,0,0,0,0.0
19,1,29,21.5,0.0,0,0,0,0.0
19,1,30,21.16,0.0,0,0,0,0.0
19,1,31,18.93,0.0,0,0,0,0.0
19,2,0,6.96,0.0,0,117,0,0.0
19,2,1,7.77,2156162.0,268,1,0,3.031
19,2,2,20.56,84584.8,6,98,0,2.974
19,2,3,13.62,2176163.0,277,0,0,3.021
19,2,4,16.07,2456943.0,309,0,0,2.986
19,2,5,14.57,0.0,0,115,0,0.0
19,2,6,13.01,2849758.0,356,0,0,3.08
19,2,7,22.07,1877653.2,230,1,0,3.083
19,2,8,12.5,1773344.4,217,5,0,3.139
19,2,9,25.95,270984.4,22,90,0,2.964
19,2,10,28.65,2158237.7,273,0,0,2.972
19,2,11,13.51,174539.7,10,102,0,2.994
19,2,12,8.75,2902356.0,362,0,0,3.102
19,2,13,16.81,2232650.0,270,0,0,3.01
19,2,14,15.53,2164730.0,269,0,0,2.994
19,2,15,24.33,2069285.0,255,1,0,3.038
19,2,16,27.2,2615467.0,329,0,0,3.008
19,2,17,22.13,2544124.0,320,0,0,3.021
19,2,18,7.17,2619066.0,328,0,0,2.995
19,2,19,25.2,2091722.9,264,1,0,3.064
19,2,20,14.13,0.0,0,118,0,0.0
19,2,21,13.24,2043002.3,251,1,0,3.058
19,2,22,17.91,2665423.0,319,0,0,3.044
19,2,23,17.9,2518435.0,313,0,0,2.974
19,2,24,22.87,1130630.8,131,30,0,3.095
19,2,25,14.85,369.6,0,116,0,2.0
19,2,26,13.33,1862787.3,231,6,0,3.047
19,2,27,21.36,2544692.0,312,0,0,2.98
19,2,28,11.89,1548024.0,184,13,0,3.125
19,2,29,27.14,2386141.0,305,0,0,2.973
19,2,30,26.39,0.0,0,0,0,0.0
19,2,31,12.54,0.0,0,0,0,0.0
29,0,0,6.65,55905.2,0,109,0,1.587
29,0,1,22.27,1655.4,0,108,0,1.231
29,0,2,20.19,2764279.0,349,0,0,1.657
29,0,3,15.08,3351011.0,418,0,0,1.723
29,0,4,12.66,19434.4,0,116,0,1.21
29,0,5,12.32,3171962.0,404,0,0,1.694
29,0,6,23.59,8631.9,0,105,0,1.261
29,0,7,29.41,3154223.0,389,0,0,1.708
29,0,8,26.89,1464874.5,171,21,0,1.87
29,0,9,11.95,2711681.0,335,0,0,1.711
29,0,10,25.73,11235.2,0,107,0,1.444
29,0,11,9.19,2734292.0,348,0,0,1.649
29,0,12,11.11,2797758.0,348,0,0,1.573
29,0,13,15.51,643235.3,50,73,0,1.873
29,0,14,23.28,3234688.0,400,0,0,1.821
29,0,15,21.85,2726738.0,337,0,0,1.691
29,0,16,21.6,153.6,0,113,0,1.087
29,0,17,23.82,2355705.0,295,0,0,1.887
29,0,18,27.48,2616365.0,324,0,0,1.719
29,0,19,5.6,6715.6,0,112,0,1.468
29,0,20,13.77,2984246.0,373,0,0,1.685
29,0,21,17.56,2889033.0,361,0,0,1.665
29,0,22,22.78,16558.6,0,107,0,1.403
29,0,23,12.17,14994.2,0,107,0,1.494
29,0,24,22.8,0.0,0,0,0,0.0
29,0,25,12.77,0.0,0,0,0,0.0
29,0,26,10.24,0.0,0,0,0,0.0
29,0,27,18.02,0.0,0,0,0,0.0
29,0,28,17.56,0.0,0,0,0,0.0
29,0,29,14.3,0.0,0,0,0,0.0
29,0,30,23.94,0.0,0,0,0,0.0
29,0,31,26.59,0.0,0,0,0,0.0
29,1,0,15.71,40625.7,1,116,0,2.443
29,1,1,17.29,2623750.0,325,0,0,2.621
29,1,2,19.04,910483.4,101,51,0,2.843
29,1,3,16.81,2878153.0,356,0,0,2.685
29,1,4,25.54,0.0,0,112,0,0.0
29,1,5,18.36,2586153.0,328,0,0,2.624
29,1,6,8.63,2112860.0,260,0,0,2.772
29,1,7,5.33,2473929.0,306,0,0,2.63
29,1,8,8.28,2553549.0,319,0,0,2.649
29,1,9,16.95,18091.7,0,115,0,2.627
29,1,10,5.22,2861260.0,353,0,0,2.709
29,1,11,27.19,2453190.0,304,0,0,2.657
29,1,12,16.04,0.0,0,106,0,2.333
29,1,13,25.94,2312240.0,283,0,0,2.649
29,1,14,7.56,2415838.0,305,0,0,2.67
29,1,15,10.93,2229891.0,280,0,0,2.73
29,1,16,21.21,2532227.0,316,0,0,2.724
29,1,17,10.16,2449929.0,304,0,0,2.647
29,1,18,13.45,1900668.1,246,2,0,2.813
29,1,19,28.59,962307.7,112,37,1,2.791
29,1,20,28.46,2317968.0,299,0,0,2.675
29,1,21,7.19,1959824.3,247,1,0,2.768
29,1,22,21.02,2426062.0,301,0,0,2.636
29,1,23,22.73,1575983.9,193,11,0,2.822
29,1,24,27.19,1065.2,0,116,0,2.0
29,1,25,13.95,235503.3,20,97,0,2.679
29,1,26,20.95,2485175.0,304,0,0,2.604
29,1,27,28.46,0.0,0,0,0,0.0
29,1,28,27.22,0.0,0,0,0,0.0
29,1,29,21.5,0.0,0,0,0,0.0
29,1,30,21.16,0.0,0,0,0,0.0
29,1,31,18.93,0.0,0,0,0,0.0
29,2,0,6.96,0.0,0,111,0,0.0
29,2,1,7.77,2113921.0,264,0,0,3.055
29,2,2,20.56,75242.6,2,107,0,2.945
29,2,3,13.62,2459407.0,309,0,0,2.995
29,2,4,16.07,2442292.0,315,0,0,3.018
29,2,5,14.57,0.0,0,102,0,3.0
29,2,6,13.01,2944908.0,370,0,0,2.99
29,2,7,22.07,1819225.0,234,0,0,3.073
29,2,8,12.5,1816013.6,216,7,0,3.124
29,2,9,25.95,304412.0,23,96,1,2.996
29,2,10,28.65,2142674.8,259,1,0,3.042
29,2,11,13.51,168593.6,12,97,0,3.044
29,2,12,8.75,2921193.0,366,0,0,3.004
29,2,13,16.81,2121137.0,262,0,0,2.964
29,2,14,15.53,2028209.0,258,0,0,3.03
29,2,15,24.33,2022256.6,251,2,0,3.073
29,2,16,27.2,2438763.0,297,0,0,3.016
29,2,17,22.13,2773669.0,342,0,0,3.035
29,2,18,7.17,2764399.3,342,0,0,2.978
29,2,19,25.2,2057809.7,256,0,0,3.044
29,2,20,14.13,0.0,0,108,0,0.0
29,2,21,13.24,1933772.0,247,0,0,3.073
29,2,22,17.91,2708058.0,342,0,0,3.027
29,2,23,17.9,2431471.0,300,0,0,2.975
29,2,24,22.87,1171712.3,136,28,0,3.136
29,2,25,14.85,436.8,0,113,0,3.0
29,2,26,13.33,1775341.6,221,3,1,3.114
29,2,27,21.36,2728722.0,332,0,0,3.018
29,2,28,11.89,1537008.7,183,10,0,3.13
29,2,29,27.14,2578874.7,315,0,0,2.985
29,2,30,26.39,0.0,0,0,0,0.0
29,2,31,12.54,0.0,0,0,0,0.0
39,0,0,6.65,59488.4,0,111,0,1.426
39,0,1,22.27,1080.8,0,109,0,1.062
39,0,2,20.19,2975410.0,376,0,0,1.552
39,0,3,15.08,2985050.0,370,0,0,1.603
39,0,4,12.66,16580.4,0,119,0,1.123
39,0,5,12.32,3143564.0,387,0,0,1.597
39,0,6,23.59,9517.1,0,108,0,1.028
39,0,7,29.41,3181373.0,394,0,0,1.613
39,0,8,26.89,1210481.2,140,31,0,1.798
39,0,9,11.95,2985664.4,374,0,0,1.512
39,0,10,25.73,11347.7,0,109,0,1.321
39,0,11,9.19,2748006.0,343,0,0,1.519
39,0,12,11.11,2775193.0,353,0,0,1.504
39,0,13,15.51,668336.2,59,67,0,1.753
39,0,14,23.28,3198833.0,398,0,0,1.697
39,0,15,21.85,2764570.0,348,0,0,1.565
39,0,16,21.6,93.5,0,117,0,1.0
39,0,17,23.82,2493717.0,312,0,0,1.736
39,0,18,27.48,2699612.0,341,0,0,1.612
39,0,19,5.6,7262.3,0,113,0,1.339
39,0,20,13.77,2983954.0,368,0,0,1.552
39,0,21,17.56,2905571.6,367,0,0,1.532
39,0,22,22.78,15516.3,0,106,0,1.189
39,0,23,12.17,15153.0,0,106,0,1.333
39,0,24,22.8,0.0,0,0,0,0.0
39,0,25,12.77,0.0,0,0,0,0.0
39,0,26,10.24,0.0,0,0,0,0.0
39,0,27,18.02,0.0,0,0,0,0.0
39,0,28,17.56,0.0,0,0,0,0.0
39,0,29,14.3,0.0,0,0,0,0.0
39,0,30,23.94,0.0,0,0,0,0.0
39,0,31,26.59,0.0,0,0,0,0.0
39,1,0,15.71,15029.7,0,111,0,2.742
39,1,1,17.29,2657013.6,337,0,0,2.545
39,1,2,19.04,827612.4,88,58,0,2.708
39,1,3,16.81,2846009.0,348,0,0,2.593
39,1,4,25.54,95.9,0,108,0,1.0
39,1,5,18.36,2664127.0,331,0,0,2.542
39,1,6,8.63,2162773.0,269,0,0,2.596
39,1,7,5.33,2568785.0,321,0,0,2.557
39,1,8,8.28,2687941.0,335,0,0,2.583
39,1,9,16.95,14544.6,0,113,0,2.243
