update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,7765.748020630956,90.78714412922903,0.7197195897702194,0.2779436583149422,0.0,0,22.998188886658166,1.0,0.759977217557859,7703,20,22.801007118915855,2.9268735671928368,1.3596681096681096,4.0,15.448,0.0,0.38654096829344864,1.0,1.0,0.0,88.54474,2954,2954,1.0,4422,4422,1.0,3909,3909,1.0,6128,6128,1.0
1,8053.372061149075,85.50902861221013,0.7582910934105721,0.24026068066618392,0.0,0,16.32874239911215,1.0,0.7961604293759976,6905,22,25.31798011463565,2.9011499258371396,1.5047746371275783,5.0,12.844,0.0,0.31590725608456316,0.9998220112726194,1.0001779887273805,0.00017795705303120182,83.721938,3268,3270,0.999388379204893,4185,4185,1.0,3428,3428,1.0,5971,5972,0.9998325519089082
2,6172.0298285274275,90.82118005187479,0.6514654161781946,0.3466588511137163,0.0,0,18.84573401325785,1.0,0.6996879018502533,8530,28,23.209089507495477,3.0207441438671734,1.5495771099514126,4.0,21.719,0.0,0.3063399523001814,0.9997426527356014,1.000154424254903,0.0001543845203787567,87.918602,1999,2000,0.9995,4747,4748,0.9997893850042123,5449,5451,0.9996330948449825,7229,7230,0.9998616874135546
3,8261.038413367525,121.52271528955795,0.6518317740666258,0.3462446445746262,0.0,0,13.790494860720253,1.0,0.70867867876543,11437,30,23.550160275288928,3.4223985839045734,1.652448021462106,6.0,29.924,0.00017484045808200017,0.38311641507095484,0.9998786407766991,1.000121359223301,0.00012134449702705982,118.563054,905,905,1.0,2853,2853,1.0,5123,5124,0.9998048399687745,15836,15838,0.9998737214294734
4,8908.533653691162,78.77351788183672,0.8561966184416943,0.143280460170821,0.0,0,17.60966785801542,1.0,0.8864958483472498,5737,18,22.905509706736346,2.9484521225864153,1.4719055374592833,4.0,7.195,0.0,0.31912176118933583,1.0,1.0,0.0,77.559108,2876,2876,1.0,4394,4394,1.0,4353,4353,1.0,5860,5860,1.0
5,7809.795398278254,74.86545891492416,0.8094396323139473,0.1884391019975252,0.0,0,12.110429638686707,1.0,0.8493893445369104,5657,20,22.58204635398741,2.8952519748026115,1.4970517580257698,4.0,8.891,0.0,0.2841357358532791,0.9997669540899558,1.0002330459100444,0.00023299161230195712,73.366958,3027,3027,1.0,4374,4376,0.9995429616087751,4117,4118,0.9997571636716853,5642,5643,0.9998227892964735
6,7724.5028632102385,73.7401341877532,0.8112802148612355,0.1874664279319606,0.0,0,11.703933521143156,1.0,0.8627131827932585,5585,16,25.203146340117208,2.990381819534229,1.5056278967115426,5.0,8.631,0.0,0.34766762706575505,1.0,1.0,0.0,71.74535,2829,2829,1.0,4120,4120,1.0,4467,4467,1.0,6488,6488,1.0
7,5233.264675208932,89.89880181904036,0.620754716981132,0.37658157602663705,0.0,0,6.625130196059227,1.0,0.6454812026867378,9010,21,21.584996818904756,3.0222553873178417,1.3949579831932772,3.0,23.919,0.00044375416019525185,0.4292821228968472,0.999910205181161,1.000089794818839,8.978675645342312e-05,88.325636,1595,1595,1.0,3320,3320,1.0,4851,4851,1.0,12505,12507,0.999840089549852
8,6239.585799193073,69.00232199027708,0.7409691629955947,0.2569162995594714,0.0,0,8.83605760209064,1.0,0.7984138326192431,5675,30,24.18342415539555,3.048467106734791,1.4932223543400713,4.0,11.185,0.0,0.1910980226633026,0.9998961524482061,1.000103847551794,0.00010383676859976117,66.725588,2201,2201,1.0,4545,4545,1.0,4768,4770,0.99958071278826,7743,7743,1.0
9,11324.544666007363,95.55045058930537,0.8902291917973462,0.10871531966224367,0.0,0,13.5741138528285,1.0,0.9426315477806938,6632,25,24.494099188277183,3.5049289403478183,1.6895325203252032,5.0,8.098,0.0,0.26469972660188823,0.999913130347913,1.000086869652087,8.686210640608035e-05,93.373542,1186,1186,1.0,3572,3572,1.0,5532,5533,0.9998192662208567,12731,12732,0.9999214577442664
10,7018.805071555525,71.48283059733568,0.7784686445194529,0.21957718955409486,0.0,0,10.740528395064485,1.0,0.8282323001258639,5629,23,24.088464563475032,3.026095572559756,1.396850753080785,4.0,9.368,0.0,0.24744299819367094,0.9996724890829695,1.0002183644502676,0.00021829294913774285,69.764508,2589,2590,0.9996138996138996,4410,4413,0.9993201903467029,4465,4465,1.0,6850,6852,0.9997081144191476
11,6605.084087907831,92.45063571991687,0.6650240525636513,0.33345066291212017,0.0,0,13.511309969240745,1.0,0.716429435986194,8523,26,21.59403136328779,3.2740519717071113,1.392907551164432,4.0,20.397,0.00011731581417175035,0.33308325562045793,0.9999108813831209,1.000089118616879,8.911067545891998e-05,89.620118,1369,1369,1.0,3787,3788,0.9997360084477297,4982,4982,1.0,12302,12303,0.9999187190116232
12,7754.394196851447,114.47379081944642,0.6529697080625972,0.34501693053903176,0.0,0,12.358181926423292,1.0,0.6550942894934613,10927,23,20.234820602120728,3.014897978013554,1.2831114225648212,3.0,26.515,0.0002744739249771272,0.4768226927499829,0.9998741716298968,1.000125828370103,0.00012581253931641853,113.801054,1565,1566,0.9993614303959132,2306,2306,1.0,3453,3453,1.0,16515,16517,0.9998789126354665
13,4653.632365264304,46.864854121286065,0.7822450080949811,0.21586616297895306,0.0,0,11.725690847540267,1.0,0.8110136081813114,3706,17,20.384559958587285,2.5352309237177244,1.478095895136254,4.0,6.376,0.0,0.22087043934785006,0.9999278603376136,1.0000721396623864,7.213445863088797e-05,45.914244,4297,4298,0.9997673336435552,4221,4221,1.0,3015,3015,1.0,2328,2328,1.0
14,8504.24664196735,136.06224816604754,0.6331779214919537,0.3641149044969168,0.0,0,11.574414980221999,1.0,0.675128406587496,13298,28,22.577563935549485,3.5940453319452876,1.5415676959619953,4.0,35.078,0.0,0.47414207844492984,0.9999293436020632,1.000070656397937,7.065140596297866e-05,133.288272,352,352,1.0,1544,1544,1.0,3276,3276,1.0,23132,23134,0.9999135471600242
15,7890.117274347222,92.25820998397923,0.7197871801368128,0.27818596402330886,0.0,0,10.495233621007632,1.0,0.7400333845662118,7894,25,24.19235623511431,3.329657258412261,1.3929954241464273,3.0,16.405,0.0,0.3140965612542561,0.9999152003391987,1.0000847996608013,8.479247042862594e-05,90.693392,1205,1206,0.9991708126036484,3166,3167,0.9996842437638144,4872,4872,1.0,14340,14340,1.0
16,6397.517940260753,80.46126522856724,0.6931866271688532,0.3044152912963747,0.0,0,12.290345446772463,1.0,0.7549262126892455,7089,20,23.8851560229554,3.350551375014971,1.7431827431827431,6.0,16.626,0.0,0.3485002595742827,0.9997382655731984,1.0002181215373207,0.00021806445985433293,77.782946,1120,1121,0.9991079393398751,3738,3738,1.0,5910,5910,1.0,12150,12155,0.9995886466474702
17,3550.6569492069357,64.53304179946747,0.6103044496487119,0.3873536299765808,0.0,0,8.833640204397263,1.0,0.6565473281456442,6405,30,21.513498444357033,2.813135883137936,1.1811204911742132,1.0,16.817,0.0,0.2112254587618823,0.9999421530629953,1.0000578469370047,5.7843590930124944e-05,62.54107,2852,2853,0.9996494917630564,4778,4778,1.0,4124,4124,1.0,5532,5532,1.0
