update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,7.31,206931.9,18,400,0,1.449
9,0,1,29.18,4815.3,0,404,0,1.077
9,0,2,26.27,3112281.0,398,0,0,3.779
9,0,3,19.12,3216249.0,405,0,0,3.922
9,0,4,15.72,84466.5,2,399,0,1.319
9,0,5,15.24,3398298.0,417,0,0,3.876
9,0,6,31.03,33424.7,0,405,0,1.236
9,0,7,39.17,3511628.0,427,0,0,3.851
9,0,8,35.65,2802111.7,338,82,0,1.753
9,0,9,14.73,3260176.0,416,0,0,3.505
9,0,10,34.02,25831.3,2,412,0,1.186
9,0,11,10.86,3342874.0,413,0,0,3.635
9,0,12,13.55,2948982.0,371,0,0,3.815
9,0,13,19.72,620376.6,77,290,0,1.546
9,0,14,30.6,3285498.0,408,0,0,3.939
9,0,15,28.59,3009347.0,378,0,0,3.362
9,0,16,28.24,705.5,0,415,0,1.115
9,0,17,31.34,3260371.0,399,0,0,2.653
9,0,18,36.47,3191098.0,402,0,0,2.935
9,0,19,5.84,12628.6,0,412,0,1.109
9,0,20,17.27,3146635.0,406,0,0,3.879
9,0,21,22.59,3585324.0,447,0,0,3.425
9,0,22,29.89,57933.1,1,406,0,1.32
9,0,23,15.03,47354.4,0,402,0,1.183
9,0,24,29.93,0.0,0,0,0,0.0
9,0,25,15.88,0.0,0,0,0,0.0
9,0,26,12.33,0.0,0,0,0,0.0
9,0,27,23.22,0.0,0,0,0,0.0
9,0,28,22.59,0.0,0,0,0,0.0
9,0,29,18.02,0.0,0,0,0,0.0
9,0,30,31.52,0.0,0,0,0,0.0
9,0,31,35.22,0.0,0,0,0,0.0
9,1,0,20.0,120211.2,8,318,0,1.955
9,1,1,22.2,2667584.0,332,0,0,3.908
9,1,2,24.66,926507.1,105,250,0,2.533
9,1,3,21.54,2675092.0,331,0,0,3.971
9,1,4,33.76,9427.6,0,366,0,1.48
9,1,5,23.71,2782099.0,352,0,0,3.866
9,1,6,10.08,2524338.0,322,1,0,3.234
9,1,7,5.47,2818697.0,353,0,0,3.901
9,1,8,9.6,2942554.0,368,0,0,3.945
9,1,9,21.73,57769.0,3,365,0,1.732
9,1,10,5.31,2744429.0,343,0,0,3.976
9,1,11,36.07,2659247.0,334,0,0,3.78
9,1,12,20.46,5798.4,0,328,0,1.564
9,1,13,34.32,2769563.0,340,0,0,3.615
9,1,14,8.58,2879561.0,353,0,0,3.878
9,1,15,13.3,2573458.0,325,1,0,3.3
9,1,16,27.7,2658893.0,325,0,0,3.974
9,1,17,12.23,2912538.0,361,0,0,3.841
9,1,18,16.83,2642470.0,331,5,0,3.044
9,1,19,38.02,1917708.0,223,118,0,2.619
9,1,20,37.85,2787150.0,343,0,0,3.913
9,1,21,8.07,2656322.2,329,4,0,3.15
9,1,22,27.42,2555389.0,319,0,0,3.839
9,1,23,29.83,2315353.0,283,49,0,2.765
9,1,24,36.07,25524.7,1,384,0,1.732
9,1,25,17.54,545779.0,66,300,0,2.462
