update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,5678.571340174896,85.77103376869353,0.640010385564066,0.3567441256653252,0.0,0,21.685880599030405,1.0,0.7640480815977044,7703,20,22.801007118915855,3.7385969006430435,2.061257606490872,6.0,21.945,0.0,0.38654096829344864,0.9999636376859024,1.0000363623140978,3.6360991927859794e-05,78.657156,742,742,1.0,1524,1524,1.0,2244,2244,1.0,22990,22991,0.9999565047192379
1,6170.143889588467,81.41987628667961,0.6779145546705286,0.31976828385228095,0.0,0,14.48901619206789,1.0,0.7922584082777308,6905,22,25.31798011463565,3.7220503906557667,1.8972441785943175,6.0,17.62,0.0,0.31590725608456316,0.9999632055338877,1.0000367944661124,3.6793112329371944e-05,74.818188,824,824,1.0,1550,1550,1.0,2397,2397,1.0,22406,22407,0.9999553710893917
2,2343.6271466569883,82.30554034858594,0.5196951934349355,0.47772567409144195,0.0,0,17.31084636942628,1.0,0.7212084505231616,8530,28,23.209089507495477,3.844824506992168,2.4937965260545907,8.0,31.511,0.0,0.3063399523001814,1.0,1.0,0.0,69.961422,460,460,1.0,904,904,1.0,1371,1371,1.0,26524,26524,1.0
3,2439.5549081304625,106.09322105794354,0.5058144618343972,0.4906881175133339,0.0,0,13.022306772508916,1.0,0.7095691066877721,11437,30,23.550160275288928,3.8811214082469254,3.1488331892826276,8.0,46.548,0.00017484045808200017,0.38311641507095484,0.9999329736251215,1.0000335143106107,3.351206434316354e-05,91.133228,358,358,1.0,740,740,1.0,1038,1038,1.0,27701,27703,0.9999278056528174
4,7924.489281817748,76.85726422511276,0.8030329440474115,0.19609552030678054,0.0,0,16.26045990401185,1.0,0.8993945411262572,5737,18,22.905509706736346,3.6552506865507897,2.065118298241806,6.0,11.244,0.0,0.31912176118933583,0.9999615251433188,1.000038474856681,3.8473376423514926e-05,72.579316,970,970,1.0,2053,2053,1.0,3036,3036,1.0,19931,19932,0.9999498294200281
5,6432.219102917057,71.86351139340039,0.736255966059749,0.26038536326674916,0.0,0,10.130969103130813,1.0,0.8490625547222619,5657,20,22.58204635398741,3.7162619143711852,2.05234093637455,6.0,13.233,0.0,0.2841357358532791,0.9999257637058758,1.0000742362941242,7.42307835059199e-05,66.530694,865,865,1.0,1649,1650,0.9993939393939394,2427,2427,1.0,21998,21999,0.9999545433883358
6,6599.781220178144,71.97405506908264,0.7477170993733214,0.25067144136078784,0.0,0,10.187210824060697,1.0,0.8836708037642509,5585,16,25.203146340117208,3.68125164853437,2.0601053639846745,6.0,12.573,0.0,0.34766762706575505,0.999962198533303,1.0000378014666969,3.78000378000378e-05,66.0729,880,880,1.0,1899,1899,1.0,3014,3015,0.9996683250414594,20660,20660,1.0
7,338.4776671337153,75.65583943433673,0.4667036625971143,0.5286348501664817,0.0,0,4.92093789416404,1.0,0.6538035553427577,9010,21,21.584996818904756,3.8720458073424684,3.5843043995243757,9.0,39.301,0.00044375416019525185,0.4292821228968472,0.9998654783924668,1.0001345216075332,0.00013450351390430074,65.564348,370,371,0.9973045822102425,736,736,1.0,1234,1235,0.9991902834008097,27391,27393,0.9999269886467346
8,4560.143204592981,65.76302311766291,0.6512775330396475,0.34555066079295155,0.0,0,7.007675300624713,1.0,0.7873025993905739,5675,30,24.18342415539555,3.8207848457747224,2.2494588744588744,6.0,16.529,0.0,0.1910980226633026,0.9998959850218432,1.0001040149781568,0.00010400416016640666,58.768622,514,514,1.0,1084,1084,1.0,1578,1578,1.0,25663,25666,0.9998831138471129
9,9857.604027905734,93.08442290933644,0.8213208685162847,0.17717129071170085,0.0,0,13.257650322646288,1.0,0.9522680684739608,6632,25,24.494099188277183,3.7568680532852867,2.248944373049385,7.0,12.984,0.0,0.26469972660188823,0.9999275047121937,1.0000362489578425,3.624633005908152e-05,86.260136,709,709,1.0,1526,1526,1.0,2273,2274,0.9995602462620933,23078,23079,0.9999566705663157
10,5734.356700493595,68.75796228285452,0.709895185645763,0.2872623911884882,0.0,0,8.78399596378624,1.0,0.8184495733983919,5629,23,24.088464563475032,3.806566452219168,2.0327827827827827,6.0,13.796,0.0,0.24744299819367094,0.9999648876404494,1.0000351123595506,3.511112671605632e-05,63.89084,569,569,1.0,1166,1166,1.0,1938,1938,1.0,24806,24807,0.9999596887975168
