update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,7.31,399967.9,8,410,0,3.984
9,0,1,29.18,15172.7,0,404,0,3.976
9,0,2,26.27,3112281.0,398,0,0,4.0
9,0,3,19.12,3216249.0,405,0,0,4.0
9,0,4,15.72,137963.6,1,400,0,3.972
9,0,5,15.24,3398298.0,417,0,0,3.996
9,0,6,31.03,88960.7,0,405,0,3.973
9,0,7,39.17,3511628.0,427,0,0,3.991
9,0,8,35.65,1488881.9,113,305,0,3.976
9,0,9,14.73,3260176.0,416,0,0,3.994
9,0,10,34.02,66478.7,0,414,0,3.99
9,0,11,10.86,3342874.0,413,0,0,3.994
9,0,12,13.55,2948982.0,371,0,0,3.998
9,0,13,19.72,828170.0,44,323,0,3.984
9,0,14,30.6,3285498.0,408,0,0,4.0
9,0,15,28.59,3009347.0,378,0,0,3.993
9,0,16,28.24,1957.0,0,415,0,4.0
9,0,17,31.34,3260371.0,399,0,0,3.985
9,0,18,36.47,3191098.0,402,0,0,3.986
9,0,19,5.84,47705.2,0,412,0,3.986
9,0,20,17.27,3146635.0,406,0,0,4.0
9,0,21,22.59,3585324.0,447,0,0,3.993
9,0,22,29.89,137871.1,0,407,0,3.987
9,0,23,15.03,115858.0,0,402,0,3.984
9,0,24,29.93,0.0,0,0,0,0.0
9,0,25,15.88,0.0,0,0,0,0.0
9,0,26,12.33,0.0,0,0,0,0.0
9,0,27,23.22,0.0,0,0,0,0.0
9,0,28,22.59,0.0,0,0,0,0.0
9,0,29,18.02,0.0,0,0,0,0.0
9,0,30,31.52,0.0,0,0,0,0.0
9,0,31,35.22,0.0,0,0,0,0.0
9,1,0,20.0,231623.6,4,322,0,4.0
9,1,1,22.2,2667584.0,332,0,0,4.0
9,1,2,24.66,1278431.4,103,252,0,4.0
9,1,3,21.54,2675092.0,331,0,0,4.0
9,1,4,33.76,29733.8,0,366,0,4.0
9,1,5,23.71,2782099.0,352,0,0,4.0
9,1,6,10.08,2530961.9,322,1,0,4.0
9,1,7,5.47,2818697.0,353,0,0,4.0
9,1,8,9.6,2942554.0,368,0,0,4.0
9,1,9,21.73,321821.9,14,354,0,4.0
9,1,10,5.31,2744429.0,343,0,0,4.0
9,1,11,36.07,2659247.0,334,0,0,4.0
9,1,12,20.46,24477.4,0,328,0,4.0
9,1,13,34.32,2769563.0,340,0,0,4.0
9,1,14,8.58,2879561.0,353,0,0,4.0
9,1,15,13.3,2551543.5,319,7,0,4.0
9,1,16,27.7,2658893.0,325,0,0,4.0
9,1,17,12.23,2912538.0,361,0,0,4.0
9,1,18,16.83,2589889.4,318,17,0,4.0
9,1,19,38.02,1478377.6,131,210,0,4.0
9,1,20,37.85,2787150.0,343,0,0,4.0
9,1,21,8.07,2643058.7,326,7,0,4.0
9,1,22,27.42,2555189.9,318,1,0,4.0
9,1,23,29.83,1985896.9,211,121,0,4.0
9,1,24,36.07,73474.8,0,385,0,4.0
9,1,25,17.54,1022416.9,83,283,0,4.0
9,1,26,27.33,2992612.0,376,0,0,4.0
9,1,27,37.84,0.0,0,0,0,0.0
9,1,28,36.11,0.0,0,0,0,0.0
9,1,29,28.09,0.0,0,0,0,0.0
9,1,30,27.63,0.0,0,0,0,0.0
9,1,31,24.51,0.0,0,0,0,0.0
9,2,0,7.74,29237.1,0,231,0,3.979
9,2,1,8.87,1766283.0,220,0,0,4.0
9,2,2,26.78,1035886.1,92,146,0,4.0
9,2,3,17.07,1645906.0,203,0,0,4.0
9,2,4,20.49,1732449.0,219,0,0,4.0
9,2,5,18.4,14133.5,0,219,0,3.998
9,2,6,16.21,1996985.0,243,0,0,4.0
9,2,7,28.9,1769281.6,219,2,0,4.0
9,2,8,15.49,1739174.8,217,9,0,4.0
9,2,9,34.34,1322743.9,129,120,0,3.999
9,2,10,38.11,1787076.0,222,0,0,3.999
9,2,11,16.92,820275.6,63,155,0,3.999
9,2,12,10.26,1835399.0,231,0,0,4.0
9,2,13,21.54,2032087.0,255,0,0,4.0
9,2,14,19.74,1868031.0,236,0,0,4.0
9,2,15,32.07,1992383.0,254,0,0,4.0
9,2,16,36.08,1909727.0,229,0,0,4.0
9,2,17,28.98,1659312.0,215,0,0,4.0
9,2,18,8.04,1859217.0,231,0,0,4.0
9,2,19,33.29,1878166.0,234,0,0,4.0
9,2,20,17.79,179868.2,1,238,0,3.995
9,2,21,16.53,1708288.9,209,1,0,3.995
9,2,22,23.07,1707571.0,213,0,0,4.0
9,2,23,23.06,1667660.0,213,0,0,4.0
9,2,24,30.02,1626190.6,182,49,0,4.0
9,2,25,18.79,141787.4,0,212,0,3.996
9,2,26,16.66,1918644.7,230,3,0,3.999
9,2,27,27.9,1594050.0,201,0,0,4.0
9,2,28,14.65,1793093.9,220,18,0,4.0
9,2,29,36.0,1671793.0,211,0,0,4.0
9,2,30,34.95,0.0,0,0,0,0.0
9,2,31,15.56,0.0,0,0,0,0.0
19,0,0,7.31,370388.8,14,404,0,3.987
19,0,1,29.18,12612.5,0,404,0,3.976
19,0,2,26.27,3112281.0,398,0,0,4.0
19,0,3,19.12,3216249.0,405,0,0,4.0
19,0,4,15.72,161257.2,1,400,0,3.973
19,0,5,15.24,3398298.0,417,0,0,4.0
19,0,6,31.03,87194.0,0,405,0,3.979
19,0,7,39.17,3511628.0,427,0,0,3.997
19,0,8,35.65,1298554.5,109,309,0,3.978
19,0,9,14.73,3260176.0,416,0,0,3.996
19,0,10,34.02,70832.3,1,413,0,3.973
19,0,11,10.86,3342874.0,413,0,0,3.997
19,0,12,13.55,2948982.0,371,0,0,3.998
19,0,13,19.72,829086.9,70,297,0,3.981
19,0,14,30.6,3285498.0,408,0,0,4.0
19,0,15,28.59,3009347.0,378,0,0,3.99
19,0,16,28.24,2176.6,0,415,0,4.0
19,0,17,31.34,3260371.0,399,0,0,3.98
19,0,18,36.47,3191098.0,402,0,0,3.986
19,0,19,5.84,53844.7,0,412,0,3.979
19,0,20,17.27,3146635.0,406,0,0,3.996
19,0,21,22.59,3585324.0,447,0,0,3.99
19,0,22,29.89,136605.8,0,407,0,3.985
19,0,23,15.03,122007.4,0,402,0,3.986
19,0,24,29.93,0.0,0,0,0,0.0
19,0,25,15.88,0.0,0,0,0,0.0
19,0,26,12.33,0.0,0,0,0,0.0
19,0,27,23.22,0.0,0,0,0,0.0
19,0,28,22.59,0.0,0,0,0,0.0
19,0,29,18.02,0.0,0,0,0,0.0
19,0,30,31.52,0.0,0,0,0,0.0
19,0,31,35.22,0.0,0,0,0,0.0
19,1,0,20.0,292601.0,12,314,0,4.0
19,1,1,22.2,2667584.0,332,0,0,4.0
19,1,2,24.66,1102087.9,97,258,0,4.0
19,1,3,21.54,2675092.0,331,0,0,4.0
19,1,4,33.76,33992.5,0,366,0,4.0
19,1,5,23.71,2782099.0,352,0,0,4.0
19,1,6,10.08,2507980.0,320,3,0,4.0
19,1,7,5.47,2818697.0,353,0,0,4.0
19,1,8,9.6,2942554.0,368,0,0,4.0
19,1,9,21.73,321587.6,17,351,0,4.0
19,1,10,5.31,2744429.0,343,0,0,4.0
19,1,11,36.07,2659247.0,334,0,0,4.0
19,1,12,20.46,26725.7,0,328,0,4.0
19,1,13,34.32,2769563.0,340,0,0,4.0
19,1,14,8.58,2879561.0,353,0,0,4.0
19,1,15,13.3,2554939.4,322,4,0,4.0
19,1,16,27.7,2658893.0,325,0,0,4.0
19,1,17,12.23,2912538.0,361,0,0,4.0
19,1,18,16.83,2550236.0,308,27,0,4.0
19,1,19,38.02,1250690.7,113,227,0,4.0
19,1,20,37.85,2787150.0,343,0,0,4.0
19,1,21,8.07,2579752.3,317,16,0,4.0
19,1,22,27.42,2555389.0,319,0,0,4.0
19,1,23,29.83,1861302.1,216,116,0,4.0
19,1,24,36.07,76653.9,0,385,0,4.0
19,1,25,17.54,985198.9,94,272,0,4.0
19,1,26,27.33,2992612.0,376,0,0,4.0
19,1,27,37.84,0.0,0,0,0,0.0
19,1,28,36.11,0.0,0,0,0,0.0
19,1,29,28.09,0.0,0,0,0,0.0
19,1,30,27.63,0.0,0,0,0,0.0
19,1,31,24.51,0.0,0,0,0,0.0
19,2,0,7.74,30199.1,0,231,0,3.986
19,2,1,8.87,1766283.0,220,0,0,4.0
19,2,2,26.78,985963.8,96,142,0,4.0
19,2,3,17.07,1645906.0,203,0,0,4.0
19,2,4,20.49,1732449.0,219,0,0,4.0
19,2,5,18.4,14703.3,0,219,0,4.0
19,2,6,16.21,1996985.0,243,0,0,4.0
19,2,7,28.9,1770332.4,220,1,0,4.0
19,2,8,15.49,1716515.0,215,11,0,4.0
19,2,9,34.34,1194433.9,119,130,0,3.998
19,2,10,38.11,1787076.0,222,0,0,3.999
19,2,11,16.92,790463.2,69,149,0,3.999
19,2,12,10.26,1835399.0,231,0,0,4.0
19,2,13,21.54,2027621.9,254,1,0,4.0
19,2,14,19.74,1868031.0,236,0,0,4.0
19,2,15,32.07,1992383.0,254,0,0,4.0
19,2,16,36.08,1909727.0,229,0,0,4.0
19,2,17,28.98,1659312.0,215,0,0,4.0
19,2,18,8.04,1859217.0,231,0,0,4.0
19,2,19,33.29,1878166.0,234,0,0,4.0
