update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,7450.687256892478,68.50748817595183,0.8401911886949294,0.15731504571903573,0.0,0,17.47837320212785,0.8571961950215192,0.7002006385924031,4812,20,22.801007118915855,3.691594795646187,0.9712656871747781,1.0296381390005744,0.02883472057074911,64.24689,714,769,0.9284785435630689,1608,1647,0.97632058287796,2412,2471,0.9761230271145286,20651,21249,0.9718574991764318
1,7662.028145981497,71.54492252088875,0.8299412915851272,0.16790606653620352,0.0005870841487279843,0,12.067193879977953,0.8474413955165565,0.711272530563752,5110,22,25.31798011463565,3.7470347012074225,0.9591384938651458,1.0411541210548094,0.04008788359026077,67.396836,510,581,0.8777969018932874,1361,1419,0.9591261451726568,2042,2108,0.9686907020872866,21649,22543,0.9603424566384243
2,5922.734666174232,69.53485922294595,0.7177642501383509,0.27854639365430733,0.0,0,14.060665385642883,0.865663111416882,0.6141730676020979,5421,28,23.209089507495477,3.8393601314181462,0.967531777785646,1.0327833954230974,0.03194515852613539,61.720312,389,427,0.9110070257611241,860,892,0.9641255605381166,1287,1331,0.9669421487603306,24790,25593,0.9686242331887626
3,6553.301069256066,74.53581683499775,0.7315412812009077,0.266538662942922,0.0,0,11.701567912414173,0.883105203359879,0.6528017491995858,5729,30,23.550160275288928,3.858333890616557,0.9773617611371122,1.0224059471289124,0.022037633497202915,66.051088,331,370,0.8945945945945946,806,825,0.9769696969696969,1210,1235,0.979757085020243,25845,26415,0.9784213515048268
4,8012.037947868387,68.39353602987875,0.8915239350021958,0.10649978041282389,0.0,0,13.995263338989961,0.8622096008169049,0.7929644437961065,4554,18,22.905509706736346,3.6641010571792663,0.9699151552891726,1.0305617276731767,0.029902590047572303,64.641086,771,831,0.927797833935018,1747,1798,0.9716351501668521,2648,2720,0.9735294117647059,19755,20345,0.9710002457606292
5,7445.0715532808235,67.628663957162,0.848446147296722,0.1502767134951043,0.0,0,9.402252838515066,0.8503177056539472,0.738808782831751,4698,20,22.58204635398741,3.7552711841241395,0.9584317253270362,1.0428201179431318,0.04125489632371438,63.190416,544,602,0.9036544850498339,1217,1290,0.9434108527131783,1986,2054,0.9668938656280428,21823,22733,0.9599700875379404
6,6720.094321499998,58.846740695180486,0.8746231155778894,0.12386934673366834,0.0005025125628140704,0,8.702447326979671,0.8596425455577927,0.7883982239757326,3980,16,25.203146340117208,3.648544973240171,0.9709678684922908,1.0285961530897219,0.028435296359824662,54.884164,747,856,0.8726635514018691,1809,1868,0.9684154175588865,2826,2894,0.9765031098825155,19367,19871,0.9746364048110312
7,3940.645986450277,48.904603011055066,0.6974424552429668,0.2989769820971867,0.0002557544757033248,0,4.560648530086567,0.8567536415015023,0.6139466177857836,3910,21,21.584996818904756,3.844263804417136,0.9762337480777297,1.022673114662181,0.02251375081138328,43.390424,355,394,0.9010152284263959,885,910,0.9725274725274725,1373,1416,0.969632768361582,25319,25892,0.9778696122354396
8,5365.823807313002,66.51397985278453,0.6965399886557005,0.2998676498392891,0.0,0,7.695246934474836,0.8740382238449382,0.6564569984288975,5289,30,24.18342415539555,3.9022722257984213,0.9792723338067221,1.02026569066016,0.020209382454280413,58.469566,258,291,0.8865979381443299,560,578,0.9688581314878892,774,798,0.9699248120300752,27369,27907,0.980721682731931
9,10151.3629099886,90.1285072132587,0.8669747483083017,0.13170490179897673,0.0,0,12.967238312546998,0.872745765122183,0.7860738380790192,6059,25,24.494099188277183,3.858259895864926,0.9664784880255268,1.0347007586400674,0.033876486330837764,83.153376,321,357,0.8991596638655462,781,805,0.9701863354037267,1262,1292,0.9767801857585139,25199,26065,0.9667753692691349
