update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,7.31,114067.4,0,111,0,3.872
9,0,1,29.18,9583.3,0,114,0,3.899
9,0,2,26.27,2994168.0,378,0,0,3.964
9,0,3,19.12,2985442.0,382,0,0,3.981
9,0,4,15.72,71432.9,0,106,0,3.888
9,0,5,15.24,2923099.0,373,0,0,3.979
9,0,6,31.03,44619.8,0,107,0,3.891
9,0,7,39.17,2904815.0,365,0,0,3.984
9,0,8,35.65,319657.1,2,107,0,3.872
9,0,9,14.73,2937449.0,367,0,0,3.947
9,0,10,34.02,45553.5,0,109,0,3.869
9,0,11,10.86,2755639.0,349,0,0,3.958
9,0,12,13.55,3233126.0,406,0,0,3.977
9,0,13,19.72,239345.8,0,105,0,3.873
9,0,14,30.6,2820351.0,349,0,0,3.99
9,0,15,28.59,2869612.7,362,6,0,3.931
9,0,16,28.24,845.1,0,114,0,4.0
9,0,17,31.34,2211651.6,240,39,0,3.883
9,0,18,36.47,2450562.9,287,23,0,3.911
9,0,19,5.84,26750.8,0,112,0,3.87
9,0,20,17.27,3014030.0,376,0,0,3.987
9,0,21,22.59,2806640.5,360,2,0,3.951
9,0,22,29.89,66029.9,0,109,0,3.875
9,0,23,15.03,52466.6,0,114,0,3.887
9,0,24,29.93,0.0,0,0,0,0.0
9,0,25,15.88,0.0,0,0,0,0.0
9,0,26,12.33,0.0,0,0,0,0.0
9,0,27,23.22,0.0,0,0,0,0.0
9,0,28,22.59,0.0,0,0,0,0.0
9,0,29,18.02,0.0,0,0,0,0.0
9,0,30,31.52,0.0,0,0,0,0.0
9,0,31,35.22,0.0,0,0,0,0.0
9,1,0,20.0,98109.6,0,104,0,4.0
9,1,1,22.2,3204313.0,400,1,0,4.0
9,1,2,24.66,210687.7,2,113,0,4.0
9,1,3,21.54,3389767.0,433,0,0,4.0
9,1,4,33.76,24994.2,0,108,0,4.0
9,1,5,23.71,2973755.0,371,0,0,4.0
9,1,6,10.08,1411334.3,134,56,0,4.0
9,1,7,5.47,2904731.2,368,1,0,4.0
9,1,8,9.6,3244363.0,409,0,0,4.0
9,1,9,21.73,109570.4,0,109,0,4.0
9,1,10,5.31,3242608.0,403,0,0,4.0
9,1,11,36.07,2933532.9,356,15,0,4.0
9,1,12,20.46,14857.3,0,112,0,4.0
9,1,13,34.32,2475348.5,296,13,0,4.0
9,1,14,8.58,2861492.0,350,21,0,4.0
9,1,15,13.3,1505879.0,139,60,0,4.0
9,1,16,27.7,2914166.7,376,1,0,4.0
9,1,17,12.23,3044090.6,382,2,0,4.0
9,1,18,16.83,876903.7,47,95,0,4.0
9,1,19,38.02,262752.5,0,110,0,4.0
9,1,20,37.85,3105340.9,381,2,0,4.0
9,1,21,8.07,980314.1,61,89,0,4.0
9,1,22,27.42,2606723.5,318,12,0,4.0
9,1,23,29.83,439709.2,3,104,0,4.0
9,1,24,36.07,39130.2,0,110,0,4.0
9,1,25,17.54,207580.3,1,101,0,4.0
9,1,26,27.33,3497139.0,429,0,0,4.0
9,1,27,37.84,0.0,0,0,0,0.0
9,1,28,36.11,0.0,0,0,0,0.0
9,1,29,28.09,0.0,0,0,0,0.0
9,1,30,27.63,0.0,0,0,0,0.0
9,1,31,24.51,0.0,0,0,0,0.0
9,2,0,7.74,5704.7,0,111,0,4.0
9,2,1,8.87,2101980.7,231,40,0,4.0
9,2,2,26.78,216203.4,0,112,0,4.0
9,2,3,17.07,2744487.9,327,7,0,3.999
