update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,6844.870764247567,63.50271908817887,0.8302094818081588,0.16802646085997794,0.0,0,15.245728315092135,0.8574679794357595,0.7161475597047817,4535,20,22.801007118915855,3.724872095169251,0.4608073414540886,1.523488398674134,0.33380640465793304,59.47708,251,302,0.8311258278145696,433,861,0.502903600464576,824,1766,0.4665911664779162,6928,15378,0.450513720899987
1,7104.847062760214,66.71768384330386,0.8225604670558799,0.1755629691409508,0.0,0,10.502021393359684,0.8475409679969382,0.7236334911628028,4796,22,25.31798011463565,3.785490900570858,0.42736853541938286,1.5652692569870483,0.35199070651599956,62.459592,169,222,0.7612612612612613,321,663,0.4841628959276018,666,1479,0.45030425963488846,6711,16044,0.4182872101720269
2,5645.274079543585,66.98771809003082,0.7094033232628398,0.2877643504531722,0.00018882175226586103,0,12.261367523116515,0.8661577681493987,0.6316049348893857,5296,28,23.209089507495477,3.873944399435731,0.44199624308270297,1.5447450016037636,0.3416337990507387,59.464948,77,97,0.7938144329896907,202,420,0.48095238095238096,371,796,0.46608040201005024,8056,18384,0.438207136640557
3,6462.046600816231,72.72411792647458,0.7285790313996807,0.2682277807344332,0.0,0,10.976872297527809,0.8827675036948118,0.6679596124155988,5637,30,23.550160275288928,3.8823072110612604,0.4482271649770515,1.538074293890096,0.33956230638553014,64.716638,97,113,0.8584070796460177,179,378,0.47354497354497355,350,733,0.47748976807639837,8261,18603,0.44406816104929314
4,7396.82958020714,63.01873557436164,0.8892569805963085,0.10884997633696167,0.000473260766682442,0,11.575464338219813,0.8619041193408232,0.8177293385241902,4226,18,22.905509706736346,3.7313795227696898,0.4309547965280126,1.564359317692263,0.3541788002329645,59.695502,251,297,0.8451178451178452,445,924,0.4816017316017316,816,1801,0.45308162132148805,6134,14720,0.41671195652173915
5,6858.0324082807465,62.106850588063274,0.8439293091576773,0.15239843929309158,0.0004590314436538903,0,7.927250883952544,0.8507207874743281,0.7655011865505094,4357,20,22.58204635398741,3.806120980502488,0.42149118060815927,1.575123083017373,0.35596055336794785,58.2645,173,196,0.8826530612244898,269,581,0.4629948364888124,597,1290,0.4627906976744186,6751,16415,0.4112701797136765
6,6099.176372405548,53.16326982894692,0.8728131074701472,0.12302138294918079,0.0016662038322688142,0,7.072990230001901,0.8591526475214927,0.818957947322957,3601,16,25.203146340117208,3.7118926967037167,0.42137970353477766,1.5736043617399549,0.3574856221839628,49.585332,254,303,0.8382838283828383,438,952,0.46008403361344535,856,1984,0.4314516129032258,5843,14301,0.40857282707502973
7,3706.540035408397,45.390483503085285,0.6966504592112371,0.3009184224743382,0.0002701242571582928,0,4.024303491191116,0.8573660488324601,0.6331970678010962,3702,21,21.584996818904756,3.858760303931536,0.4021596687110133,1.5856,0.35830334017289517,40.557946,100,123,0.8130081300813008,191,405,0.47160493827160493,393,942,0.4171974522292994,6988,17607,0.3968876015221219
8,5424.9468445865095,65.5999473639839,0.6999619482496194,0.2968036529680365,0.0001902587519025875,0,7.200248064813729,0.8733144088535114,0.6649699225138962,5256,30,24.18342415539555,3.9125047352657,0.4238280264419438,1.564565515785028,0.35117702910650556,58.49762,52,59,0.8813559322033898,136,269,0.5055762081784386,255,547,0.46617915904936014,7956,18942,0.42001900538485903
9,9732.6859116558,85.21831302937522,0.8691426587990281,0.1286011801457827,0.0003471017007983339,0,11.97518249651689,0.8725393589839151,0.8180840543070789,5762,25,24.494099188277183,3.846496539079966,0.4449817992719709,1.5481401617250674,0.34662951889100296,78.94823,120,139,0.8633093525179856,258,523,0.4933078393881453,482,1049,0.45948522402287895,7697,17519,0.4393515611621668
10,6940.349035065309,65.92013713872683,0.8128509045539614,0.18423788729465584,0.0002079434393844874,0,9.469337244712682,0.8773003036232666,0.7162185422843381,4809,23,24.088464563475032,3.843811149128226,0.43680074933652496,1.5546921697549312,0.3481785496234991,61.557954,119,137,0.8686131386861314,248,458,0.5414847161572053,487,1072,0.4542910447761194,7540,17550,0.42962962962962964
11,5626.5934354727115,62.664296718217344,0.734959349593496,0.26260162601626014,0.0002032520325203252,0,9.975431392374096,0.8704682733043317,0.6521426893605102,4920,26,21.59403136328779,3.8787101225880316,0.41799485861182517,1.5667694304721727,0.3514721082991564,57.237712,83,94,0.8829787234042553,152,346,0.4393063583815029,335,794,0.42191435768261965,7560,18216,0.4150197628458498
12,5440.592239131959,56.45880347362668,0.7652193375111906,0.232094897045658,0.0006714413607878246,0,8.801760465133611,0.8693061695055712,0.6202424965893316,4468,23,20.234820602120728,3.860158065181677,0.4443932175605758,1.5428801287208367,0.34224004312959094,54.180636,105,123,0.8536585365853658,223,432,0.5162037037037037,445,911,0.4884742041712404,7902,18055,0.4376626973137635
13,5742.183521227038,52.97841027366291,0.8321605420901746,0.16523325514725046,0.0005212405525149857,0,9.326488921201259,0.89496595486059,0.6946762860573822,3837,17,20.384559958587285,3.760439203240913,0.4649258922360747,1.5223371540396982,0.3340815962943168,50.575756,195,246,0.7926829268292683,392,742,0.5283018867924528,846,1768,0.47850678733031676,7256,15933,0.4554070168831984
14,5758.959091544745,64.96614842099477,0.7252619324796274,0.27182770663562283,0.00019402405898331392,0,7.755604947521172,0.8579362024697689,0.6667903424556624,5154,28,22.577563935549485,3.917668697468838,0.405790464560118,1.5829591618558905,0.3575981433661295,58.467004,59,70,0.8428571428571429,113,265,0.42641509433962266,247,562,0.4395017793594306,7556,18756,0.40285775218596714
15,5464.490058859393,59.92485615742056,0.7389162561576355,0.25680017134289995,0.000642535874919683,0,7.32006779945765,0.8681610553035163,0.6648585231148629,4669,25,24.19235623511431,3.905893668468733,0.4145720972829958,1.575823941028791,0.3551837270341207,54.488576,63,72,0.875,130,242,0.5371900826446281,284,627,0.4529505582137161,7671,18713,0.40992892641479184
