update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate
0,4622.959330973834,52.73790382368742,0.7242320819112628,0.2737201365187713,0.0,0,26.211125862791885,0.860840004940814,0.7873751535609916,4395,20,17.715005084939897,1.7150247888277916,1.8231228400879673,5.0,10.03,0.0
1,5098.948258572921,57.73895708629107,0.7224642190416926,0.27276498651732006,0.0008297033810412777,0,18.12968655373076,0.8510790014149802,0.7896491636841284,4821,22,19.512842939025468,1.9476012958279647,2.1415446454206144,6.0,11.97,0.0
2,4040.9795039295104,64.11213404361438,0.625304927630509,0.37095462676858026,0.0008131403480240689,0,19.92218512448942,0.8698261249340724,0.6950346442224855,6149,28,18.00649250535391,2.2454644624034468,2.1250975292587775,5.0,18.619,0.0
3,5574.039528043153,73.4894460258418,0.6701201201201201,0.3267267267267267,0.00015015015015015014,0,14.65896743367127,0.8874594805550177,0.7362368339131856,6660,30,18.250114482349236,2.473766320980011,2.4042124131749945,6.0,19.811,0.0
4,5981.938762843924,54.80477188707683,0.8272186415468518,0.16931085770946952,0.0,0,19.534944902438653,0.8661257257496228,0.8852415806405094,4034,18,17.78964979052596,1.9309773153327596,2.1174707821396463,5.0,7.88,0.0
5,5551.565387613456,56.67454830823837,0.7677261613691931,0.23027339408757502,0.0006668148477439431,0,13.615662484181623,0.8550293731795398,0.8300897429943216,4499,20,17.558604538562438,2.083784556508681,2.272437753329473,5.0,10.82,0.0
6,4783.978728245237,45.777365095617746,0.7981677640996279,0.19839679358717435,0.0008588605782994561,0,12.372839080331318,0.8640802260080025,0.8797097036213792,3493,16,19.43081881436943,2.0144009257494444,2.2277618364418936,5.0,7.506,0.0
7,3230.050170474483,49.40494040197515,0.6340271877655055,0.3623619371282923,0.0004248088360237893,0,8.760274611701474,0.8605897946765595,0.6826385662627349,4708,21,16.846426299217686,2.108528139531595,2.4341708542713567,5.0,14.972,0.0
8,5237.983488391808,71.87852763542969,0.6604169791510425,0.3367331633418329,0.00044997750112494374,0,10.86124210432626,0.8772479840384092,0.7160350457237509,6667,30,18.702445825282535,2.5143701345061986,2.4778560072677718,5.0,20.535,0.0
9,8454.436690563418,74.89416966348244,0.8407095830285296,0.15508412582297001,0.002377468910021946,0,14.564004599267154,0.8783846016592974,0.912864617993713,5468,25,18.924356563055127,2.6257443273752092,2.4196214922775723,6.0,11.196,0.0
10,5775.5183717670825,61.92578894276095,0.7474807350326023,0.24896265560165975,0.0013831258644536654,0,13.739716054285644,0.8795404841169272,0.7827264561852336,5061,23,18.634617545339307,2.163484105667235,2.132434575733545,4.0,12.084,0.0
11,4250.507935469302,60.375030294318535,0.6511710432931157,0.3461674946770759,0.0,0,14.16527196009194,0.8728551789791742,0.7191306264841474,5636,26,16.852879545205568,2.3844107736680864,2.320435967302452,5.0,17.117,0.0
12,3482.305564570859,52.08061771222091,0.647117296222664,0.3500994035785288,0.00019880715705765408,0,14.60179104777379,0.8734382845318622,0.6592484564446419,5030,23,15.882014715800517,1.8940609322483297,1.8623655913978494,3.0,14.204,0.0
13,3880.0054758154706,43.9859169451522,0.7255801403130059,0.2717215326497571,0.0002698327037236913,0,13.630304410683081,0.8979516373077094,0.7763571546025784,3706,17,15.988971398990916,1.9335011583411121,2.1201190033469692,5.0,9.281,0.0
14,5679.0785887730335,69.48466606944247,0.690268347882315,0.30455868089233756,0.0019398642095053346,0,10.122299640676157,0.8624939756209521,0.7478508461399223,6186,28,17.555402811106774,2.7962902259830735,2.65480093676815,6.0,18.419,0.0
15,5098.450026414419,62.86552090490083,0.6921835783434923,0.3042309071351739,0.0014342058085335247,0,10.491969366713445,0.8722649159096921,0.7332134591242776,5578,25,18.70882588222451,2.6037720113036653,2.5242165242165244,5.0,16.537,0.0
16,3919.5354624336364,50.39620713150566,0.6734423331860362,0.3219178082191781,0.0030932390631904553,0,12.270719767859813,0.8883246408313695,0.77260881874448,4526,20,18.489397159253855,2.6615252368407747,2.693241469816273,7.0,13.925,0.0
17,3267.50068591228,64.18535703836626,0.5930179839806559,0.40305274293486476,0.0,0,11.60774359699806,0.8851372218762341,0.6231759843181853,6617,30,16.795356031683596,2.2848554428830234,2.058868501529052,4.0,21.58,0.0
18,3974.683358281911,68.67863864188963,0.6039055668901195,0.3896823083649082,0.002477411833284757,0,8.724345653282164,0.8761126652326101,0.6696372389383145,6862,31,18.697296104003385,3.0013252793905005,2.728281853281853,6.0,23.512,0.0
19,4711.886230939778,62.079858264072186,0.6727336366818341,0.32306615330766536,0.001400070003500175,0,10.01720786215169,0.8713178649674838,0.7258846968387337,5714,26,19.07862141010402,2.495693243559575,2.4417273673257025,5.0,17.099,0.0
20,3138.315578575227,40.147227815542855,0.6870443073471677,0.3095905776780707,0.0005608524957936063,0,11.793185619208712,0.8731272740103876,0.724136239770598,3566,16,17.736849977957775,1.7152516372566229,1.8138775510204082,3.0,9.24,0.0
21,3115.939465847871,43.91259869100913,0.6547063160481691,0.34136151388547553,0.001966085033177685,0,12.61686230691553,0.8685384049362075,0.7176956653906901,4069,18,17.016397906251534,2.1280280598115375,2.290915915915916,6.0,12.315,0.0
22,4230.845775671311,49.72175405850086,0.7084417119886498,0.2884842752423741,0.0011823126034523528,0,12.299559642599412,0.857049257563681,0.7660798785846433,4229,19,17.526696645635205,2.1967552320823494,2.185580774365821,5.0,11.004,0.0
23,4445.4102169305,51.88252945651713,0.7032345623162181,0.2870391314182312,0.0081429540827867,0,7.6906389274083455,0.8583390694076314,0.7864216418011282,4421,20,16.864824558905447,2.7018859093272165,2.9392087487938245,7.0,13.683,0.0
24,3959.502318334319,47.69267325380602,0.7020140742538219,0.2950740111623392,0.000485319097306479,0,12.791963006348661,0.8650264307380944,0.7640247857505772,4121,19,15.070462690878696,2.30235401423329,2.3128240580712065,5.0,11.477,0.0
25,5605.616492747075,74.23905814304153,0.6642508504659074,0.3299807720751368,0.00236651382931519,0,10.036124495593764,0.8491134424283627,0.7305001974881364,6761,30,17.93104018226611,2.9199642645298325,2.72166555332888,6.0,21.557,0.0
26,6625.684399278147,74.84140865665094,0.7074692031810386,0.28333073444565726,0.005613597380321222,0,7.8562246864485985,0.8575266143233391,0.8129416148532472,6413,29,17.201959734221067,3.391510929260789,3.211373154066564,7.0,20.674,0.0
27,6548.154659411578,77.99952072001919,0.6906760936809545,0.3003387833259685,0.005155398438650758,0,14.40954292584017,0.8611098761661736,0.7989955543582189,6789,31,19.079746347127532,3.2747157905821846,2.9509490296438474,7.0,21.395,0.0
28,4853.449228610544,48.88784566238737,0.7717765422292825,0.2255758538522637,0.0018533227429176596,0,13.773686483802003,0.854681210477333,0.8688319046770355,3777,17,20.592303205036856,2.3204128588597066,2.411663807890223,6.0,9.173,0.0
29,1777.2713141309284,42.91598834938592,0.5472943246810382,0.4458864936207655,0.0013198416190057193,0,10.319370468329973,0.8590565599049539,0.6868349396000616,4546,20,16.423724014886982,2.7370592572974166,2.904742765273312,8.0,17.218,0.0
30,6822.844506479443,67.9276937200734,0.7729076138295863,0.22142452295484602,0.002645002833931608,0,15.76603228433909,0.8614273326424738,0.8684520291907903,5293,24,16.0672690823722,2.843073230852816,2.6181862625274994,7.0,13.249,0.0
31,6522.115803937888,78.31485971965162,0.6908586448598131,0.3014018691588785,0.004234813084112149,0,12.761613576885438,0.8550726894139888,0.7810612130154463,6848,31,17.76099282466835,3.0389429834120794,2.6653984358486578,6.0,20.328,0.0
32,7990.238759797655,70.1367591101414,0.846260662566951,0.14739139059710374,0.004364213449712359,0,15.223298838072349,0.84727250036407,0.920261624771979,5041,23,17.4127624529025,2.8085598925729807,2.7691045475855605,6.0,11.384,0.0
33,6418.690087790799,79.65078427373426,0.6840005698817495,0.3108704943724177,0.0024219974355321272,0,13.230120502578647,0.864090295509624,0.7598598734313989,7019,32,19.3743872721152,3.0617841791908456,2.6790252030826913,6.0,21.218,0.0
34,7518.607563243708,76.43601653385828,0.7616715638263141,0.23228860594188705,0.00277505713352922,0,15.854460735179952,0.8617471935694225,0.8365188670089242,6126,28,17.74564737503072,2.8126804577681037,2.5775825117873983,6.0,15.717,0.0
35,7410.69059393769,62.34248474386449,0.8879390018484289,0.10951940850277264,0.0006931608133086876,0,17.867152572028477,0.8574970429303452,0.9163925200165277,4328,20,17.228493217957258,1.9883455539773025,2.0135310954983088,4.0,6.71,0.0
36,5718.8590352058745,59.08137234518774,0.7612100407637846,0.2344990345419438,0.001930916112422227,0,14.731013938439963,0.8552065005658781,0.8193571032391875,4661,21,17.34670271922772,2.3552055599025334,2.3528748590755355,5.0,11.511,0.0
37,6848.340623182121,73.71970764649268,0.7248213125406108,0.26949317738791423,0.0022742040285899934,0,11.685729175069422,0.841451298758925,0.8533026095453898,6156,28,17.791666959891494,3.201831632054669,3.1302106678619452,7.0,18.661,0.0
38,7996.388248336735,84.64996307418215,0.7438195749602429,0.2514095706231025,0.0031805696111030794,0,15.015004946786174,0.8578880767127897,0.8239359070727731,6917,32,16.454490899420104,3.0463898306944976,2.8402332361516036,7.0,19.645,0.0
39,5579.4501984486415,54.05057450434392,0.7924801156905278,0.20486864304651722,0.0,0,19.21681621975431,0.8601718564194127,0.8496408870788897,4149,19,18.408725094677266,2.136028691706816,2.406934306569343,5.0,9.768,0.0
40,4178.253457045733,54.431455456730376,0.6699834162520729,0.32607794361525705,0.0012437810945273632,0,15.904972719810647,0.8623312078104968,0.77612686176802,4824,22,17.1763178608151,2.463744967533744,2.6318069306930694,7.0,14.719,0.0002072538860103627
41,6218.752320231178,66.80295985042122,0.7446148229280759,0.2522818546914932,0.00018254837531945966,0,21.607432138377668,0.8543452021994452,0.8016894388090717,5478,25,17.474054565585966,2.1758387168502704,2.1399852905123806,5.0,13.206,0.0
42,6089.883975886784,70.65878865360017,0.7094171880144879,0.28531445505432995,0.0029634507737899243,0,13.076826054691697,0.8659131249121098,0.7714083293202181,6074,28,18.231213077946308,2.598505639669573,2.5595265722905545,6.0,17.352,0.0
43,6561.011493912797,63.08548093735822,0.791002044989775,0.20552147239263804,0.001226993865030675,0,11.105622941374207,0.8487400889290035,0.8582078222928312,4890,22,16.938731226328805,2.537237364872944,2.7670630816959667,6.0,12.529,0.0
44,6982.118384710246,78.13293726587992,0.7244913338357196,0.27083647324792764,0.0012057272042200451,0,16.388791623947284,0.8637094659891947,0.7848000162143994,6635,30,17.26543227407696,2.5794746316874693,2.3790305804035783,6.0,17.385,0.0
45,6382.788772467741,68.70381239315363,0.7403176869534178,0.2564697483490987,0.000892379082634303,0,17.374973415405314,0.8587613568636461,0.8198253584437528,5603,25,17.38069449637013,2.441369614216765,2.357762777242044,5.0,14.41,0.0
46,4789.968097293179,73.63099831900226,0.6319581802769144,0.36422718282000566,0.00014128284826222097,0,17.741657840858068,0.8417928437943476,0.6924060819452029,7078,32,18.39311887192858,2.434425701899199,2.290409121395037,6.0,22.079,0.0
