update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,6.65,111997.7,4,219,0,1.249
9,0,1,22.27,2748.0,0,215,0,1.033
9,0,2,20.19,1777168.0,220,0,0,1.545
9,0,3,15.08,1663100.0,212,0,0,1.604
9,0,4,12.66,40589.4,1,231,0,1.09
9,0,5,12.32,1965714.0,240,0,0,1.537
9,0,6,23.59,21683.3,0,231,0,1.131
9,0,7,29.41,2013794.0,247,0,0,1.612
9,0,8,26.89,1590023.3,187,75,0,1.615
9,0,9,11.95,1920398.0,224,0,0,1.491
9,0,10,25.73,9654.8,0,209,0,1.052
9,0,11,9.19,1648709.0,217,0,0,1.564
9,0,12,11.11,1879675.0,235,0,0,1.514
9,0,13,15.51,1168350.4,115,111,0,1.636
9,0,14,23.28,1664276.0,209,0,0,1.693
9,0,15,21.85,1777793.3,217,2,0,1.582
9,0,16,21.6,321.5,0,189,0,1.109
9,0,17,23.82,1693957.0,208,0,0,1.657
9,0,18,27.48,1835055.0,236,0,0,1.492
9,0,19,5.6,6163.6,0,207,0,1.111
9,0,20,13.77,1708783.0,212,0,0,1.583
9,0,21,17.56,1711236.9,214,1,0,1.518
9,0,22,22.78,27589.7,0,222,0,1.041
9,0,23,12.17,20086.7,1,206,0,1.202
9,0,24,22.8,0.0,0,0,0,0.0
9,0,25,12.77,0.0,0,0,0,0.0
9,0,26,10.24,0.0,0,0,0,0.0
9,0,27,18.02,0.0,0,0,0,0.0
9,0,28,17.56,0.0,0,0,0,0.0
9,0,29,14.3,0.0,0,0,0,0.0
9,0,30,23.94,0.0,0,0,0,0.0
9,0,31,26.59,0.0,0,0,0,0.0
9,1,0,15.71,42392.6,2,188,0,2.0
9,1,1,17.29,1856133.5,231,1,0,2.278
9,1,2,19.04,1082208.6,119,98,0,2.378
9,1,3,16.81,1732263.0,224,0,0,2.404
9,1,4,25.54,788.6,0,228,0,1.0
9,1,5,18.36,1656070.0,218,0,0,2.197
9,1,6,8.63,1780340.8,220,12,0,2.349
9,1,7,5.33,1711726.0,214,0,0,2.232
9,1,8,8.28,1830639.8,231,0,0,2.287
9,1,9,16.95,27531.4,0,210,0,2.072
9,1,10,5.22,1923175.0,235,0,0,2.366
9,1,11,27.19,1744969.0,224,4,0,2.294
9,1,12,16.04,876.0,0,205,0,1.375
9,1,13,25.94,1769939.3,216,4,0,2.273
9,1,14,7.56,1699320.4,214,1,0,2.3
9,1,15,10.93,1809450.6,227,8,0,2.332
9,1,16,21.21,1563950.0,198,1,0,2.353
9,1,17,10.16,1774743.2,224,1,0,2.255
9,1,18,13.45,1711215.9,210,14,0,2.385
9,1,19,28.59,1123119.6,122,95,2,2.337
9,1,20,28.46,1855794.8,226,0,0,2.291
9,1,21,7.19,1687174.1,213,9,0,2.373
9,1,22,21.02,1671106.3,219,2,0,2.304
9,1,23,22.73,1465466.2,172,35,0,2.378
9,1,24,27.19,1412.5,0,217,0,1.571
9,1,25,13.95,522073.1,48,180,0,2.299
