update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,6.65,240064.3,1,200,22,4.0
9,0,1,22.27,8528.1,0,192,23,4.0
9,0,2,20.19,1769535.0,219,1,0,4.0
9,0,3,15.08,1652498.0,211,0,0,4.0
9,0,4,12.66,90493.4,0,188,44,3.99
9,0,5,12.32,1965714.0,240,0,0,3.995
9,0,6,23.59,56155.2,0,196,35,4.0
9,0,7,29.41,1993173.0,245,2,0,4.0
9,0,8,26.89,664394.0,40,170,51,4.0
9,0,9,11.95,1832470.6,213,11,0,4.0
9,0,10,25.73,35097.9,0,161,49,4.0
9,0,11,9.19,1605653.6,211,6,0,4.0
9,0,12,11.11,1869409.6,234,0,0,4.0
9,0,13,15.51,537760.5,22,176,28,4.0
9,0,14,23.28,1626699.0,204,3,1,4.0
9,0,15,21.85,1745441.5,211,7,0,3.994
9,0,16,21.6,841.6,0,142,47,4.0
9,0,17,23.82,1507548.9,177,31,0,4.0
9,0,18,27.48,1683678.3,214,21,0,4.0
9,0,19,5.6,27400.5,0,191,16,3.999
9,0,20,13.77,1696808.0,211,1,0,4.0
9,0,21,17.56,1666451.7,207,6,0,4.0
9,0,22,22.78,78530.5,0,179,43,3.999
9,0,23,12.17,77678.5,0,186,21,4.0
9,0,24,22.8,0.0,0,0,0,0.0
9,0,25,12.77,0.0,0,0,0,0.0
9,0,26,10.24,0.0,0,0,0,0.0
9,0,27,18.02,0.0,0,0,0,0.0
9,0,28,17.56,0.0,0,0,0,0.0
9,0,29,14.3,0.0,0,0,0,0.0
9,0,30,23.94,0.0,0,0,0,0.0
9,0,31,26.59,0.0,0,0,0,0.0
9,1,0,15.71,243332.6,10,142,38,3.995
9,1,1,17.29,1837339.0,229,3,0,4.0
9,1,2,19.04,894612.3,77,130,10,4.0
9,1,3,16.81,1723564.0,223,1,0,4.0
9,1,4,25.54,19271.0,0,170,58,3.998
9,1,5,18.36,1631242.5,215,3,0,3.996
9,1,6,8.63,1466777.0,176,55,0,4.0
9,1,7,5.33,1637535.7,204,8,2,4.0
9,1,8,8.28,1822762.1,230,1,0,4.0
9,1,9,16.95,252419.3,6,178,26,3.995
9,1,10,5.22,1915264.0,234,1,0,4.0
9,1,11,27.19,1677811.9,214,14,0,3.999
9,1,12,16.04,22119.1,0,159,46,3.998
9,1,13,25.94,1648523.4,200,20,0,4.0
9,1,14,7.56,1680343.7,212,3,0,4.0
9,1,15,10.93,1527863.7,186,48,1,3.999
9,1,16,21.21,1545007.0,196,3,0,4.0
9,1,17,10.16,1755076.7,221,4,0,3.997
9,1,18,13.45,1364436.5,159,60,5,3.999
9,1,19,28.59,720732.8,58,127,33,4.0
9,1,20,28.46,1841069.8,224,2,0,3.995
9,1,21,7.19,1473892.2,174,46,2,3.999
9,1,22,21.02,1629655.0,212,9,0,4.0
9,1,23,22.73,1179237.7,123,73,11,3.999
9,1,24,27.19,48517.5,0,161,56,3.997
9,1,25,13.95,658105.7,43,164,21,4.0
9,1,26,20.95,1673254.5,213,2,0,4.0
9,1,27,28.46,0.0,0,0,0,0.0
9,1,28,27.22,0.0,0,0,0,0.0
9,1,29,21.5,0.0,0,0,0,0.0
9,1,30,21.16,0.0,0,0,0,0.0
9,1,31,18.93,0.0,0,0,0,0.0
9,2,0,6.96,7153.6,0,181,31,3.985
9,2,1,7.77,1552528.1,199,25,1,4.0
9,2,2,20.56,419274.7,24,169,36,4.0
9,2,3,13.62,1848966.5,227,19,0,4.0
9,2,4,16.07,1666879.5,207,3,0,4.0
9,2,5,14.57,4928.5,0,176,44,3.997
9,2,6,13.01,1769397.0,226,0,0,4.0
9,2,7,22.07,1477534.3,170,49,0,4.0
9,2,8,12.5,1357583.1,149,67,7,3.999
9,2,9,25.95,619221.0,39,140,29,4.0
9,2,10,28.65,1663609.2,206,23,0,4.0
9,2,11,13.51,451802.4,22,160,30,3.996
9,2,12,8.75,1831463.0,227,3,0,4.0
9,2,13,16.81,1619315.4,194,33,0,4.0
9,2,14,15.53,1673533.1,209,27,0,3.999
9,2,15,24.33,1443058.5,167,52,1,4.0
9,2,16,27.2,1698277.2,218,1,0,4.0
9,2,17,22.13,1734180.4,224,8,1,3.998
9,2,18,7.17,1746831.9,218,2,0,4.0
9,2,19,25.2,1439401.3,179,34,1,4.0
9,2,20,14.13,49723.8,0,172,40,3.994
9,2,21,13.24,1284524.0,155,38,1,4.0
9,2,22,17.91,1648960.0,206,0,0,3.998
9,2,23,17.9,1805843.4,214,12,0,4.0
9,2,24,22.87,989050.4,98,102,9,3.996
9,2,25,14.85,38324.9,0,162,38,3.995
9,2,26,13.33,1338919.3,160,54,5,4.0
9,2,27,21.36,1610139.8,209,2,0,4.0
9,2,28,11.89,1247106.2,134,84,10,4.0
9,2,29,27.14,1624274.3,198,14,0,4.0
9,2,30,26.39,0.0,0,0,0,0.0
9,2,31,12.54,0.0,0,0,0,0.0
19,0,0,6.65,233979.0,3,201,19,4.0
19,0,1,22.27,7791.7,0,181,34,4.0
19,0,2,20.19,1769535.0,219,1,0,4.0
19,0,3,15.08,1652498.0,211,0,0,4.0
19,0,4,12.66,79718.8,0,182,50,3.99
19,0,5,12.32,1944968.0,238,1,0,3.995
19,0,6,23.59,58065.9,0,191,40,4.0
19,0,7,29.41,2002540.0,246,1,0,4.0
19,0,8,26.89,657243.7,41,169,51,4.0
19,0,9,11.95,1829086.8,213,10,1,4.0
19,0,10,25.73,31510.3,0,159,51,4.0
19,0,11,9.19,1608386.7,211,5,1,4.0
19,0,12,11.11,1864307.9,233,1,0,4.0
19,0,13,15.51,571666.8,26,175,25,4.0
19,0,14,23.28,1626162.0,204,4,0,4.0
19,0,15,21.85,1737139.9,210,8,0,3.994
19,0,16,21.6,913.4,0,146,43,4.0
19,0,17,23.82,1473987.1,174,34,0,4.0
19,0,18,27.48,1649459.6,208,27,0,4.0
19,0,19,5.6,29222.6,0,191,16,4.0
19,0,20,13.77,1696808.0,211,1,0,4.0
19,0,21,17.56,1675876.2,208,6,0,4.0
19,0,22,22.78,70208.5,0,175,47,4.0
19,0,23,12.17,76988.0,0,186,21,4.0
19,0,24,22.8,0.0,0,0,0,0.0
19,0,25,12.77,0.0,0,0,0,0.0
19,0,26,10.24,0.0,0,0,0,0.0
19,0,27,18.02,0.0,0,0,0,0.0
19,0,28,17.56,0.0,0,0,0,0.0
19,0,29,14.3,0.0,0,0,0,0.0
19,0,30,23.94,0.0,0,0,0,0.0
19,0,31,26.59,0.0,0,0,0,0.0
19,1,0,15.71,265121.1,14,138,38,3.993
19,1,1,17.29,1831470.0,228,4,0,3.998
19,1,2,19.04,869051.3,80,129,8,4.0
19,1,3,16.81,1723564.0,223,1,0,4.0
19,1,4,25.54,22933.8,0,175,53,3.989
19,1,5,18.36,1629441.5,215,3,0,4.0
19,1,6,8.63,1464713.8,175,56,0,3.997
19,1,7,5.33,1655801.6,206,7,1,4.0
19,1,8,8.28,1830645.3,231,0,0,4.0
19,1,9,16.95,266062.6,6,168,36,3.992
19,1,10,5.22,1915264.0,234,1,0,3.997
19,1,11,27.19,1690683.3,215,13,0,4.0
19,1,12,16.04,16010.8,0,163,42,3.996
19,1,13,25.94,1674891.9,203,17,0,3.998
19,1,14,7.56,1689644.0,213,2,0,3.996
19,1,15,10.93,1534927.8,186,49,0,3.998
19,1,16,21.21,1545891.1,196,3,0,4.0
19,1,17,10.16,1736904.3,219,6,0,3.998
19,1,18,13.45,1343697.6,161,59,4,3.999
19,1,19,28.59,743306.0,64,123,31,3.999
19,1,20,28.46,1841032.7,224,2,0,3.998
19,1,21,7.19,1409219.3,168,51,3,3.997
19,1,22,21.02,1645948.1,215,6,0,3.998
19,1,23,22.73,1087318.1,110,75,21,3.994
19,1,24,27.19,46100.0,0,154,63,3.995
19,1,25,13.95,689901.4,57,148,23,3.998
19,1,26,20.95,1673175.1,213,2,0,3.998
19,1,27,28.46,0.0,0,0,0,0.0
19,1,28,27.22,0.0,0,0,0,0.0
19,1,29,21.5,0.0,0,0,0,0.0
19,1,30,21.16,0.0,0,0,0,0.0
19,1,31,18.93,0.0,0,0,0,0.0
19,2,0,6.96,7106.5,0,179,33,3.984
19,2,1,7.77,1566749.3,201,23,1,3.999
19,2,2,20.56,412869.1,22,167,40,3.998
19,2,3,13.62,1845688.3,227,19,0,4.0
19,2,4,16.07,1671218.4,208,2,0,4.0
19,2,5,14.57,3968.8,0,186,34,3.985
19,2,6,13.01,1769397.0,226,0,0,4.0
19,2,7,22.07,1475326.5,180,39,0,4.0
19,2,8,12.5,1364940.6,154,66,3,3.999
19,2,9,25.95,564552.5,35,134,39,3.999
19,2,10,28.65,1662097.9,206,21,2,3.999
19,2,11,13.51,436112.2,32,154,26,3.996
19,2,12,8.75,1840750.0,228,2,0,3.997
19,2,13,16.81,1616331.6,196,31,0,3.998
19,2,14,15.53,1639653.6,203,32,1,4.0
19,2,15,24.33,1421149.0,166,53,1,3.999
19,2,16,27.2,1697704.0,218,1,0,4.0
19,2,17,22.13,1713977.7,221,12,0,3.998
19,2,18,7.17,1755324.0,219,1,0,4.0
19,2,19,25.2,1401626.5,174,37,2,4.0
19,2,20,14.13,45200.4,0,179,33,3.994
19,2,21,13.24,1222460.9,149,44,1,4.0
19,2,22,17.91,1648960.0,206,0,0,3.998
19,2,23,17.9,1848949.5,220,7,0,3.998
19,2,24,22.87,964820.0,98,104,7,3.997
19,2,25,14.85,30889.3,0,162,38,3.997
19,2,26,13.33,1300512.0,148,58,13,4.0
19,2,27,21.36,1608834.0,209,2,0,3.998
19,2,28,11.89,1233273.4,125,89,14,4.0
19,2,29,27.14,1620985.2,198,14,0,4.0
19,2,30,26.39,0.0,0,0,0,0.0
19,2,31,12.54,0.0,0,0,0,0.0
29,0,0,6.65,193845.2,6,192,25,3.999
29,0,1,22.27,7947.5,0,180,35,4.0
29,0,2,20.19,1769535.0,219,1,0,4.0
29,0,3,15.08,1652498.0,211,0,0,4.0
29,0,4,12.66,86027.4,0,195,37,3.99
29,0,5,12.32,1965714.0,240,0,0,3.995
29,0,6,23.59,54311.5,0,201,30,4.0
29,0,7,29.41,1993173.0,245,2,0,4.0
29,0,8,26.89,624517.2,44,182,35,4.0
29,0,9,11.95,1806664.8,210,13,1,4.0
29,0,10,25.73,39580.6,0,171,39,4.0
29,0,11,9.19,1628644.0,214,3,0,4.0
29,0,12,11.11,1863080.3,233,1,0,4.0
29,0,13,15.51,493295.4,33,167,26,4.0
29,0,14,23.28,1652781.0,208,1,0,4.0
29,0,15,21.85,1738871.4,210,8,0,3.994
29,0,16,21.6,906.4,0,148,41,4.0
29,0,17,23.82,1511020.1,178,30,0,4.0
29,0,18,27.48,1698840.8,217,18,0,4.0
29,0,19,5.6,27911.1,0,182,25,4.0
29,0,20,13.77,1708783.0,212,0,0,4.0
29,0,21,17.56,1639832.6,204,9,0,4.0
29,0,22,22.78,58636.1,0,166,56,3.999
29,0,23,12.17,78146.5,0,182,25,4.0
29,0,24,22.8,0.0,0,0,0,0.0
29,0,25,12.77,0.0,0,0,0,0.0
29,0,26,10.24,0.0,0,0,0,0.0
29,0,27,18.02,0.0,0,0,0,0.0
29,0,28,17.56,0.0,0,0,0,0.0
29,0,29,14.3,0.0,0,0,0,0.0
29,0,30,23.94,0.0,0,0,0,0.0
29,0,31,26.59,0.0,0,0,0,0.0
29,1,0,15.71,288389.6,16,132,42,3.994
29,1,1,17.29,1832150.8,228,4,0,4.0
29,1,2,19.04,773768.0,74,136,7,3.999
29,1,3,16.81,1732263.0,224,0,0,3.997
29,1,4,25.54,20821.4,0,169,59,3.992
29,1,5,18.36,1610917.2,212,5,1,4.0
29,1,6,8.63,1423199.4,174,57,0,4.0
29,1,7,5.33,1609780.3,200,13,1,4.0
29,1,8,8.28,1830639.8,231,0,0,3.998
29,1,9,16.95,259860.1,12,161,37,3.994
29,1,10,5.22,1915264.0,234,1,0,3.992
29,1,11,27.19,1677920.4,214,14,0,3.993
29,1,12,16.04,16719.8,0,156,49,3.999
29,1,13,25.94,1632687.6,197,23,0,3.999
29,1,14,7.56,1694564.0,214,1,0,3.998
29,1,15,10.93,1520278.4,185,49,1,3.997
