update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,6.65,77448.1,0,326,0,1.544
9,0,1,22.27,2833.4,0,326,0,1.329
9,0,2,20.19,2822466.0,344,1,0,1.501
9,0,3,15.08,2673535.0,332,0,0,1.51
9,0,4,12.66,49999.4,1,335,0,1.406
9,0,5,12.32,2758122.0,352,0,0,1.46
9,0,6,23.59,22533.3,0,316,0,1.405
9,0,7,29.41,2468956.0,304,0,0,1.5
9,0,8,26.89,561989.3,53,276,0,1.537
9,0,9,11.95,2762312.6,341,1,0,1.47
9,0,10,25.73,11444.2,0,335,0,1.455
9,0,11,9.19,2766835.0,353,0,0,1.444
9,0,12,11.11,2877541.0,353,0,0,1.494
9,0,13,15.51,410783.8,38,273,0,1.574
9,0,14,23.28,2698059.0,330,0,0,1.495
9,0,15,21.85,2700541.2,332,2,0,1.501
9,0,16,21.6,482.6,0,321,0,1.308
9,0,17,23.82,2490575.7,320,3,0,1.607
9,0,18,27.48,2647266.2,334,3,0,1.556
9,0,19,5.6,7766.9,0,346,0,1.457
9,0,20,13.77,2536391.0,319,0,0,1.497
9,0,21,17.56,2833636.4,360,2,0,1.432
9,0,22,22.78,46074.4,0,318,0,1.36
9,0,23,12.17,31390.9,0,299,0,1.472
9,0,24,22.8,0.0,0,0,0,0.0
9,0,25,12.77,0.0,0,0,0,0.0
9,0,26,10.24,0.0,0,0,0,0.0
9,0,27,18.02,0.0,0,0,0,0.0
9,0,28,17.56,0.0,0,0,0,0.0
9,0,29,14.3,0.0,0,0,0,0.0
9,0,30,23.94,0.0,0,0,0,0.0
9,0,31,26.59,0.0,0,0,0,0.0
9,1,0,15.71,143309.8,7,279,2,2.538
9,1,1,17.29,2451604.0,306,2,0,2.506
9,1,2,19.04,513650.9,52,236,0,2.662
9,1,3,16.81,2401142.0,304,1,0,2.55
9,1,4,25.54,2327.5,0,292,1,2.586
9,1,5,18.36,2385845.4,289,6,0,2.495
9,1,6,8.63,1978569.1,242,39,0,2.596
9,1,7,5.33,2272633.4,277,6,1,2.536
9,1,8,8.28,2352148.0,296,0,0,2.488
9,1,9,16.95,77936.7,4,274,0,2.486
9,1,10,5.22,2398694.0,298,0,0,2.549
9,1,11,27.19,1978425.4,248,1,0,2.566
9,1,12,16.04,2366.3,0,283,0,2.617
9,1,13,25.94,2209889.9,281,11,0,2.513
9,1,14,7.56,2096645.5,266,2,0,2.446
9,1,15,10.93,2207807.3,275,23,1,2.564
9,1,16,21.21,2375061.7,302,3,0,2.522
9,1,17,10.16,2091772.7,270,4,0,2.485
9,1,18,13.45,1837362.4,209,36,0,2.595
9,1,19,28.59,695824.7,62,224,3,2.593
9,1,20,28.46,2373305.7,296,3,0,2.543
9,1,21,7.19,2071849.4,245,34,0,2.613
9,1,22,21.02,2154742.4,270,4,0,2.532
9,1,23,22.73,1249603.2,129,132,1,2.652
9,1,24,27.19,16900.4,0,266,2,2.445
9,1,25,13.95,413723.2,37,260,1,2.613
9,1,26,20.95,2468156.8,305,3,0,2.541
9,1,27,28.46,0.0,0,0,0,0.0
9,1,28,27.22,0.0,0,0,0,0.0
9,1,29,21.5,0.0,0,0,0,0.0
9,1,30,21.16,0.0,0,0,0,0.0
9,1,31,18.93,0.0,0,0,0,0.0
9,2,0,6.96,1633.8,0,236,0,2.319
9,2,1,7.77,1635127.6,207,7,0,2.606
9,2,2,20.56,393485.9,32,186,0,2.722
9,2,3,13.62,1617018.5,197,4,0,2.561
9,2,4,16.07,1742758.0,206,1,0,2.542
9,2,5,14.57,925.8,0,194,0,1.923
9,2,6,13.01,1487102.0,193,0,0,2.639
9,2,7,22.07,1706233.1,205,14,0,2.586
9,2,8,12.5,1545930.5,190,20,0,2.685
9,2,9,25.95,650554.3,64,137,3,2.609
9,2,10,28.65,1627601.7,202,6,0,2.62
9,2,11,13.51,390421.2,35,186,0,2.607
9,2,12,8.75,1568929.0,196,1,0,2.609
9,2,13,16.81,1576343.6,199,7,0,2.617
9,2,14,15.53,1628211.5,206,6,0,2.574
9,2,15,24.33,1503556.4,194,12,0,2.653
9,2,16,27.2,1507551.0,191,0,0,2.504
9,2,17,22.13,1650387.0,207,2,0,2.523
9,2,18,7.17,1531950.0,190,0,0,2.651
9,2,19,25.2,1710676.5,204,4,0,2.556
9,2,20,14.13,33151.0,0,181,0,2.479
9,2,21,13.24,1627493.2,199,9,0,2.632
9,2,22,17.91,1527044.0,192,0,0,2.571
9,2,23,17.9,1588673.2,203,2,0,2.563
9,2,24,22.87,1101497.4,121,103,0,2.624
9,2,25,14.85,23516.4,1,201,0,2.593
9,2,26,13.33,1515365.9,179,25,1,2.674
9,2,27,21.36,1706888.0,217,2,0,2.66
9,2,28,11.89,1229465.5,139,49,0,2.693
9,2,29,27.14,1554859.0,193,4,0,2.557
9,2,30,26.39,0.0,0,0,0,0.0
9,2,31,12.54,0.0,0,0,0,0.0
19,0,0,6.65,172280.8,2,309,15,3.676
19,0,1,22.27,6186.8,0,312,14,3.61
19,0,2,20.19,2788948.0,340,5,0,3.65
19,0,3,15.08,2673535.0,332,0,0,3.629
19,0,4,12.66,72962.9,0,300,36,3.662
19,0,5,12.32,2732312.0,349,3,0,3.675
19,0,6,23.59,49857.2,0,294,22,3.639
19,0,7,29.41,2468956.0,304,0,0,3.709
19,0,8,26.89,614519.3,32,255,43,3.652
19,0,9,11.95,2601999.1,319,23,0,3.621
19,0,10,25.73,37771.5,0,302,33,3.664
19,0,11,9.19,2582336.6,330,23,0,3.667
19,0,12,11.11,2853202.0,350,3,0,3.658
19,0,13,15.51,569802.7,31,245,35,3.643
19,0,14,23.28,2644566.0,324,5,0,3.654
19,0,15,21.85,2531034.4,311,20,0,3.698
19,0,16,21.6,939.0,0,299,23,3.637
19,0,17,23.82,2039393.5,247,75,1,3.701
19,0,18,27.48,2334060.1,292,44,0,3.71
19,0,19,5.6,20570.2,0,328,19,3.715
19,0,20,13.77,2525706.0,318,0,0,3.678
19,0,21,17.56,2533376.4,324,37,0,3.648
19,0,22,22.78,67964.0,0,285,33,3.649
19,0,23,12.17,68982.5,0,284,15,3.674
19,0,24,22.8,0.0,0,0,0,0.0
19,0,25,12.77,0.0,0,0,0,0.0
19,0,26,10.24,0.0,0,0,0,0.0
19,0,27,18.02,0.0,0,0,0,0.0
19,0,28,17.56,0.0,0,0,0,0.0
19,0,29,14.3,0.0,0,0,0,0.0
19,0,30,23.94,0.0,0,0,0,0.0
19,0,31,26.59,0.0,0,0,0,0.0
19,1,0,15.71,213863.2,4,248,36,3.88
19,1,1,17.29,2388840.5,299,9,0,3.932
19,1,2,19.04,785848.7,73,205,10,3.909
19,1,3,16.81,2391703.0,303,2,0,3.966
19,1,4,25.54,7379.0,0,259,34,3.865
19,1,5,18.36,2359883.7,287,8,0,3.923
19,1,6,8.63,1686127.4,203,77,1,3.933
19,1,7,5.33,2189454.0,267,16,1,3.925
19,1,8,8.28,2344236.0,295,1,0,3.926
19,1,9,16.95,199961.4,5,242,31,3.913
19,1,10,5.22,2398694.0,298,0,0,3.932
19,1,11,27.19,1947665.1,244,5,0,3.935
19,1,12,16.04,8333.8,0,247,36,3.888
19,1,13,25.94,1997224.1,249,43,0,3.919
19,1,14,7.56,2067601.1,262,5,0,3.919
19,1,15,10.93,1859989.8,228,69,1,3.926
19,1,16,21.21,2358927.4,300,5,0,3.943
19,1,17,10.16,2046766.6,264,10,0,3.919
19,1,18,13.45,1490537.8,160,78,7,3.93
19,1,19,28.59,633656.2,50,204,35,3.912
19,1,20,28.46,2355233.8,293,6,0,3.933
19,1,21,7.19,1648923.0,187,88,2,3.924
19,1,22,21.02,2006433.1,252,22,0,3.938
19,1,23,22.73,1085857.3,116,129,17,3.922
19,1,24,27.19,34900.3,0,231,37,3.919
19,1,25,13.95,536511.3,37,235,26,3.909
19,1,26,20.95,2431998.0,300,8,0,3.928
19,1,27,28.46,0.0,0,0,0,0.0
19,1,28,27.22,0.0,0,0,0,0.0
19,1,29,21.5,0.0,0,0,0,0.0
19,1,30,21.16,0.0,0,0,0,0.0
19,1,31,18.93,0.0,0,0,0,0.0
19,2,0,6.96,11635.6,0,210,26,3.842
19,2,1,7.77,1486615.0,188,24,1,3.902
19,2,2,20.56,422839.8,22,166,31,3.881
19,2,3,13.62,1521316.7,185,15,1,3.895
19,2,4,16.07,1734883.9,205,2,0,3.887
19,2,5,14.57,7032.2,0,151,44,3.862
19,2,6,13.01,1487102.0,193,0,0,3.905
19,2,7,22.07,1543015.4,188,31,0,3.881
19,2,8,12.5,1341836.9,160,48,2,3.891
19,2,9,25.95,618196.9,51,113,41,3.879
19,2,10,28.65,1474432.0,179,29,0,3.914
19,2,11,13.51,470888.9,34,150,37,3.853
19,2,12,8.75,1568929.0,196,1,0,3.906
19,2,13,16.81,1409683.5,179,26,0,3.908
19,2,14,15.53,1514041.9,188,23,0,3.884
19,2,15,24.33,1392132.9,174,27,4,3.882
19,2,16,27.2,1507551.0,191,0,0,3.893
19,2,17,22.13,1601673.1,201,8,0,3.881
19,2,18,7.17,1517173.6,188,1,0,3.91
19,2,19,25.2,1601537.4,187,20,1,3.881
19,2,20,14.13,56997.8,0,155,26,3.839
19,2,21,13.24,1413454.3,168,40,0,3.907
19,2,22,17.91,1527044.0,192,0,0,3.883
19,2,23,17.9,1558804.6,200,5,0,3.896
19,2,24,22.87,1087081.5,121,93,10,3.878
19,2,25,14.85,47370.0,0,154,48,3.864
19,2,26,13.33,1259975.3,142,54,9,3.913
19,2,27,21.36,1681414.0,214,4,1,3.909
19,2,28,11.89,1094462.5,111,66,11,3.894
19,2,29,27.14,1485115.3,183,14,0,3.885
19,2,30,26.39,0.0,0,0,0,0.0
19,2,31,12.54,0.0,0,0,0,0.0
29,0,0,6.65,146671.4,1,293,32,3.997
29,0,1,22.27,5576.4,0,292,34,3.99
29,0,2,20.19,2779763.9,339,6,0,4.0
29,0,3,15.08,2673535.0,332,0,0,4.0
29,0,4,12.66,53865.0,0,280,56,3.994
