update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,3530.2624199671454,65.93138897075632,0.5967997465145755,0.4009822560202788,0.0,0,16.249280978741158,0.8609614436995852,0.7280934621600387,6312,20,17.715005084939897,3.742175046240379,2.4146535704804886,7.0,20.76,0.0,0.31895783449532045,0.9750906802872159,1.0240945991029395,0.023528136181285915,59.455664,621,679,0.914580265095729,1334,1366,0.9765739385065886,2168,2210,0.9809954751131221,22222,22763,0.9762333611562624
1,3989.521957570572,64.67553246024973,0.6230331436223636,0.3732842316705725,0.0,0,10.953408597274155,0.8515980339584249,0.7384753918951541,5974,22,19.512842939025468,3.7566109712826274,2.4210102095647503,6.0,19.062,0.0,0.2685051829175451,0.9638455523699594,1.033403157028503,0.03273788086148527,58.94117,561,665,0.843609022556391,1244,1300,0.9569230769230769,1966,2046,0.9608993157380255,22115,22846,0.968003151536374
2,132.42232820691748,63.05325309624007,0.4579413769597819,0.5383776414451261,0.0,0,13.544446729622683,0.8691644063531355,0.6556261492852946,7335,28,18.00649250535391,3.843250433821637,2.941053885084847,8.0,31.117,0.0,0.26167139450012955,0.9725340255366914,1.0257871591908532,0.025300875273522976,52.72806,367,429,0.8554778554778555,840,873,0.9621993127147767,1266,1290,0.9813953488372092,25252,25916,0.9743787621546535
3,-880.2202809188549,78.11191341407923,0.4280167890870934,0.5671563483735572,0.0001049317943336831,0,11.686786992012186,0.8871347334005034,0.6532328547623695,9530,30,18.250114482349236,3.8782081854848607,3.646727139004658,9.0,43.747,0.0,0.31651172505068204,0.9802304178880633,1.0171711989054215,0.017382858291187995,63.680584,286,323,0.8854489164086687,700,731,0.957592339261286,1047,1073,0.9757688723205965,26725,27211,0.9821395759068023
4,4963.946612385527,59.84474515530902,0.7049213804370023,0.29242393302021646,0.0,0,12.399714521696728,0.8656278050328112,0.8559844495435986,4897,18,17.78964979052596,3.6826927280765656,2.6132676709154112,7.0,13.733,0.0,0.27080125799238275,0.9750536480686696,1.0232022126613398,0.023060796645702306,54.200174,726,801,0.9063670411985019,1713,1751,0.9782981153626499,2504,2559,0.978507229386479,20502,20985,0.9769835596854897
5,4171.886737719114,57.58457387445022,0.6625100563153661,0.334875301689461,0.0008045052292839903,0,8.34335100145286,0.854786094960664,0.7970774889734358,4972,20,17.558604538562438,3.728467328885716,2.567698846387371,7.0,15.086,0.0,0.2458112398951994,0.9682216950939417,1.0300041567471565,0.030020817355100253,52.071118,620,711,0.8720112517580872,1388,1435,0.9672473867595819,2357,2411,0.9776026545002073,21350,22002,0.9703663303336061
6,4217.817807536482,55.94425145241206,0.6731178222033177,0.32305401956614205,0.0002126754572522331,0,7.9940106058555465,0.8641048587292969,0.8203569085907322,4702,16,19.43081881436943,3.67509947312577,2.4906793048973146,7.0,13.767,0.0,0.291191162189825,0.9781791685841387,1.0203783451245771,0.020141289643769728,50.183392,726,836,0.868421052631579,1723,1763,0.9773114010209869,2643,2683,0.9850913156913902,20415,20794,0.9817735885351544
7,-2217.9431635341048,54.07988872913209,0.37959571292904626,0.6160629493962827,0.0,0,4.777439921624433,0.8601107157007138,0.6092690827879654,7371,21,16.846426299217686,3.8599890794589493,4.011436740528949,9.0,35.767,0.0002712600027126,0.34948723064060516,0.9807407407407407,1.0170745195631135,0.016801598861827173,43.745148,350,388,0.9020618556701031,782,795,0.9836477987421384,1239,1264,0.9802215189873418,26095,26578,0.9818270750244563
8,2634.287530471512,55.7574907564395,0.5730733519034354,0.4222841225626741,0.0,0,6.66261434773463,0.8774034626852028,0.723755381401872,5385,30,18.702445825282535,3.8298675557862185,3.05249513933895,7.0,20.031,0.0,0.17935573047378758,0.985652447113035,1.012803918138884,0.012819629195671652,48.734538,435,474,0.9177215189873418,961,981,0.9796126401630989,1458,1477,0.987136086662153,25381,25714,0.9870498561095123
9,6118.619719508843,73.25530998052095,0.7072795625427204,0.2899863294600137,0.0,0,11.636946105270006,0.8777246862436417,0.884730059729583,5852,25,18.924356563055127,3.7842806381411394,2.601352983812515,8.0,16.38,0.0,0.23192837614420586,0.9724410878326858,1.0258156131663267,0.02551128724081806,64.870284,503,563,0.8934280639431617,1183,1220,0.969672131147541,1863,1910,0.9753926701570681,23233,23848,0.9742116739349211
10,3920.7304915526647,56.680130517640244,0.6517303460692139,0.34526905381076217,0.00040008001600320064,0,9.106822105089842,0.8793165101362589,0.7670027577186654,4999,23,18.634617545339307,3.7469408875762706,2.410988336402701,7.0,14.765,0.0,0.21960214156690783,0.9802175341265785,1.017620338486336,0.018379850238257316,51.639934,490,553,0.8860759493670886,1304,1344,0.9702380952380952,2644,2708,0.9763663220088626,22418,22793,0.9835475803974905
