update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,6.65,156299.0,0,326,0,3.934
9,0,1,22.27,7830.6,0,326,0,3.94
9,0,2,20.19,2832527.0,345,0,0,3.996
9,0,3,15.08,2673535.0,332,0,0,3.994
9,0,4,12.66,61486.6,0,336,0,3.92
9,0,5,12.32,2758122.0,352,0,0,3.999
9,0,6,23.59,37232.3,0,316,0,3.924
9,0,7,29.41,2468956.0,304,0,0,3.997
9,0,8,26.89,680565.6,40,289,0,3.929
9,0,9,11.95,2762143.0,341,1,0,3.981
9,0,10,25.73,29545.5,0,335,0,3.929
9,0,11,9.19,2778346.0,354,0,0,3.984
9,0,12,11.11,2877541.0,353,0,0,3.994
9,0,13,15.51,470255.1,21,290,0,3.929
9,0,14,23.28,2685125.3,328,1,0,3.997
9,0,15,21.85,2711952.0,334,0,0,3.978
9,0,16,21.6,541.3,0,321,0,3.997
9,0,17,23.82,2504560.4,319,4,0,3.959
9,0,18,27.48,2666100.3,336,0,0,3.955
9,0,19,5.6,23468.8,0,346,0,3.933
9,0,20,13.77,2536391.0,319,0,0,3.995
9,0,21,17.56,2853274.0,363,0,0,3.982
9,0,22,22.78,52924.3,0,318,0,3.942
9,0,23,12.17,52147.2,0,299,0,3.927
9,0,24,22.8,0.0,0,0,0,0.0
9,0,25,12.77,0.0,0,0,0,0.0
9,0,26,10.24,0.0,0,0,0,0.0
9,0,27,18.02,0.0,0,0,0,0.0
9,0,28,17.56,0.0,0,0,0,0.0
9,0,29,14.3,0.0,0,0,0,0.0
9,0,30,23.94,0.0,0,0,0,0.0
9,0,31,26.59,0.0,0,0,0,0.0
9,1,0,15.71,81964.3,1,287,0,4.0
9,1,1,17.29,2476090.0,309,0,0,4.0
9,1,2,19.04,515446.9,33,255,0,4.0
9,1,3,16.81,2406867.0,305,0,0,4.0
9,1,4,25.54,5549.2,0,293,0,4.0
9,1,5,18.36,2426103.0,296,0,0,4.0
9,1,6,8.63,2068559.2,245,36,0,4.0
9,1,7,5.33,2329257.3,284,1,0,4.0
9,1,8,8.28,2352148.0,296,0,0,4.0
9,1,9,16.95,104637.8,2,276,0,4.0
9,1,10,5.22,2398694.0,298,0,0,4.0
9,1,11,27.19,1995175.0,250,0,0,4.0
9,1,12,16.04,5903.8,0,283,0,4.0
9,1,13,25.94,2296216.9,292,0,0,4.0
9,1,14,7.56,2111116.0,268,0,0,4.0
9,1,15,10.93,2275207.8,283,16,0,4.0
9,1,16,21.21,2402468.0,305,0,0,4.0
9,1,17,10.16,2117408.0,274,0,0,4.0
9,1,18,13.45,1717460.3,185,61,0,4.0
9,1,19,28.59,441264.6,23,266,0,4.0
9,1,20,28.46,2403099.0,300,0,0,4.0
9,1,21,7.19,1926221.0,217,60,0,4.0
9,1,22,21.02,2190745.0,275,0,0,4.0
9,1,23,22.73,966248.8,78,183,0,4.0
9,1,24,27.19,15056.7,0,268,0,4.0
9,1,25,13.95,358153.6,17,281,0,4.0
9,1,26,20.95,2494635.0,308,0,0,4.0
9,1,27,28.46,0.0,0,0,0,0.0
9,1,28,27.22,0.0,0,0,0,0.0
9,1,29,21.5,0.0,0,0,0,0.0
9,1,30,21.16,0.0,0,0,0,0.0
9,1,31,18.93,0.0,0,0,0,0.0
9,2,0,6.96,3628.0,0,236,0,3.992
9,2,1,7.77,1694202.2,213,2,0,3.996
9,2,2,20.56,287322.3,10,208,0,3.999
9,2,3,13.62,1645304.0,201,0,0,4.0
9,2,4,16.07,1750530.0,207,0,0,4.0
9,2,5,14.57,2448.4,0,194,0,3.975
9,2,6,13.01,1487102.0,193,0,0,4.0
9,2,7,22.07,1718954.5,211,9,0,3.999
9,2,8,12.5,1395919.4,160,50,0,4.0
9,2,9,25.95,495446.4,39,165,0,4.0
9,2,10,28.65,1667653.1,207,1,0,4.0
9,2,11,13.51,309990.8,17,204,0,3.993
9,2,12,8.75,1574359.0,197,0,0,4.0
9,2,13,16.81,1601820.6,204,2,0,4.0
9,2,14,15.53,1668778.0,211,1,0,4.0
9,2,15,24.33,1543816.7,194,12,0,4.0
9,2,16,27.2,1507551.0,191,0,0,4.0
9,2,17,22.13,1667800.0,209,0,0,4.0
