update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,3394.1548777595203,65.45687442700316,0.5914131812420785,0.40605196451204056,0.00015842839036755386,0,16.44497317518233,0.8569564439189192,0.7240005569374837,6312,20,22.801007118915855,3.7477571259677576,2.373961960889365,7.0,20.799,0.0,0.31895783449532045,0.971491065470453,1.0263285113978655,0.02613907141309842,58.92054,619,682,0.907624633431085,1318,1342,0.9821162444113264,2027,2071,0.9787542250120714,22241,22879,0.9721141658289261
1,3846.27126689311,64.41062074213137,0.6160026782725142,0.38064948108470037,0.00016739203213927018,0,10.994613976730223,0.8467951237675216,0.7364498111305998,5974,22,25.31798011463565,3.7560989951062553,2.4551630434782608,6.0,19.467,0.0,0.2685051829175451,0.9592195267820431,1.0374548736462095,0.0367956795679568,58.240448,542,627,0.8644338118022329,1289,1360,0.9477941176470588,1841,1926,0.9558670820353063,21990,22840,0.962784588441331
2,-49.03546982769079,62.62420567986269,0.45044308111792775,0.5456032719836401,0.000136332651670075,0,13.405267739158065,0.8650101990751642,0.6535327579363588,7335,28,23.209089507495477,3.841531015172478,2.9231234866828086,8.0,31.202,0.0,0.26167139450012955,0.9676508978022366,1.0301612617402092,0.029544676480657308,51.743954,377,432,0.8726851851851852,822,853,0.9636576787807737,1316,1354,0.9719350073855244,24915,25708,0.96915357087288
3,-920.3510836599829,77.90725264032437,0.42696747114375655,0.5685204616998951,0.0,0,11.571022284773528,0.8826413985563413,0.6537515522118118,9530,30,23.550160275288928,3.8847840504064184,3.7087736544605554,9.0,44.093,0.0,0.31651172505068204,0.9757830378795641,1.0216779858681484,0.02155604571886906,63.601842,280,314,0.89171974522293,680,697,0.975609756097561,981,1002,0.9790419161676647,26627,27264,0.9766358568075117
4,4854.268717458921,59.59038830855802,0.6985909740657545,0.29895854604860117,0.0,0,12.497246692079596,0.8617443838594312,0.8555826528257722,4897,18,22.905509706736346,3.678143739506003,2.6658871674948847,7.0,14.01,0.0,0.27080125799238275,0.9702678606039462,1.0278145180113591,0.02733579669708167,53.65606,763,861,0.8861788617886179,1693,1744,0.970756880733945,2423,2492,0.9723113964686998,20151,20700,0.9734782608695652
5,3994.6019051178228,57.21979874160943,0.6526548672566371,0.34533386967015284,0.00040225261464199515,0,8.52401052598738,0.8500339168467901,0.7942269359108104,4972,20,22.58204635398741,3.699261965852068,2.6064714946070877,7.0,15.36,0.0,0.2458112398951994,0.9576454250887209,1.0409610540592908,0.04020733061828952,51.306402,636,743,0.8559892328398385,1419,1495,0.9491638795986622,2368,2471,0.9583164710643464,20403,21215,0.9617251944378977
6,4227.75317193163,55.8852623312762,0.6743938749468311,0.32241599319438535,0.0002126754572522331,0,8.07053903332897,0.8598295693047865,0.816972518922215,4702,16,25.203146340117208,3.6627721882994058,2.5187637969094925,7.0,13.826,0.0,0.291191162189825,0.972547499030632,1.0252656986024058,0.02539490590280402,50.27701,743,842,0.8824228028503563,1710,1782,0.9595959595959596,2676,2735,0.9784277879341865,19953,20431,0.9766041799226666
7,-2316.550195656553,53.2734227558684,0.37742504409171074,0.6183692850359517,0.0,0,4.784613083843986,0.856827618653884,0.6042213199180348,7371,21,21.584996818904756,3.8627826194446557,4.118979151689432,9.0,36.176,0.0002712600027126,0.34948723064060516,0.9748512522485125,1.022919054068132,0.022618926868850798,43.270382,320,355,0.9014084507042254,776,799,0.9712140175219024,1150,1176,0.9778911564625851,25935,26578,0.9758070584694107
8,2424.5373962537146,54.86806907548023,0.5632311977715877,0.4319405756731662,0.0,0,6.529388094242222,0.8739319916506874,0.7206991722361413,5385,30,24.18342415539555,3.8376241129190563,3.191229805473129,8.0,20.635,0.0,0.17935573047378758,0.9809527138014189,1.0176975643946031,0.01805140876488555,47.81753,393,438,0.8972602739726028,929,949,0.9789251844046365,1385,1396,0.9921203438395415,25361,25830,0.9818428184281843
9,5997.114857184457,72.5683758596161,0.7028366370471634,0.2940874914559125,0.00017088174982911826,0,11.636636712411878,0.8725700237943507,0.8773144886380264,5852,25,24.494099188277183,3.794443122365176,2.637247751033309,8.0,16.682,0.0,0.23192837614420586,0.9656176096052392,1.0326479932805026,0.03215015141911402,64.334924,461,517,0.8916827852998066,1124,1164,0.9656357388316151,1748,1815,0.9630853994490358,23207,23989,0.9674017257909875
10,3866.9174386534155,56.35627846541417,0.6489297859571914,0.34786957391478296,0.00020004000800160032,0,9.011504395007345,0.8764423300418555,0.7642549789830899,4999,23,24.088464563475032,3.7490550078832507,2.4482120838471024,7.0,15.017,0.0,0.21960214156690783,0.9734128737663869,1.0250064735693412,0.02519922463924187,51.348966,495,579,0.8549222797927462,1239,1282,0.9664586583463338,2594,2664,0.9737237237237237,22106,22631,0.9768017321373338
11,1485.113299097086,66.16571426429333,0.5084443223946176,0.4886722504462447,0.0,0,10.569243848252468,0.8700849163220459,0.6612729400229405,7283,26,21.59403136328779,3.861621816986014,3.3426951120712936,8.0,30.158,0.0,0.2807737540146128,0.9781694026762312,1.0195508495103638,0.019477884485323955,57.812098,320,356,0.898876404494382,844,866,0.9745958429561201,1134,1157,0.9801210025929127,26065,26617,0.9792613743096518
12,-962.3762356947705,68.3491252984535,0.4326265389876881,0.5625854993160054,0.0,0,10.25950545397234,0.8695128566361691,0.6097051538848639,8772,23,20.234820602120728,3.8687826371922416,3.852437417654809,9.0,40.183,0.00022794620469569182,0.3834447805357021,0.9811172035640849,1.0164470288683205,0.01674697577248374,59.68038,328,361,0.9085872576177285,723,740,0.977027027027027,1147,1173,0.9778346121057119,26431,26906,0.9823459451423474
13,2780.0312137515944,38.311919454121224,0.666371158392435,0.32949172576832153,0.0008865248226950354,0,8.64314650946374,0.8944505317033022,0.7519377300647898,3384,17,20.384559958587285,3.522119090265466,1.8944567627494457,5.0,8.996,0.0,0.20062174239132147,0.9786280876248408,1.0198440529724824,0.02037283085718887,35.848318,888,1001,0.8871128871128872,2102,2159,0.9735988883742474,5047,5153,0.9794294585678246,15774,16018,0.9847671369709077
