update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,7.31,142642.9,1,325,0,3.904
9,0,1,29.18,8800.5,0,326,0,3.902
9,0,2,26.27,2832527.0,345,0,0,3.965
9,0,3,19.12,2673535.0,332,0,0,3.992
9,0,4,15.72,69821.3,2,334,0,3.894
9,0,5,15.24,2744173.9,350,2,0,3.993
9,0,6,31.03,42786.5,0,316,0,3.91
9,0,7,39.17,2468956.0,304,0,0,3.993
9,0,8,35.65,472601.1,41,287,1,3.914
9,0,9,14.73,2769863.0,341,1,0,3.966
9,0,10,34.02,32768.3,0,335,0,3.898
9,0,11,10.86,2771807.3,352,2,0,3.972
9,0,12,13.55,2877541.0,353,0,0,3.981
9,0,13,19.72,333198.0,21,290,0,3.916
9,0,14,30.6,2684136.1,328,1,0,3.988
9,0,15,28.59,2667167.8,328,6,0,3.956
9,0,16,28.24,553.0,0,321,0,3.997
9,0,17,31.34,2262651.1,286,37,0,3.937
9,0,18,36.47,2561513.2,321,16,0,3.945
9,0,19,5.84,23718.1,0,346,0,3.889
9,0,20,17.27,2536391.0,319,0,0,3.995
9,0,21,22.59,2852058.3,362,1,0,3.96
9,0,22,29.89,61140.2,0,318,0,3.924
9,0,23,15.03,53633.2,0,299,0,3.92
9,0,24,29.93,0.0,0,0,0,0.0
9,0,25,15.88,0.0,0,0,0,0.0
9,0,26,12.33,0.0,0,0,0,0.0
9,0,27,23.22,0.0,0,0,0,0.0
9,0,28,22.59,0.0,0,0,0,0.0
9,0,29,18.02,0.0,0,0,0,0.0
9,0,30,31.52,0.0,0,0,0,0.0
9,0,31,35.22,0.0,0,0,0,0.0
9,1,0,20.0,160813.8,9,279,0,4.0
9,1,1,22.2,2476090.0,309,0,0,4.0
9,1,2,24.66,416155.7,44,244,0,3.999
9,1,3,21.54,2406867.0,305,0,0,4.0
9,1,4,33.76,15149.6,0,293,0,4.0
9,1,5,23.71,2426103.0,296,0,0,4.0
9,1,6,10.08,1685654.3,212,68,0,4.0
9,1,7,5.47,2317922.4,282,3,0,4.0
9,1,8,9.6,2344084.5,295,1,0,4.0
9,1,9,21.73,131694.8,8,270,0,3.999
9,1,10,5.31,2398694.0,298,0,0,4.0
9,1,11,36.07,1898161.2,239,11,0,4.0
9,1,12,20.46,12730.7,0,283,0,3.998
9,1,13,34.32,2272534.2,289,3,0,4.0
9,1,14,8.58,2040013.0,261,7,0,4.0
9,1,15,13.3,1921855.2,244,54,0,4.0
9,1,16,27.7,2402468.0,305,0,0,4.0
9,1,17,12.23,2106325.7,272,2,0,4.0
9,1,18,16.83,1010239.1,117,128,0,4.0
9,1,19,38.02,502134.5,51,237,1,4.0
9,1,20,37.85,2354816.6,293,7,0,4.0
9,1,21,8.07,1274909.0,145,132,0,4.0
9,1,22,27.42,2092239.6,264,11,0,4.0
9,1,23,29.83,757619.0,92,169,0,4.0
9,1,24,36.07,46319.0,0,268,0,4.0
9,1,25,17.54,365914.0,40,258,0,4.0
9,1,26,27.33,2483110.0,307,1,0,4.0
9,1,27,37.84,0.0,0,0,0,0.0
9,1,28,36.11,0.0,0,0,0,0.0
9,1,29,28.09,0.0,0,0,0,0.0
9,1,30,27.63,0.0,0,0,0,0.0
9,1,31,24.51,0.0,0,0,0,0.0
9,2,0,7.74,11734.5,0,236,0,3.996
9,2,1,8.87,1614878.8,204,11,0,3.994
9,2,2,26.78,360360.5,34,185,0,3.998
9,2,3,17.07,1611051.5,197,4,0,4.0
9,2,4,20.49,1750530.0,207,0,0,4.0
9,2,5,18.4,5744.8,0,194,0,4.0
9,2,6,16.21,1487102.0,193,0,0,4.0
9,2,7,28.9,1132423.4,148,71,0,4.0
9,2,8,15.49,1061131.7,133,76,0,4.0
9,2,9,34.34,520727.4,66,138,0,3.999
9,2,10,38.11,1466341.5,184,24,0,4.0
9,2,11,16.92,303806.3,28,193,0,3.995
9,2,12,10.26,1574359.0,197,0,0,4.0
9,2,13,21.54,1355287.7,174,32,0,4.0
9,2,14,19.74,1595727.5,200,12,0,4.0
9,2,15,32.07,1262047.6,167,38,0,4.0
9,2,16,36.08,1507551.0,191,0,0,4.0
9,2,17,28.98,1667800.0,209,0,0,4.0
9,2,18,8.04,1531950.0,190,0,0,4.0
9,2,19,33.29,1559238.9,187,21,0,4.0
9,2,20,17.79,46781.0,0,181,0,4.0
9,2,21,16.53,1396562.8,175,32,0,4.0
9,2,22,23.07,1527044.0,192,0,0,4.0
9,2,23,23.06,1595630.0,205,0,0,3.999
9,2,24,30.02,605958.6,77,146,0,3.993
9,2,25,18.79,50774.3,0,202,0,3.997
9,2,26,16.66,1118773.5,137,68,0,4.0
9,2,27,27.9,1722731.0,219,0,0,4.0
9,2,28,14.65,688033.3,83,105,0,3.999
9,2,29,36.0,1587425.0,197,0,0,4.0
9,2,30,34.95,0.0,0,0,0,0.0
9,2,31,15.56,0.0,0,0,0,0.0
19,0,0,7.31,146515.5,1,325,0,3.902
19,0,1,29.18,8560.3,0,326,0,3.905
19,0,2,26.27,2832527.0,345,0,0,3.975
19,0,3,19.12,2673535.0,332,0,0,3.984
19,0,4,15.72,66509.9,1,335,0,3.889
19,0,5,15.24,2753883.9,351,1,0,3.992
19,0,6,31.03,42780.0,0,316,0,3.918
19,0,7,39.17,2468956.0,304,0,0,3.988
19,0,8,35.65,481535.9,41,287,1,3.92
19,0,9,14.73,2772831.0,342,0,0,3.966
19,0,10,34.02,32991.7,0,335,0,3.91
19,0,11,10.86,2766557.0,353,1,0,3.962
19,0,12,13.55,2877541.0,353,0,0,3.977
