update,ep_idx,ue,speed_kmh,acked_bits,n_comp,deadline_miss,retx_drop,mean_mu_depth
9,0,0,7.31,117733.0,0,418,0,2.953
9,0,1,29.18,0.0,0,404,0,0.0
9,0,2,26.27,3112281.0,398,0,0,3.961
9,0,3,19.12,3216249.0,405,0,0,3.983
9,0,4,15.72,47292.8,0,401,0,2.852
9,0,5,15.24,3398298.0,417,0,0,3.957
9,0,6,31.03,21770.5,0,405,0,2.914
9,0,7,39.17,3511628.0,427,0,0,3.962
9,0,8,35.65,418058.1,19,399,0,2.962
9,0,9,14.73,3259915.4,415,1,0,3.809
9,0,10,34.02,15243.4,1,413,0,2.816
9,0,11,10.86,3336915.0,412,1,0,3.907
9,0,12,13.55,2948982.0,371,0,0,3.98
9,0,13,19.72,313667.3,9,358,0,2.886
9,0,14,30.6,3272472.1,406,0,0,3.972
9,0,15,28.59,3009347.0,378,0,0,3.753
9,0,16,28.24,0.0,0,415,0,0.0
9,0,17,31.34,3203247.8,388,10,0,3.423
9,0,18,36.47,3183139.0,400,2,0,3.558
9,0,19,5.84,3346.4,0,412,0,3.029
9,0,20,17.27,3146635.0,406,0,0,3.983
9,0,21,22.59,3564467.0,445,1,0,3.8
9,0,22,29.89,40723.1,0,405,2,2.875
9,0,23,15.03,33574.8,0,402,0,2.851
9,0,24,29.93,0.0,0,0,0,0.0
9,0,25,15.88,0.0,0,0,0,0.0
9,0,26,12.33,0.0,0,0,0,0.0
9,0,27,23.22,0.0,0,0,0,0.0
9,0,28,22.59,0.0,0,0,0,0.0
9,0,29,18.02,0.0,0,0,0,0.0
9,0,30,31.52,0.0,0,0,0,0.0
9,0,31,35.22,0.0,0,0,0,0.0
9,1,0,20.0,46217.8,0,326,0,3.805
9,1,1,22.2,2662558.0,331,0,0,3.998
9,1,2,24.66,160634.5,7,348,0,3.702
9,1,3,21.54,2675092.0,331,0,0,4.0
9,1,4,33.76,795.4,0,366,0,3.591
9,1,5,23.71,2782099.0,352,0,0,3.995
9,1,6,10.08,2016588.8,239,82,0,3.917
9,1,7,5.47,2818697.0,353,0,0,3.998
9,1,8,9.6,2942554.0,368,0,0,3.998
9,1,9,21.73,44440.2,0,368,0,3.709
9,1,10,5.31,2744429.0,343,0,0,4.0
9,1,11,36.07,2659247.0,334,0,0,3.978
9,1,12,20.46,1618.7,0,328,0,3.542
9,1,13,34.32,2714979.2,330,9,0,3.955
9,1,14,8.58,2879561.0,353,0,0,3.994
9,1,15,13.3,2202248.9,269,57,0,3.911
9,1,16,27.7,2658893.0,325,0,0,4.0
9,1,17,12.23,2912538.0,361,0,0,3.99
9,1,18,16.83,1478091.7,149,185,0,3.832
9,1,19,38.02,250138.4,16,324,0,3.794
9,1,20,37.85,2787150.0,343,0,0,3.993
9,1,21,8.07,1722082.9,199,134,0,3.886
9,1,22,27.42,2502215.5,311,8,0,3.989
9,1,23,29.83,614541.4,46,286,0,3.809
9,1,24,36.07,8136.1,0,385,0,3.712
9,1,25,17.54,170121.8,6,359,0,3.801
9,1,26,27.33,2992612.0,376,0,0,3.999
9,1,27,37.84,0.0,0,0,0,0.0
9,1,28,36.11,0.0,0,0,0,0.0
9,1,29,28.09,0.0,0,0,0,0.0
9,1,30,27.63,0.0,0,0,0,0.0
9,1,31,24.51,0.0,0,0,0,0.0
9,2,0,7.74,104.2,0,231,0,3.667
9,2,1,8.87,1732481.6,214,5,0,3.945
9,2,2,26.78,168219.5,8,229,0,3.674
9,2,3,17.07,1645906.0,203,0,0,3.976
9,2,4,20.49,1732449.0,219,0,0,3.993
9,2,5,18.4,138.2,0,219,0,3.0
9,2,6,16.21,1996985.0,243,0,0,4.0
9,2,7,28.9,1548757.2,188,32,0,3.932
9,2,8,15.49,1162338.8,143,83,0,3.864
9,2,9,34.34,309093.6,18,231,0,3.744
9,2,10,38.11,1766819.3,218,4,0,3.956
9,2,11,16.92,118799.6,5,213,0,3.671
9,2,12,10.26,1835399.0,231,0,0,3.996
9,2,13,21.54,1942632.9,238,17,0,3.94
9,2,14,19.74,1825689.2,229,6,0,3.959
9,2,15,32.07,1708648.8,214,40,0,3.894
9,2,16,36.08,1909727.0,229,0,0,3.993
9,2,17,28.98,1659312.0,215,0,0,4.0
9,2,18,8.04,1859217.0,231,0,0,3.992
9,2,19,33.29,1790036.5,220,14,0,3.945
9,2,20,17.79,12345.0,0,239,0,3.467
9,2,21,16.53,1580688.1,185,25,0,3.936
9,2,22,23.07,1707571.0,213,0,0,3.997
9,2,23,23.06,1667660.0,213,0,0,3.988
9,2,24,30.02,513248.4,49,182,0,3.795
9,2,25,18.79,12784.9,0,212,0,3.534
9,2,26,16.66,1567335.2,171,62,0,3.885
9,2,27,27.9,1594050.0,201,0,0,3.995
9,2,28,14.65,939529.8,97,141,0,3.851
9,2,29,36.0,1671793.0,211,0,0,3.992
9,2,30,34.95,0.0,0,0,0,0.0
9,2,31,15.56,0.0,0,0,0,0.0
19,0,0,7.31,151977.3,8,410,0,1.55
19,0,1,29.18,0.0,0,404,0,0.0
19,0,2,26.27,3112281.0,398,0,0,3.573
19,0,3,19.12,3216249.0,405,0,0,3.77
19,0,4,15.72,55156.8,1,399,1,1.428
19,0,5,15.24,3398298.0,417,0,0,3.625
19,0,6,31.03,20121.9,0,404,1,1.379
19,0,7,39.17,3511628.0,427,0,0,3.676
19,0,8,35.65,354295.0,32,386,0,1.54
19,0,9,14.73,3260176.0,416,0,0,3.168
19,0,10,34.02,13601.5,1,413,0,1.129
19,0,11,10.86,3336915.0,412,1,0,3.473
19,0,12,13.55,2948982.0,371,0,0,3.738
19,0,13,19.72,311006.7,19,348,0,1.478
19,0,14,30.6,3276533.0,407,0,0,3.808
