update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
0,2916.127507758549,75.08756373755581,0.550564715046086,0.44541087887835906,0.0,0,17.571210433377814,0.8575429367024466,0.696836430464961,7703,20,22.801007118915855,3.778758498601588,2.6823862296628156,7.0,27.959,0.0,0.38654096829344864,0.9695598218848092,1.0291997511800652,0.028474167582709833,67.320914,534,580,0.9206896551724137,1158,1186,0.9763912310286678,1720,1764,0.9750566893424036,23152,23868,0.9700016758840289
1,3863.4838434899334,72.33468500963184,0.5940622737146994,0.40260680666183923,0.0,0,11.88060914178524,0.8470221528221535,0.716568852758195,6905,22,25.31798011463565,3.7989248242808897,2.667235494880546,6.0,23.663,0.0,0.31590725608456316,0.9559824368825467,1.041321705854215,0.040480286486676266,65.779416,452,519,0.8709055876685935,1023,1087,0.9411223551057958,1525,1591,0.9585166561910748,23127,24133,0.9583143413583061
2,-881.6419286361929,68.94796386074748,0.42930832356389215,0.5670574443141853,0.00023446658851113716,0,13.072677237077936,0.8648336475676387,0.6285893212147105,8530,28,23.209089507495477,3.878897604634645,3.1340797378481704,8.0,37.506,0.0,0.3063399523001814,0.9658614355526288,1.0314535511512068,0.03135596065397657,57.45777,314,347,0.9048991354466859,632,655,0.9648854961832061,1022,1053,0.9705603038936372,25900,26798,0.9664900365698933
3,-3388.148319220173,83.88807338688949,0.38060680248316864,0.6149339861851885,8.74355163067238e-05,0,11.972738071695803,0.8836854612250045,0.6275368254357475,11437,30,23.550160275288928,3.902812979700639,4.130484723179417,9.0,56.432,0.00026223776223776224,0.38311641507095484,0.9769324160259004,1.0200189689045458,0.020157292974687727,68.12596,238,264,0.9015151515151515,542,568,0.954225352112676,852,880,0.9681818181818181,27336,27940,0.9783822476735863
4,4667.267210402896,65.70345976150405,0.6548718842600663,0.3423392016733484,0.0,0,12.85595947551485,0.8620950049712292,0.83050567574449,5737,18,22.905509706736346,3.776763617188477,2.873569337237157,8.0,18.261,0.0,0.31912176118933583,0.9703763010408326,1.0284609209662119,0.02777482928210027,58.84461,498,543,0.9171270718232044,1206,1245,0.9686746987951808,1875,1948,0.9625256673511293,23085,23742,0.9723275208491281
5,3918.909790198212,62.70175569755286,0.6236521124270815,0.3719285840551529,0.0,0,8.457014299511851,0.8508386009206991,0.7744557362765965,5657,20,22.58204635398741,3.8125081346251113,2.636621315192744,7.0,18.466,0.0,0.2841357358532791,0.9614968244803695,1.0371671798587212,0.036372487655608875,56.144796,421,485,0.8680412371134021,973,1012,0.9614624505928854,1653,1708,0.9677985948477752,23598,24507,0.962908556738891
6,4008.7696589060442,62.07586883179489,0.6320501342882722,0.36526410026857653,0.0,0,8.017028668097886,0.8597390435326607,0.7865935894585032,5585,16,25.203146340117208,3.7760120193146838,2.7209631728045327,7.0,18.101,0.0,0.34766762706575505,0.9740721911540416,1.023834687853056,0.023925140892496366,55.861416,486,548,0.8868613138686131,1221,1277,0.9561472200469852,1831,1876,0.9760127931769723,23286,23837,0.9768846750849519
7,-4713.298141091644,57.91162282596442,0.32563817980022197,0.6690344062153163,0.0,0,5.061463675005788,0.8570254622989834,0.5792919217225021,9010,21,21.584996818904756,3.9001480122014773,4.553510565780504,9.0,46.623,0.00044375416019525185,0.4292821228968472,0.9753716216216216,1.0208121138045767,0.02077543998941379,44.975992,219,249,0.8795180722891566,599,618,0.9692556634304207,892,913,0.976998904709748,27161,27820,0.9763120057512581
8,2260.488199091689,56.914414698716165,0.5496035242290749,0.4458149779735683,0.0,0,6.50832425827806,0.8743970817500154,0.7099383255686593,5675,30,24.18342415539555,3.8624515321230874,3.286630330234049,7.0,21.985,0.0,0.1910980226633026,0.9826887408119805,1.016012396694215,0.015920229846205846,49.28416,342,379,0.9023746701846965,769,794,0.9685138539042821,1199,1224,0.9795751633986928,26300,26717,0.9843919601751694
9,5483.572644167502,77.93446281738154,0.6525934861278649,0.3440892641737033,0.00015078407720144752,0,11.993749549440292,0.8723841568437979,0.8536988993621225,6632,25,24.494099188277183,3.82504644912427,2.688308687615527,8.0,20.595,0.0,0.26469972660188823,0.965756114979468,1.0327345738768778,0.03234166061988183,68.124506,387,439,0.8815489749430524,969,1006,0.963220675944334,1434,1492,0.9611260053619303,24256,25068,0.9676081059518111
10,3425.9111357285133,60.5406532817111,0.6043702256173388,0.391366139634038,0.0003553028957186001,0,9.139958582431646,0.8757309062551323,0.7510577369781678,5629,23,24.088464563475032,3.8064652658758575,2.6707818930041154,7.0,18.867,0.0,0.24744299819367094,0.9743025484489245,1.0222388805597202,0.023499237487869126,54.136882,367,423,0.8676122931442081,894,916,0.9759825327510917,2262,2334,0.9691516709511568,23927,24501,0.9765723848006204
11,-110.30839744452112,70.94146439079228,0.45277484453830813,0.5435879385193008,0.0,0,10.981538413313306,0.8699708074436692,0.6428425609638425,8523,26,21.59403136328779,3.889284087719713,3.6400621922777923,8.0,38.016,0.00011731581417175035,0.33308325562045793,0.9799071595568055,1.0168464758533846,0.017019717559285906,60.539864,284,305,0.9311475409836065,634,654,0.9694189602446484,980,995,0.9849246231155779,27022,27559,0.9805145324576363
12,-3787.6512899752684,75.97949187791578,0.37274640798023245,0.6235014185046216,0.0,0,10.71157659984133,0.8692086916661108,0.5804994905926405,10927,23,20.234820602120728,3.8968777749083143,4.463294868647189,10.0,54.581,0.0005487972194274216,0.4768226927499829,0.9803181450525749,1.0174174783549783,0.01784118367482043,63.647106,217,244,0.889344262295082,596,611,0.9754500818330606,1020,1038,0.9826589595375722,27255,27779,0.9811368299794809
13,3034.2731962000917,41.865711818541314,0.6656772800863464,0.33081489476524556,0.0005396654074473826,0,8.922017036175095,0.8946380981667,0.7451657702167238,3706,17,20.384559958587285,3.5260875854722507,1.882853668423186,5.0,9.89,0.0,0.22087043934785006,0.980402499391382,1.0171107308726473,0.01781373291356155,39.061398,847,950,0.891578947368421,2046,2094,0.9770773638968482,5051,5141,0.9824936782727096,16219,16461,0.9852985845331389
14,-7263.538474643577,83.39993865382591,0.3204241239284103,0.6742367273274177,7.519927808693036e-05,0,9.44601454304105,0.8579232273374349,0.6002391261855129,13298,28,22.577563935549485,3.9124845971118902,5.01619338183525,10.0,70.225,0.00015037593984962405,0.47414207844492984,0.9702300861141012,1.0245454853234925,0.024799895026899357,65.125,204,220,0.9272727272727272,451,473,0.9534883720930233,917,944,0.9713983050847458,27271,28091,0.9708091559574241
15,199.81860182730708,67.19888986494016,0.46009627565239425,0.5362300481378262,0.0,0,7.830891855954816,0.8676869503074869,0.6570141642660174,7894,25,24.19235623511431,3.849360293103366,3.7064977973568283,9.0,35.195,0.0,0.3140965612542561,0.9731432131238319,1.0233391304347825,0.02319134550371873,56.656032,282,322,0.8757763975155279,645,666,0.9684684684684685,1969,2017,0.9762022806147744,25222,25889,0.9742361620765576
16,617.2879109724582,61.879587622580964,0.4767950345605868,0.5184088023698689,0.0,0,11.189465954702857,0.886029158074971,0.6429752421933042,7089,20,23.8851560229554,3.8313286438125096,2.964201183431953,8.0,28.842,0.0,0.3485002595742827,0.9777457966232581,1.019394195846116,0.01964900206469374,53.397674,383,434,0.8824884792626728,990,1033,0.9583736689254598,1403,1441,0.9736294240111034,25079,25581,0.9803760603572964
17,1445.16970460109,57.61059615435716,0.5197501951600312,0.47650273224043715,0.0,0,7.251942663062772,0.8829583179070677,0.6125490792572013,6405,30,21.513498444357033,3.859682153120971,2.7825172724541902,6.0,24.967,0.0,0.2112254587618823,0.9842967839264898,1.01500583751116,0.014895126152599048,52.99983,307,347,0.8847262247838616,759,778,0.9755784061696658,1495,1516,0.9861477572559367,26147,26525,0.9857492931196984
18,-11912.626563594127,79.78350885256998,0.26151490947816824,0.7328274760383386,0.0,0,8.52910509862317,0.8733837617264376,0.546594929898984,15024,31,24.176214545604736,3.911686425631816,5.630694833290914,10.0,84.301,0.0005986828976252245,0.48567918280495614,0.9737159311591777,1.0219439956919762,0.021685010482180293,60.401812,158,179,0.88268156424581,466,477,0.9769392033542977,1054,1084,0.9723247232472325,27403,28126,0.974294247315651
19,2194.719342977522,61.227165770616686,0.5424359968968192,0.45151280062063615,0.0,0,6.9316527368983465,0.8676737589565238,0.6784249226798961,6445,26,24.710069974145625,3.853036057404931,3.155892448512586,7.0,25.168,0.0,0.25059049786341114,0.9606535394170372,1.037009438648783,0.036286345859547695,54.53505,332,366,0.907103825136612,823,861,0.9558652729384437,1185,1239,0.9564164648910412,24883,25872,0.9617733457019171
20,2227.7514942663497,30.492012173125662,0.6712177121771218,0.32767527675276753,0.0,0,5.760405388077312,0.8699067115019625,0.7383993538186988,2710,16,22.831589969140886,3.3531375018746026,1.491478834524464,3.0,6.603,0.0,0.16779412382968034,0.9710794856541436,1.0265250770008734,0.02654906677357566,28.729124,1250,1458,0.8573388203017832,2830,2930,0.9658703071672355,5118,5226,0.9793340987370838,12023,12239,0.9823514993054988
