world,sched,seed,reward
P055,PPO,30000,4462.2
P055,PPO,30001,3415.1
P055,PPO,30002,-3785.3
P055,PPO,30003,-2364.8
P055,PPO,30004,2620.9
P055,PPO,30005,2269.1
P055,PPO,30006,-1468.3
P055,PPO,30007,5709.5
P055,PPO,30008,4611.3
P055,PPO,30009,8349.3
P055,PPO,30010,1165.1
P055,PPO,30011,28.3
P055,PPO,30012,2688.1
P055,PPO,30013,324.6
P055,PPO,30014,-2666.6
P055,PPO,30015,905.3
P055,PPO,30016,4312.6
P055,PPO,30017,-1080.2
P055,PPO,30018,324.5
P055,PPO,30019,-3561.6
P055,PPO,30020,1810.6
P055,PPO,30021,6469.9
P055,PPO,30022,3714.7
P055,PPO,30023,2380.1
P055,PPO,30024,2385.3
P055,PPO,30025,8738.3
P055,PPO,30026,2373.0
P055,PPO,30027,5862.3
P055,PPO,30028,9824.4
P055,PPO,30029,3542.6
P055,PPO,30030,1632.6
P055,PPO,30031,-113.6
P055,PPO,30032,-3.2
P055,PPO,30033,5446.7
P055,PPO,30034,2711.9
P055,PPO,30035,6098.4
P055,PPO,30036,3684.8
P055,PPO,30037,3696.5
P055,PPO,30038,-1836.3
P055,PPO,30039,3230.4
P055,PPO,30040,3574.8
P055,PPO,30041,3561.0
P055,PPO,30042,5555.0
P055,PPO,30043,2297.7
P055,PPO,30044,6543.6
P055,PPO,30045,2519.4
P055,PPO,30046,210.6
P055,PPO,30047,1192.0
P055,PPO,30048,3011.9
P055,PPO,30049,5574.3
P055,PPO,30050,4774.4
P055,PPO,30051,2721.3
P055,PPO,30052,5372.0
P055,PPO,30053,3007.1
P055,PPO,30054,1186.8
P055,PPO,30055,2311.4
P055,PPO,30056,4845.5
P055,PPO,30057,8193.3
P055,PPO,30058,2692.6
P055,PPO,30059,1779.0
P055,PPO,30060,2659.5
P055,PPO,30061,3882.3
P055,PPO,30062,6688.1
P055,PPO,30063,5087.6
P055,PPO,30064,6584.2
P055,PPO,30065,5766.6
P055,PPO,30066,2610.3
P055,PPO,30067,3761.5
P055,PPO,30068,3015.9
P055,PPO,30069,2983.0
P055,PPO,30070,1256.7
P055,PPO,30071,2836.5
P055,PPO,30072,2681.3
P055,PPO,30073,2744.7
P055,PPO,30074,2197.4
P055,PPO,30075,4275.2
P055,PPO,30076,5490.9
P055,PPO,30077,7450.0
P055,PPO,30078,4201.0
P055,PPO,30079,6439.5
P055,PPO,30080,6713.0
P055,PPO,30081,3764.4
P055,PPO,30082,-728.4
P055,PPO,30083,3733.0
P055,PPO,30084,-177.9
P055,PPO,30085,942.8
P055,PPO,30086,6230.5
P055,PPO,30087,127.6
P055,PPO,30088,1735.2
P055,PPO,30089,6087.3
P055,PPO,30090,-81.1
P055,PPO,30091,5171.6
P055,PPO,30092,1583.2
P055,PPO,30093,1892.3
P055,PPO,30094,5148.6
P055,PPO,30095,3353.9
P055,PPO,30096,3751.4
P055,PPO,30097,347.8
P055,PPO,30098,2231.8
P055,PPO,30099,49.3
P055,SUS+CQI,30000,3765.5
P055,SUS+CQI,30001,2344.7
P055,SUS+CQI,30002,-3467.1
P055,SUS+CQI,30003,-2972.5
P055,SUS+CQI,30004,2835.2
P055,SUS+CQI,30005,2157.1
P055,SUS+CQI,30006,-866.9
P055,SUS+CQI,30007,5077.3
P055,SUS+CQI,30008,4110.7
P055,SUS+CQI,30009,7469.2
P055,SUS+CQI,30010,207.5
P055,SUS+CQI,30011,-461.8
P055,SUS+CQI,30012,1598.4
P055,SUS+CQI,30013,-223.5
P055,SUS+CQI,30014,-4353.4
P055,SUS+CQI,30015,685.5
P055,SUS+CQI,30016,3784.6
P055,SUS+CQI,30017,-1113.7
P055,SUS+CQI,30018,-184.3
P055,SUS+CQI,30019,-2468.1
P055,SUS+CQI,30020,1534.5
P055,SUS+CQI,30021,5741.2
P055,SUS+CQI,30022,3224.8
P055,SUS+CQI,30023,2316.9
P055,SUS+CQI,30024,1476.8
P055,SUS+CQI,30025,7990.9
P055,SUS+CQI,30026,1811.4
P055,SUS+CQI,30027,5375.9
P055,SUS+CQI,30028,9019.8
P055,SUS+CQI,30029,2514.6
P055,SUS+CQI,30030,875.2
P055,SUS+CQI,30031,-1099.3
P055,SUS+CQI,30032,-831.7
P055,SUS+CQI,30033,4489.0
P055,SUS+CQI,30034,2030.6
P055,SUS+CQI,30035,4826.4
P055,SUS+CQI,30036,2869.1
P055,SUS+CQI,30037,2906.2
P055,SUS+CQI,30038,-1715.2
P055,SUS+CQI,30039,2184.1
P055,SUS+CQI,30040,3099.0
P055,SUS+CQI,30041,2029.1
P055,SUS+CQI,30042,4048.7
P055,SUS+CQI,30043,2116.0
P055,SUS+CQI,30044,5542.0
P055,SUS+CQI,30045,2340.1
P055,SUS+CQI,30046,6.1
P055,SUS+CQI,30047,541.1
P055,SUS+CQI,30048,1934.3
P055,SUS+CQI,30049,4765.9
P055,SUS+CQI,30050,3744.7
P055,SUS+CQI,30051,2041.3
P055,SUS+CQI,30052,4594.3
P055,SUS+CQI,30053,1959.0
P055,SUS+CQI,30054,608.8
P055,SUS+CQI,30055,1945.0
P055,SUS+CQI,30056,4652.1
P055,SUS+CQI,30057,7556.0
P055,SUS+CQI,30058,1904.6
P055,SUS+CQI,30059,971.2
P055,SUS+CQI,30060,1803.5
P055,SUS+CQI,30061,2664.8
P055,SUS+CQI,30062,5335.2
P055,SUS+CQI,30063,4364.9
P055,SUS+CQI,30064,5892.3
P055,SUS+CQI,30065,4755.0
P055,SUS+CQI,30066,2391.0
P055,SUS+CQI,30067,3020.7
P055,SUS+CQI,30068,2702.8
P055,SUS+CQI,30069,2375.7
