config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
CSI01V60-cqi4,SUS+CQI@0.60,30000,1642.3,46.67,42.93,0.5441,0.4204,3.973
CSI01V60-cqi4,SUS+CQI@0.60,30001,515.3,70.62,65.3,0.4797,0.5021,4.0
CSI01V60-cqi4,SUS+CQI@0.60,30002,-2819.8,93.51,84.3,0.4114,0.5757,4.0
CSI01V60-cqi4,SUS+CQI@0.60,30003,211.6,32.59,28.55,0.4735,0.4701,3.995
CSI01V60-cqi4,SUS+CQI@0.60,30004,-277.2,57.17,49.94,0.4447,0.5297,3.994
CSI01V60-cqi4,SUS+CQI@0.60,30005,1796.1,61.0,55.27,0.5242,0.4533,3.995
CSI01V60-cqi4,SUS+CQI@0.60,30006,1986.1,89.62,83.52,0.5126,0.4754,3.998
CSI01V60-cqi4,SUS+CQI@0.60,30007,3799.0,55.5,53.76,0.652,0.3286,3.825
CSI01V60-cqi4,SUS+CQI@0.65,30000,1630.5,46.7,42.86,0.5433,0.4202,3.963
CSI01V60-cqi4,SUS+CQI@0.65,30001,463.3,70.6,65.12,0.4779,0.5033,3.995
CSI01V60-cqi4,SUS+CQI@0.65,30002,-2590.3,94.28,85.23,0.416,0.5715,4.0
CSI01V60-cqi4,SUS+CQI@0.65,30003,202.7,32.58,28.48,0.4727,0.4727,3.992
CSI01V60-cqi4,SUS+CQI@0.65,30004,-179.8,57.33,50.33,0.4488,0.5262,3.991
CSI01V60-cqi4,SUS+CQI@0.65,30005,1836.8,61.14,55.45,0.5256,0.4497,3.993
CSI01V60-cqi4,SUS+CQI@0.65,30006,2138.1,90.13,84.16,0.5166,0.4719,3.998
CSI01V60-cqi4,SUS+CQI@0.65,30007,3830.8,55.56,53.92,0.6539,0.3259,3.783
CSI01V60-cqi4,SUS+CQI@0.70,30000,1594.7,46.58,42.71,0.5413,0.4208,3.942
CSI01V60-cqi4,SUS+CQI@0.70,30001,470.3,70.57,65.19,0.4782,0.5009,3.99
CSI01V60-cqi4,SUS+CQI@0.70,30002,-2381.7,95.18,86.11,0.4198,0.5675,4.0
CSI01V60-cqi4,SUS+CQI@0.70,30003,200.1,32.48,28.54,0.4733,0.4717,3.98
CSI01V60-cqi4,SUS+CQI@0.70,30004,-224.3,57.46,50.09,0.4458,0.5283,3.984
CSI01V60-cqi4,SUS+CQI@0.70,30005,1891.8,61.24,55.75,0.5284,0.4489,3.995
CSI01V60-cqi4,SUS+CQI@0.70,30006,2260.9,90.73,84.61,0.5192,0.4695,3.998
CSI01V60-cqi4,SUS+CQI@0.70,30007,3851.5,55.63,54.01,0.6551,0.3247,3.727
