config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
D26,PPO-strict,30000,23,3602.9,51.93,49.41,0.6381,0.3603,2.287
D26,PPO-strict,30001,19,4070.7,81.48,78.58,0.5793,0.4192,2.615
D26,PPO-strict,30002,32,1806.8,106.05,99.96,0.4971,0.5013,3.585
D26,PPO-strict,30003,21,2110.5,37.79,35.53,0.594,0.4047,1.849
D26,PPO-strict,30004,18,4983.7,74.15,70.45,0.627,0.3719,3.005
D26,PPO-strict,30005,24,4971.1,70.08,67.32,0.6407,0.3569,2.715
D26,PPO-strict,30006,28,4072.2,94.11,88.73,0.5569,0.4411,3.374
D26,PPO-strict,30007,19,4519.2,57.22,55.51,0.6743,0.3251,2.482
D26,PPO-strict,30008,19,6157.7,85.68,81.23,0.643,0.3555,3.099
D26,PPO-strict,30009,16,5781.6,48.51,46.3,0.8645,0.1344,2.479
D26,PPO-strict,30010,18,2960.6,52.75,50.16,0.5958,0.4033,2.283
D26,PPO-strict,30011,30,2530.0,112.09,107.89,0.5103,0.4875,2.864
D26,PPO-strict,30012,17,3007.3,38.4,36.33,0.6685,0.3306,1.936
D26,PPO-strict,30013,32,4846.8,77.9,75.21,0.6153,0.3831,2.709
D26,PPO-strict,30014,16,-1972.7,52.71,50.14,0.4046,0.593,1.883
D26,PPO-strict,30015,30,5042.0,95.09,91.97,0.5871,0.4111,2.736
D26,PPO-strict,30016,24,5863.7,106.8,102.96,0.5906,0.4077,3.098
D26,PPO-strict,30017,26,3428.7,86.79,84.17,0.552,0.4466,3.003
D26,PPO-strict,30018,24,3960.9,65.5,63.09,0.6097,0.3895,2.828
D26,PPO-strict,30019,28,5292.2,75.92,73.2,0.6373,0.3604,2.985
D26,PPO-strict,30020,30,5060.4,80.68,78.19,0.6179,0.3815,2.713
D26,PPO-strict,30021,21,3928.8,44.34,42.15,0.7106,0.287,2.247
D26,PPO-strict,30022,20,5384.1,65.79,63.77,0.6816,0.3173,2.62
D26,PPO-strict,30023,28,4015.4,115.51,109.19,0.5372,0.4615,3.554
D26,PPO-strict,30024,19,3259.6,77.08,73.49,0.5571,0.4414,2.769
D26,PPO-strict,30025,22,9770.8,100.53,96.34,0.7439,0.2549,3.383
D26,PPO-strict,30026,27,5916.2,70.4,67.11,0.69,0.3087,2.739
D26,PPO-strict,30027,22,6804.5,93.57,90.53,0.6474,0.3509,2.846
D26,PPO-strict,30028,16,9114.0,79.5,75.91,0.832,0.1659,3.221
D26,PPO-strict,30029,18,4764.2,66.29,62.57,0.6439,0.3549,2.709
D26,PPO-strict,30030,30,4203.4,107.38,102.93,0.5495,0.4488,3.105
D26,PPO-strict,30031,21,2956.7,64.06,60.86,0.5671,0.431,2.617
D26,PPO-strict,30032,31,5837.6,91.6,86.92,0.6175,0.3811,3.101
D26,PPO-strict,30033,23,7143.8,62.35,60.12,0.8351,0.1638,2.705
D26,PPO-strict,30034,30,5230.7,111.99,107.3,0.5693,0.429,3.09
D26,PPO-strict,30035,21,4609.9,51.67,49.48,0.7145,0.285,2.339
D26,PPO-strict,30036,20,2725.7,37.98,35.9,0.6471,0.3526,2.001
D26,PPO-strict,30037,18,3947.4,74.06,71.52,0.589,0.4092,2.439
D26,PPO-strict,30038,29,1165.9,103.06,96.37,0.4846,0.5137,3.562
D26,PPO-strict,30039,20,3251.5,38.52,36.01,0.6919,0.3069,1.992
