config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
D26,PPO-strict,30040,20,4741.9,90.41,86.12,0.5829,0.4153,2.942
D26,SUS+CQI@0.80,30040,20,3785.8,90.34,81.95,0.5498,0.4484,3.901
D26,SUS+PF,30040,20,-1199.3,75.64,60.27,0.4107,0.5869,3.973
D26,SUS+Random,30040,20,-1078.9,76.42,59.66,0.4105,0.5868,3.985
D26,SU+CQI,30040,20,287.7,74.48,70.56,0.4703,0.528,1.0
D26,SU+PF,30040,20,-4354.9,60.89,49.14,0.3364,0.6612,1.0
D26,SU+Random,30040,20,-7408.5,52.29,35.08,0.25,0.7475,1.0
D26,PPO-strict,30041,22,4947.7,84.48,81.82,0.6043,0.3941,2.717
D26,SUS+CQI@0.80,30041,22,3631.6,82.75,75.86,0.5573,0.4407,3.817
D26,SUS+PF,30041,22,1220.8,75.66,65.2,0.4828,0.5149,3.868
D26,SUS+Random,30041,22,1107.5,75.46,64.18,0.4771,0.5203,3.908
D26,SU+CQI,30041,22,2327.9,75.67,72.09,0.5278,0.4705,1.0
D26,SU+PF,30041,22,-616.7,66.73,58.69,0.4368,0.5613,1.0
D26,SU+Random,30041,22,-4309.6,55.41,41.46,0.3207,0.6764,1.0
D26,PPO-strict,30042,18,5870.7,77.29,74.11,0.6596,0.3388,2.768
D26,SUS+CQI@0.80,30042,18,4277.0,75.66,66.9,0.591,0.4074,3.809
D26,SUS+PF,30042,18,3324.8,72.78,62.91,0.5565,0.4415,3.824
D26,SUS+Random,30042,18,2679.0,70.61,60.24,0.5325,0.4653,3.889
D26,SU+CQI,30042,18,4094.1,72.2,67.94,0.5963,0.4023,1.0
D26,SU+PF,30042,18,2447.5,67.75,60.28,0.5326,0.4657,1.0
D26,SU+Random,30042,18,-1392.7,55.8,42.28,0.3877,0.6095,1.0
D26,PPO-strict,30043,28,5007.8,115.1,111.0,0.5593,0.4393,3.078
D26,SUS+CQI@0.80,30043,28,4282.6,115.39,107.72,0.5401,0.4586,3.947
D26,SUS+PF,30043,28,-3640.9,92.4,72.51,0.3709,0.6272,3.992
D26,SUS+Random,30043,28,-3658.3,92.95,70.86,0.3671,0.631,3.995
D26,SU+CQI,30043,28,-2575.8,86.9,83.46,0.4172,0.5815,1.0
D26,SU+PF,30043,28,-8066.8,70.4,57.67,0.2975,0.7003,1.0
D26,SU+Random,30043,28,-11783.8,60.16,40.16,0.2171,0.7805,1.0
