config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
P055,SUS+PF,30000,23,-3734.3,89.19,77.73,0.3886,0.606,4.0
P055,SUS+Random,30000,23,-2139.7,93.74,84.64,0.4224,0.5726,3.999
P055,SU+PF,30000,23,-9191.9,66.13,56.42,0.2863,0.7074,1.0
P055,SU+Random,30000,23,-11381.7,59.52,46.58,0.2415,0.7526,1.0
P055,SUS+PF,30001,19,-2886.7,75.25,63.69,0.3912,0.6041,3.998
P055,SUS+Random,30001,19,-2768.1,74.59,64.38,0.3957,0.599,3.999
P055,SU+PF,30001,19,-6254.7,60.4,50.66,0.3139,0.6809,1.0
P055,SU+Random,30001,19,-9399.3,49.87,37.89,0.2376,0.756,1.0
P055,SUS+PF,30002,32,-16446.7,84.71,60.54,0.2261,0.768,4.0
P055,SUS+Random,30002,32,-16360.1,86.36,59.88,0.2244,0.7695,4.0
P055,SU+PF,30002,32,-19913.4,64.83,50.48,0.1883,0.8058,1.0
P055,SU+Random,30002,32,-23347.2,57.32,34.46,0.1337,0.8601,1.0
P055,SUS+PF,30003,21,-11760.5,52.19,36.63,0.2074,0.7865,4.0
P055,SUS+Random,30003,21,-11701.5,53.22,36.77,0.2087,0.7855,4.0
P055,SU+PF,30003,21,-12266.8,47.12,36.03,0.2023,0.7915,1.0
P055,SU+Random,30003,21,-15310.3,38.44,23.01,0.1337,0.8599,1.0
P055,SUS+PF,30004,18,-1735.0,76.14,63.83,0.411,0.584,3.998
P055,SUS+Random,30004,18,-3305.3,70.98,57.21,0.3695,0.6251,3.998
P055,SU+PF,30004,18,-5485.4,59.55,50.42,0.3249,0.6694,1.0
P055,SU+Random,30004,18,-8324.8,51.57,37.3,0.2465,0.7479,1.0
P055,SUS+PF,30005,24,-6897.1,84.12,67.68,0.326,0.6691,4.0
P055,SUS+Random,30005,24,-7698.5,82.34,62.92,0.3074,0.6872,4.0
P055,SU+PF,30005,24,-10247.3,66.39,56.49,0.2727,0.7217,1.0
P055,SU+Random,30005,24,-14088.3,55.39,38.92,0.1951,0.7988,1.0
P055,SUS+PF,30006,28,-12321.5,82.79,59.84,0.2546,0.7392,4.0
P055,SUS+Random,30006,28,-13480.6,81.09,53.72,0.2313,0.7625,4.0
P055,SU+PF,30006,28,-15643.0,63.57,50.3,0.2125,0.7811,1.0
P055,SU+Random,30006,28,-19033.5,56.04,34.38,0.1516,0.8421,1.0
P055,SUS+PF,30007,19,1012.9,88.83,80.58,0.4874,0.5092,3.978
P055,SUS+Random,30007,19,1047.1,89.0,80.15,0.4862,0.5101,3.978
P055,SU+PF,30007,19,-4127.2,66.96,59.96,0.3675,0.6278,1.0
P055,SU+Random,30007,19,-7376.8,57.65,45.56,0.2851,0.7096,1.0
P055,SUS+PF,30008,19,-1230.0,82.19,69.47,0.4272,0.568,3.999
P055,SUS+Random,30008,19,-982.2,84.03,70.28,0.4299,0.565,3.998
P055,SU+PF,30008,19,-5496.0,63.25,54.28,0.3339,0.6609,1.0
P055,SU+Random,30008,19,-7861.2,56.91,42.55,0.2701,0.7244,1.0
P055,SUS+PF,30009,16,6094.3,95.04,86.88,0.6312,0.3658,3.978
P055,SUS+Random,30009,16,4800.6,90.38,81.3,0.5909,0.4052,3.991
P055,SU+PF,30009,16,1514.4,75.71,68.63,0.5017,0.4932,1.0
P055,SU+Random,30009,16,-2716.8,62.35,49.83,0.3718,0.6232,1.0
P055,SUS+PF,30010,18,-4181.0,66.61,54.7,0.353,0.6418,3.999
P055,SUS+Random,30010,18,-4480.8,64.96,53.45,0.3454,0.649,3.999
P055,SU+PF,30010,18,-6027.2,56.89,48.05,0.3123,0.6823,1.0
P055,SU+Random,30010,18,-9204.0,47.44,33.95,0.226,0.7681,1.0
P055,SUS+PF,30011,30,-14411.0,80.85,62.14,0.2439,0.7507,4.0
P055,SUS+Random,30011,30,-11318.6,92.35,74.11,0.2902,0.7045,4.0
P055,SU+PF,30011,30,-17240.2,64.75,53.27,0.2102,0.7847,1.0
P055,SU+Random,30011,30,-20186.2,57.11,39.55,0.1612,0.833,1.0
P055,SUS+PF,30012,17,-1886.1,70.46,60.75,0.4126,0.5849,3.997
P055,SUS+Random,30012,17,-2206.3,68.66,59.29,0.4033,0.5935,3.999
P055,SU+PF,30012,17,-4147.3,60.21,51.97,0.3543,0.6426,1.0
P055,SU+Random,30012,17,-7626.6,48.06,36.87,0.258,0.7379,1.0
P055,SUS+PF,30013,32,-16956.2,81.9,59.21,0.2179,0.7754,4.0
P055,SUS+Random,30013,32,-15276.6,89.21,65.22,0.2398,0.7536,4.0
P055,SU+PF,30013,32,-19887.6,64.99,50.24,0.1857,0.8076,1.0
P055,SU+Random,30013,32,-23237.4,55.35,35.68,0.1365,0.8565,1.0
P055,SUS+PF,30014,16,-5295.5,49.68,44.63,0.325,0.6688,3.946
P055,SUS+Random,30014,16,-5521.9,48.73,43.82,0.3185,0.675,3.966
P055,SU+PF,30014,16,-5494.4,48.66,43.72,0.3181,0.6758,1.0
P055,SU+Random,30014,16,-8727.6,36.83,29.95,0.2229,0.77,1.0
P055,SUS+PF,30015,30,-13676.7,83.42,63.58,0.2537,0.7411,4.0
P055,SUS+Random,30015,30,-11430.6,93.08,71.93,0.285,0.7098,4.0
P055,SU+PF,30015,30,-18019.0,61.11,49.2,0.1978,0.7963,1.0
P055,SU+Random,30015,30,-19582.7,59.41,41.21,0.1692,0.8251,1.0
P055,SUS+PF,30016,24,-1112.7,101.18,91.25,0.4426,0.5512,3.997
P055,SUS+Random,30016,24,592.9,107.59,97.41,0.4735,0.5208,3.995
P055,SU+PF,30016,24,-8906.3,67.99,61.8,0.3006,0.6921,1.0
P055,SU+Random,30016,24,-9705.2,69.03,55.4,0.2783,0.7148,1.0
P055,SUS+PF,30017,26,-11636.8,74.7,57.79,0.2598,0.7346,4.0
P055,SUS+Random,30017,26,-11089.8,78.33,58.74,0.2658,0.7291,4.0
P055,SU+PF,30017,26,-14800.8,57.79,47.51,0.2143,0.7804,1.0
P055,SU+Random,30017,26,-17665.1,52.11,33.89,0.1578,0.8365,1.0
P055,SUS+PF,30018,24,-6383.5,85.06,69.71,0.3386,0.6556,3.999
P055,SUS+Random,30018,24,-7086.7,83.09,66.58,0.3233,0.6709,4.0
P055,SU+PF,30018,24,-11035.1,62.65,53.39,0.2598,0.7341,1.0
P055,SU+Random,30018,24,-13794.0,56.96,39.53,0.1999,0.7935,1.0
P055,SUS+PF,30019,28,-12475.2,82.53,60.38,0.2555,0.739,4.0
P055,SUS+Random,30019,28,-13328.4,80.76,54.8,0.2362,0.7579,4.0
P055,SU+PF,30019,28,-16275.3,61.85,47.51,0.2031,0.7905,1.0
P055,SU+Random,30019,28,-18697.2,57.01,35.98,0.1584,0.8355,1.0
P055,SUS+PF,30020,30,-13046.0,85.65,66.78,0.2631,0.7313,4.0
P055,SUS+Random,30020,30,-10933.8,95.6,74.69,0.2927,0.7022,4.0
P055,SU+PF,30020,30,-16493.1,67.18,56.06,0.2209,0.773,1.0
P055,SU+Random,30020,30,-19662.2,59.67,41.88,0.17,0.8238,1.0
P055,SUS+PF,30021,21,1267.3,98.46,88.89,0.4895,0.5063,3.997
P055,SUS+Random,30021,21,1447.9,98.53,89.26,0.4926,0.5032,3.996
P055,SU+PF,30021,21,-5126.7,70.91,63.89,0.3537,0.6399,1.0
P055,SU+Random,30021,21,-7572.0,64.1,51.94,0.297,0.6967,1.0
P055,SUS+PF,30022,20,-2483.6,81.36,69.23,0.4013,0.5936,3.999
P055,SUS+Random,30022,20,-2433.5,81.87,68.66,0.3996,0.5951,3.999
P055,SU+PF,30022,20,-6362.8,63.54,54.91,0.3195,0.6751,1.0
P055,SU+Random,30022,20,-9058.8,56.42,41.87,0.2503,0.7433,1.0
P055,SUS+PF,30023,28,-7868.7,99.03,77.67,0.3272,0.6679,4.0
P055,SUS+Random,30023,28,-9208.9,94.78,72.17,0.3043,0.6902,4.0
P055,SU+PF,30023,28,-13744.4,71.04,57.24,0.2431,0.7512,1.0
P055,SU+Random,30023,28,-17460.4,61.36,40.63,0.1788,0.8155,1.0
P055,SUS+PF,30024,19,-2988.1,75.98,63.51,0.3875,0.6067,3.999
P055,SUS+Random,30024,19,-3764.7,73.25,60.48,0.3682,0.6267,4.0
P055,SU+PF,30024,19,-6038.4,61.68,52.18,0.3207,0.6737,1.0
P055,SU+Random,30024,19,-9899.8,50.36,35.26,0.2231,0.771,1.0
P055,SUS+PF,30025,22,4658.8,119.31,104.49,0.5472,0.4487,4.0
P055,SUS+Random,30025,22,1403.6,108.22,90.52,0.4764,0.5188,4.0
P055,SU+PF,30025,22,-4308.4,81.34,70.3,0.371,0.6233,1.0
P055,SU+Random,30025,22,-8530.8,68.68,51.56,0.2809,0.7134,1.0
P055,SUS+PF,30026,27,-8965.9,90.66,69.4,0.3017,0.692,4.0
P055,SUS+Random,30026,27,-8826.8,92.13,69.93,0.3033,0.6904,4.0
P055,SU+PF,30026,27,-13078.3,70.01,55.52,0.2436,0.7501,1.0
P055,SU+Random,30026,27,-16868.7,58.52,39.48,0.1777,0.8157,1.0
P055,SUS+PF,30027,22,-2141.3,90.91,78.08,0.4139,0.581,4.0
P055,SUS+Random,30027,22,-1981.7,92.56,79.21,0.4154,0.5801,4.0
P055,SU+PF,30027,22,-7178.1,69.7,59.53,0.3163,0.6782,1.0
P055,SU+Random,30027,22,-10194.5,60.11,45.91,0.2505,0.7441,1.0
P055,SUS+PF,30028,16,8460.1,104.37,95.42,0.6955,0.3013,3.954
P055,SUS+Random,30028,16,6821.6,98.5,88.02,0.6453,0.3514,3.988
