config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
V60max,SUS+PF,30000,23,2458.8,50.29,46.1,0.5867,0.4086,3.896
V60max,SUS+Random,30000,23,2290.9,49.5,45.35,0.5778,0.4181,3.935
V60max,SU+PF,30000,23,2649.8,50.71,46.83,0.5967,0.3983,1.0
V60max,SU+Random,30000,23,907.8,44.76,38.66,0.4993,0.4956,1.0
V60max,SUS+PF,30001,19,101.8,71.74,62.36,0.4611,0.5339,3.993
V60max,SUS+Random,30001,19,-313.1,69.45,60.91,0.4505,0.5446,3.997
V60max,SU+PF,30001,19,-2901.6,59.01,50.58,0.376,0.619,1.0
V60max,SU+Random,30001,19,-6325.9,47.67,35.55,0.2715,0.7217,1.0
V60max,SUS+PF,30002,32,-6922.8,83.37,64.61,0.3228,0.6729,4.0
V60max,SUS+Random,30002,32,-7366.6,82.31,62.06,0.3118,0.6832,4.0
V60max,SU+PF,30002,32,-10718.4,63.69,51.68,0.2609,0.7341,1.0
V60max,SU+Random,30002,32,-14038.4,55.23,36.85,0.1905,0.8042,1.0
V60max,SUS+PF,30003,21,971.0,36.39,31.4,0.5202,0.4772,3.952
V60max,SUS+Random,30003,21,401.5,34.37,28.75,0.4808,0.5169,3.975
V60max,SU+PF,30003,21,1385.2,37.55,33.18,0.5491,0.4481,1.0
V60max,SU+Random,30003,21,-729.9,30.9,23.31,0.399,0.5984,1.0
V60max,SUS+PF,30004,18,2919.4,70.34,63.1,0.5577,0.4394,3.98
V60max,SUS+Random,30004,18,1560.6,65.93,56.79,0.5054,0.491,3.992
V60max,SU+PF,30004,18,-146.0,57.53,51.07,0.4539,0.5412,1.0
V60max,SU+Random,30004,18,-3115.0,48.74,37.27,0.3403,0.6547,1.0
V60max,SUS+PF,30005,24,2977.1,67.04,59.85,0.5673,0.4275,3.992
V60max,SUS+Random,30005,24,1834.8,63.27,54.49,0.5193,0.475,3.998
V60max,SU+PF,30005,24,1683.5,60.83,55.1,0.5232,0.4719,1.0
V60max,SU+Random,30005,24,-2009.8,49.34,38.21,0.3731,0.6199,1.0
V60max,SUS+PF,30006,28,-2045.3,79.77,63.45,0.3999,0.5937,4.0
V60max,SUS+Random,30006,28,-3683.9,75.29,55.61,0.3545,0.6387,4.0
V60max,SU+PF,30006,28,-5365.7,63.06,52.03,0.3298,0.6637,1.0
V60max,SU+Random,30006,28,-8998.3,53.39,35.22,0.2323,0.7605,1.0
V60max,SUS+PF,30007,19,3978.1,57.02,54.24,0.6582,0.3385,3.61
V60max,SUS+Random,30007,19,3843.7,56.22,53.63,0.6514,0.3447,3.711
V60max,SU+PF,30007,19,3432.5,54.89,51.82,0.6306,0.3663,1.0
V60max,SU+Random,30007,19,1498.5,48.34,42.73,0.5278,0.4668,1.0
V60max,SUS+PF,30008,19,2585.9,77.04,67.87,0.5358,0.4594,3.992
V60max,SUS+Random,30008,19,2356.4,76.36,66.34,0.5252,0.4703,3.995
V60max,SU+PF,30008,19,-1099.8,61.29,54.07,0.4262,0.5686,1.0
V60max,SU+Random,30008,19,-3420.0,54.8,43.03,0.3471,0.6484,1.0
V60max,SUS+PF,30009,16,5390.9,48.79,45.73,0.8486,0.1485,3.556
V60max,SUS+Random,30009,16,5110.9,47.91,44.46,0.8262,0.1709,3.65
V60max,SU+PF,30009,16,5499.3,48.71,46.47,0.86,0.137,1.0
V60max,SU+Random,30009,16,4355.4,45.39,40.85,0.7631,0.2334,1.0
V60max,SUS+PF,30010,18,1207.6,50.21,43.65,0.5129,0.4833,3.969
