config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
D26,SUS+PF,30000,23,2640.0,50.49,45.64,0.5808,0.4173,3.575
D26,SUS+Random,30000,23,2469.3,49.79,44.81,0.5713,0.4269,3.653
D26,SU+PF,30000,23,2739.7,50.46,46.12,0.5871,0.411,1.0
D26,SU+Random,30000,23,818.0,44.64,37.0,0.48,0.5178,1.0
D26,SUS+PF,30001,19,-1.8,71.8,60.1,0.4456,0.553,3.944
D26,SUS+Random,30001,19,-424.0,69.73,58.13,0.4328,0.5652,3.963
D26,SU+PF,30001,19,-2724.9,60.15,49.76,0.3718,0.6268,1.0
D26,SU+Random,30001,19,-6318.5,49.11,33.69,0.2611,0.7362,1.0
D26,SUS+PF,30002,32,-7402.1,83.67,59.62,0.3018,0.6964,4.0
D26,SUS+Random,30002,32,-8248.2,83.4,54.16,0.278,0.72,3.999
D26,SU+PF,30002,32,-10716.4,64.73,50.51,0.2545,0.7436,1.0
D26,SU+Random,30002,32,-14398.7,56.69,32.68,0.1745,0.8236,1.0
D26,SUS+PF,30003,21,764.0,35.78,29.39,0.4899,0.5088,3.68
D26,SUS+Random,30003,21,352.9,34.47,27.37,0.4605,0.5382,3.754
D26,SU+PF,30003,21,1281.7,37.22,31.76,0.5254,0.4733,1.0
D26,SU+Random,30003,21,-767.3,31.34,22.17,0.3803,0.6181,1.0
D26,SUS+PF,30004,18,2583.6,70.05,59.0,0.5272,0.4718,3.874
D26,SUS+Random,30004,18,1313.0,66.31,52.95,0.4784,0.5201,3.913
D26,SU+PF,30004,18,-76.8,58.31,49.8,0.4441,0.5543,1.0
D26,SU+Random,30004,18,-3130.4,50.39,35.05,0.3245,0.6734,1.0
D26,SUS+PF,30005,24,2725.3,66.23,56.64,0.5415,0.4563,3.918
D26,SUS+Random,30005,24,1651.4,63.12,51.25,0.4959,0.5013,3.949
D26,SU+PF,30005,24,1602.7,60.28,53.25,0.5073,0.4899,1.0
D26,SU+Random,30005,24,-2241.3,49.05,35.31,0.3513,0.6446,1.0
D26,SUS+PF,30006,28,-2593.1,79.64,58.94,0.3734,0.6241,3.999
D26,SUS+Random,30006,28,-4400.3,75.87,49.29,0.3203,0.6768,4.0
D26,SU+PF,30006,28,-5593.6,62.91,49.92,0.3168,0.6804,1.0
D26,SU+Random,30006,28,-9467.2,53.6,31.6,0.2115,0.7856,1.0
D26,SUS+PF,30007,19,4083.6,56.61,53.32,0.6485,0.3507,3.347
D26,SUS+Random,30007,19,3786.6,55.52,51.91,0.6326,0.3663,3.438
D26,SU+PF,30007,19,3437.3,54.18,50.62,0.617,0.3822,1.0
D26,SU+Random,30007,19,1396.4,47.9,40.89,0.5083,0.4903,1.0
D26,SUS+PF,30008,19,2192.8,76.95,63.35,0.5045,0.4936,3.946
D26,SUS+Random,30008,19,2040.1,76.85,61.8,0.496,0.502,3.964
D26,SU+PF,30008,19,-869.8,62.31,53.15,0.4228,0.5749,1.0
D26,SU+Random,30008,19,-3579.0,55.97,39.72,0.3264,0.6714,1.0
D26,SUS+PF,30009,16,5456.8,48.62,44.73,0.8321,0.1668,3.171
D26,SUS+Random,30009,16,5230.0,48.0,43.72,0.8135,0.185,3.26
D26,SU+PF,30009,16,5446.6,48.1,44.94,0.8356,0.1632,1.0
D26,SU+Random,30009,16,4381.6,45.27,39.68,0.7448,0.2534,1.0
D26,SUS+PF,30010,18,965.0,49.76,41.23,0.4851,0.5134,3.818
D26,SUS+Random,30010,18,426.4,47.91,38.74,0.4584,0.5399,3.866
D26,SU+PF,30010,18,1228.4,49.25,42.88,0.5034,0.4949,1.0
D26,SU+Random,30010,18,-1538.9,41.21,29.84,0.3639,0.6345,1.0
D26,SUS+PF,30011,30,-8374.0,80.87,60.43,0.292,0.7049,3.999
D26,SUS+Random,30011,30,-6623.9,87.35,66.6,0.3217,0.6752,3.999
D26,SU+PF,30011,30,-11169.0,64.45,51.77,0.2523,0.7445,1.0
D26,SU+Random,30011,30,-14264.8,56.29,37.25,0.1888,0.8076,1.0
D26,SUS+PF,30012,17,2039.8,37.25,32.16,0.5832,0.4154,3.511
D26,SUS+Random,30012,17,1778.8,36.45,30.87,0.5627,0.4356,3.574
D26,SU+PF,30012,17,2454.0,38.31,33.83,0.6152,0.3834,1.0
D26,SU+Random,30012,17,1018.5,34.11,27.1,0.501,0.4964,1.0
D26,SUS+PF,30013,32,1264.5,70.33,58.62,0.4821,0.5157,3.977
D26,SUS+Random,30013,32,539.6,67.93,55.15,0.4553,0.5422,3.988
D26,SU+PF,30013,32,-735.6,61.22,51.37,0.4245,0.5734,1.0
D26,SU+Random,30013,32,-4884.7,48.92,32.26,0.2791,0.7175,1.0
D26,SUS+PF,30014,16,-4128.1,46.79,41.24,0.3311,0.6665,3.811
D26,SUS+Random,30014,16,-4507.1,45.56,39.56,0.3178,0.6795,3.858
D26,SU+PF,30014,16,-4071.1,46.73,41.22,0.3325,0.6649,1.0
D26,SU+Random,30014,16,-7167.3,36.03,27.7,0.229,0.7679,1.0
D26,SUS+PF,30015,30,-1086.6,79.69,65.09,0.418,0.5798,3.993
D26,SUS+Random,30015,30,-715.6,81.17,65.38,0.4231,0.5744,3.997
D26,SU+PF,30015,30,-5241.5,60.84,49.67,0.3242,0.6724,1.0
D26,SU+Random,30015,30,-7489.6,55.65,38.48,0.2598,0.737,1.0
D26,SUS+PF,30016,24,2168.8,97.38,87.01,0.5007,0.4976,3.906
D26,SUS+Random,30016,24,3096.9,100.66,89.99,0.5184,0.4798,3.909
D26,SU+PF,30016,24,-4794.2,68.16,61.23,0.3537,0.6436,1.0
D26,SU+Random,30016,24,-6044.7,68.16,52.02,0.313,0.684,1.0
D26,SUS+PF,30017,26,-2949.4,71.03,55.56,0.371,0.6269,3.998
D26,SUS+Random,30017,26,-3372.6,71.23,52.22,0.3522,0.6455,3.999
D26,SU+PF,30017,26,-5692.9,57.08,47.07,0.3113,0.6861,1.0
D26,SU+Random,30017,26,-8852.3,50.03,31.46,0.2188,0.7787,1.0
D26,SUS+PF,30018,24,2877.4,64.82,57.64,0.5555,0.4434,3.789
D26,SUS+Random,30018,24,1977.9,62.4,53.09,0.516,0.4829,3.857
D26,SU+PF,30018,24,1326.6,58.38,52.01,0.5004,0.4985,1.0
D26,SU+Random,30018,24,-1314.9,51.55,38.75,0.3849,0.6139,1.0
D26,SUS+PF,30019,28,2674.0,71.26,60.7,0.5309,0.466,3.944
D26,SUS+Random,30019,28,1972.2,69.61,56.76,0.5006,0.4962,3.964
D26,SU+PF,30019,28,-359.7,58.42,49.71,0.436,0.5605,1.0
D26,SU+Random,30019,28,-2839.0,52.9,37.13,0.335,0.6614,1.0
D26,SUS+PF,30020,30,1548.7,73.15,62.35,0.4938,0.5051,3.975
D26,SUS+Random,30020,30,1216.5,72.23,60.17,0.4793,0.5193,3.985
D26,SU+PF,30020,30,-537.0,63.36,55.18,0.4378,0.5601,1.0
D26,SU+Random,30020,30,-3964.5,54.0,38.81,0.3203,0.6779,1.0
D26,SUS+PF,30021,21,3478.1,43.76,40.25,0.6744,0.3232,3.247
D26,SUS+Random,30021,21,3295.9,43.27,39.36,0.6608,0.3371,3.329
D26,SU+PF,30021,21,3570.6,44.02,40.68,0.681,0.3166,1.0
D26,SU+Random,30021,21,2584.1,41.27,35.76,0.6057,0.3911,1.0
D26,SUS+PF,30022,20,3628.9,62.32,55.44,0.5956,0.4032,3.757
D26,SUS+Random,30022,20,3379.9,61.77,54.01,0.5824,0.4162,3.804
D26,SU+PF,30022,20,2094.6,55.89,49.96,0.5364,0.4622,1.0
D26,SU+Random,30022,20,51.7,50.72,39.66,0.4366,0.5619,1.0
D26,SUS+PF,30023,28,-3601.8,98.25,75.28,0.374,0.6245,4.0
D26,SUS+Random,30023,28,-5809.8,92.35,64.55,0.3261,0.6719,4.0
D26,SU+PF,30023,28,-9246.4,71.08,56.34,0.283,0.7152,1.0
D26,SU+Random,30023,28,-13329.3,60.4,37.95,0.1991,0.7988,1.0
D26,SUS+PF,30024,19,-419.9,69.78,56.96,0.4305,0.5677,3.976
D26,SUS+Random,30024,19,-1558.2,65.99,52.17,0.3942,0.6039,3.988
D26,SU+PF,30024,19,-2399.2,60.13,49.83,0.379,0.6191,1.0
D26,SU+Random,30024,19,-6477.9,47.99,31.46,0.2497,0.7478,1.0
D26,SUS+PF,30025,22,7449.4,98.28,85.03,0.6558,0.343,3.932
D26,SUS+Random,30025,22,5622.9,92.64,77.04,0.5953,0.4029,3.974
D26,SU+PF,30025,22,3224.8,79.64,69.59,0.5405,0.4577,1.0
D26,SU+Random,30025,22,-1392.4,66.23,48.27,0.389,0.6085,1.0
D26,SUS+PF,30026,27,3490.1,66.66,55.98,0.5736,0.425,3.913
D26,SUS+Random,30026,27,2566.2,63.85,51.73,0.5332,0.4654,3.95
D26,SU+PF,30026,27,2621.8,61.86,53.42,0.547,0.4517,1.0
D26,SU+Random,30026,27,-1024.3,51.24,36.64,0.3874,0.6105,1.0
D26,SUS+PF,30027,22,2341.2,82.5,70.56,0.508,0.4901,3.969
D26,SUS+Random,30027,22,1852.7,80.99,67.66,0.4904,0.5079,3.984
D26,SU+PF,30027,22,-816.9,68.31,58.77,0.428,0.5697,1.0
D26,SU+Random,30027,22,-4305.0,57.63,43.07,0.3228,0.6747,1.0
D26,SUS+PF,30028,16,8617.1,80.38,73.39,0.7993,0.1986,3.65
D26,SUS+Random,30028,16,7758.1,78.07,69.34,0.7577,0.2398,3.755
D26,SU+PF,30028,16,6620.0,72.11,66.35,0.7219,0.2757,1.0
D26,SU+Random,30028,16,3716.5,63.69,51.98,0.5793,0.4167,1.0
D26,SUS+PF,30029,18,2461.1,63.1,51.9,0.5316,0.4671,3.8
D26,SUS+Random,30029,18,1658.4,60.41,48.49,0.4982,0.5006,3.858
D26,SU+PF,30029,18,2259.0,60.44,52.21,0.5317,0.4668,1.0
D26,SU+Random,30029,18,-976.5,50.65,37.14,0.3914,0.6065,1.0
D26,SUS+PF,30030,30,-3027.2,90.05,70.71,0.3797,0.6176,3.998
D26,SUS+Random,30030,30,-4150.0,87.0,65.25,0.3525,0.6451,3.999
