config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
V60max,SUS+CQI@0.70,30000,23,2711.0,51.1,47.08,0.5999,0.397,3.926
V60max,SU+CQI,30000,23,3325.8,52.43,49.9,0.6354,0.3621,1.0
V60max,PPO,30000,23,3527.1,52.11,50.38,0.6502,0.3467,2.219
V60max,SUS+CQI@0.70,30001,19,2954.5,80.66,75.55,0.5533,0.4432,3.984
V60max,SU+CQI,30001,19,1671.6,73.54,71.51,0.5233,0.4731,1.0
V60max,PPO,30001,19,3911.6,81.77,79.98,0.5884,0.4083,2.515
V60max,SUS+CQI@0.70,30002,32,2130.6,111.52,104.98,0.5113,0.4857,3.999
V60max,SU+CQI,30002,32,-5280.3,80.43,78.38,0.3791,0.6172,1.0
V60max,PPO,30002,32,2098.8,107.86,104.92,0.5156,0.4814,3.683
V60max,SUS+CQI@0.70,30003,21,1654.1,37.89,34.69,0.5714,0.426,3.958
V60max,SU+CQI,30003,21,2221.2,39.34,37.45,0.6129,0.385,1.0
V60max,PPO,30003,21,2213.7,38.35,37.01,0.6176,0.3803,1.82
V60max,SUS+CQI@0.70,30004,18,4681.6,75.52,71.54,0.6277,0.3701,3.942
V60max,SU+CQI,30004,18,2375.8,65.39,63.06,0.5532,0.4439,1.0
V60max,PPO,30004,18,5141.5,75.33,73.64,0.6494,0.3484,3.105
V60max,SUS+CQI@0.70,30005,24,4555.3,71.37,67.2,0.634,0.3627,3.988
V60max,SU+CQI,30005,24,3545.1,66.05,64.03,0.6028,0.3935,1.0
V60max,PPO,30005,24,5046.7,71.12,69.73,0.6602,0.3365,2.619
V60max,SUS+CQI@0.70,30006,28,4670.4,100.13,94.54,0.579,0.4165,3.999
V60max,SU+CQI,30006,28,-931.7,76.45,74.01,0.4528,0.5422,1.0
V60max,PPO,30006,28,4410.1,95.87,93.21,0.5786,0.4164,3.506
V60max,SUS+CQI@0.70,30007,19,4152.7,57.28,55.22,0.6694,0.3271,3.662
V60max,SU+CQI,30007,19,4047.0,56.34,55.0,0.6663,0.3309,1.0
V60max,PPO,30007,19,4408.9,57.54,56.35,0.6852,0.3115,2.387
V60max,SUS+CQI@0.70,30008,19,5836.1,87.75,82.31,0.6428,0.3545,3.975
V60max,SU+CQI,30008,19,2569.1,73.57,71.14,0.552,0.4455,1.0
V60max,PPO,30008,19,6308.3,86.92,84.59,0.6637,0.3336,3.094
V60max,SUS+CQI@0.70,30009,16,5397.8,48.69,45.83,0.85,0.147,3.659
V60max,SU+CQI,30009,16,5549.7,48.66,46.91,0.8665,0.1308,1.0
V60max,PPO,30009,16,5817.2,49.07,47.79,0.8886,0.1081,2.408
V60max,SUS+CQI@0.70,30010,18,1993.5,52.14,47.36,0.5538,0.4425,3.967
V60max,SU+CQI,30010,18,2392.5,52.19,49.74,0.5797,0.417,1.0
V60max,PPO,30010,18,2893.5,52.99,51.33,0.6063,0.3903,2.169
V60max,SUS+CQI@0.70,30011,30,2003.8,113.05,108.32,0.5095,0.4859,4.0
V60max,SU+CQI,30011,30,-4034.5,87.95,85.88,0.4031,0.5917,1.0
V60max,PPO,30011,30,2529.0,113.16,110.69,0.5218,0.4735,2.963
V60max,SUS+CQI@0.70,30012,17,2300.3,38.1,34.38,0.6215,0.3765,3.863
V60max,SU+CQI,30012,17,3033.4,39.83,37.74,0.6818,0.3168,1.0
V60max,PPO,30012,17,3056.4,38.93,37.56,0.6892,0.3096,1.888
V60max,SUS+CQI@0.70,30013,32,4456.3,79.75,75.31,0.6094,0.3872,3.991
V60max,SU+CQI,30013,32,2800.1,71.93,69.63,0.562,0.4343,1.0
V60max,PPO,30013,32,4730.9,78.39,76.6,0.6255,0.3708,2.632
V60max,SUS+CQI@0.70,30014,16,-3387.1,49.28,45.26,0.364,0.6294,3.952
V60max,SU+CQI,30014,16,-2284.7,52.13,50.43,0.4036,0.5913,1.0
V60max,PPO,30014,16,-1916.5,53.19,51.86,0.4162,0.578,1.852
V60max,SUS+CQI@0.70,30015,30,4407.6,96.12,91.88,0.5799,0.4165,3.957
V60max,SU+CQI,30015,30,290.3,78.65,76.67,0.4832,0.5123,1.0
V60max,PPO,30015,30,4878.9,95.7,94.01,0.5961,0.4001,2.73
V60max,SUS+CQI@0.70,30016,24,5321.9,107.56,103.86,0.5903,0.4067,3.83
V60max,SU+CQI,30016,24,-1143.3,81.77,79.38,0.4518,0.5447,1.0
V60max,PPO,30016,24,5810.5,107.91,105.66,0.6031,0.3936,3.442
V60max,SUS+CQI@0.70,30017,26,3174.1,88.98,85.41,0.5531,0.4437,3.999
V60max,SU+CQI,30017,26,-1202.0,71.24,68.8,0.4458,0.5507,1.0
V60max,PPO,30017,26,3402.1,87.8,86.62,0.5637,0.4333,2.961
V60max,SUS+CQI@0.70,30018,24,3286.0,66.12,61.56,0.5892,0.4084,3.938
V60max,SU+CQI,30018,24,2458.1,61.44,59.19,0.5644,0.4331,1.0
V60max,PPO,30018,24,3941.6,66.04,64.62,0.6233,0.3746,2.623
V60max,SUS+CQI@0.70,30019,28,4986.1,77.65,74.05,0.6364,0.3593,3.979
V60max,SU+CQI,30019,28,2525.3,66.93,64.97,0.5578,0.4377,1.0
V60max,PPO,30019,28,5363.1,76.9,75.67,0.6553,0.3405,2.918
V60max,SUS+CQI@0.70,30020,30,4493.3,82.09,77.59,0.6069,0.3908,3.994
V60max,SU+CQI,30020,30,2877.0,74.2,72.36,0.5643,0.4334,1.0
V60max,PPO,30020,30,4878.0,80.99,79.57,0.6262,0.3713,2.649
V60max,SUS+CQI@0.70,30021,21,3333.5,43.85,40.74,0.6808,0.3152,3.734
V60max,SU+CQI,30021,21,3794.9,44.87,42.86,0.7159,0.2806,1.0
V60max,PPO,30021,21,3938.9,44.55,43.36,0.7306,0.266,2.205
V60max,SUS+CQI@0.70,30022,20,4703.8,65.79,62.47,0.6625,0.3348,3.903
V60max,SU+CQI,30022,20,3898.4,61.8,59.82,0.634,0.3643,1.0
V60max,PPO,30022,20,5385.5,66.68,65.59,0.6977,0.3001,2.54
V60max,SUS+CQI@0.70,30023,28,4089.0,119.89,113.3,0.5471,0.4496,3.973
V60max,SU+CQI,30023,28,-3394.2,88.54,86.24,0.4161,0.5802,1.0
V60max,PPO,30023,28,4105.5,117.01,113.08,0.5511,0.4452,3.493
V60max,SUS+CQI@0.70,30024,19,2110.0,77.08,70.45,0.5267,0.4701,3.995
V60max,SU+CQI,30024,19,849.3,69.49,66.94,0.4989,0.4977,1.0
V60max,PPO,30024,19,3200.7,77.7,75.45,0.5683,0.4284,2.641
V60max,SUS+CQI@0.70,30025,22,8913.7,101.48,95.47,0.7276,0.27,3.987
V60max,SU+CQI,30025,22,5027.8,84.29,81.86,0.6221,0.375,1.0
V60max,PPO,30025,22,9638.8,101.18,98.89,0.7581,0.2398,3.331
V60max,SUS+CQI@0.70,30026,27,5145.7,70.84,65.86,0.6668,0.331,3.987
V60max,SU+CQI,30026,27,4155.0,65.43,62.91,0.6352,0.3627,1.0
V60max,PPO,30026,27,5762.6,70.47,68.65,0.7016,0.2965,2.67
V60max,SUS+CQI@0.70,30027,22,6136.5,93.94,90.09,0.6399,0.3566,3.991
V60max,SU+CQI,30027,22,3067.6,80.77,78.88,0.5599,0.4367,1.0
V60max,PPO,30027,22,6829.2,94.9,93.52,0.6642,0.3328,2.812
V60max,SUS+CQI@0.70,30028,16,8517.0,80.1,75.66,0.8191,0.1766,3.879
V60max,SU+CQI,30028,16,6843.5,72.55,70.08,0.7558,0.2398,1.0
V60max,PPO,30028,16,9073.9,80.1,78.3,0.8518,0.1442,3.164
V60max,SUS+CQI@0.70,30029,18,3789.3,66.13,60.15,0.6091,0.3876,3.948
V60max,SU+CQI,30029,18,3313.1,62.57,59.49,0.5988,0.3983,1.0
V60max,PPO,30029,18,4807.0,66.94,64.88,0.6613,0.3358,2.605
V60max,SUS+CQI@0.70,30030,30,3301.5,108.55,101.72,0.5377,0.4594,3.998
V60max,SU+CQI,30030,30,-997.2,89.05,86.88,0.4574,0.5392,1.0
V60max,PPO,30030,30,4000.2,107.78,105.18,0.559,0.4381,2.991
V60max,SUS+CQI@0.70,30031,21,1990.1,63.5,58.37,0.538,0.4594,3.97
V60max,SU+CQI,30031,21,1697.7,60.57,58.31,0.5352,0.462,1.0
V60max,PPO,30031,21,2982.2,64.56,62.91,0.5826,0.4149,2.527
V60max,SUS+CQI@0.70,30032,31,5405.3,93.35,87.86,0.6148,0.3826,4.0
V60max,SU+CQI,30032,31,1867.1,78.07,75.24,0.5254,0.472,1.0
V60max,PPO,30032,31,5870.2,92.18,89.96,0.6351,0.3624,3.134
V60max,SUS+CQI@0.70,30033,23,6657.3,62.9,59.6,0.8204,0.1776,3.869
V60max,SU+CQI,30033,23,6062.2,59.91,57.69,0.7933,0.205,1.0
V60max,PPO,30033,23,7141.9,63.11,61.84,0.8548,0.1439,2.65
V60max,SUS+CQI@0.70,30034,30,4509.6,113.76,107.51,0.5619,0.4349,3.999
V60max,SU+CQI,30034,30,-1395.9,88.11,86.01,0.4493,0.5469,1.0
V60max,PPO,30034,30,4952.1,112.13,109.5,0.577,0.4196,3.108
V60max,SUS+CQI@0.70,30035,21,3850.0,50.9,47.58,0.6801,0.3177,3.844
V60max,SU+CQI,30035,21,4229.1,51.41,49.48,0.7066,0.2914,1.0
V60max,PPO,30035,21,4539.6,51.76,50.45,0.7282,0.27,2.243
V60max,SUS+CQI@0.70,30036,20,2341.2,37.8,35.24,0.6307,0.3679,3.687
V60max,SU+CQI,30036,20,2658.9,38.66,36.65,0.6556,0.3438,1.0
V60max,PPO,30036,20,2763.5,38.36,37.01,0.6672,0.3319,1.959
V60max,SUS+CQI@0.70,30037,18,2954.4,72.63,69.06,0.5663,0.4296,3.841
V60max,SU+CQI,30037,18,2441.2,69.58,67.59,0.5538,0.4424,1.0
V60max,PPO,30037,18,3770.1,74.27,72.71,0.597,0.3996,2.36
V60max,SUS+CQI@0.70,30038,29,1646.6,108.26,101.9,0.5018,0.4943,4.0
V60max,SU+CQI,30038,29,-5408.8,79.05,75.76,0.373,0.6223,1.0
V60max,PPO,30038,29,1562.6,104.82,101.21,0.5037,0.492,3.679
V60max,SUS+CQI@0.70,30039,20,2519.7,37.7,34.09,0.6446,0.3527,3.888
V60max,SU+CQI,30039,20,3233.5,39.51,37.36,0.7042,0.2937,1.0
V60max,PPO,30039,20,3171.4,38.31,36.71,0.7054,0.2925,1.956
CSI02,SUS+CQI@0.75,30000,23,2549.5,50.36,46.5,0.5914,0.3966,3.873
CSI02,SU+CQI,30000,23,2932.9,50.89,48.4,0.6149,0.3804,1.0
CSI02,PPO,30000,23,3170.1,50.8,48.94,0.6312,0.363,2.289
CSI02,SUS+CQI@0.75,30001,19,2289.9,78.12,72.79,0.5328,0.46,3.963
CSI02,SU+CQI,30001,19,1051.0,70.8,69.15,0.5063,0.4898,1.0
CSI02,PPO,30001,19,3068.9,78.76,76.36,0.5617,0.4321,2.534
CSI02,SUS+CQI@0.75,30002,32,1191.3,108.17,101.12,0.492,0.5038,4.0
CSI02,SU+CQI,30002,32,-6458.4,75.92,73.73,0.3565,0.6396,1.0
CSI02,PPO,30002,32,1029.4,103.87,100.36,0.4938,0.5019,3.725
CSI02,SUS+CQI@0.75,30003,21,1322.9,36.93,33.24,0.5475,0.4465,3.94
CSI02,SU+CQI,30003,21,1786.2,37.58,35.71,0.5844,0.412,1.0
CSI02,PPO,30003,21,1785.2,36.83,35.21,0.5875,0.4073,1.856
CSI02,SUS+CQI@0.75,30004,18,2952.2,69.49,63.93,0.5627,0.4282,3.932
CSI02,SU+CQI,30004,18,984.7,59.67,57.53,0.505,0.4914,1.0
CSI02,PPO,30004,18,3362.6,69.21,65.8,0.582,0.4103,3.097
CSI02,SUS+CQI@0.75,30005,24,3686.1,68.17,63.52,0.599,0.3899,3.982
CSI02,SU+CQI,30005,24,2642.6,62.37,60.39,0.5688,0.426,1.0
CSI02,PPO,30005,24,4146.9,67.98,65.95,0.6235,0.3681,2.719
CSI02,SUS+CQI@0.75,30006,28,3970.2,97.52,91.55,0.5617,0.4327,3.999
CSI02,SU+CQI,30006,28,-1656.1,73.4,71.05,0.4355,0.5594,1.0
CSI02,PPO,30006,28,3652.9,93.11,89.93,0.5593,0.435,3.471
CSI02,SUS+CQI@0.75,30007,19,4044.0,56.67,54.83,0.6644,0.3267,3.607
CSI02,SU+CQI,30007,19,3775.4,55.04,53.91,0.6537,0.3424,1.0
